Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,22.87,23.09,22.74,23.08,21.65,3966600
2017-05-25,23.17,23.23,22.83,22.89,21.47,3380600
2017-05-26,22.87,22.91,22.8,22.84,21.42,2457900
2017-05-30,22.8,22.88,22.52,22.67,21.26,3130300
2017-05-31,22.82,22.84,22.56,22.67,21.26,6094200
2017-06-01,22.69,23.08,22.62,23.08,21.65,4058900
2017-06-02,23.14,23.79,23.14,23.71,22.24,6980400
2017-06-05,23.65,23.71,23.27,23.4,21.95,3802700
2017-06-06,23.21,23.55,23.08,23.44,22.07,4027900
2017-06-07,23.45,23.68,23.39,23.59,22.21,5140600
2017-06-08,23.59,23.61,23.29,23.42,22.05,3824700
2017-06-09,23.45,23.52,23.21,23.44,22.07,3838100
2017-06-12,23.4,23.67,23.39,23.47,22.1,4368200
2017-06-13,23.49,24.16,23.47,24.12,22.71,5988700
2017-06-14,24.24,24.73,24.12,24.28,22.86,7297000
2017-06-15,24.04,24.25,23.95,24.08,22.67,4211500
2017-06-16,23.97,24.15,23.72,24.01,22.61,4161900
2017-06-19,24.17,24.36,24.03,24.16,22.75,5202700
2017-06-20,24.44,24.69,24.17,24.23,22.81,6400500
2017-06-21,24.22,24.47,24.0,24.28,22.86,4575100
2017-06-22,24.2,24.25,23.96,24.04,22.64,5489100
2017-06-23,24.22,24.43,24.11,24.15,22.74,6659400
2017-06-26,24.21,24.3,24.16,24.19,22.78,3664900
2017-06-27,24.18,24.4,24.01,24.07,22.66,7174700
2017-06-28,24.24,24.66,24.15,24.49,23.06,5145400
2017-06-29,24.43,24.47,23.9,24.06,22.65,8946900
2017-06-30,24.17,24.72,24.17,24.53,23.1,4704300
2017-07-03,24.59,24.7,24.46,24.49,23.06,1634900
2017-07-05,24.43,24.8,24.2,24.64,23.2,7304600
2017-07-06,24.57,24.66,24.41,24.41,22.98,8924700
2017-07-07,24.43,25.2,24.42,24.94,23.48,9620700
2017-07-10,24.66,25.17,24.65,25.07,23.61,8596000
2017-07-11,24.68,24.94,24.44,24.67,23.23,6306400
2017-07-12,24.81,25.0,24.27,24.39,22.96,5282700
2017-07-13,24.59,24.7,24.29,24.37,22.95,5842500
2017-07-14,24.36,24.6,24.31,24.36,22.94,4333900
2017-07-17,24.35,24.59,24.32,24.36,22.94,5936300
2017-07-18,24.28,24.39,23.81,24.16,22.75,3839800
2017-07-19,24.27,24.59,24.25,24.46,23.03,5182900
2017-07-20,24.48,24.5,24.08,24.29,22.87,3196200
2017-07-21,24.27,24.71,24.2,24.31,22.89,5755700
2017-07-24,24.29,24.61,24.2,24.42,22.99,4905900
2017-07-25,24.3,24.63,23.98,24.54,23.11,6650100
2017-07-26,24.37,24.71,24.26,24.29,22.87,4257100
2017-07-27,24.32,24.55,24.11,24.36,22.94,4336600
2017-07-28,24.3,24.5,24.15,24.35,22.93,3788600
2017-07-31,24.41,24.53,24.23,24.42,22.99,3638700
2017-08-01,24.47,25.05,24.43,24.89,23.44,4330100
2017-08-02,24.9,25.26,24.75,25.2,23.73,5021600
2017-08-03,25.26,25.51,25.18,25.29,23.81,5091200
2017-08-04,25.32,25.72,25.32,25.6,24.1,5808300
2017-08-07,25.63,25.74,25.35,25.46,23.97,4602200
2017-08-08,25.46,25.59,25.28,25.31,23.83,3860100
2017-08-09,25.21,25.43,25.14,25.31,23.83,3419100
2017-08-10,25.17,25.26,24.77,24.78,23.33,4520100
2017-08-11,24.73,25.0,24.66,24.84,23.39,2899300
2017-08-14,25.03,25.43,25.01,25.39,23.91,4411600
2017-08-15,25.4,25.56,25.33,25.53,24.04,2603500
2017-08-16,25.53,25.97,25.44,25.92,24.41,6375000
2017-08-17,25.83,26.0,25.42,25.44,23.95,4597900
2017-08-18,25.36,25.59,25.25,25.28,23.8,3649700
2017-08-21,25.19,25.47,25.13,25.4,23.92,3554500
2017-08-22,25.35,25.42,24.94,25.27,23.79,4335300
2017-08-23,25.16,25.35,24.89,24.94,23.48,4775100
2017-08-24,25.07,25.14,24.86,24.91,23.45,2970900
2017-08-25,25.01,25.43,25.01,25.31,23.83,3184500
2017-08-28,25.34,25.38,25.15,25.3,23.82,2619700
2017-08-29,25.11,25.39,25.04,25.31,23.83,3058300
2017-08-30,25.31,25.58,25.28,25.51,24.02,3057100
2017-08-31,25.6,25.89,25.54,25.82,24.31,3618500
2017-09-01,25.88,26.05,25.8,25.87,24.36,2371000
2017-09-05,25.86,25.96,25.48,25.65,24.15,4248500
2017-09-06,25.71,25.95,25.56,25.63,24.13,3990900
2017-09-07,25.68,25.79,25.38,25.42,23.93,3921600
2017-09-08,25.43,25.98,25.35,25.76,24.25,2569600
2017-09-11,25.92,26.25,25.84,26.17,24.64,4351700
2017-09-12,26.21,26.5,26.09,26.47,24.92,3042100
2017-09-13,26.5,26.64,25.75,26.19,24.66,7016600
2017-09-14,26.13,26.48,26.01,26.37,24.83,3622900
2017-09-15,26.3,26.43,26.02,26.29,24.75,7211600
2017-09-18,26.33,26.43,26.14,26.33,24.88,4619000
2017-09-19,26.33,26.48,26.2,26.23,24.78,5027500
2017-09-20,26.22,26.26,25.56,25.66,24.24,5170700
2017-09-21,25.71,25.76,25.49,25.65,24.23,3558100
2017-09-22,25.66,26.02,25.63,25.88,24.45,4243400
2017-09-25,25.76,26.25,25.74,26.17,24.73,3680100
2017-09-26,26.26,26.55,26.19,26.33,24.88,3162100
2017-09-27,26.47,26.64,26.2,26.53,25.07,2960300
2017-09-28,26.53,26.99,26.53,26.97,25.48,4358200
2017-09-29,27.04,27.51,27.04,27.33,25.82,4976500
2017-10-02,27.43,27.56,27.13,27.37,25.86,3392800
2017-10-03,27.6,27.76,27.04,27.51,25.99,4604900
2017-10-04,27.51,27.7,27.37,27.63,26.11,3237800
2017-10-05,27.68,27.72,27.19,27.2,25.7,4278200
