Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,100.19,101.7,100.15,101.62,88.18,555000
2017-05-25,101.65,102.74,101.51,101.97,88.48,391500
2017-05-26,101.98,102.42,101.41,102.18,88.66,331700
2017-05-30,102.02,102.85,101.55,102.32,88.79,373900
2017-05-31,102.67,102.78,101.56,102.16,88.65,773400
2017-06-01,102.25,104.06,102.11,104.0,90.24,355400
2017-06-02,103.96,104.88,103.66,104.2,90.42,359100
2017-06-05,104.2,104.8,103.96,104.09,90.32,568600
2017-06-06,104.07,104.64,102.89,103.37,89.7,526300
2017-06-07,103.47,104.47,103.32,103.75,90.03,625300
2017-06-08,103.59,104.18,102.97,103.77,90.04,418200
2017-06-09,104.39,105.77,104.03,104.95,91.07,598900
2017-06-12,104.95,105.66,104.66,105.2,91.28,780700
2017-06-13,104.67,105.81,104.4,105.76,92.32,441600
2017-06-14,106.58,106.58,104.53,104.95,91.62,503800
2017-06-15,104.73,106.33,104.29,105.37,91.98,515500
2017-06-16,105.56,107.69,105.44,107.57,93.9,1008000
2017-06-19,108.56,108.9,107.58,108.3,94.54,574700
2017-06-20,108.18,108.42,107.37,107.9,94.19,492500
2017-06-21,107.97,108.22,107.15,107.71,94.03,438100
2017-06-22,107.92,108.09,107.05,107.73,94.04,483600
2017-06-23,107.87,109.55,107.31,109.43,95.53,1192300
2017-06-26,110.0,111.41,109.57,111.08,96.97,982300
2017-06-27,110.99,111.34,110.46,110.61,96.56,1145400
2017-06-28,111.23,113.52,111.03,112.77,98.44,948500
2017-06-29,112.97,112.97,110.85,111.55,97.38,1109100
2017-06-30,112.14,112.24,110.78,111.39,97.24,843200
2017-07-03,111.71,113.06,111.36,112.11,97.87,271100
2017-07-05,112.24,112.92,111.3,111.89,97.67,548200
2017-07-06,111.42,111.92,110.61,110.84,96.76,498100
2017-07-07,110.99,111.47,110.72,110.92,96.83,696500
2017-07-10,110.29,113.43,110.01,112.46,98.17,974500
2017-07-11,112.71,112.71,110.77,111.29,97.15,671100
2017-07-12,112.08,112.76,111.07,111.84,97.63,552300
2017-07-13,112.51,114.31,112.48,113.31,98.91,833300
2017-07-14,113.46,113.58,112.98,113.11,98.74,377200
2017-07-17,112.71,113.25,111.94,112.84,98.5,518400
2017-07-18,112.21,112.47,111.04,111.51,97.34,809600
2017-07-19,112.04,112.52,111.77,112.28,98.01,756900
2017-07-20,111.96,111.96,109.53,110.46,96.43,1590300
2017-07-21,110.21,110.57,108.75,109.46,95.55,1162200
2017-07-24,110.55,110.78,108.92,108.99,95.14,1476400
2017-07-25,109.66,109.71,108.25,108.58,94.78,22606500
2017-07-26,108.75,109.64,107.51,108.8,94.98,2137100
2017-07-27,107.76,112.33,105.81,110.55,96.5,1473000
2017-07-28,110.62,111.49,109.03,109.77,95.82,2008300
2017-07-31,110.3,110.7,109.1,109.48,95.57,1150100
2017-08-01,109.71,110.43,108.84,110.05,96.07,1017600
2017-08-02,109.64,110.54,108.8,110.23,96.23,735300
2017-08-03,110.11,111.35,109.64,110.08,96.09,702800
2017-08-04,110.45,110.78,108.8,109.08,95.22,941100
2017-08-07,109.36,110.12,108.91,109.42,95.52,766100
2017-08-08,109.84,110.46,109.27,109.62,95.69,995700
2017-08-09,109.61,110.15,108.92,109.17,95.3,750900
2017-08-10,109.48,109.81,107.16,107.33,93.69,732900
2017-08-11,107.15,108.04,106.9,107.52,93.86,1532300
2017-08-14,108.37,109.89,108.08,109.13,95.26,737700
2017-08-15,109.25,110.21,108.73,109.29,95.4,804100
2017-08-16,109.99,111.63,109.99,111.44,97.28,708300
2017-08-17,111.1,111.5,110.33,110.57,96.52,702700
2017-08-18,110.27,110.97,109.72,109.99,96.02,731900
2017-08-21,109.78,109.78,106.49,106.51,92.98,999800
2017-08-22,106.59,108.91,106.59,108.79,94.97,842000
2017-08-23,108.34,109.89,108.11,109.16,95.29,610200
2017-08-24,109.45,110.4,109.14,110.12,96.13,614300
2017-08-25,110.55,110.99,109.87,110.36,96.34,524500
2017-08-28,110.46,110.72,108.92,109.06,95.2,560200
2017-08-29,108.59,108.82,108.0,108.5,94.71,646900
2017-08-30,108.54,111.17,108.54,111.14,97.02,709300
2017-08-31,111.34,112.77,111.18,112.41,98.13,829000
2017-09-01,112.71,113.63,112.71,113.45,99.04,434500
2017-09-05,113.42,113.69,111.46,111.89,97.67,678000
2017-09-06,112.09,112.69,110.7,111.63,97.45,527800
2017-09-07,111.74,112.86,111.14,112.28,98.01,605000
2017-09-08,112.41,114.44,112.23,113.79,99.33,724800
2017-09-11,114.43,117.46,113.81,116.8,101.96,1484500
2017-09-12,117.9,118.97,117.09,118.27,103.24,1182500
2017-09-13,117.66,117.96,115.68,116.6,101.79,1225900
2017-09-14,115.54,116.04,114.85,115.8,101.64,861000
2017-09-15,115.56,116.08,114.5,115.88,101.71,2177700
2017-09-18,116.21,117.19,115.91,116.22,102.01,1092800
2017-09-19,116.22,117.55,115.33,117.26,102.92,1061900
2017-09-20,117.26,119.43,117.25,119.28,104.69,877100
2017-09-21,119.19,119.31,118.52,118.8,104.27,461900
2017-09-22,118.5,118.79,115.21,116.21,102.0,1080000
2017-09-25,115.78,116.1,112.2,113.9,99.97,977800
2017-09-26,114.07,115.12,113.9,114.32,100.34,663500
2017-09-27,114.87,115.87,114.24,115.29,101.19,696800
2017-09-28,115.06,116.19,114.58,115.61,101.47,874100
2017-09-29,115.09,115.14,113.89,114.68,100.65,829800
2017-10-02,114.45,117.06,114.45,116.85,102.56,681300
2017-10-03,117.27,117.88,116.46,117.27,102.93,544700
2017-10-04,117.3,117.96,116.81,117.33,102.98,655700
2017-10-05,117.38,117.39,116.31,117.06,102.74,771900
2017-10-06,116.75,117.82,116.33,116.5,102.25,527800
2017-10-09,116.8,117.11,116.01,116.72,102.44,383800
2017-10-10,116.88,117.65,116.55,117.47,103.1,366200
2017-10-11,117.58,117.78,116.3,116.7,102.43,589500
2017-10-12,116.92,116.92,115.39,115.5,101.37,809300
2017-10-13,115.29,116.07,115.13,115.69,101.54,771600
2017-10-16,115.97,117.05,115.6,117.0,102.69,695000
2017-10-17,117.07,117.61,116.52,116.75,102.47,711600
2017-10-18,116.91,117.24,116.08,116.42,102.18,793500
2017-10-19,116.15,116.74,115.69,116.6,102.34,386300
2017-10-20,117.26,118.38,116.98,118.36,103.88,596200
2017-10-23,118.84,118.99,118.09,118.14,103.69,547300
2017-10-24,119.4,119.57,117.86,118.63,104.12,758000
2017-10-25,118.94,119.28,116.9,118.16,103.71,678100
2017-10-26,117.0,120.75,116.51,118.58,104.08,912800
2017-10-27,117.8,118.02,111.65,116.93,102.63,1456700
2017-10-30,116.2,116.95,115.33,115.57,101.43,708100
2017-10-31,115.9,116.88,115.11,116.27,102.05,476600
2017-11-01,117.11,117.55,116.06,116.57,102.31,881700
2017-11-02,116.09,117.2,115.59,116.21,102.0,706300
2017-11-03,116.1,116.84,115.61,115.74,101.58,513000
2017-11-06,115.7,115.71,110.63,110.96,97.39,1735700
2017-11-07,110.78,111.95,109.86,111.35,97.73,783600
2017-11-08,111.0,111.58,110.53,111.41,97.78,883400
2017-11-09,110.61,111.1,108.49,109.23,95.87,1183200
2017-11-10,109.41,110.62,109.29,110.27,96.78,913600
2017-11-13,110.19,112.73,109.67,112.36,98.62,1086500
2017-11-14,111.91,113.44,111.66,112.71,98.92,456800
2017-11-15,112.05,113.09,111.46,111.85,98.17,667100
2017-11-16,111.58,112.6,111.47,111.87,98.19,632400
2017-11-17,111.42,112.86,111.11,112.47,98.71,447200
2017-11-20,112.01,113.01,111.54,111.77,98.1,666200
2017-11-21,112.43,113.13,111.98,112.04,98.34,612300
2017-11-22,112.21,112.56,111.57,112.07,98.36,468800
2017-11-24,112.48,112.82,111.47,111.47,97.84,178000
2017-11-27,111.5,112.58,111.05,111.42,97.79,546000
2017-11-28,111.79,112.98,111.18,112.95,99.14,549800
2017-11-29,112.97,115.21,112.71,115.09,101.01,665000
2017-11-30,115.2,118.98,115.1,118.6,104.09,1333300
2017-12-01,118.53,118.54,114.41,117.4,103.04,932400
2017-12-04,118.41,119.94,117.85,118.91,104.37,885500
2017-12-05,118.44,118.81,117.38,117.76,103.36,670000
2017-12-06,117.9,118.47,117.16,117.34,102.99,520900
2017-12-07,117.15,118.53,116.82,117.96,103.53,634800
2017-12-08,118.23,119.06,117.76,118.34,103.87,592500
2017-12-11,118.13,118.7,116.3,118.13,103.68,773900
2017-12-12,117.99,117.99,116.82,116.96,102.65,582700
2017-12-13,116.71,117.73,116.71,116.98,102.67,611300
2017-12-14,117.38,117.46,114.87,114.89,100.84,930400
2017-12-15,114.86,116.27,114.18,115.27,101.17,1708200
2017-12-18,115.65,117.33,115.65,117.04,102.72,623300
2017-12-19,117.41,119.92,117.33,118.84,104.3,804400
2017-12-20,119.42,120.18,118.92,119.74,105.09,919200
2017-12-21,120.56,121.11,119.95,120.3,105.59,505400
2017-12-22,119.93,120.36,119.04,120.09,105.96,409500
2017-12-26,120.09,120.88,119.69,120.1,105.97,380800
2017-12-27,120.23,121.06,119.66,120.54,106.35,435400
2017-12-28,120.67,120.99,119.47,120.92,106.69,350400
2017-12-29,121.2,121.38,120.31,120.55,106.36,444400
2018-01-02,121.47,123.78,121.11,123.61,109.06,825400
2018-01-03,123.82,126.58,123.64,125.98,111.15,874400
2018-01-04,126.22,129.15,126.15,128.08,113.01,1065200
2018-01-05,128.7,129.1,127.73,128.47,113.35,672200
2018-01-08,129.13,130.19,128.71,129.58,114.33,593200
2018-01-09,129.77,129.92,127.62,127.9,112.85,990800
2018-01-10,127.94,128.41,127.33,128.0,112.94,484500
2018-01-11,128.39,129.28,127.36,129.24,114.03,365300
2018-01-12,129.38,129.38,127.71,128.32,113.22,535900
2018-01-16,128.79,129.04,125.29,125.88,111.07,709000
2018-01-17,126.61,127.37,125.6,126.76,111.84,565800
2018-01-18,126.6,127.23,126.03,126.11,111.27,553300
2018-01-19,126.69,127.69,126.47,127.56,112.55,741200
2018-01-22,127.8,127.88,126.43,127.25,112.27,650800
2018-01-23,126.81,127.24,125.03,126.48,111.59,672300
2018-01-24,126.99,128.02,125.52,126.2,111.35,620400
2018-01-25,126.21,127.31,125.36,125.63,110.84,806300
2018-01-26,126.27,131.13,124.69,126.93,111.99,1296000
2018-01-29,128.8,128.82,125.89,125.97,111.14,745500
2018-01-30,125.44,126.02,124.05,124.71,110.03,1058900
2018-01-31,125.08,125.94,119.28,125.63,110.84,2269200
2018-02-01,125.3,125.3,122.45,123.54,109.0,1662000
2018-02-02,123.14,123.59,121.8,123.1,108.61,1020100
2018-02-05,121.86,122.5,115.0,117.13,103.35,1208700
2018-02-06,114.44,119.27,114.44,118.96,104.96,1487000
2018-02-07,118.55,119.91,117.13,117.13,103.35,1001300
2018-02-08,116.79,116.8,111.9,111.95,98.77,1136100
2018-02-09,113.08,114.4,110.28,113.76,100.37,830000
2018-02-12,115.41,117.24,114.15,116.69,102.96,778400
2018-02-13,116.26,116.64,115.46,116.03,102.37,464800
2018-02-14,115.17,116.35,114.56,115.99,102.34,707600
2018-02-15,116.69,118.14,114.9,117.93,104.05,1080900
2018-02-16,117.64,120.01,117.28,119.37,105.32,811300
2018-02-20,118.51,119.92,118.0,118.86,104.87,715700
2018-02-21,119.3,121.64,118.9,119.22,105.19,621700
2018-02-22,119.95,120.8,118.52,118.77,104.79,508900
2018-02-23,119.65,119.75,118.2,119.36,105.31,453000
2018-02-26,120.0,121.77,119.52,121.74,107.41,842000
2018-02-27,121.59,122.18,120.22,120.22,106.07,418000
2018-02-28,120.65,121.88,119.19,119.2,105.17,670000
2018-03-01,119.51,119.97,117.38,118.59,104.63,785600
2018-03-02,117.7,118.21,115.49,117.32,103.51,674000
2018-03-05,116.63,118.2,116.37,116.93,103.17,618400
2018-03-06,117.54,120.17,117.34,119.07,105.06,834400
2018-03-07,117.73,119.22,116.88,117.99,104.1,626100
2018-03-08,118.09,118.26,116.01,116.68,102.95,659500
2018-03-09,117.56,120.31,116.89,119.86,105.75,1245400
2018-03-12,119.86,121.1,119.45,120.06,105.93,705900
2018-03-13,120.45,121.97,119.92,120.23,106.08,493700
2018-03-14,120.35,120.35,118.09,118.52,105.12,539100
2018-03-15,118.73,119.04,116.94,117.59,104.3,575300
2018-03-16,117.66,119.33,116.65,118.51,105.11,2864600
2018-03-19,118.3,118.98,115.96,116.66,103.47,1034000
2018-03-20,117.15,117.66,115.42,116.51,103.34,714400
2018-03-21,116.51,119.06,115.74,117.65,104.35,558500
2018-03-22,116.3,116.85,112.91,112.98,100.21,646000
2018-03-23,113.32,113.32,109.04,109.2,96.86,742500
2018-03-26,109.35,114.5,109.35,114.34,101.41,1142300
2018-03-27,115.03,115.03,111.77,112.32,99.62,661400
2018-03-28,112.62,113.13,110.88,111.18,98.61,721500
2018-03-29,112.05,113.84,111.45,112.7,99.96,676200
2018-04-02,111.91,112.84,107.96,109.93,97.5,974000
2018-04-03,110.23,112.24,109.7,111.9,99.25,693900
2018-04-04,110.15,112.69,109.65,112.32,99.62,574700
2018-04-05,113.26,114.38,112.98,113.16,100.37,750600
2018-04-06,111.91,112.37,109.42,110.14,97.69,594300
2018-04-09,110.86,112.83,110.28,111.04,98.49,716100
2018-04-10,112.52,114.6,112.01,113.8,100.94,502600
2018-04-11,112.88,113.52,111.59,112.68,99.94,348600
2018-04-12,113.27,113.98,112.85,113.37,100.55,576200
2018-04-13,114.21,114.28,112.98,113.54,100.71,350200
2018-04-16,114.52,115.17,113.6,113.92,101.04,544700
2018-04-17,114.62,116.18,114.0,115.91,102.81,614000
2018-04-18,116.58,117.36,115.67,116.18,103.05,507200
2018-04-19,116.09,116.8,115.29,116.19,103.06,524200
2018-04-20,116.41,116.92,115.55,116.13,103.0,672300
2018-04-23,116.3,117.45,116.3,117.31,104.05,886000
2018-04-24,118.13,118.62,112.56,114.0,101.11,998100
2018-04-25,114.84,118.35,112.62,117.91,104.58,1513800
2018-04-26,118.23,118.7,116.71,117.2,103.95,1023900
2018-04-27,117.02,117.53,115.63,116.3,103.15,953300
2018-04-30,116.39,117.06,115.28,115.69,102.61,923900
2018-05-01,115.26,116.53,113.51,116.33,103.18,887000
