Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,55.83,55.98,55.69,55.87,49.15,2790900
2017-05-25,56.03,56.1,55.7,55.9,49.18,1589100
2017-05-26,56.0,56.0,55.43,55.79,49.08,1282800
2017-05-30,55.76,56.15,55.68,55.83,49.12,2290900
2017-05-31,55.91,56.01,55.24,55.54,48.86,3606700
2017-06-01,55.51,56.01,55.21,55.91,49.19,3213500
2017-06-02,56.14,57.05,56.01,56.88,50.04,7702500
2017-06-05,56.91,56.91,56.36,56.41,49.63,2048000
2017-06-06,56.36,56.74,56.12,56.48,49.69,2169200
2017-06-07,56.57,56.76,56.25,56.76,49.94,3281300
2017-06-08,56.76,56.8,55.7,56.46,49.67,2623700
2017-06-09,56.44,57.14,56.33,57.13,50.26,2165500
2017-06-12,56.79,57.33,56.72,57.33,50.83,2684600
2017-06-13,57.23,57.32,56.96,57.19,50.71,1778800
2017-06-14,57.63,57.92,57.36,57.83,51.27,2763900
2017-06-15,57.42,58.72,57.41,58.51,51.88,4389500
2017-06-16,58.58,58.72,57.89,58.13,51.54,4335100
2017-06-19,58.07,58.65,57.94,58.59,51.95,2912500
2017-06-20,58.62,58.7,57.37,57.67,51.13,2200600
2017-06-21,57.71,58.07,57.62,58.05,51.47,2639400
2017-06-22,57.84,57.89,57.5,57.64,51.1,1850800
2017-06-23,58.21,59.07,58.1,58.52,51.88,3165400
2017-06-26,58.74,59.11,58.54,59.06,52.36,2390300
2017-06-27,59.39,59.49,58.71,58.72,52.06,5484300
2017-06-28,58.92,59.23,58.54,59.19,52.48,3740200
2017-06-29,59.26,59.4,58.63,58.69,52.04,3400200
2017-06-30,58.77,59.02,58.59,58.64,51.99,2594000
2017-07-03,58.92,59.31,58.55,59.19,52.48,1009500
2017-07-05,59.26,59.32,58.25,58.53,51.89,2244200
2017-07-06,58.29,58.42,57.21,57.28,50.79,2529500
2017-07-07,57.52,57.88,57.28,57.75,51.2,2305100
2017-07-10,57.84,58.07,57.19,57.28,50.79,1955300
