Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,121.85,121.9,120.57,120.96,104.29,1787400
2017-05-25,120.96,121.99,120.78,121.45,104.71,1311100
2017-05-26,120.96,122.0,120.64,121.32,104.6,1173300
2017-05-30,120.5,120.64,118.26,118.86,102.48,2779200
2017-05-31,118.88,119.25,116.63,118.7,102.34,2749600
2017-06-01,119.35,120.13,117.36,120.13,103.57,1679800
2017-06-02,118.93,119.88,117.73,119.16,102.74,2253600
2017-06-05,119.46,120.21,118.49,118.58,102.24,1695500
2017-06-06,117.59,118.68,117.06,118.15,101.87,1764100
2017-06-07,118.6,120.2,118.24,119.9,103.37,1434600
2017-06-08,119.9,122.29,119.41,121.01,104.33,3149100
2017-06-09,121.79,123.77,121.79,123.17,106.19,2105400
2017-06-12,123.18,124.1,121.86,122.84,105.91,2944500
2017-06-13,123.39,124.24,122.75,123.81,106.75,2242200
2017-06-14,122.79,124.1,121.55,123.97,106.88,1952600
2017-06-15,123.28,124.57,122.64,122.97,106.02,1723300
2017-06-16,122.86,123.1,121.9,122.51,105.62,2255000
2017-06-19,123.55,124.58,123.08,123.79,106.73,1868200
2017-06-20,123.67,123.93,122.95,122.99,106.04,1851300
2017-06-21,123.5,123.5,121.77,122.33,105.47,1793500
2017-06-22,121.86,122.17,120.34,120.76,104.12,1872100
2017-06-23,121.51,121.51,118.89,119.55,103.07,2689500
2017-06-26,119.99,120.97,119.41,120.38,103.79,2315900
2017-06-27,121.32,122.89,120.92,121.12,104.43,1871200
2017-06-28,122.19,123.76,122.03,123.4,106.39,2580900
2017-06-29,126.63,128.25,124.19,125.25,107.99,2670700
2017-06-30,126.0,126.06,124.4,124.87,107.66,1669900
2017-07-03,125.65,126.54,125.24,126.0,108.63,1589900
2017-07-05,125.98,126.52,124.84,126.08,108.7,2496000
2017-07-06,126.15,127.83,125.8,126.01,108.64,1763100
2017-07-07,126.96,126.96,125.06,126.54,109.1,1842000
2017-07-10,126.16,127.69,125.95,127.2,109.67,2178700
2017-07-11,127.35,127.8,126.34,127.39,109.83,2663300
2017-07-12,126.98,127.59,126.48,127.22,109.69,1975500
2017-07-13,126.93,127.98,125.92,127.32,110.42,3160100
2017-07-14,125.9,127.55,124.94,127.17,110.29,2437200
2017-07-17,127.04,128.25,126.77,127.36,110.46,2321400
2017-07-18,126.29,127.19,125.1,125.57,108.9,2891200
2017-07-19,126.07,126.81,125.42,126.4,109.62,1966100
2017-07-20,126.39,127.62,126.22,126.95,110.1,2158400
2017-07-21,126.41,127.37,125.88,126.24,109.49,1445300
2017-07-24,126.24,127.43,126.14,127.14,110.27,1495400
2017-07-25,129.39,130.0,128.87,129.33,112.17,2977400
2017-07-26,129.17,129.55,126.79,127.36,110.46,2554700
2017-07-27,127.28,128.2,126.73,127.67,110.73,2478700
2017-07-28,127.57,128.02,126.78,127.65,110.71,1568000
2017-07-31,127.91,129.28,127.46,128.8,111.71,2013200
2017-08-01,129.59,130.41,129.15,130.41,113.1,2392700
2017-08-02,130.63,130.93,129.8,130.68,113.34,2055900
2017-08-03,130.5,130.99,129.89,130.51,113.19,2312200
2017-08-04,131.31,132.67,130.91,132.17,114.63,2399600
2017-08-07,131.94,132.2,130.51,131.11,113.71,2516900
2017-08-08,130.6,133.26,130.6,132.36,114.79,2802900
2017-08-09,131.66,132.19,130.91,131.73,114.25,2246800
2017-08-10,130.4,131.23,128.6,128.99,111.87,2652000
2017-08-11,128.72,129.78,127.64,128.05,111.06,2931700
2017-08-14,129.42,131.42,128.96,130.9,113.53,2249600
2017-08-15,131.77,132.29,130.19,130.34,113.04,2615700
2017-08-16,130.92,131.14,129.26,130.1,112.83,3122900
2017-08-17,129.58,129.84,127.18,127.3,110.41,2770600
2017-08-18,126.65,128.12,126.15,127.11,110.24,1511700
2017-08-21,127.34,127.34,126.42,126.6,109.8,1376100
2017-08-22,126.89,127.84,126.89,127.51,110.59,1216500
