Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,85.83,86.63,85.83,86.44,71.63,669100
2017-05-25,86.55,87.62,86.24,87.46,72.48,723000
2017-05-26,87.42,87.8,87.24,87.4,72.43,524200
2017-05-30,87.4,87.78,87.23,87.72,72.69,759000
2017-05-31,87.88,88.65,87.83,88.35,73.21,930100
2017-06-01,88.3,89.05,87.91,89.03,73.78,602100
2017-06-02,89.56,89.56,88.85,89.22,73.93,343600
2017-06-05,89.23,89.23,88.32,88.36,73.22,465300
2017-06-06,88.59,88.6,87.92,87.96,72.89,748600
2017-06-07,88.12,88.43,87.77,88.06,72.97,829400
2017-06-08,88.06,88.09,87.12,87.85,72.8,722200
2017-06-09,87.78,88.25,87.28,87.99,72.91,884100
2017-06-12,87.99,88.39,87.45,87.45,72.47,525700
2017-06-13,87.44,87.67,86.92,87.5,72.51,645500
2017-06-14,88.26,88.73,87.76,88.06,72.97,851400
2017-06-15,87.99,88.68,87.65,88.64,73.45,573000
2017-06-16,88.46,89.06,88.35,88.92,73.69,1175200
2017-06-19,89.01,89.01,88.41,88.7,73.5,675500
2017-06-20,88.74,89.12,88.68,88.81,73.59,565900
2017-06-21,88.98,88.98,88.3,88.6,73.42,846900
2017-06-22,88.4,88.73,88.06,88.17,73.06,528300
2017-06-23,88.18,88.49,87.7,87.84,72.79,1085400
2017-06-26,88.0,88.71,87.64,88.2,73.09,653000
2017-06-27,87.9,88.04,87.21,87.3,72.34,487000
2017-06-28,87.65,87.78,86.42,86.51,71.69,1013500
2017-06-29,86.03,86.05,84.93,85.19,70.59,1688800
2017-06-30,85.18,85.71,85.03,85.16,70.57,1062600
2017-07-03,85.4,85.87,84.82,84.82,70.29,405000
2017-07-05,85.01,85.04,84.24,84.64,70.14,755500
2017-07-06,84.47,84.63,84.14,84.36,69.91,496800
2017-07-07,84.36,84.96,84.29,84.67,70.16,466300
2017-07-10,84.72,84.92,84.17,84.2,69.77,494200
2017-07-11,84.26,84.56,83.95,84.35,69.9,401600
2017-07-12,84.93,85.34,84.86,85.09,70.51,634200
2017-07-13,84.98,85.17,84.48,84.72,70.2,851100
2017-07-14,85.22,85.68,84.87,85.13,70.54,791100
2017-07-17,85.33,85.57,84.95,85.56,70.9,626700
2017-07-18,85.76,85.92,85.23,85.76,71.07,690600
2017-07-19,85.86,86.08,85.68,86.01,71.27,448500
2017-07-20,86.25,86.76,86.12,86.56,71.73,542300
2017-07-21,86.6,87.25,86.33,87.23,72.28,531400
2017-07-24,87.25,87.38,86.48,86.48,71.66,601200
2017-07-25,86.46,86.65,85.89,86.1,71.35,497800
2017-07-26,86.04,86.89,85.93,86.89,72.0,696100
2017-07-27,86.76,87.09,86.47,86.96,72.06,526200
2017-07-28,86.4,86.81,85.75,86.14,71.92,339100
2017-07-31,86.18,86.91,86.17,86.73,72.42,951000
2017-08-01,86.8,87.29,86.55,87.13,72.75,541900
2017-08-02,87.09,87.62,86.62,87.24,72.84,759600
2017-08-03,86.35,88.8,85.35,88.72,74.08,939900
2017-08-04,88.54,88.95,87.99,88.06,73.53,735000
2017-08-07,88.2,88.63,87.95,88.59,73.97,1096400
2017-08-08,88.38,88.81,88.06,88.73,74.09,719700
2017-08-09,88.85,88.85,88.25,88.32,73.74,691800
2017-08-10,88.33,89.11,87.98,88.97,74.29,499100
2017-08-11,88.87,88.95,87.98,88.53,73.92,437700
2017-08-14,88.9,89.15,88.42,88.84,74.18,702100
2017-08-15,88.53,89.26,88.52,89.23,74.5,584500
2017-08-16,89.32,89.79,88.75,89.62,74.83,364900
2017-08-17,89.63,89.91,88.84,88.88,74.21,358800
2017-08-18,88.78,89.7,88.41,89.29,74.55,629300
2017-08-21,89.43,89.57,88.63,89.2,74.48,1105100
2017-08-22,89.12,89.61,88.69,89.48,74.71,693200
2017-08-23,89.5,90.01,89.14,89.92,75.08,511700
2017-08-24,89.86,90.33,89.64,89.9,75.06,520700
2017-08-25,90.1,90.41,89.82,90.02,75.16,597400
2017-08-28,90.21,90.47,89.96,90.44,75.51,595300
2017-08-29,90.59,90.87,90.31,90.41,75.49,347800
2017-08-30,90.23,90.62,89.94,89.99,75.14,500600
2017-08-31,90.09,90.26,89.86,89.97,75.12,559300
2017-09-01,90.14,90.19,89.46,89.86,75.03,442700
2017-09-05,89.84,89.98,89.4,89.69,74.89,653300
2017-09-06,89.86,89.86,88.98,89.0,74.31,523000
2017-09-07,89.16,89.62,88.94,89.54,74.76,594200
2017-09-08,89.59,90.16,89.19,90.01,75.15,491700
2017-09-11,89.94,90.92,89.65,90.75,75.77,547000
2017-09-12,90.73,90.86,88.66,88.91,74.24,467300
2017-09-13,88.85,89.22,88.1,88.12,73.58,612300
2017-09-14,88.03,88.98,87.79,88.97,74.29,532800
2017-09-15,89.1,89.33,88.27,89.27,74.54,1442100
2017-09-18,89.19,89.29,87.77,88.34,73.76,795700
2017-09-19,88.34,88.44,87.9,88.28,73.71,635300
2017-09-20,88.4,88.59,86.84,87.3,72.89,694200
2017-09-21,87.25,87.7,86.97,87.12,72.74,355900
2017-09-22,87.28,87.28,86.14,86.15,71.93,515900
2017-09-25,86.07,87.04,85.85,86.85,72.52,418800
2017-09-26,86.83,87.17,86.47,86.48,72.21,683300
2017-09-27,85.95,86.27,83.95,84.76,70.77,754300
2017-09-28,84.61,85.1,84.21,84.91,70.9,673600
2017-09-29,84.73,85.0,84.19,84.56,70.6,662900
2017-10-02,84.76,85.52,84.67,85.29,71.21,999800
2017-10-03,85.35,85.35,84.14,85.0,70.97,850600
2017-10-04,85.05,85.85,84.81,85.78,71.62,1026300
2017-10-05,85.84,85.89,85.21,85.55,71.43,881100
2017-10-06,85.22,85.5,84.77,85.33,71.25,833300
2017-10-09,85.5,85.7,85.23,85.37,71.28,330400
2017-10-10,85.52,86.03,85.17,85.8,71.64,789400
2017-10-11,85.74,86.83,85.74,86.4,72.14,748600
2017-10-12,86.48,87.44,86.48,87.31,72.9,956100
2017-10-13,87.53,88.04,87.0,87.38,72.96,950600
2017-10-16,87.23,87.88,86.79,87.27,72.87,689500
2017-10-17,87.02,88.03,87.02,87.76,73.28,649900
2017-10-18,87.57,87.88,87.2,87.34,72.93,771900
2017-10-19,87.62,88.57,87.56,88.57,73.95,595700
2017-10-20,88.49,88.84,88.17,88.78,74.13,593400
2017-10-23,88.94,89.0,88.51,88.81,74.15,647500
2017-10-24,88.68,88.83,88.01,88.43,73.84,629800
2017-10-25,88.22,88.47,87.04,88.25,73.69,520200
2017-10-26,88.71,89.22,88.09,88.14,73.59,709900
2017-10-27,88.01,88.95,87.54,88.91,74.24,550000
2017-10-30,88.9,88.9,88.18,88.22,73.66,539000
2017-10-31,87.47,88.05,87.11,87.71,73.82,704200
2017-11-01,87.91,88.22,87.16,87.46,73.61,663100
2017-11-02,87.63,88.34,87.44,87.92,73.99,596900
2017-11-03,86.6,89.21,86.23,89.12,75.0,920700
2017-11-06,89.02,89.49,88.7,88.91,74.83,819500
2017-11-07,88.82,89.78,88.79,89.72,75.51,1010400
2017-11-08,89.67,90.0,89.02,89.79,75.57,639800
2017-11-09,89.49,89.99,89.2,89.39,75.23,591000
2017-11-10,89.0,89.04,88.14,88.34,74.35,731400
2017-11-13,88.28,89.94,88.28,89.79,75.57,676900
2017-11-14,89.62,91.76,89.45,91.71,77.18,1153600
2017-11-15,91.86,92.48,90.7,90.78,76.4,697600
2017-11-16,90.69,91.0,90.14,90.78,76.4,567300
2017-11-17,90.58,91.14,89.84,90.05,75.79,490300
2017-11-20,90.08,90.25,89.33,89.35,75.2,440100
2017-11-21,89.48,89.98,89.12,89.38,75.22,774700
2017-11-22,89.37,89.69,88.93,89.28,75.14,468300
2017-11-24,89.44,89.65,89.31,89.52,75.34,148300
2017-11-27,89.59,90.05,89.23,90.01,75.75,627500
2017-11-28,90.36,90.9,90.28,90.78,76.4,634000
2017-11-29,90.59,91.64,90.31,91.01,76.59,527000
2017-11-30,91.01,92.02,90.75,91.81,77.27,1174800
2017-12-01,92.03,92.3,90.79,91.01,76.59,590800
2017-12-04,91.19,91.52,90.01,90.21,75.92,836900
2017-12-05,90.31,90.31,88.66,89.34,75.19,623000
2017-12-06,89.53,90.28,89.1,89.91,75.67,496800
