Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,119.29,120.0,118.49,119.12,113.41,81700
2017-05-25,119.34,120.79,119.17,120.49,114.71,86700
2017-05-26,120.41,120.98,119.99,120.29,114.52,71500
2017-05-30,120.15,120.3,118.78,119.21,113.49,148400
2017-05-31,119.5,119.5,118.11,119.13,113.41,156900
2017-06-01,119.1,120.69,118.58,120.6,114.81,160700
2017-06-02,120.57,122.64,120.57,122.45,116.58,112100
2017-06-05,122.05,123.42,121.74,122.49,116.61,225300
2017-06-06,122.28,122.28,118.76,118.9,113.2,204000
2017-06-07,119.26,121.23,118.53,121.09,115.28,238500
2017-06-08,120.93,122.49,119.32,120.26,114.49,125000
2017-06-09,119.78,120.19,118.77,118.95,113.24,133800
2017-06-12,119.08,120.29,119.08,119.96,114.2,105800
2017-06-13,121.0,122.81,120.32,121.56,115.73,148800
2017-06-14,121.54,122.31,121.0,121.63,115.79,132100
2017-06-15,120.7,122.01,120.06,121.95,116.1,82800
2017-06-16,121.41,122.07,120.26,121.37,115.55,316800
2017-06-19,121.81,123.8,121.46,123.13,117.22,117700
2017-06-20,123.11,124.26,122.96,123.76,117.82,205100
2017-06-21,123.88,124.19,122.48,123.36,117.44,174200
2017-06-22,123.07,123.07,119.63,120.15,114.39,190400
2017-06-23,119.84,123.09,119.43,122.6,116.72,234200
2017-06-26,123.24,123.7,121.55,121.83,115.99,134500
2017-06-27,121.72,122.62,118.3,118.5,112.81,246400
2017-06-28,119.07,120.96,118.63,119.49,113.76,224100
2017-06-29,119.54,120.74,117.47,117.97,112.31,196100
2017-06-30,117.98,118.8,117.5,117.57,111.93,206600
2017-07-03,120.9,120.9,118.0,120.03,114.27,171100
2017-07-05,119.98,121.91,119.53,121.07,115.26,246900
2017-07-06,120.38,121.6,119.82,120.35,114.58,269800
2017-07-07,120.6,121.09,120.0,120.26,114.49,158700
2017-07-10,120.28,120.92,118.45,118.53,112.84,196000
2017-07-11,118.88,119.97,118.34,119.87,114.12,147700
2017-07-12,120.54,120.89,118.75,118.86,113.16,190100
2017-07-13,119.23,119.55,117.03,117.48,111.84,268200
2017-07-14,117.55,118.31,115.66,116.38,110.8,507900
2017-07-17,116.21,118.53,116.21,118.09,112.42,314900
2017-07-18,117.73,118.71,116.94,117.89,112.23,292900
2017-07-19,118.19,118.97,117.44,117.87,112.21,381000
2017-07-20,110.0,114.0,105.57,106.75,101.63,1532800
2017-07-21,106.71,107.4,104.57,105.84,100.76,615400
2017-07-24,106.25,110.96,106.02,108.27,103.08,669200
2017-07-25,107.67,109.24,106.52,106.67,101.55,723500
2017-07-26,106.98,109.77,106.57,108.96,103.73,523600
2017-07-27,109.48,109.48,108.0,109.26,104.02,313600
2017-07-28,108.71,110.0,108.02,108.24,103.05,269200
2017-07-31,108.2,109.2,108.03,108.12,102.93,257300
2017-08-01,108.28,109.01,107.26,108.15,102.96,288000
2017-08-02,108.0,108.6,107.01,107.7,102.53,232800
2017-08-03,107.6,108.04,106.68,106.91,101.78,221200
2017-08-04,107.31,109.14,106.7,109.02,103.79,246200
2017-08-07,108.73,108.9,107.57,107.61,102.8,237600
2017-08-08,107.67,108.47,106.82,107.86,103.03,299600
