Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,39.35,39.65,39.35,39.57,30.44,2542700
2017-05-25,39.55,39.94,39.52,39.9,30.7,2125500
2017-05-26,39.84,40.0,39.8,39.86,30.66,2144800
2017-05-30,39.87,39.94,39.78,39.87,30.67,2199600
2017-05-31,39.91,40.1,39.65,39.91,30.7,5623000
2017-06-01,39.72,39.97,39.67,39.96,30.74,3754500
2017-06-02,40.19,40.2,39.87,40.06,30.82,3490700
2017-06-05,40.09,40.17,39.92,40.02,30.79,2370300
2017-06-06,40.13,40.2,39.87,39.9,30.7,3444000
2017-06-07,39.61,39.8,39.55,39.66,30.82,4639900
2017-06-08,39.66,39.66,39.1,39.41,30.62,3708200
2017-06-09,39.23,39.35,38.95,39.2,30.46,3896200
2017-06-12,39.2,39.38,38.88,38.88,30.21,4988500
2017-06-13,38.93,39.05,38.82,38.98,30.29,2877800
2017-06-14,39.27,39.45,39.2,39.29,30.53,3878700
2017-06-15,39.24,39.52,39.12,39.44,30.64,2869000
2017-06-16,39.57,39.7,39.4,39.49,30.68,6182000
2017-06-19,39.55,39.7,39.37,39.58,30.75,3057300
2017-06-20,39.52,39.56,39.3,39.34,30.57,2891800
2017-06-21,39.3,39.42,38.85,39.39,30.61,4945200
2017-06-22,39.3,39.38,38.98,39.02,30.32,2874400
2017-06-23,39.0,39.14,38.7,38.83,30.17,3576800
2017-06-26,38.99,39.48,38.83,39.29,30.53,3743300
2017-06-27,39.15,39.33,38.91,39.02,30.32,3035600
2017-06-28,39.17,39.41,38.79,38.84,30.18,3207500
2017-06-29,38.66,38.78,38.44,38.66,30.04,3726100
2017-06-30,38.74,38.92,38.65,38.66,30.04,3114200
2017-07-03,38.8,38.84,38.24,38.28,29.74,1989300
2017-07-05,38.36,38.37,38.06,38.29,29.75,3263400
2017-07-06,38.18,38.28,37.93,38.03,29.55,3622500
2017-07-07,38.03,38.29,38.0,38.07,29.58,2333600
2017-07-10,38.19,38.32,37.91,37.94,29.48,3817000
2017-07-11,38.0,38.06,37.54,37.76,29.34,3229400
2017-07-12,37.98,38.08,37.69,37.8,29.37,4301100
2017-07-13,37.74,37.8,37.44,37.44,29.09,2511200
2017-07-14,37.72,37.73,37.19,37.36,29.03,6090500
2017-07-17,37.38,37.71,37.32,37.67,29.27,2997500
2017-07-18,37.71,37.85,37.58,37.69,29.28,2286900
2017-07-19,38.5,38.5,38.07,38.12,29.62,5476700
2017-07-20,38.12,38.31,37.96,38.24,29.71,4100000
2017-07-21,38.23,38.58,38.13,38.55,29.95,2791600
2017-07-24,38.51,38.7,38.28,38.4,29.84,3767800
2017-07-25,38.43,38.48,37.91,37.97,29.5,2248000
2017-07-26,37.94,38.11,37.81,38.09,29.6,2871000
2017-07-27,38.01,38.25,37.88,38.12,29.62,3185800
2017-07-28,38.12,38.2,37.86,38.18,29.67,2988900
2017-07-31,38.2,38.41,38.06,38.33,29.78,3391100
2017-08-01,38.4,38.81,38.39,38.61,30.0,3314900
2017-08-02,38.48,38.96,38.35,38.96,30.27,3731200
2017-08-03,38.42,39.18,38.35,39.11,30.39,3207900
2017-08-04,38.99,39.07,38.66,38.79,30.14,2562000
2017-08-07,38.7,38.85,38.66,38.83,30.17,1581100
2017-08-08,38.74,38.85,38.69,38.83,30.17,1863600
2017-08-09,38.87,38.9,38.56,38.6,29.99,3095100
2017-08-10,38.61,38.83,38.47,38.75,30.11,1877100
2017-08-11,38.74,38.84,38.39,38.49,29.91,1661700
2017-08-14,38.57,38.71,38.46,38.67,30.05,2343500
2017-08-15,38.53,38.94,38.51,38.92,30.24,1778600
2017-08-16,38.89,39.14,38.82,39.05,30.34,1868100
2017-08-17,39.06,39.16,38.8,38.82,30.16,2235100
2017-08-18,38.83,39.04,38.66,38.92,30.24,2413000
2017-08-21,38.86,39.01,38.74,38.94,30.26,1598600
2017-08-22,38.89,39.04,38.8,39.04,30.33,3073700
2017-08-23,39.01,39.55,38.89,39.52,30.71,3034300
2017-08-24,39.47,39.56,39.34,39.5,30.69,2133900
2017-08-25,39.56,39.81,39.5,39.59,30.76,1597300
2017-08-28,39.61,39.68,39.3,39.53,30.71,2119900
2017-08-29,39.59,39.65,39.36,39.38,30.6,1443900
2017-08-30,39.27,39.42,39.11,39.18,30.44,1825100
2017-08-31,39.26,39.32,39.17,39.24,30.49,2086200
2017-09-01,39.32,39.4,38.99,39.11,30.39,1797100
2017-09-05,39.17,39.17,38.9,39.17,30.43,2270300
2017-09-06,39.26,39.35,39.03,39.12,30.4,3054600
2017-09-07,38.85,39.23,38.65,39.16,30.74,3162400
2017-09-08,39.21,39.66,39.08,39.55,31.04,3090400
2017-09-11,39.53,39.9,39.51,39.83,31.26,3140800
2017-09-12,39.72,39.77,38.82,39.07,30.67,2861500
2017-09-13,39.06,39.06,38.8,38.82,30.47,3443000
2017-09-14,38.83,39.19,38.65,39.12,30.71,3497700
2017-09-15,39.02,39.32,38.89,39.31,30.86,6445100
2017-09-18,39.31,39.41,38.76,39.11,30.7,3970700
2017-09-19,39.16,39.33,38.99,39.22,30.78,2989400
2017-09-20,39.23,39.34,38.73,38.84,30.49,2693800
2017-09-21,38.87,39.07,38.76,38.81,30.46,1395500
2017-09-22,38.9,38.94,38.41,38.47,30.2,2237400
2017-09-25,38.46,38.84,38.39,38.64,30.33,5187500
2017-09-26,38.58,38.88,38.52,38.74,30.41,4516100
2017-09-27,38.48,38.55,37.61,38.01,29.83,3159700
2017-09-28,37.91,38.27,37.86,38.18,29.97,2346100
2017-09-29,38.21,38.24,37.9,37.95,29.79,2866800
2017-10-02,38.03,38.14,37.63,37.72,29.61,4415400
2017-10-03,37.69,37.71,37.09,37.46,29.4,3652100
2017-10-04,37.5,37.68,37.37,37.65,29.55,4033200
2017-10-05,37.59,37.59,37.2,37.3,29.28,5561800
2017-10-06,37.17,37.36,37.09,37.32,29.29,3318100
2017-10-09,37.28,37.59,37.28,37.43,29.38,2159100
2017-10-10,37.55,37.99,37.44,37.85,29.71,2782900
2017-10-11,37.76,38.26,37.75,37.92,29.76,2463100
2017-10-12,37.9,38.5,37.82,38.37,30.12,2749800
2017-10-13,38.43,38.55,37.48,37.56,29.48,4771300
2017-10-16,37.56,37.7,37.28,37.4,29.36,3628200
2017-10-17,37.41,37.55,37.26,37.48,29.42,3152500
2017-10-18,37.44,37.56,37.33,37.52,29.45,2076700
2017-10-19,37.56,37.89,37.55,37.81,29.68,2768500
2017-10-20,37.76,37.91,37.59,37.75,29.63,3929000
2017-10-23,37.87,38.19,37.71,38.13,29.93,2709400
2017-10-24,37.98,38.08,37.73,37.92,29.76,2789700
2017-10-25,37.82,37.89,37.22,37.69,29.58,4397100
2017-10-26,37.91,38.17,37.67,37.69,29.58,3272600
2017-10-27,37.62,38.0,37.59,37.75,29.63,2093400
2017-10-30,37.75,37.94,37.46,37.49,29.43,3243900
2017-10-31,37.42,37.57,37.26,37.56,29.48,3986900
2017-11-01,37.27,37.35,36.33,36.94,28.99,4070500
2017-11-02,37.02,37.19,36.71,36.9,28.96,3872700
2017-11-03,36.79,37.06,36.74,36.74,28.84,2723400
2017-11-06,36.8,36.84,36.45,36.51,28.66,2883600
2017-11-07,36.58,37.27,36.53,37.21,29.21,2930100
2017-11-08,37.11,37.35,36.82,36.92,28.98,3770800
2017-11-09,36.77,36.94,36.57,36.76,28.85,3696500
2017-11-10,36.55,36.6,36.18,36.29,28.48,3733400
2017-11-13,36.3,36.73,36.29,36.63,28.75,4020100
2017-11-14,36.52,37.1,36.52,37.07,29.1,3840400
2017-11-15,37.15,37.34,36.5,36.55,28.69,3007600
2017-11-16,36.5,36.63,36.1,36.22,28.43,4874600
2017-11-17,36.13,36.44,36.06,36.26,28.46,4348100
2017-11-20,36.26,36.36,35.87,35.91,28.19,3612000
2017-11-21,36.0,36.24,35.98,36.02,28.27,3038900
2017-11-22,36.0,36.1,35.92,36.06,28.3,3221000
2017-11-24,36.24,36.41,36.2,36.31,28.5,1666700
2017-11-27,36.4,36.82,36.25,36.58,28.71,4457600
2017-11-28,36.69,36.99,36.44,36.53,28.67,3829200
2017-11-29,36.49,36.94,36.38,36.61,28.74,2463200
2017-11-30,36.61,36.89,36.52,36.67,28.78,5178400
2017-12-01,36.86,36.99,36.21,36.27,28.47,3115700
2017-12-04,36.36,36.4,35.91,35.96,28.23,3802700
2017-12-05,35.97,35.99,35.22,35.29,27.7,4564400
2017-12-06,35.37,35.55,35.21,35.41,27.79,6528900
2017-12-07,34.98,35.03,34.72,35.02,27.8,5411500
2017-12-08,34.94,34.94,34.37,34.5,27.39,10278600
2017-12-11,34.49,34.71,34.32,34.62,27.48,7836800
2017-12-12,34.55,34.69,34.02,34.04,27.02,5924900
2017-12-13,34.24,34.24,33.87,33.87,26.89,5283500
2017-12-14,33.8,33.9,33.22,33.8,26.83,4260600
2017-12-15,33.75,33.97,33.6,33.97,26.96,11020500
2017-12-18,34.02,34.15,33.88,33.97,26.96,6295400
2017-12-19,33.6,33.7,32.4,32.42,25.73,7650600
2017-12-20,31.86,32.15,31.53,31.59,25.08,19819200
2017-12-21,31.54,31.59,31.11,31.19,24.76,13655400
2017-12-22,31.29,31.39,31.1,31.13,24.71,6771900
2017-12-26,31.13,31.26,30.75,30.76,24.42,5773900
2017-12-27,30.93,31.03,30.74,30.83,24.47,3962700
2017-12-28,30.9,30.98,30.75,30.91,24.54,5862300
2017-12-29,30.91,31.04,30.78,30.95,24.57,3418900
2018-01-02,31.08,31.1,30.44,30.6,24.29,6045400
2018-01-03,30.6,30.77,30.46,30.67,24.34,8222600
2018-01-04,30.65,31.12,30.6,30.75,24.41,8392500
2018-01-05,30.92,31.06,30.74,30.95,24.57,7203000
2018-01-08,30.94,31.43,30.88,31.4,24.92,8892300
2018-01-09,31.37,31.52,31.21,31.33,24.87,7025900
2018-01-10,31.21,31.3,30.85,30.9,24.53,6592200
2018-01-11,30.88,31.0,30.76,30.88,24.51,5507100
2018-01-12,30.82,31.29,30.66,31.08,24.67,6844200
2018-01-16,31.3,31.44,30.95,31.26,24.81,7226500
2018-01-17,31.37,31.74,31.33,31.57,25.06,7016500
2018-01-18,31.8,32.07,31.55,31.61,25.09,6233500
2018-01-19,31.73,32.27,31.54,31.59,25.08,8503800
2018-01-22,31.76,31.9,31.39,31.49,25.0,5516800
2018-01-23,31.62,31.96,31.49,31.77,25.22,6400800
2018-01-24,31.79,32.16,31.67,32.0,25.4,7498800
2018-01-25,32.09,32.28,31.89,32.27,25.61,5497500
2018-01-26,32.4,32.45,31.8,32.01,25.41,5025900
2018-01-29,31.95,31.96,31.51,31.53,25.03,4474400
2018-01-30,31.53,31.72,31.42,31.42,24.94,4241600
2018-01-31,31.48,31.88,31.36,31.87,25.3,6990500
2018-02-01,31.67,31.93,31.21,31.23,24.79,5826500
2018-02-02,31.16,31.37,31.01,31.19,24.76,5091600
2018-02-05,31.18,31.34,30.29,30.3,24.05,6141600
2018-02-06,30.01,30.24,29.21,30.07,23.87,8870900
2018-02-07,30.13,30.66,29.96,30.27,24.03,7250400
2018-02-08,30.22,30.42,29.52,29.52,23.43,6333900
2018-02-09,29.73,30.33,29.4,30.06,23.86,7020800
2018-02-12,30.15,30.64,29.93,30.46,24.18,6192600
2018-02-13,30.38,30.83,30.14,30.7,24.37,3732200
2018-02-14,30.48,30.61,30.25,30.27,24.03,4341400
2018-02-15,30.4,31.1,30.33,31.1,24.69,6232200
2018-02-16,31.21,31.59,31.02,31.45,24.96,5410600
2018-02-20,31.28,31.41,30.71,30.83,24.47,3928000
2018-02-21,30.78,30.97,30.09,30.11,23.9,5528400
2018-02-22,30.31,30.33,29.28,29.52,23.43,11024800
2018-02-23,29.55,30.47,29.52,30.34,24.08,6217200
2018-02-26,30.4,30.44,29.73,29.82,23.67,6145200
2018-02-27,29.85,29.94,29.16,29.17,23.15,8287800
2018-02-28,29.2,29.29,28.64,28.65,22.74,7468700
2018-03-01,28.65,28.98,28.11,28.24,22.42,8240700
2018-03-02,28.23,28.42,27.48,27.73,22.01,6857000
2018-03-05,27.75,28.45,27.61,28.32,22.48,6596500
2018-03-06,28.52,28.52,27.67,27.68,21.97,7402300
2018-03-07,27.61,28.15,27.49,27.62,21.92,12359600
2018-03-08,27.25,27.81,27.12,27.77,22.38,8507400
2018-03-09,27.75,27.83,27.37,27.54,22.19,7649200
2018-03-12,27.63,28.01,27.58,27.89,22.47,6782700
2018-03-13,27.94,28.02,27.52,27.76,22.37,6193100
2018-03-14,27.8,28.25,27.74,27.93,22.5,6042200
2018-03-15,27.94,28.22,27.53,27.84,22.43,8660300
2018-03-16,27.87,28.3,27.84,28.12,22.66,22574300
2018-03-19,28.13,28.21,27.34,27.41,22.09,10027800
2018-03-20,27.46,27.54,27.22,27.26,21.96,5668900
2018-03-21,27.31,27.64,27.13,27.22,21.93,5081700
2018-03-22,27.2,27.93,27.19,27.32,22.01,6735100
2018-03-23,27.25,27.6,27.08,27.13,21.86,6066200
2018-03-26,27.23,27.54,27.19,27.45,22.12,5944600
2018-03-27,27.45,28.15,27.27,27.9,22.48,6989400
2018-03-28,27.99,28.48,27.97,28.17,22.7,7166000
2018-03-29,28.18,28.55,28.18,28.29,22.79,6736800
2018-04-02,28.49,28.75,27.82,28.06,22.61,7157800
2018-04-03,28.13,28.2,27.88,28.03,22.58,5619200
2018-04-04,27.97,28.03,27.54,27.85,22.44,5735500
2018-04-05,27.77,28.23,27.36,28.0,22.56,6335200
2018-04-06,28.0,28.18,27.88,27.93,22.5,5652700
2018-04-09,27.93,28.4,27.81,28.15,22.68,5029700
2018-04-10,28.08,28.13,27.54,27.69,22.31,6130300
2018-04-11,27.69,28.04,27.65,27.93,22.5,3891700
2018-04-12,27.87,27.91,27.35,27.54,22.19,6017200
2018-04-13,27.6,28.03,27.6,27.79,22.39,4094600
2018-04-16,27.88,28.11,27.63,28.06,22.61,7695000
2018-04-17,28.08,28.46,27.98,28.36,22.85,4860600
2018-04-18,28.46,28.65,28.19,28.19,22.71,3436000
2018-04-19,28.16,28.28,27.96,28.28,22.79,4185500
2018-04-20,28.25,28.35,27.78,27.89,22.47,3717200
2018-04-23,28.0,28.33,27.85,28.08,22.62,4663300
2018-04-24,28.21,28.66,28.15,28.5,22.96,5748300
2018-04-25,28.44,28.64,28.24,28.64,23.08,5106000
2018-04-26,28.65,28.93,28.51,28.84,23.24,6271400
2018-04-27,28.78,29.24,28.63,29.0,23.37,4231900
2018-04-30,29.21,29.71,29.05,29.1,23.45,9177900
2018-05-01,29.15,29.21,28.76,28.84,23.24,6173700
2018-05-02,28.76,28.92,28.6,28.69,23.12,5402800
2018-05-03,28.69,28.9,27.88,28.65,23.08,6773900
2018-05-04,28.72,29.13,28.68,28.95,23.33,6158300
2018-05-07,28.96,29.0,28.52,28.58,23.03,4365000
2018-05-08,28.41,28.44,27.44,27.45,22.12,6584500
2018-05-09,27.7,28.15,27.55,27.89,22.47,24093000
2018-05-10,28.06,28.2,27.66,28.18,22.71,9063900
2018-05-11,28.25,28.3,27.8,27.82,22.42,5356300
2018-05-14,27.88,27.89,27.47,27.65,22.28,5588900
