Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,105.59,105.59,104.54,104.96,83.77,1418700
2017-05-25,105.31,106.2,105.06,106.02,84.62,1008900
2017-05-26,105.61,106.01,104.92,105.07,83.86,1668000
2017-05-30,104.62,105.0,104.28,104.86,83.69,1069000
2017-05-31,105.0,105.02,103.4,104.85,83.69,1890800
2017-06-01,105.59,106.72,104.56,106.7,85.16,2031500
2017-06-02,105.63,106.95,105.35,106.42,84.94,1899400
2017-06-05,106.31,106.66,105.54,105.57,84.26,1329700
2017-06-06,104.5,104.68,102.92,103.2,82.37,2070400
2017-06-07,103.25,103.86,102.03,103.55,82.65,1765400
2017-06-08,103.55,106.36,103.55,105.41,84.13,2339500
2017-06-09,106.13,107.92,106.02,107.75,86.0,2032600
2017-06-12,107.75,108.91,107.75,108.36,86.49,2088700
2017-06-13,108.79,109.05,107.8,108.05,86.24,5447700
2017-06-14,107.11,108.31,105.76,108.1,86.28,2215900
2017-06-15,107.28,108.47,106.94,108.28,86.42,1699000
2017-06-16,108.59,108.67,107.63,107.71,85.97,2290100
2017-06-19,108.47,108.88,108.13,108.48,86.58,1170300
2017-06-20,108.0,108.34,107.33,107.43,85.74,1035200
2017-06-21,107.62,107.63,104.59,104.89,83.72,2096000
2017-06-22,104.59,104.59,103.15,103.31,82.46,1925500
2017-06-23,103.61,103.94,102.96,103.36,82.5,2599200
2017-06-26,103.94,104.64,102.49,103.67,82.74,2149200
2017-06-27,104.01,106.04,103.7,104.6,83.49,1677900
2017-06-28,105.62,107.48,105.62,107.26,85.61,2270700
2017-06-29,109.0,109.75,107.29,108.38,86.5,2923600
2017-06-30,109.12,109.37,108.06,108.14,86.31,2152800
2017-07-03,109.04,111.38,109.04,110.18,87.94,1923300
2017-07-05,110.42,110.57,109.51,110.22,87.97,2026100
2017-07-06,110.39,112.72,110.0,110.8,88.43,3178500
2017-07-07,111.26,111.67,110.26,111.36,88.88,1935800
2017-07-10,111.08,111.82,111.01,111.34,88.87,1205200
2017-07-11,111.46,111.6,110.34,110.65,88.31,1063500
2017-07-12,110.56,111.28,110.17,111.21,88.76,1382200
2017-07-13,111.28,112.14,111.04,111.93,89.34,1193500
2017-07-14,110.55,111.83,109.91,111.41,88.92,1363100
2017-07-17,111.28,111.62,110.45,111.28,88.82,985400
2017-07-18,110.45,111.23,110.02,110.6,88.27,1437000
2017-07-19,110.36,111.71,110.21,111.3,88.83,1451700
2017-07-20,111.6,111.96,110.83,111.06,88.64,1339600
2017-07-21,110.9,111.83,110.6,111.74,89.18,1357800
2017-07-24,111.58,112.38,111.43,112.13,89.5,1059300
2017-07-25,113.66,114.1,113.2,113.52,90.61,1002600
2017-07-26,113.62,113.88,111.89,112.19,89.54,1019300
2017-07-27,112.4,113.31,112.04,112.74,89.98,1015400
2017-07-28,112.77,113.35,112.09,113.2,90.35,955300
2017-07-31,113.64,113.9,113.16,113.23,90.37,1244400
2017-08-01,113.95,114.41,113.03,114.4,91.31,1551600
2017-08-02,113.88,115.26,113.45,115.23,91.97,1984100
2017-08-03,111.5,113.43,109.9,110.27,88.01,4092800
2017-08-04,111.53,113.28,111.11,112.49,89.78,2088200
2017-08-07,112.18,112.52,111.57,111.69,89.14,1373000
2017-08-08,111.46,113.17,111.32,111.48,88.98,1337100
2017-08-09,110.49,110.69,109.28,109.94,87.75,2242400
2017-08-10,109.0,109.3,105.96,106.06,84.65,2665000
2017-08-11,105.78,106.74,105.13,105.69,84.36,2239400
2017-08-14,106.98,107.59,106.71,106.74,85.19,2285900
2017-08-15,107.79,108.56,106.19,106.25,84.8,1572900
2017-08-16,106.35,106.88,104.85,105.21,83.97,2300100
2017-08-17,104.85,104.96,102.59,102.66,81.94,3119200
2017-08-18,101.77,102.52,101.21,101.95,81.97,3523200
2017-08-21,102.25,102.27,100.54,101.08,81.27,1680200
2017-08-22,101.61,102.13,101.27,101.9,81.93,1613300
2017-08-23,101.12,102.08,101.01,101.1,81.29,1491100
2017-08-24,101.7,102.29,101.42,101.69,81.76,1724800
2017-08-25,102.13,103.05,101.89,102.82,82.67,2069100
2017-08-28,102.89,103.13,102.41,102.68,82.56,1375700
2017-08-29,101.3,101.68,100.9,101.32,81.46,1754000
2017-08-30,101.82,102.49,101.28,102.14,82.12,1744000
2017-08-31,102.52,102.61,101.97,102.08,82.07,2214400
2017-09-01,102.34,103.69,102.11,103.15,82.93,1199000
2017-09-05,102.45,102.56,100.43,100.74,81.0,1939900
2017-09-06,101.05,101.83,100.5,100.58,80.87,2074200
2017-09-07,100.63,100.63,98.21,98.65,79.32,2746100
2017-09-08,98.35,99.67,97.88,98.91,79.53,1839800
2017-09-11,100.26,101.74,100.16,100.93,81.15,2545700
2017-09-12,101.48,102.59,101.33,102.18,82.15,2101400
2017-09-13,102.02,102.66,101.75,102.36,82.3,1618800
2017-09-14,102.41,102.85,101.85,101.97,81.99,2061100
2017-09-15,101.91,102.83,101.55,102.78,82.64,2944500
2017-09-18,103.15,103.86,103.0,103.38,83.12,2170200
2017-09-19,103.35,104.64,103.09,104.31,83.87,1649200
2017-09-20,104.46,105.78,103.66,105.17,84.56,1984800
2017-09-21,105.02,105.9,104.78,104.78,84.24,2138800
2017-09-22,104.29,105.34,104.18,105.0,84.42,1789600
2017-09-25,104.86,105.84,104.51,105.36,84.71,1865900
2017-09-26,105.29,106.06,104.97,105.94,85.18,1744500
2017-09-27,107.32,107.59,106.63,106.78,85.85,1972200
2017-09-28,106.81,106.98,105.46,106.0,85.23,1185700
2017-09-29,106.0,106.62,105.72,106.32,85.48,1227300
2017-10-02,106.91,107.48,106.25,107.28,86.25,1303900
2017-10-03,107.27,107.9,106.76,107.84,86.71,1766700
2017-10-04,107.87,108.3,107.45,107.85,86.71,1117000
2017-10-05,107.99,109.74,107.66,109.26,87.85,1427200
2017-10-06,109.68,110.68,108.87,109.65,88.16,1708400
2017-10-09,109.85,110.07,108.88,109.06,87.69,867700
2017-10-10,109.21,110.16,109.08,110.0,88.44,1564700
2017-10-11,109.66,110.3,109.37,110.01,88.45,1484300
2017-10-12,110.15,110.15,109.14,109.35,87.92,1149100
2017-10-13,109.38,109.8,108.82,109.11,87.73,1336700
2017-10-16,109.42,110.07,109.26,109.37,87.94,1543200
2017-10-17,109.7,109.95,108.34,108.79,87.47,1605700
2017-10-18,109.34,109.34,108.41,108.89,87.55,1518800
2017-10-19,108.28,109.66,108.13,109.6,88.12,1281300
2017-10-20,110.65,111.32,110.13,110.78,89.07,1518600
2017-10-23,110.78,111.49,110.59,110.79,89.08,1048600
2017-10-24,111.5,112.51,111.25,112.17,90.19,1616400
2017-10-25,112.17,112.43,110.73,111.25,89.45,2008800
2017-10-26,111.59,112.64,111.57,111.89,89.96,1205300
2017-10-27,111.45,112.16,111.09,112.02,90.07,1091400
2017-10-30,111.49,112.06,111.23,111.6,89.73,1818800
2017-10-31,111.63,111.95,110.42,110.46,88.81,1564600
2017-11-01,110.98,112.13,110.37,110.58,88.91,1793500
2017-11-02,111.65,113.34,110.41,112.94,90.81,2352400
2017-11-03,112.71,112.98,111.55,111.84,89.92,1985100
2017-11-06,111.68,112.75,111.49,112.39,90.36,1416900
2017-11-07,112.72,113.97,111.41,111.94,90.0,1629000
2017-11-08,111.93,113.02,111.32,112.44,90.4,1966400
2017-11-09,111.9,113.11,111.27,111.95,90.01,1722300
2017-11-10,112.02,112.28,110.65,110.72,89.02,1805400
2017-11-13,109.9,111.27,109.48,110.44,88.8,1614500
2017-11-14,109.66,109.95,109.26,109.56,88.09,1794600
2017-11-15,108.29,112.63,108.04,110.22,88.62,2026700
2017-11-16,110.84,111.55,110.31,110.37,88.74,1857600
2017-11-17,109.81,110.96,109.61,110.25,88.64,1232700
2017-11-20,110.42,110.6,109.92,110.02,88.46,1661800
2017-11-21,110.46,110.58,109.94,110.06,88.49,1271600
2017-11-22,110.23,110.64,109.48,109.7,88.2,1252600
2017-11-24,109.49,109.53,108.86,108.92,88.18,575700
2017-11-27,109.06,109.87,109.06,109.51,88.65,1512900
2017-11-28,109.93,113.0,109.7,112.83,91.34,2626000
2017-11-29,113.77,117.08,113.27,115.87,93.8,2742900
2017-11-30,116.89,117.59,115.28,115.84,93.78,3784300
2017-12-01,116.0,116.2,112.41,115.4,93.42,1664500
2017-12-04,117.14,117.99,116.73,116.76,94.52,1789300
2017-12-05,117.16,117.38,115.34,115.51,93.51,1302100
2017-12-06,115.35,116.23,115.21,115.38,93.41,1247800
2017-12-07,114.92,116.68,114.76,116.33,94.17,1035900
2017-12-08,116.86,117.2,116.19,117.15,94.84,1184200
2017-12-11,117.02,117.25,115.75,116.26,94.12,1460100
2017-12-12,116.68,117.0,115.57,116.39,94.22,1841600
2017-12-13,116.08,116.37,113.93,113.95,92.25,1759700
2017-12-14,114.32,115.74,113.93,114.47,92.67,1981800
2017-12-15,115.41,116.75,115.19,115.73,93.69,2849800
2017-12-18,116.89,116.99,115.26,116.12,94.0,2007500
2017-12-19,117.0,117.46,116.6,116.86,94.6,1578200
2017-12-20,117.61,118.17,116.98,117.11,94.81,2139500
2017-12-21,117.72,118.09,116.68,116.74,94.51,1859100
2017-12-22,117.4,117.46,115.85,116.16,94.04,1011200
2017-12-26,116.34,116.71,115.46,115.65,93.62,670400
2017-12-27,115.69,115.7,115.01,115.33,93.37,1341000
2017-12-28,115.59,115.59,114.88,115.2,93.26,979900
2017-12-29,115.62,115.76,114.94,114.98,93.08,1147300
2018-01-02,115.17,115.71,114.53,115.45,93.46,2207100
2018-01-03,115.26,115.91,114.98,115.49,93.49,1449700
2018-01-04,116.04,117.51,115.8,116.51,94.32,1834100
2018-01-05,116.84,117.75,116.21,117.68,95.27,1698500
2018-01-08,117.78,117.83,117.17,117.61,95.21,1501000
2018-01-09,118.0,119.7,117.79,119.0,96.34,2536200
2018-01-10,119.2,122.94,118.95,121.51,98.37,2578900
2018-01-11,122.66,123.78,122.1,123.72,100.16,1878800
2018-01-12,124.24,125.0,123.68,124.12,100.48,1365300
2018-01-16,122.68,124.11,121.54,122.09,98.84,1962200
2018-01-17,122.82,123.86,121.94,123.44,99.93,1287800
2018-01-18,123.83,124.45,123.23,123.31,99.83,1805500
2018-01-19,123.88,124.39,123.27,124.13,100.49,3248500
2018-01-22,124.27,124.47,123.2,124.33,100.65,1507400
2018-01-23,124.33,124.55,123.08,124.2,100.55,1802800
2018-01-24,124.98,125.96,124.39,124.83,101.06,2014700
2018-01-25,125.32,125.4,124.27,124.4,100.71,1691800
2018-01-26,124.75,126.02,124.48,126.02,102.02,1594100
2018-01-29,125.85,127.14,125.17,125.37,101.49,1623400
2018-01-30,123.59,124.13,121.18,121.39,98.27,2421600
2018-01-31,121.64,121.97,118.47,118.82,96.19,3053600
2018-02-01,118.58,120.59,118.38,120.52,97.57,1994400
2018-02-02,119.68,120.38,116.96,117.33,94.98,2017800
2018-02-05,115.94,116.89,110.62,110.79,89.69,2628300
2018-02-06,107.72,111.7,106.51,110.99,89.85,4151700
2018-02-07,110.22,112.51,109.7,111.17,90.0,2262200
2018-02-08,111.25,111.97,103.26,103.38,83.69,4406300
2018-02-09,104.72,107.0,102.1,106.04,85.84,4271400
2018-02-12,108.38,110.45,106.51,107.86,87.32,3459500
2018-02-13,106.84,107.72,106.32,106.89,86.53,2818300
2018-02-14,106.48,111.7,106.4,111.27,90.08,2934800
2018-02-15,112.07,113.03,109.1,109.73,88.83,2354700
2018-02-16,109.33,110.33,109.07,109.43,88.59,2520400
2018-02-20,109.0,109.24,107.9,108.48,88.55,2231400
2018-02-21,108.5,110.36,108.5,108.63,88.67,2468100
2018-02-22,109.16,110.07,107.63,107.79,87.99,2186100
2018-02-23,108.29,109.01,107.28,108.98,88.96,1823100
2018-02-26,109.63,110.54,109.23,110.12,89.89,1919400
2018-02-27,110.0,111.13,108.66,108.69,88.72,2483800
2018-02-28,109.49,109.7,106.28,106.32,86.79,2053200
2018-03-01,106.45,107.49,103.62,103.93,84.83,2785800
2018-03-02,103.83,105.82,102.44,105.6,86.2,2412700
2018-03-05,104.5,107.27,104.15,106.22,86.7,2269900
2018-03-06,106.91,107.81,105.98,107.54,87.78,1560200
2018-03-07,106.03,107.54,105.92,107.31,87.59,1477500
2018-03-08,107.67,107.91,106.0,107.49,87.74,1334500
2018-03-09,108.59,110.36,108.28,110.3,90.03,2392600
2018-03-12,110.36,110.55,109.58,109.89,89.7,3449800
2018-03-13,110.61,111.18,109.29,109.6,89.46,2138600
2018-03-14,110.27,110.27,107.72,108.05,88.2,1813300
2018-03-15,108.55,109.66,108.1,108.49,88.56,1767300
2018-03-16,108.79,109.47,108.25,108.65,88.69,3748900
2018-03-19,108.55,108.94,106.36,107.72,87.93,2075700
2018-03-20,108.36,109.47,108.21,108.9,88.89,1758800
2018-03-21,109.18,110.23,108.8,108.88,88.87,1990200
2018-03-22,107.22,107.93,104.66,105.06,85.76,2364400
2018-03-23,105.5,105.5,100.26,100.64,82.15,2372500
2018-03-26,102.65,105.22,101.7,104.17,85.03,1901500
2018-03-27,104.44,105.25,101.85,102.56,83.72,2324200
2018-03-28,103.02,103.78,101.85,102.9,83.99,2337300
2018-03-29,103.51,104.21,102.75,103.55,84.52,2228200
2018-04-02,103.41,103.55,99.3,100.95,82.4,2625000
2018-04-03,101.87,103.15,100.93,102.83,83.94,2207100
2018-04-04,100.92,104.73,100.76,104.42,85.23,2001900
2018-04-05,105.33,105.85,104.11,104.91,85.63,1675900
2018-04-06,103.65,104.5,101.08,102.33,83.53,1800900
2018-04-09,103.04,104.2,101.77,101.95,83.22,2389500
2018-04-10,103.59,105.24,103.38,104.7,85.46,2516100
2018-04-11,103.5,104.4,102.83,102.96,84.04,1830100
2018-04-12,103.73,105.75,103.52,105.03,85.73,1356700
2018-04-13,105.91,106.0,103.77,104.28,85.12,1274400
2018-04-16,105.31,105.59,104.4,105.08,85.77,1684500
2018-04-17,105.83,106.65,104.55,104.9,85.63,1396000
2018-04-18,105.37,106.36,105.07,105.84,86.39,1414100
2018-04-19,105.76,107.89,105.76,107.07,87.4,1413200
2018-04-20,107.54,107.7,106.4,107.03,87.36,1540300
2018-04-23,107.39,107.92,106.79,107.38,87.65,951700
2018-04-24,108.0,108.92,106.18,107.14,87.45,1189100
2018-04-25,106.74,107.39,105.51,106.77,87.15,1177200
2018-04-26,106.77,107.62,106.13,107.19,87.5,1003000
2018-04-27,106.73,107.83,106.32,107.62,87.85,759500
2018-04-30,108.13,108.48,106.32,106.32,86.79,1685500
2018-05-01,106.0,106.21,104.89,106.11,86.61,1178900
2018-05-02,105.55,105.79,101.05,101.23,82.63,3229300
2018-05-03,101.19,101.77,95.83,97.6,79.67,5736200
2018-05-04,96.98,101.18,96.98,100.66,82.17,2296200
2018-05-07,100.71,101.33,99.78,100.5,82.03,1722600
2018-05-08,100.37,101.57,99.5,100.1,81.71,1592600
2018-05-09,100.56,100.81,99.06,100.13,81.73,2800400
2018-05-10,100.21,100.88,99.11,100.84,82.31,2128000
2018-05-11,100.95,101.46,99.51,99.88,81.53,2641700
2018-05-14,100.31,100.72,99.68,99.87,81.52,1924800
2018-05-15,99.8,101.59,99.66,100.54,82.07,2991200
2018-05-16,100.31,101.73,100.1,101.17,82.58,1893000
2018-05-17,101.05,102.99,100.82,102.61,83.76,2299800
2018-05-18,102.61,103.02,101.69,102.43,83.61,2263800
2018-05-21,101.89,102.58,101.36,101.61,83.68,1620700
2018-05-22,101.77,102.99,101.72,101.96,83.96,1795800
2018-05-23,101.17,101.43,99.57,100.9,83.09,2116200
2018-05-24,100.51,100.84,99.33,100.38,82.66,2195700
2018-05-25,100.0,100.36,99.36,100.02,82.37,908700
2018-05-29,98.48,98.55,94.51,94.97,78.21,2919600
2018-05-30,96.39,98.22,96.06,97.85,80.58,2425800
2018-05-31,97.44,97.73,96.25,96.84,79.75,3571200
2018-06-01,98.55,99.31,98.11,98.84,81.39,1769200
2018-06-04,99.9,100.4,99.02,99.17,81.67,1610400
2018-06-05,98.77,99.18,97.4,98.56,81.16,1552600
2018-06-06,99.13,100.01,98.51,99.65,82.06,1524700
2018-06-07,100.23,100.34,98.91,99.74,82.14,1526200
2018-06-08,99.79,100.64,99.37,100.55,82.8,1380100
2018-06-11,101.23,102.06,100.8,100.84,83.04,1923200
2018-06-12,101.05,101.53,99.43,99.76,82.15,1974000
2018-06-13,99.9,100.56,98.95,99.3,81.77,2219700
2018-06-14,99.42,99.49,98.29,98.75,81.32,1999200
2018-06-15,97.81,98.66,96.57,98.56,81.16,3233800
2018-06-18,97.75,98.05,96.84,97.95,80.66,2087500
2018-06-19,96.7,97.83,96.6,97.6,80.37,1554600
2018-06-20,97.86,98.08,96.71,96.84,79.75,1759800
2018-06-21,96.82,97.23,96.06,96.42,79.4,1285000
2018-06-22,97.33,97.51,96.45,96.5,79.47,1713900
2018-06-25,96.0,96.49,95.25,95.98,79.04,1354700
2018-06-26,96.15,96.46,94.95,95.31,78.49,1498300
2018-06-27,95.16,95.6,93.12,93.22,76.77,2270700
2018-06-28,93.26,93.91,92.05,93.59,77.07,2132100
2018-06-29,94.35,95.24,93.48,93.51,77.01,1608400
2018-07-02,92.86,94.33,92.5,94.33,77.68,1389700
2018-07-03,94.7,95.23,93.89,93.99,77.4,1086000
2018-07-05,94.86,95.09,93.53,94.34,77.69,1458700
2018-07-06,93.84,95.1,93.2,94.85,78.11,1473300
2018-07-09,95.33,97.91,95.21,97.67,80.43,2065300
2018-07-10,97.84,98.2,96.41,97.01,79.89,1999800
2018-07-11,96.46,96.67,95.19,95.4,78.56,1795900
2018-07-12,96.2,96.2,94.42,95.3,78.48,1767600
2018-07-13,94.86,95.58,94.51,95.07,78.29,1300500
2018-07-16,95.24,96.37,95.16,96.3,79.3,1335800
2018-07-17,96.25,96.62,95.73,96.02,79.07,1531200
2018-07-18,96.05,97.7,95.86,97.49,80.28,1828600
2018-07-19,97.08,97.64,95.66,95.7,78.81,1815500
2018-07-20,95.2,95.57,94.85,95.25,78.44,2255800
2018-07-23,95.25,97.2,95.02,96.92,79.81,1760500
2018-07-24,97.35,99.16,96.83,98.15,80.83,1815500
2018-07-25,97.76,98.17,95.65,96.97,79.85,2430800
2018-07-26,97.5,99.16,97.44,98.1,80.79,1810600
2018-07-27,98.56,99.69,98.47,98.89,81.44,1932400
2018-07-30,99.3,101.22,99.15,100.14,82.47,2297000
2018-07-31,100.81,101.39,100.11,100.91,83.1,3118700
2018-08-01,101.39,102.2,100.17,100.51,82.77,2430600
2018-08-02,99.01,100.53,98.0,99.88,82.25,3485800
2018-08-03,99.4,100.12,98.85,99.42,81.87,1854300
2018-08-06,99.46,100.43,98.81,99.67,82.08,1634100
2018-08-07,100.11,101.54,100.05,100.33,82.62,1866300
2018-08-08,100.28,101.73,99.83,101.52,83.6,2523700
2018-08-09,101.5,101.71,99.76,99.94,82.3,2041300
2018-08-10,98.44,98.79,96.32,96.97,79.85,2386800
2018-08-13,96.86,97.0,95.88,96.46,79.43,1822000
2018-08-14,96.55,97.65,96.55,97.39,80.2,1372300
