Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,217.0,218.99,216.6,217.57,183.04,773600
2017-05-25,217.76,218.33,216.3,217.09,182.63,1018500
2017-05-26,217.83,217.98,215.92,216.39,182.04,976200
2017-05-30,216.44,216.82,214.0,214.35,180.33,711400
2017-05-31,214.56,215.79,214.18,215.35,181.17,2060000
2017-06-01,215.21,215.3,210.3,212.27,178.58,1251100
2017-06-02,213.0,214.32,212.44,213.92,179.97,1063800
2017-06-05,213.71,213.82,210.85,211.35,177.8,918900
2017-06-06,211.35,211.35,207.65,207.9,174.9,1355000
2017-06-07,207.85,209.87,207.69,209.87,176.56,1303200
2017-06-08,209.87,211.72,206.74,210.91,177.43,1858400
2017-06-09,209.6,210.89,206.95,207.56,174.61,1276000
2017-06-12,205.56,208.35,205.19,207.04,175.87,1489800
2017-06-13,206.86,208.43,206.23,208.4,177.03,1431700
2017-06-14,208.05,210.94,207.55,209.88,178.28,1104400
2017-06-15,209.42,212.75,209.0,212.68,180.66,855100
2017-06-16,213.0,214.11,211.33,213.66,181.5,943800
2017-06-19,214.21,214.21,210.76,211.78,179.9,726600
2017-06-20,211.54,212.0,207.11,211.75,179.87,937300
2017-06-21,212.12,213.41,211.49,212.3,180.34,585900
2017-06-22,211.81,212.15,209.87,211.18,179.39,631900
2017-06-23,211.23,214.96,211.23,213.11,181.03,703800
2017-06-26,214.21,215.62,211.98,212.49,180.5,573900
2017-06-27,211.99,212.92,209.6,210.27,178.62,777300
2017-06-28,210.78,211.46,209.36,209.44,177.91,627400
2017-06-29,208.63,209.37,206.9,207.57,176.32,669700
2017-06-30,208.71,210.0,207.53,208.53,177.14,620900
2017-07-03,209.93,213.54,208.43,212.73,180.71,562900
2017-07-05,212.23,212.26,208.01,208.06,176.74,756100
2017-07-06,207.01,207.95,203.89,205.36,174.44,1028900
2017-07-07,205.75,207.7,205.19,207.03,175.86,509600
2017-07-10,207.03,207.19,203.15,203.37,172.75,700100
2017-07-11,203.97,204.43,202.51,203.26,172.66,669000
2017-07-12,204.59,206.86,203.97,206.41,175.34,648400
2017-07-13,206.4,207.49,204.73,204.82,173.99,740600
2017-07-14,206.18,208.46,206.14,207.68,176.42,566200
2017-07-17,207.76,209.74,206.96,207.59,176.34,660500
2017-07-18,207.32,209.11,205.35,207.21,176.02,917900
2017-07-19,207.46,208.43,207.06,207.77,176.49,887500
2017-07-20,207.64,208.78,206.18,207.53,176.29,703600
2017-07-21,207.28,209.15,207.2,208.94,177.49,439500
2017-07-24,208.92,209.26,207.22,209.0,177.54,643600
2017-07-25,209.25,209.25,206.02,207.72,176.45,871800
2017-07-26,207.61,211.26,207.13,210.06,178.44,964400
2017-07-27,198.04,202.0,192.15,198.28,168.43,3807200
2017-07-28,198.45,203.46,197.7,202.84,172.3,1490300
2017-07-31,203.08,206.22,201.73,205.57,174.62,1367700
2017-08-01,206.1,206.6,202.38,202.83,172.3,726900
2017-08-02,202.3,204.28,201.02,202.22,171.78,933800
2017-08-03,201.02,202.96,198.19,200.34,170.18,870000
2017-08-04,200.33,201.98,199.63,201.49,171.16,672200
2017-08-07,201.51,201.89,200.19,201.08,170.81,534700
2017-08-08,200.73,201.5,198.38,200.68,170.47,717400
2017-08-09,200.49,201.87,199.77,200.88,170.64,646000
2017-08-10,200.48,201.45,199.2,200.65,170.44,590500
2017-08-11,200.8,200.8,197.48,198.63,168.73,630300
2017-08-14,200.01,200.87,199.45,200.54,170.35,807300
2017-08-15,200.33,201.73,199.3,201.58,171.23,651200
2017-08-16,202.0,202.62,198.8,199.01,169.05,876500
2017-08-17,198.92,200.1,197.73,197.73,167.96,728700
2017-08-18,196.91,197.73,194.5,196.29,166.74,793800
2017-08-21,197.01,201.14,196.56,200.37,170.21,993000
2017-08-22,200.58,201.98,199.47,201.59,171.24,796900
2017-08-23,201.45,206.53,201.24,205.42,174.5,966300
2017-08-24,205.4,206.78,204.35,204.67,173.86,727600
2017-08-25,204.66,205.4,203.0,203.87,173.18,569300
2017-08-28,203.85,204.73,201.78,204.3,173.54,613500
2017-08-29,204.34,206.68,204.31,205.57,174.62,527500
2017-08-30,205.1,205.94,202.7,205.94,174.94,519500
2017-08-31,206.14,207.0,204.43,205.34,174.43,858100
2017-09-01,205.82,206.9,205.18,205.88,174.89,408200
2017-09-05,205.58,206.96,204.97,206.66,175.55,656300
2017-09-06,207.5,209.49,207.48,207.89,176.59,964400
2017-09-07,208.48,215.19,208.35,214.28,182.02,1413600
2017-09-08,214.25,219.93,214.17,218.31,185.45,1319800
2017-09-11,216.02,216.02,210.34,213.4,181.27,1583900
2017-09-12,210.5,210.52,207.05,207.58,178.0,1240100
2017-09-13,207.62,208.8,206.09,208.74,178.99,646200
2017-09-14,208.87,213.98,207.59,212.56,182.27,803100
2017-09-15,212.45,214.32,211.83,214.15,183.63,1032100
2017-09-18,214.01,216.4,214.01,215.85,185.09,796500
2017-09-19,215.99,216.52,214.87,215.72,184.98,763100
2017-09-20,215.96,216.59,212.64,214.11,183.6,704900
2017-09-21,214.01,216.79,213.38,214.87,184.25,672000
2017-09-22,215.39,216.25,213.12,213.71,183.26,500200
2017-09-25,213.49,215.45,212.57,214.21,183.68,530000
2017-09-26,214.64,215.85,213.97,214.13,183.62,675400
2017-09-27,213.55,213.55,209.82,211.98,181.77,730200
2017-09-28,211.72,213.0,209.68,212.75,182.43,548400
2017-09-29,212.75,214.44,211.26,213.99,183.5,909700
2017-10-02,214.55,215.46,213.41,214.28,183.74,771200
2017-10-03,214.72,215.47,212.47,212.92,182.58,573800
2017-10-04,212.61,214.04,211.63,213.87,183.39,527200
2017-10-05,214.51,215.54,213.38,213.68,183.23,680700
2017-10-06,213.0,214.02,211.62,213.42,183.01,847100
2017-10-09,213.21,215.05,211.69,213.83,183.36,635500
2017-10-10,213.93,215.87,211.63,213.02,182.66,807600
2017-10-11,213.0,215.21,211.65,214.68,184.09,783400
2017-10-12,214.6,216.92,214.47,216.81,185.91,541600
2017-10-13,217.5,219.53,216.33,218.56,187.41,1057600
2017-10-16,218.93,219.48,216.5,217.56,186.56,768100
2017-10-17,216.74,217.77,214.31,215.88,185.12,723300
2017-10-18,215.88,217.0,214.23,214.67,184.08,516400
2017-10-19,215.4,216.1,214.13,215.21,184.54,686600
2017-10-20,214.95,215.2,213.42,215.09,184.44,845000
2017-10-23,215.36,216.57,214.02,214.78,184.17,752800
2017-10-24,214.09,214.75,210.0,210.11,180.17,1070800
2017-10-25,210.93,211.47,208.2,210.0,180.07,1062400
2017-10-26,201.07,206.0,198.11,204.21,175.11,2974400
2017-10-27,203.55,207.64,203.06,206.9,177.42,1041400
2017-10-30,206.55,208.95,206.0,208.75,179.0,796600
2017-10-31,208.75,208.75,206.72,207.25,177.72,682100
2017-11-01,208.07,208.07,205.9,206.52,177.09,691400
2017-11-02,206.95,210.14,206.67,208.33,178.64,811700
2017-11-03,208.23,209.56,207.15,208.97,179.19,759600
2017-11-06,209.49,212.56,209.01,209.32,179.49,764300
2017-11-07,209.02,212.29,208.8,211.49,181.35,882200
2017-11-08,211.76,213.93,211.28,213.19,182.81,760300
2017-11-09,212.76,213.57,211.02,211.37,181.25,532500
2017-11-10,211.11,212.2,209.18,211.52,181.38,736600
2017-11-13,211.66,213.89,211.52,213.25,182.86,609500
2017-11-14,212.43,213.29,211.44,212.92,182.58,640900
2017-11-15,212.77,213.9,209.52,210.05,180.12,795700
2017-11-16,209.38,214.75,209.26,213.67,183.22,938600
2017-11-17,212.75,213.74,211.66,211.85,181.66,681500
2017-11-20,211.81,212.27,210.77,211.11,181.03,358400
2017-11-21,211.55,211.55,209.91,211.32,181.21,683700
2017-11-22,210.65,211.67,209.31,211.29,181.18,512000
2017-11-24,211.9,213.29,211.47,212.79,182.47,257000
2017-11-27,213.43,216.11,212.73,214.93,184.3,957800
2017-11-28,213.21,213.86,206.0,209.43,179.58,1566800
2017-11-29,208.87,211.75,207.73,210.26,180.3,827700
2017-11-30,210.71,213.51,209.77,213.12,182.75,1257700
2017-12-01,213.97,214.24,211.6,212.07,181.85,809800
2017-12-04,211.2,213.01,209.24,209.97,180.05,1133000
2017-12-05,212.19,212.63,209.96,211.05,180.97,676100
2017-12-06,211.2,213.24,210.67,211.8,181.62,821300
2017-12-07,211.45,211.59,207.99,208.34,178.65,815100
2017-12-08,208.7,211.6,208.25,210.84,180.79,691000
2017-12-11,210.45,211.71,209.23,211.68,181.51,721100
2017-12-12,209.68,212.41,209.64,211.72,183.28,759700
2017-12-13,211.27,213.0,211.04,212.56,184.01,730400
2017-12-14,212.09,212.99,210.43,211.02,182.67,525800
2017-12-15,212.69,212.71,210.18,211.56,183.14,1158900
2017-12-18,212.0,215.45,211.72,212.09,183.6,823300
2017-12-19,212.1,212.55,207.87,208.21,180.24,713500
2017-12-20,208.0,208.85,205.02,205.15,177.59,801500
2017-12-21,205.9,205.9,203.61,203.72,176.35,645000
2017-12-22,204.76,206.57,204.4,205.97,178.3,500800
2017-12-26,206.57,208.94,206.55,208.03,180.09,331700
2017-12-27,208.55,209.54,208.28,209.28,181.17,379300
2017-12-28,209.12,209.98,208.1,209.24,181.13,666700
2017-12-29,209.73,210.55,208.63,209.0,180.93,620100
2018-01-02,210.05,210.17,205.58,206.32,178.61,812300
2018-01-03,206.35,207.66,205.74,206.77,179.0,580000
2018-01-04,205.9,207.01,202.57,203.11,175.83,799600
2018-01-05,203.33,204.04,201.71,201.92,174.8,644600
2018-01-08,202.09,204.15,201.94,203.53,176.19,768600
2018-01-09,204.07,204.2,200.91,201.15,174.13,659300
2018-01-10,199.67,200.07,195.3,196.11,169.77,1133200
2018-01-11,196.8,197.37,195.01,196.12,169.78,1093600
2018-01-12,196.02,196.5,193.4,193.55,167.55,957400
2018-01-16,194.2,198.43,193.52,193.75,167.72,1034200
2018-01-17,194.8,197.02,194.44,195.69,169.4,737900
2018-01-18,195.12,195.68,192.6,193.25,167.29,1241000
2018-01-19,193.91,194.5,192.7,193.56,167.56,646100
2018-01-22,194.14,194.62,192.51,193.78,167.75,909600
2018-01-23,194.0,198.55,193.56,198.09,171.48,982000
2018-01-24,197.82,198.01,194.31,194.92,168.74,687000
2018-01-25,194.0,194.78,190.82,192.57,166.7,855500
2018-01-26,193.27,193.68,190.7,192.85,166.95,1083200
2018-01-29,192.5,192.93,190.15,192.54,166.68,1121900
2018-01-30,192.54,194.29,190.26,193.6,167.59,1535500
2018-01-31,193.49,195.76,191.88,195.76,169.46,2749400
2018-02-01,196.1,196.58,190.71,190.98,165.33,1125600
2018-02-02,190.1,191.95,188.39,190.31,164.75,974000
2018-02-05,189.47,191.73,183.27,184.98,160.13,1088800
2018-02-06,182.98,187.09,180.93,185.4,160.5,1566400
2018-02-07,184.65,188.62,183.76,185.35,160.45,1021700
2018-02-08,185.35,185.95,180.48,180.49,156.25,1213700
2018-02-09,181.75,188.7,180.71,187.16,162.02,2002100
2018-02-12,187.63,188.57,182.93,187.82,162.59,1405600
2018-02-13,187.95,190.28,187.5,189.2,163.79,1054500
2018-02-14,187.81,188.15,184.69,186.78,161.69,963800
2018-02-15,187.52,191.35,187.0,190.48,164.89,931900
2018-02-16,189.98,190.96,187.02,188.75,163.4,1112600
2018-02-20,187.63,190.25,185.91,186.31,161.28,1377200
2018-02-21,186.97,194.22,185.77,190.75,165.13,2526900
2018-02-22,191.63,194.37,190.77,193.14,167.2,1466500
2018-02-23,193.33,195.74,192.84,195.68,169.39,778200
2018-02-26,196.05,197.41,193.31,195.88,169.57,879900
2018-02-27,196.54,197.74,192.52,192.92,167.01,979400
2018-02-28,193.82,196.68,193.12,194.44,168.32,1152600
2018-03-01,194.24,198.49,193.08,196.11,169.77,1195900
2018-03-02,196.18,197.61,192.83,195.0,168.81,950600
2018-03-05,195.09,199.0,195.09,197.35,170.84,1146900
2018-03-06,196.8,199.08,195.42,198.16,171.54,711800
2018-03-07,197.33,198.91,196.4,198.01,171.41,583900
2018-03-08,198.14,200.49,197.13,199.81,172.97,756600
2018-03-09,200.08,200.4,197.67,199.96,173.1,884100
2018-03-12,199.96,200.41,198.56,199.41,172.62,1004300
2018-03-13,198.0,199.0,196.76,197.4,172.62,1022200
2018-03-14,197.88,198.48,193.0,194.61,170.18,1903300
2018-03-15,194.78,195.37,193.72,195.17,170.67,675900
2018-03-16,195.52,198.2,195.27,198.01,173.15,1136300
2018-03-19,198.04,198.08,195.55,196.72,172.02,840200
2018-03-20,196.9,198.65,196.52,198.03,173.17,886800
2018-03-21,198.25,199.6,196.15,198.52,173.59,1108300
2018-03-22,198.32,199.9,195.61,195.69,171.12,1045900
2018-03-23,195.71,197.29,192.66,193.05,168.81,850400
2018-03-26,194.28,196.94,193.52,196.61,171.92,703800
2018-03-27,197.0,199.83,194.26,198.1,173.23,921700
2018-03-28,198.66,203.82,198.02,202.12,176.74,1249500
2018-03-29,202.09,202.9,199.26,200.39,175.23,986800
2018-04-02,201.05,201.89,198.02,199.41,174.37,762700
2018-04-03,199.42,201.67,197.28,200.62,175.43,694600
2018-04-04,200.35,204.75,199.69,204.04,178.42,896200
2018-04-05,203.59,203.59,199.38,201.36,176.08,863300
2018-04-06,201.6,202.84,198.81,199.28,174.26,724200
2018-04-09,199.6,201.6,198.79,199.82,174.73,806500
2018-04-10,199.95,202.2,199.67,200.45,175.28,701500
2018-04-11,199.9,201.57,198.5,198.68,173.73,581900
2018-04-12,198.69,198.87,195.39,196.31,171.66,718200
2018-04-13,196.74,197.33,195.39,197.28,172.51,654700
2018-04-16,198.25,198.8,196.35,197.09,172.34,755600
2018-04-17,198.0,199.57,196.86,198.57,173.64,778300
2018-04-18,199.17,199.38,197.6,197.92,173.07,596400
2018-04-19,197.36,197.5,192.26,193.79,169.46,734500
2018-04-20,194.43,194.79,192.21,192.75,168.55,970000
2018-04-23,193.34,193.41,192.02,192.89,168.67,786500
2018-04-24,192.43,194.53,192.05,193.76,169.43,998400
2018-04-25,193.39,195.11,192.19,193.71,169.39,748600
2018-04-26,196.5,203.12,195.66,199.82,174.73,1829300
2018-04-27,199.25,203.24,198.38,202.45,177.03,748000
2018-04-30,203.35,203.98,201.57,201.78,176.45,896500
2018-05-01,201.84,205.65,200.68,204.5,178.82,1253200
2018-05-02,203.27,206.0,201.11,204.69,178.99,858500
2018-05-03,205.18,207.25,203.9,205.91,180.06,1156500
2018-05-04,205.58,208.07,205.08,207.39,181.35,495100
2018-05-07,207.34,210.24,206.09,209.98,183.62,851000
2018-05-08,210.0,210.84,209.17,210.03,183.66,1118000
2018-05-09,210.48,211.58,209.2,211.54,184.98,549800
2018-05-10,212.39,213.92,211.5,211.85,185.25,653900
2018-05-11,212.68,213.15,211.27,211.6,185.03,698200
2018-05-14,211.47,212.69,208.01,209.44,183.14,658700
2018-05-15,207.8,208.86,205.31,205.91,180.06,957300
2018-05-16,206.96,207.47,204.74,205.6,179.79,598800
2018-05-17,204.62,205.6,203.31,203.84,178.25,597700
2018-05-18,204.1,205.02,201.84,203.59,178.03,784100
2018-05-21,204.1,205.87,202.38,204.9,179.17,563200
2018-05-22,204.75,205.26,203.38,204.11,178.48,616100
2018-05-23,204.87,207.81,204.8,206.67,180.72,571700
2018-05-24,206.94,207.79,205.97,207.14,181.13,563900
2018-05-25,208.12,209.32,207.24,208.49,182.31,439700
2018-05-29,208.47,209.94,207.46,209.85,183.5,883200
2018-05-30,209.62,212.87,209.07,212.23,185.58,506800
2018-05-31,211.01,212.68,209.86,211.84,185.24,1553200
2018-06-01,211.95,212.11,210.0,211.62,185.05,559800
2018-06-04,212.5,214.05,211.33,214.05,187.17,582000
2018-06-05,214.31,215.4,212.72,212.88,186.15,810700
2018-06-06,212.56,214.55,212.03,213.6,186.78,695700
2018-06-07,214.21,215.54,213.1,215.14,188.13,834300
2018-06-08,215.38,216.76,214.32,216.55,189.36,769700
2018-06-11,216.61,217.34,215.44,216.64,189.44,767700
2018-06-12,214.5,216.65,213.77,215.92,190.57,813300
2018-06-13,216.63,217.49,212.09,212.32,187.39,701600
2018-06-14,212.51,215.6,212.51,214.46,189.28,634700
2018-06-15,215.05,216.75,213.75,214.02,188.89,1313900
2018-06-18,213.92,215.62,212.8,214.68,189.47,627300
2018-06-19,213.48,218.35,213.42,217.07,191.58,1145400
2018-06-20,217.14,219.1,216.49,218.53,192.87,757400
2018-06-21,218.27,222.03,217.93,221.84,195.79,1002000
2018-06-22,221.8,226.25,221.2,225.96,199.43,1176300
2018-06-25,225.35,226.25,223.42,225.65,199.16,1137700
2018-06-26,225.83,229.72,224.54,229.0,202.11,1732200
2018-06-27,228.99,230.09,226.83,227.2,200.52,1251500
2018-06-28,226.79,229.62,226.79,228.93,202.05,817700
2018-06-29,228.06,229.47,225.95,226.86,200.22,1237800
2018-07-02,226.86,228.69,223.68,226.34,199.77,710700
2018-07-03,226.58,230.94,225.3,229.44,202.5,578000
2018-07-05,229.43,232.93,228.87,232.71,205.39,717500
2018-07-06,233.15,234.9,231.29,232.21,204.95,933300
2018-07-09,232.39,232.39,226.86,229.64,202.68,1002000
2018-07-10,230.33,232.3,228.96,230.71,203.62,882000
2018-07-11,230.16,231.42,229.12,229.57,202.62,818000
2018-07-12,230.26,230.51,228.95,229.52,202.57,757300
2018-07-13,229.94,230.73,227.68,228.08,201.3,500600
2018-07-16,226.0,226.73,223.51,225.54,199.06,842700
2018-07-17,226.14,226.46,219.43,219.72,193.92,1525100
2018-07-18,219.56,220.68,217.78,219.14,193.41,972900
2018-07-19,219.14,223.39,218.99,222.46,196.34,953100
2018-07-20,222.46,222.46,220.23,222.12,196.04,590900
2018-07-23,221.66,222.35,219.96,220.62,194.72,561800
2018-07-24,220.36,221.24,218.81,219.34,193.59,890500
2018-07-25,219.97,220.42,218.82,219.67,193.88,1085000
2018-07-26,220.76,221.62,218.54,219.08,193.36,853200
2018-07-27,219.97,219.97,214.49,215.36,190.07,1127500
2018-07-30,216.28,216.89,214.1,214.5,189.32,1116300
2018-07-31,215.31,218.05,214.8,217.83,192.25,2450300
2018-08-01,211.01,217.91,210.38,217.48,191.95,2014200
2018-08-02,201.05,212.1,201.05,210.21,185.53,2055000
2018-08-03,210.8,215.5,210.74,213.98,188.86,1604800
2018-08-06,213.98,216.54,213.48,215.82,190.48,790100
