Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,56.11,57.44,56.11,57.14,57.14,1621600
2017-05-25,57.45,59.0,57.45,58.14,58.14,2086200
2017-05-26,58.2,58.54,57.76,58.0,58.0,976800
2017-05-30,57.87,58.16,57.73,57.97,57.97,633900
2017-05-31,58.02,58.42,57.54,57.58,57.58,790700
2017-06-01,57.85,58.22,57.38,57.79,57.79,1261100
2017-06-02,57.99,59.29,57.75,59.07,59.07,1169600
2017-06-05,58.73,59.2,58.59,58.87,58.87,854700
2017-06-06,58.66,59.92,58.04,59.26,59.26,1278100
2017-06-07,59.26,59.51,58.82,59.22,59.22,791400
2017-06-08,59.31,59.8,58.96,59.69,59.69,699400
2017-06-09,59.82,60.15,55.68,56.99,56.99,1863400
2017-06-12,56.49,56.77,54.06,56.05,56.05,2084300
2017-06-13,56.67,57.88,56.55,57.87,57.87,1482500
2017-06-14,57.86,58.4,57.18,57.6,57.6,1411100
2017-06-15,56.72,57.14,53.94,56.97,56.97,1174900
2017-06-16,56.89,57.43,56.22,57.14,57.14,1302900
2017-06-19,57.6,57.98,57.02,57.43,57.43,827400
2017-06-20,57.32,57.81,56.65,56.82,56.82,628900
2017-06-21,57.06,57.67,56.81,57.39,57.39,786200
2017-06-22,57.48,58.1,57.18,57.8,57.8,977900
2017-06-23,57.7,59.39,57.7,58.89,58.89,2382900
2017-06-26,59.3,60.22,58.44,58.49,58.49,1090700
2017-06-27,58.26,58.28,56.04,56.21,56.21,1153300
2017-06-28,56.67,57.17,55.88,57.0,57.0,1034700
2017-06-29,56.97,56.97,54.7,55.51,55.51,956100
2017-06-30,55.72,55.87,54.99,55.12,55.12,1429600
2017-07-03,55.4,55.67,53.83,53.89,53.89,1305400
2017-07-05,54.16,56.23,53.46,56.11,56.11,1475700
2017-07-06,55.51,56.06,54.96,55.53,55.53,1257300
2017-07-07,55.76,57.34,55.73,56.79,56.79,985400
2017-07-10,56.71,57.16,56.12,56.81,56.81,816100
2017-07-11,56.8,57.56,56.55,57.38,57.38,886400
2017-07-12,58.24,58.65,57.6,58.02,58.02,848100
2017-07-13,58.17,58.3,57.12,57.37,57.37,884900
2017-07-14,57.71,58.19,57.37,58.06,58.06,1107600
2017-07-17,57.91,58.05,56.92,57.49,57.49,1378600
2017-07-18,57.25,58.14,56.95,58.05,58.05,940000
2017-07-19,58.4,59.29,58.0,58.92,58.92,2101100
2017-07-20,54.3,55.85,53.5,54.1,54.1,8866300
2017-07-21,54.01,55.39,53.66,55.22,55.22,3511000
2017-07-24,55.24,55.8,54.4,55.73,55.73,1739500
2017-07-25,55.8,55.94,55.15,55.74,55.74,1627500
2017-07-26,55.92,56.36,55.46,55.88,55.88,1237100
2017-07-27,56.26,56.41,54.18,55.2,55.2,1473700
2017-07-28,54.89,55.65,54.25,55.32,55.32,815000
2017-07-31,55.56,55.62,54.85,55.19,55.19,1022100
2017-08-01,55.36,55.61,55.04,55.48,55.48,1036500
2017-08-02,55.89,55.89,54.31,54.44,54.44,1114800
2017-08-03,54.44,54.54,53.53,54.11,54.11,1349100
2017-08-04,54.28,54.45,53.89,54.06,54.06,698800
2017-08-07,54.07,54.38,53.86,54.15,54.15,371600
