Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,102.23,102.4,100.37,102.04,101.51,2285700
2017-05-25,107.59,109.01,105.95,106.98,106.42,3913400
2017-05-26,106.56,107.05,105.28,105.29,104.74,1337800
2017-05-30,106.25,107.01,105.03,105.59,105.04,1420500
2017-05-31,105.89,106.06,104.35,105.95,105.4,1278600
2017-06-01,106.04,107.57,105.74,106.21,105.65,983800
2017-06-02,106.43,106.69,105.06,105.96,105.41,672900
2017-06-05,105.74,105.98,104.56,105.21,104.66,1174200
2017-06-06,104.52,105.07,103.48,103.65,103.11,963100
2017-06-07,103.53,103.83,102.05,103.18,102.64,988500
2017-06-08,103.18,104.14,102.89,103.16,102.62,639000
2017-06-09,103.3,105.99,102.81,105.59,105.04,751900
2017-06-12,105.37,107.21,105.3,106.2,105.64,1115000
2017-06-13,106.27,106.27,105.12,105.61,105.06,752400
2017-06-14,106.05,106.58,105.26,106.43,105.87,694900
2017-06-15,104.92,105.92,104.76,105.66,105.11,711000
2017-06-16,105.48,105.74,104.68,105.13,104.58,980800
2017-06-19,105.26,105.81,104.34,105.72,105.17,611600
2017-06-20,105.6,105.6,104.51,104.89,104.34,769600
2017-06-21,104.53,105.26,104.47,105.07,104.52,826800
2017-06-22,105.6,110.12,105.58,109.07,108.5,1628400
2017-06-23,108.71,110.59,108.06,110.48,109.9,1386900
2017-06-26,111.06,112.8,111.06,112.33,111.74,1243600
2017-06-27,112.44,112.96,111.93,112.48,111.89,901600
2017-06-28,113.05,115.86,112.78,113.37,112.78,1227000
2017-06-29,113.6,114.52,112.74,113.78,113.19,1086400
2017-06-30,114.96,115.42,114.09,114.5,113.9,995400
2017-07-03,114.45,115.17,114.23,114.84,114.24,561500
2017-07-05,114.64,114.82,112.91,113.45,112.86,801600
2017-07-06,113.04,113.24,110.59,110.88,110.3,850000
2017-07-07,111.34,112.58,111.31,112.17,111.58,431300
2017-07-10,112.0,113.13,111.48,112.0,111.41,685100
2017-07-11,111.89,112.51,110.76,111.76,111.18,704400
2017-07-12,112.27,112.99,111.68,111.83,111.25,685700
2017-07-13,112.28,113.7,111.52,113.29,112.7,1037600
2017-07-14,113.67,113.7,112.06,112.56,111.97,568100
2017-07-17,112.95,114.51,112.74,113.61,113.02,545500
2017-07-18,113.7,114.12,112.17,112.94,112.35,550900
2017-07-19,113.3,114.28,112.78,114.07,113.47,444400
2017-07-20,114.39,116.19,113.8,115.75,115.14,858600
2017-07-21,115.87,117.67,115.38,116.98,116.37,714100
2017-07-24,117.24,117.24,116.07,116.52,115.91,658100
2017-07-25,116.76,119.72,116.27,118.73,118.11,765500
2017-07-26,118.73,118.9,117.51,118.41,117.79,560500
2017-07-27,118.51,119.96,118.2,119.16,118.54,629400
2017-07-28,119.28,120.49,118.57,119.94,119.31,914300
2017-07-31,119.94,119.94,118.17,119.29,118.67,696400
2017-08-01,119.41,120.14,118.45,120.01,119.38,475100
2017-08-02,119.7,120.99,119.42,119.73,119.1,557300
2017-08-03,120.0,121.61,119.61,121.27,120.64,654200
2017-08-04,121.3,122.75,121.3,122.1,121.46,760300
2017-08-07,123.04,124.95,122.14,124.09,123.44,675200
2017-08-08,125.84,126.11,124.09,124.3,123.65,846000
2017-08-09,123.58,124.7,123.14,124.11,123.46,610200
