Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,78.81,79.2,77.37,78.39,78.39,1745400
2017-05-25,78.65,79.33,77.85,78.83,78.83,1907900
2017-05-26,78.86,78.88,77.76,77.84,77.84,1349500
2017-05-30,77.71,79.1,77.44,78.65,78.65,1878700
2017-05-31,78.93,79.34,77.2,77.95,77.95,1409200
2017-06-01,78.07,79.06,77.61,79.06,79.06,1285700
2017-06-02,78.95,79.11,77.56,78.95,78.95,1573400
2017-06-05,78.69,79.09,77.02,77.3,77.3,1444000
2017-06-06,77.09,78.21,76.34,77.5,77.5,1070900
2017-06-07,77.45,78.37,77.08,77.67,77.67,1133200
2017-06-08,77.63,78.18,76.64,78.08,78.08,1445300
2017-06-09,77.78,78.99,73.39,75.27,75.27,2088000
2017-06-12,74.2,74.76,71.2,74.63,74.63,2174400
2017-06-13,75.04,76.39,74.3,74.65,74.65,1147300
2017-06-14,74.92,75.31,70.88,72.13,72.13,2132500
2017-06-15,70.75,72.3,70.28,71.68,71.68,2756000
2017-06-16,72.05,72.33,71.23,71.72,71.72,1685100
2017-06-19,72.29,72.83,71.8,72.46,72.46,1734400
2017-06-20,72.25,72.51,70.78,70.86,70.86,1044900
2017-06-21,71.3,72.18,70.62,71.18,71.18,1316500
2017-06-22,71.1,71.12,69.32,70.49,70.49,1089000
2017-06-23,70.71,70.79,69.79,69.94,69.94,2683700
2017-06-26,69.95,70.42,66.11,66.41,66.41,3320600
2017-06-27,66.08,66.34,64.1,64.49,64.49,2499400
2017-06-28,65.07,66.19,63.81,65.95,65.95,2362500
2017-06-29,65.57,65.75,63.03,64.29,64.29,1957500
2017-06-30,64.45,64.8,63.06,63.32,63.32,1584900
2017-07-03,63.49,63.95,62.68,63.0,63.0,807200
2017-07-05,63.43,65.34,63.36,65.02,65.02,2265800
2017-07-06,64.08,65.08,63.59,64.01,64.01,1964400
2017-07-07,64.42,66.26,64.28,65.86,65.86,1948900
2017-07-10,65.62,65.98,63.97,65.0,65.0,2001200
2017-07-11,64.99,66.15,64.83,65.93,65.93,997700
2017-07-12,66.29,67.81,65.73,67.47,67.47,2382700
2017-07-13,67.3,67.78,66.32,67.37,67.37,2169400
2017-07-14,67.71,68.08,67.23,67.32,67.32,789100
2017-07-17,67.3,67.55,66.61,67.0,67.0,1196500
2017-07-18,66.89,67.17,66.16,66.98,66.98,909400
2017-07-19,67.25,67.7,66.86,67.64,67.64,911600
2017-07-20,67.72,68.96,67.04,68.72,68.72,1202100
2017-07-21,68.72,69.42,67.52,69.29,69.29,1563600
2017-07-24,69.28,69.5,68.8,69.17,69.17,1642800
2017-07-25,69.2,69.73,68.41,69.29,69.29,1076100
2017-07-26,69.53,70.27,68.98,69.54,69.54,746300
2017-07-27,69.62,69.66,68.32,69.1,69.1,2024100
2017-07-28,68.87,69.35,68.37,69.0,69.0,789400
2017-07-31,69.19,69.26,68.03,68.56,68.56,1448400
2017-08-01,68.67,68.67,67.68,68.07,68.07,1396500
2017-08-02,69.37,69.37,66.63,66.86,66.86,2264100
2017-08-03,66.3,68.97,64.7,66.89,66.89,2459100
2017-08-04,66.7,68.1,66.22,66.62,66.62,965500
2017-08-07,66.82,69.18,66.82,68.8,68.8,1366900
2017-08-08,68.41,69.8,67.56,69.16,69.16,1369100
2017-08-09,68.81,69.42,68.39,69.06,69.06,865000
2017-08-10,68.64,68.67,67.49,67.77,67.77,1277900
2017-08-11,67.67,69.05,66.83,68.9,68.9,961000
2017-08-14,69.54,71.61,69.5,71.42,71.42,1537900
2017-08-15,71.34,72.3,70.43,71.76,71.76,1694200
2017-08-16,71.9,72.47,71.46,72.42,72.42,1281500
2017-08-17,72.11,72.74,71.16,71.19,71.19,1388600
2017-08-18,71.71,71.81,69.6,69.67,69.67,1285200
2017-08-21,69.62,69.98,68.52,69.33,69.33,828100
2017-08-22,69.74,71.11,69.71,71.01,71.01,806900
2017-08-23,70.53,70.89,70.05,70.67,70.67,752600
2017-08-24,70.99,71.2,70.13,70.25,70.25,827500
2017-08-25,70.52,71.26,70.2,70.93,70.93,837500
2017-08-28,71.15,71.15,70.06,70.6,70.6,721300
2017-08-29,69.91,70.69,69.31,70.46,70.46,510700
2017-08-30,70.76,73.17,70.62,73.12,73.12,832000
2017-08-31,73.19,73.66,72.82,73.22,73.22,811000
2017-09-01,73.39,74.23,73.07,73.26,73.26,703000
2017-09-05,72.93,73.99,72.24,73.38,73.38,869800
2017-09-06,73.27,73.97,72.04,73.32,73.32,726000
2017-09-07,73.41,75.71,73.14,73.22,73.22,2006600
2017-09-08,73.29,73.4,71.44,71.61,71.61,707000
2017-09-11,72.34,73.16,72.14,72.63,72.63,780400
2017-09-12,72.9,73.64,72.55,72.95,72.95,915000
2017-09-13,72.9,73.24,72.31,73.01,73.01,522600
2017-09-14,72.56,74.69,72.56,73.48,73.48,645300
2017-09-15,73.37,75.55,73.22,75.49,75.49,1440900
2017-09-18,75.5,76.47,74.2,74.35,74.35,1000800
2017-09-19,74.44,74.61,73.64,74.32,74.32,645500
2017-09-20,74.3,74.32,69.93,70.32,70.32,2221800
2017-09-21,70.21,70.72,69.06,70.61,70.61,1653600
2017-09-22,70.38,71.57,70.23,71.2,71.2,1035700
2017-09-25,70.64,70.64,68.26,68.66,68.66,1932800
2017-09-26,69.0,69.37,67.7,68.24,68.24,1113300
2017-09-27,69.23,70.77,68.65,70.25,70.25,1041500
2017-09-28,70.25,70.72,69.57,70.2,70.2,883500
2017-09-29,70.2,71.09,69.22,70.68,70.68,1020400
2017-10-02,70.84,72.06,70.84,71.29,71.29,801500
2017-10-03,71.52,71.76,71.02,71.39,71.39,428600
2017-10-04,71.02,72.17,70.53,72.16,72.16,642800
2017-10-05,72.24,72.68,71.11,71.7,71.7,759900
2017-10-06,71.64,72.8,71.64,72.69,72.69,607200
2017-10-09,72.65,72.94,72.11,72.66,72.66,417900
2017-10-10,72.75,72.81,71.01,71.84,71.84,986600
2017-10-11,71.9,73.0,71.9,72.94,72.94,839500
2017-10-12,72.72,73.07,72.26,72.36,72.36,1233000
2017-10-13,72.58,73.03,72.08,72.39,72.39,663400
2017-10-16,72.27,72.74,72.13,72.53,72.53,721400
2017-10-17,72.52,73.19,71.58,72.27,72.27,1020900
2017-10-18,72.27,72.35,70.91,72.02,72.02,797400
2017-10-19,71.5,71.5,69.12,69.68,69.68,1596200
2017-10-20,70.13,70.55,69.72,69.92,69.92,779600
2017-10-23,70.08,70.53,69.5,69.8,69.8,1163800
2017-10-24,70.11,71.66,69.77,71.44,71.44,1220400
2017-10-25,71.8,73.39,71.31,71.78,71.78,1460300
2017-10-26,72.13,72.52,71.44,71.56,71.56,594600
2017-10-27,72.74,73.76,71.2,73.72,73.72,1237400
2017-10-30,74.02,76.59,73.75,76.25,76.25,1620300
2017-10-31,76.45,77.06,75.28,75.81,75.81,1417400
2017-11-01,76.16,76.59,73.86,74.46,74.46,1953100
2017-11-02,71.73,74.81,71.19,74.3,74.3,2612300
2017-11-03,74.35,74.48,71.73,73.84,73.84,2903500
2017-11-06,73.78,78.97,73.47,78.49,78.49,3093600
2017-11-07,77.58,79.98,76.7,78.46,78.46,1758100
2017-11-08,78.48,80.94,78.11,80.82,80.82,1716700
2017-11-09,80.48,80.96,78.32,79.47,79.47,1463200
2017-11-10,81.2,81.2,79.03,79.57,79.57,928200
2017-11-13,79.16,79.92,78.56,79.08,79.08,1005900
2017-11-14,79.0,79.78,78.07,78.41,78.41,784300
2017-11-15,78.26,78.37,76.33,76.68,76.68,1128600
2017-11-16,77.05,78.16,76.99,77.91,77.91,872600
2017-11-17,78.04,78.4,76.68,77.33,77.33,927100
2017-11-20,77.6,79.23,77.6,79.14,79.14,726600
2017-11-21,79.47,80.84,79.4,80.59,80.59,1177200
2017-11-22,80.54,80.71,79.3,79.61,79.61,637400
2017-11-24,79.75,80.65,79.75,80.62,80.62,238700
2017-11-27,80.0,80.43,79.22,79.74,79.74,905900
2017-11-28,79.99,80.0,77.79,79.03,79.03,1120900
2017-11-29,78.97,79.11,75.27,76.69,76.69,1501600
2017-11-30,76.89,77.49,76.18,76.58,76.58,1252300
2017-12-01,76.09,76.3,71.66,74.21,74.21,2124900
2017-12-04,74.76,75.31,71.85,72.4,72.4,2211700
2017-12-05,72.04,73.26,70.83,71.78,71.78,1862400
2017-12-06,70.0,71.01,67.53,70.1,70.1,3573600
2017-12-07,71.53,71.56,68.35,68.72,68.72,1864300
2017-12-08,69.28,69.37,67.66,67.88,67.88,2150000
2017-12-11,67.64,68.9,67.64,68.62,68.62,1559000
2017-12-12,68.11,68.46,66.52,67.69,67.69,1913700
2017-12-13,68.14,69.08,67.06,67.29,67.29,1565300
2017-12-14,67.2,67.33,65.21,65.23,65.23,1991800
2017-12-15,65.57,66.15,64.72,65.53,65.53,4164800
2017-12-18,66.0,67.33,65.3,67.05,67.05,1824100
2017-12-19,66.75,67.28,66.36,66.79,66.79,878500
2017-12-20,67.22,67.52,66.13,67.07,67.07,845000
2017-12-21,67.25,67.55,67.06,67.48,67.48,913400
2017-12-22,67.49,68.21,67.35,67.69,67.69,877400
2017-12-26,65.84,67.69,64.53,65.9,65.9,1260000
2017-12-27,66.25,67.99,65.98,67.26,67.26,1135400
2017-12-28,67.51,67.9,66.85,67.36,67.36,850200
2017-12-29,67.36,67.57,66.58,66.6,66.6,714800
2018-01-02,67.06,68.97,66.08,68.88,68.88,1345800
2018-01-03,69.08,70.01,68.14,68.39,68.39,1552800
2018-01-04,68.69,69.88,68.09,68.72,68.72,1346900
2018-01-05,69.06,69.44,67.92,68.03,68.03,1556400
2018-01-08,67.89,68.97,67.29,68.84,68.84,1390100
2018-01-09,69.14,69.97,68.44,69.0,69.0,1513600
2018-01-10,68.7,68.98,67.35,67.74,67.74,1691600
2018-01-11,68.0,69.39,67.67,68.88,68.88,1022400
2018-01-12,69.12,71.23,68.71,71.04,71.04,1621700
2018-01-16,71.37,71.61,68.91,69.3,69.3,1188400
2018-01-17,69.47,71.09,69.32,70.85,70.85,1025700
2018-01-18,70.84,71.99,70.59,70.7,70.7,1233500
2018-01-19,70.5,70.5,67.13,68.4,68.4,2820300
2018-01-22,68.12,68.52,65.56,66.34,66.34,3155900
2018-01-23,66.44,67.79,66.1,67.32,67.32,2130400
2018-01-24,66.76,67.89,65.8,66.9,66.9,2797900
2018-01-25,67.46,67.52,65.72,66.06,66.06,1914900
2018-01-26,66.42,67.94,66.1,67.94,67.94,1932000
2018-01-29,67.32,68.45,67.3,68.19,68.19,2286200
2018-01-30,67.48,75.08,67.4,70.67,70.67,6126500
2018-01-31,71.5,71.95,69.88,71.77,71.77,3927000
2018-02-01,79.32,85.24,77.89,83.34,83.34,10691400
2018-02-02,82.41,83.89,80.62,80.77,80.77,4082300
2018-02-05,80.2,81.97,75.35,75.58,75.58,4736300
2018-02-06,74.99,79.25,74.11,79.07,79.07,3857200
2018-02-07,78.75,80.02,78.07,78.09,78.09,3619000
2018-02-08,78.09,80.62,76.81,76.85,76.85,2670100
2018-02-09,77.76,79.8,75.5,77.85,77.85,3382800
2018-02-12,78.34,79.95,77.94,79.17,79.17,1615200
2018-02-13,78.8,79.7,78.51,79.35,79.35,1184900
2018-02-14,78.81,79.83,78.45,78.82,78.82,1748000
2018-02-15,78.97,79.72,77.48,78.56,78.56,1393900
2018-02-16,78.37,78.82,77.29,77.31,77.31,1387000
2018-02-20,77.37,80.88,77.37,80.17,80.17,2328000
2018-02-21,80.38,80.84,79.72,79.95,79.95,1735700
2018-02-22,80.17,80.6,78.12,78.5,78.5,1632400
2018-02-23,78.98,80.16,78.57,80.13,80.13,1073600
2018-02-26,80.13,81.49,79.86,81.48,81.48,1029400
2018-02-27,81.58,82.28,81.18,81.21,81.21,1143700
2018-02-28,81.25,81.93,80.15,80.71,80.71,989300
2018-03-01,80.83,81.09,78.16,78.61,78.61,1488400
2018-03-02,77.87,81.3,77.87,81.13,81.13,1667300
2018-03-05,80.65,83.53,80.65,83.19,83.19,1692500
2018-03-06,83.46,84.24,83.25,83.68,83.68,1261300
2018-03-07,82.83,84.3,82.77,83.32,83.32,1778500
2018-03-08,83.5,84.29,82.7,84.23,84.23,1383400
2018-03-09,84.45,85.51,83.88,85.51,85.51,1437600
2018-03-12,86.0,86.84,83.96,86.39,86.39,1861700
2018-03-13,86.56,86.56,83.07,83.42,83.42,1774700
2018-03-14,83.46,83.75,81.25,82.22,82.22,1390900
2018-03-15,79.48,80.02,74.79,79.0,79.0,6676800
2018-03-16,79.29,81.62,78.99,80.75,80.75,2831900
2018-03-19,79.8,80.31,77.42,78.42,78.42,2532000
2018-03-20,75.05,76.66,73.52,75.07,75.07,4309600
2018-03-21,75.07,75.92,73.92,74.18,74.18,2088200
2018-03-22,73.43,74.43,72.19,72.65,72.65,2639800
2018-03-23,72.76,73.4,70.61,71.55,71.55,2167400
2018-03-26,72.55,73.53,71.26,73.34,73.34,1813800
2018-03-27,73.49,73.57,69.64,70.23,70.23,1855900
2018-03-28,69.93,70.87,68.13,68.54,68.54,1717600
2018-03-29,69.12,71.06,68.25,70.45,70.45,1542200
2018-04-02,70.07,70.44,68.06,68.53,68.53,1275200
2018-04-03,69.01,69.93,68.65,69.71,69.71,1093800
2018-04-04,68.22,71.59,67.81,71.51,71.51,1231800
2018-04-05,71.66,72.4,70.93,71.41,71.41,1622900
