Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,107.46,108.37,106.92,108.18,100.71,856600
2017-05-25,109.13,111.0,108.58,110.26,102.64,1672300
2017-05-26,110.01,111.45,110.0,111.08,103.41,1090800
2017-05-30,110.97,111.14,110.07,110.43,102.8,1184000
2017-05-31,110.45,111.05,109.75,110.18,103.02,1774400
2017-06-01,110.61,112.95,110.29,112.75,105.42,1430600
2017-06-02,113.25,114.5,113.22,113.38,106.01,1086000
2017-06-05,113.11,113.25,112.05,112.06,104.77,917300
2017-06-06,111.77,112.31,110.83,110.85,103.64,1522600
2017-06-07,111.47,112.62,110.39,112.15,104.86,1273300
2017-06-08,112.15,113.7,111.78,112.82,105.48,1043000
2017-06-09,112.88,113.53,108.86,109.82,102.68,1634300
2017-06-12,109.67,110.0,106.66,109.9,102.75,2041500
2017-06-13,111.19,112.61,110.64,110.83,103.62,1544000
2017-06-14,112.0,112.82,110.73,111.64,104.38,1351300
2017-06-15,110.49,112.13,109.56,112.07,104.78,1432300
2017-06-16,111.59,112.35,110.73,111.9,104.62,1480300
2017-06-19,112.49,113.45,112.31,113.3,105.93,1128800
2017-06-20,113.38,113.68,111.58,111.67,104.41,753300
2017-06-21,112.0,114.34,112.0,113.91,106.5,1605200
2017-06-22,113.82,115.63,112.09,112.15,104.86,1717000
2017-06-23,112.17,112.36,110.84,111.86,104.59,1593200
2017-06-26,111.92,112.76,111.21,111.33,104.09,939000
2017-06-27,111.33,111.52,108.81,108.89,101.81,1275500
2017-06-28,109.77,110.95,109.77,110.75,103.55,1224500
2017-06-29,110.65,110.82,107.87,109.27,102.16,1032000
2017-06-30,109.43,109.84,108.42,109.23,102.13,1137700
2017-07-03,109.71,111.22,108.82,108.84,101.76,723800
2017-07-05,109.02,111.1,109.0,110.64,103.45,1135400
2017-07-06,109.77,109.77,108.13,108.57,101.51,992100
2017-07-07,108.98,110.0,108.58,109.2,102.1,930200
2017-07-10,109.3,109.68,108.89,109.19,102.09,730400
2017-07-11,109.14,109.39,107.79,109.26,102.16,953600
2017-07-12,109.73,110.38,109.6,110.02,102.87,1060500
2017-07-13,110.09,110.31,108.85,109.55,102.43,795400
2017-07-14,109.3,109.87,108.49,108.89,101.81,881900
2017-07-17,108.9,111.97,108.65,111.49,104.24,1496500
2017-07-18,111.27,112.29,110.8,111.85,104.58,872100
2017-07-19,112.04,112.6,111.61,112.56,105.24,1166100
2017-07-20,113.73,116.36,113.73,115.26,107.77,1890500
2017-07-21,115.0,116.2,114.77,114.91,107.44,1467900
2017-07-24,114.65,116.28,114.53,115.74,108.21,1425800
2017-07-25,116.5,116.89,114.63,114.92,107.45,1137600
2017-07-26,115.28,115.44,114.25,114.45,107.01,811100
2017-07-27,115.06,115.14,112.32,113.29,105.92,1132300
2017-07-28,112.61,113.74,112.19,113.39,106.02,899900
2017-07-31,114.19,114.99,112.87,113.07,105.72,1709400
2017-08-01,117.98,120.0,116.21,116.87,109.27,3280400
2017-08-02,117.64,117.68,114.66,117.39,109.76,2631500
2017-08-03,117.5,120.47,117.0,119.92,112.12,2286900
2017-08-04,119.95,120.96,119.36,119.69,111.91,1529100
2017-08-07,120.0,120.0,117.63,117.76,110.1,2100600
2017-08-08,117.83,121.47,117.8,119.8,112.01,2409100
2017-08-09,118.8,120.51,118.06,120.49,112.66,1959800
2017-08-10,119.39,119.85,116.38,117.31,109.68,2002600
2017-08-11,116.41,117.74,115.45,117.22,109.6,1787400
2017-08-14,118.42,119.92,118.0,119.61,111.83,1785000
2017-08-15,120.69,122.96,120.4,121.72,113.81,1934700
2017-08-16,122.22,122.6,121.11,121.23,113.35,1515200
2017-08-17,121.0,121.15,119.12,119.22,111.47,2024100
2017-08-18,119.21,120.0,118.37,118.81,111.08,1747300
2017-08-21,119.18,120.23,118.91,119.99,112.19,1528100
2017-08-22,120.0,121.36,119.88,121.01,113.14,1458400
2017-08-23,120.45,121.47,120.45,120.62,112.78,1058500
2017-08-24,121.18,121.34,119.97,120.54,112.7,1407100
2017-08-25,120.98,121.01,119.95,120.44,112.61,962000
2017-08-28,120.68,121.7,120.42,120.76,112.91,1537400
2017-08-29,119.39,120.47,118.65,120.33,112.51,1470100
2017-08-30,120.24,121.73,119.66,121.63,113.72,1254200
2017-08-31,122.35,124.51,122.0,124.46,116.37,1784100
2017-09-01,124.91,125.0,123.82,124.24,116.16,1202400
2017-09-05,123.92,123.92,117.78,119.04,111.3,2768700
2017-09-06,118.46,119.56,117.26,118.82,111.09,2073800
2017-09-07,119.0,119.88,117.34,117.54,109.9,1535400
2017-09-08,117.0,118.7,115.6,117.45,109.81,2059700
2017-09-11,120.05,123.33,120.01,121.69,113.78,2056900
2017-09-12,121.8,122.24,120.48,121.66,113.75,1418200
2017-09-13,121.24,122.34,120.6,122.19,114.24,1202600
2017-09-14,121.66,124.76,121.13,123.55,115.52,2030800
2017-09-15,121.55,122.23,119.81,120.92,113.06,2624300
2017-09-18,120.95,121.09,118.74,118.8,111.08,1514500
2017-09-19,118.86,119.02,117.49,118.52,110.81,1446200
2017-09-20,118.52,118.57,114.6,115.54,108.03,2812600
2017-09-21,115.5,116.75,114.07,116.19,109.2,2290600
2017-09-22,115.92,116.34,114.81,115.29,108.36,1490900
2017-09-25,114.57,115.1,113.2,113.88,107.03,2098500
2017-09-26,116.05,119.49,115.32,117.19,110.14,2414300
2017-09-27,117.34,118.53,115.54,115.74,108.78,1805400
2017-09-28,115.15,118.54,115.09,118.21,111.1,2088500
2017-09-29,118.09,119.35,116.73,118.54,111.41,1743900
2017-10-02,118.38,119.22,117.55,119.12,111.96,1617500
2017-10-03,119.2,119.64,117.82,119.0,111.84,1151300
2017-10-04,119.09,122.3,119.0,121.67,114.35,1694100
2017-10-05,121.86,124.23,121.86,123.66,116.22,1819100
2017-10-06,123.82,125.0,122.78,123.39,115.97,1076100
2017-10-09,123.36,124.64,122.98,124.53,117.04,1111300
2017-10-10,124.88,126.07,124.59,124.8,117.29,1445500
2017-10-11,125.43,125.86,124.5,125.01,117.49,1579600
2017-10-12,124.78,125.68,124.51,125.0,117.48,1709400
2017-10-13,125.35,128.09,125.27,127.77,120.09,1817900
2017-10-16,127.58,127.92,126.5,127.39,119.73,1231000
2017-10-17,127.4,127.66,127.0,127.22,119.57,1013600
2017-10-18,127.48,127.58,124.85,124.88,117.37,1855100
2017-10-19,124.5,124.65,121.06,121.12,113.84,2822700
2017-10-20,122.01,122.7,120.14,120.71,113.45,1898100
2017-10-23,121.0,122.88,120.75,121.74,114.42,1503100
2017-10-24,122.0,122.65,121.37,122.4,115.04,1340400
2017-10-25,121.75,122.86,120.71,121.28,113.99,1288000
2017-10-26,122.08,123.28,121.84,123.06,115.66,1036400
2017-10-27,122.92,125.82,121.7,124.21,116.74,2192900
2017-10-30,123.67,123.95,121.33,121.99,114.65,1986600
2017-10-31,122.37,125.26,122.19,123.77,116.33,1455000
2017-11-01,124.25,124.75,120.28,120.86,113.59,2091700
2017-11-02,121.02,124.59,120.93,123.09,115.69,2195200
2017-11-03,123.45,123.8,122.77,123.18,115.77,839800
2017-11-06,123.64,127.24,123.64,125.34,117.8,2427400
2017-11-07,132.19,133.75,126.86,129.23,121.46,3568500
2017-11-08,129.49,130.18,128.36,128.92,121.17,1778700
2017-11-09,128.38,129.08,126.12,126.67,119.05,2007600
2017-11-10,125.17,125.39,120.76,124.22,116.75,2426700
2017-11-13,122.89,124.75,122.86,124.48,116.99,1342000
2017-11-14,122.78,123.67,121.39,123.51,116.08,1818900
2017-11-15,122.92,123.8,121.67,122.52,115.15,1038200
2017-11-16,122.98,123.74,121.64,122.79,115.4,1368600
2017-11-17,122.19,124.53,122.19,124.4,116.92,1458400
2017-11-20,124.4,124.84,122.78,123.95,116.5,1009300
2017-11-21,124.53,125.53,123.18,124.79,117.28,1086500
2017-11-22,125.29,125.64,124.32,125.45,117.9,819500
2017-11-24,125.9,125.9,124.66,125.21,117.68,488600
2017-11-27,125.45,126.19,124.87,125.25,117.72,859300
2017-11-28,125.42,127.15,124.71,125.8,118.23,1143100
2017-11-29,126.34,126.51,124.04,124.7,117.2,1062500
2017-11-30,123.65,125.14,120.07,123.88,116.43,2426900
2017-12-01,123.85,125.92,122.52,125.23,117.7,1847600
2017-12-04,127.0,127.82,125.08,125.08,117.56,1626100
2017-12-05,125.28,125.88,122.72,122.82,115.43,1268000
2017-12-06,123.0,123.56,121.61,123.02,115.62,1370600
2017-12-07,123.5,124.8,122.47,124.05,116.59,1298800
2017-12-08,124.44,126.59,124.09,125.23,117.7,1276100
2017-12-11,125.38,126.05,124.46,125.45,117.9,902900
2017-12-12,125.27,125.58,123.46,123.83,116.38,1156100
2017-12-13,123.74,123.84,121.57,121.69,114.37,1103200
2017-12-14,121.88,122.79,121.11,121.66,114.34,1418600
2017-12-15,122.37,125.65,122.37,125.09,117.57,1989200
2017-12-18,125.37,129.67,125.18,126.58,118.97,2009300
2017-12-19,127.33,128.62,126.39,126.55,118.94,1270000
2017-12-20,126.24,127.12,123.35,123.48,116.61,1341300
2017-12-21,123.96,124.44,121.34,121.75,114.97,1346200
2017-12-22,121.43,122.19,120.41,121.06,114.32,1077900
2017-12-26,120.8,120.93,119.85,120.18,113.49,638300
2017-12-27,120.03,121.53,120.03,121.21,114.46,576500
2017-12-28,121.35,121.6,120.31,120.88,114.15,598700
2017-12-29,121.13,121.47,119.21,119.28,112.64,924700
2018-01-02,120.17,120.52,119.58,120.38,113.68,1317400
2018-01-03,121.23,124.45,121.04,123.58,116.7,2295100
2018-01-04,124.0,124.29,121.86,122.46,115.64,1118100
2018-01-05,122.72,122.86,120.63,121.23,114.48,1181900
2018-01-08,120.99,121.72,120.12,121.09,114.35,1023800
2018-01-09,121.79,124.12,121.4,123.15,116.29,1191800
2018-01-10,123.0,124.38,122.92,123.06,116.21,1015000
2018-01-11,125.0,125.99,123.73,125.41,118.43,1297400
2018-01-12,125.5,127.65,125.23,127.53,120.43,1523800
2018-01-16,128.38,129.25,125.79,126.75,119.69,1340300
2018-01-17,127.56,130.61,126.98,130.21,122.96,1754400
2018-01-18,130.0,130.5,128.93,129.32,122.12,1328400
2018-01-19,130.31,130.41,128.8,128.97,121.79,1445500
2018-01-22,128.88,128.89,126.54,128.7,121.54,1738100
2018-01-23,128.83,129.14,126.67,127.22,120.14,2094500
2018-01-24,127.92,134.76,127.49,132.51,125.13,4607300
2018-01-25,132.52,132.68,130.05,131.93,124.59,2058200
2018-01-26,132.6,135.19,132.12,134.98,127.47,1569000
2018-01-29,134.55,135.65,133.75,134.77,127.27,1302100
2018-01-30,134.22,135.1,132.82,133.28,125.86,1379100
2018-01-31,133.27,134.81,133.18,133.55,126.12,1455600
2018-02-01,133.35,134.19,132.86,133.31,125.89,1296800
2018-02-02,132.68,133.28,129.21,129.66,122.44,1416300
2018-02-05,128.89,129.94,124.55,125.37,118.39,1783600
2018-02-06,122.77,128.03,122.55,127.66,120.55,1756000
2018-02-07,127.69,130.09,127.16,128.52,121.37,1761700
2018-02-08,128.62,128.68,122.42,122.45,115.63,1221500
2018-02-09,124.09,125.61,119.76,124.47,117.54,2334500
2018-02-12,126.51,130.5,125.97,129.27,122.07,2081600
2018-02-13,128.6,130.15,127.75,129.03,121.85,1732200
2018-02-14,128.07,131.34,128.01,130.53,123.26,1538300
2018-02-15,131.38,131.99,129.9,131.71,124.38,993100
2018-02-16,131.1,132.7,130.27,131.68,124.35,1195700
2018-02-20,131.0,132.92,130.6,131.56,124.24,1155300
2018-02-21,132.04,133.09,130.47,130.55,123.28,1459900
2018-02-22,131.41,133.02,129.59,129.6,122.39,1652800
2018-02-23,130.32,130.78,129.7,130.2,122.95,1045200
2018-02-26,130.96,131.27,129.94,130.4,123.14,1058400
2018-02-27,130.4,130.62,128.83,128.86,121.69,1264900
2018-02-28,129.45,130.13,126.55,126.6,119.55,1836700
2018-03-01,126.34,127.45,123.15,123.97,117.07,1681400
2018-03-02,123.0,123.14,120.96,122.63,115.8,1898500
2018-03-05,121.62,122.47,120.44,121.36,114.6,1886800
2018-03-06,121.6,124.19,121.2,123.8,117.49,2536300
2018-03-07,122.78,123.83,122.24,123.53,117.23,1503900
2018-03-08,124.35,125.2,124.06,124.78,118.42,1824300
2018-03-09,125.69,126.67,124.43,126.62,120.17,2276900
2018-03-12,127.24,127.24,124.77,125.26,118.87,1173300
2018-03-13,126.13,127.02,125.39,125.95,119.53,1145700
2018-03-14,126.38,126.65,124.66,125.63,119.23,1259800
2018-03-15,125.88,126.15,124.64,124.65,118.3,843500
2018-03-16,124.53,125.11,124.26,124.75,118.39,1262100
2018-03-19,124.84,125.59,123.48,124.42,118.08,959300
2018-03-20,125.29,126.96,124.39,124.86,118.5,1432400
2018-03-21,124.83,125.13,123.08,123.37,117.08,1069600
2018-03-22,124.11,124.92,120.05,120.18,114.05,1697000
2018-03-23,120.49,120.96,116.98,117.04,111.07,1607400
2018-03-26,118.54,119.97,117.31,119.92,113.81,1035700
2018-03-27,120.0,121.24,117.69,118.3,112.27,966100
2018-03-28,118.38,118.93,115.94,116.53,110.59,1199300
2018-03-29,117.23,118.72,116.55,117.74,111.74,1071900
2018-04-02,118.0,118.66,114.74,116.26,110.33,1228400
2018-04-03,116.57,116.97,114.62,115.65,109.75,875700
2018-04-04,114.22,117.1,113.92,116.85,110.89,1057800
2018-04-05,117.52,118.79,116.86,117.82,111.81,1918000
2018-04-06,117.14,117.73,114.02,114.83,108.98,1106300
2018-04-09,115.89,117.37,115.06,115.13,109.26,1143300
2018-04-10,116.17,116.8,110.88,112.92,107.16,2622300
