Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,247.54,247.98,246.0,247.6,222.28,303500
2017-05-25,247.34,249.39,247.04,249.01,223.54,254600
2017-05-26,247.77,248.75,246.51,248.66,224.36,189700
2017-05-30,247.04,248.8,245.61,248.27,224.0,225600
2017-05-31,250.08,254.65,248.13,254.65,229.76,718300
2017-06-01,255.14,256.04,253.45,255.6,230.62,275800
2017-06-02,255.16,255.93,253.76,255.53,230.55,195400
2017-06-05,255.61,255.98,253.79,254.08,229.25,194400
2017-06-06,252.83,254.27,251.63,252.08,227.44,220300
2017-06-07,251.55,252.99,251.36,252.43,227.76,204200
2017-06-08,251.86,254.49,251.24,253.17,228.42,290600
2017-06-09,254.32,256.45,253.51,255.57,230.59,252600
2017-06-12,255.57,258.47,254.86,258.12,232.89,251800
2017-06-13,258.0,258.0,254.53,255.26,230.31,494400
2017-06-14,254.14,255.43,251.39,252.38,227.71,391400
2017-06-15,250.47,253.05,250.28,252.09,227.45,479600
2017-06-16,253.07,255.98,251.6,255.59,230.61,7583800
2017-06-19,257.16,259.94,256.91,257.32,232.17,487900
2017-06-20,256.75,257.9,253.54,254.86,229.95,321800
2017-06-21,254.85,257.04,254.03,256.58,231.5,369900
2017-06-22,256.49,258.2,255.35,256.74,231.65,368900
2017-06-23,257.22,257.22,253.36,253.98,229.16,469900
2017-06-26,254.88,256.3,253.67,254.15,229.31,299100
2017-06-27,254.28,254.55,252.16,253.41,228.64,355900
2017-06-28,254.49,256.01,253.67,255.07,230.14,532000
2017-06-29,256.21,256.25,253.81,255.16,230.22,346000
2017-06-30,255.05,255.71,252.39,254.59,229.71,427400
2017-07-03,255.6,268.38,254.93,263.95,238.15,523900
2017-07-05,264.8,265.7,262.37,262.75,237.07,522600
2017-07-06,262.5,263.13,260.91,261.32,235.78,437800
2017-07-07,262.78,264.07,261.04,263.21,237.48,281500
2017-07-10,262.51,267.05,262.21,265.58,239.62,476900
2017-07-11,266.28,266.28,260.18,262.24,236.61,522800
2017-07-12,262.0,264.61,261.41,262.72,237.04,310400
2017-07-13,263.63,264.3,261.9,263.83,238.04,319800
2017-07-14,263.27,263.95,261.92,263.75,237.97,287500
2017-07-17,262.6,265.47,261.16,264.86,238.97,272600
2017-07-18,263.35,268.41,262.68,267.33,241.2,483600
2017-07-19,268.2,270.81,267.33,269.04,242.74,489800
2017-07-20,268.73,269.82,267.72,269.11,242.81,399900
2017-07-21,268.57,270.37,267.99,270.12,243.72,347900
2017-07-24,270.74,273.55,269.28,271.12,244.62,451700
2017-07-25,272.75,277.17,263.27,266.73,240.66,662600
2017-07-26,266.82,266.82,259.84,260.02,234.61,521400
2017-07-27,259.57,259.86,257.08,259.53,234.16,387200
2017-07-28,259.53,260.55,258.17,259.86,234.46,312900
2017-07-31,260.07,263.25,260.07,262.39,236.74,307500
2017-08-01,264.23,265.58,261.98,263.99,238.19,393700
2017-08-02,263.85,266.87,263.04,265.34,239.41,277500
2017-08-03,265.0,266.87,264.46,266.06,240.06,213300
2017-08-04,267.2,267.43,264.06,265.67,239.7,211700
2017-08-07,265.75,266.27,264.22,265.59,239.63,235100
2017-08-08,265.33,266.25,264.8,266.19,240.17,289600
2017-08-09,265.27,268.83,264.88,268.72,242.46,249500
2017-08-10,268.52,269.7,267.86,269.3,242.98,330600
2017-08-11,269.5,269.67,264.86,265.07,239.16,218600
2017-08-14,266.29,268.96,266.06,268.94,242.65,230600
2017-08-15,269.6,270.94,266.39,267.41,241.27,258000
2017-08-16,268.52,269.65,266.0,266.91,240.82,227300
2017-08-17,266.71,267.25,262.17,262.5,236.84,296600
2017-08-18,261.73,263.26,261.33,263.02,237.31,659500
2017-08-21,263.14,263.31,261.53,262.47,236.82,215200
2017-08-22,262.65,263.68,262.22,263.68,237.91,254600
2017-08-23,263.57,265.73,262.6,262.79,237.1,194200
2017-08-24,262.78,263.1,256.68,257.61,232.43,369100
2017-08-25,257.5,260.58,257.23,260.24,234.8,302000
2017-08-28,258.86,258.88,251.76,252.89,228.17,581900
2017-08-29,251.84,253.43,250.75,252.49,227.81,491100
2017-08-30,251.91,253.91,250.93,251.75,227.14,405500
2017-08-31,251.74,253.0,250.19,252.48,227.8,528800
2017-09-01,251.36,252.94,247.77,248.38,225.22,540600
2017-09-05,246.13,246.13,230.06,231.19,209.63,1013700
2017-09-06,231.07,233.85,227.19,227.38,206.18,1195200
2017-09-07,227.3,227.31,210.2,211.94,192.18,1196400
2017-09-08,211.9,226.67,209.22,222.48,201.73,1566400
2017-09-11,242.17,245.21,230.74,231.96,210.33,1421900
2017-09-12,231.95,234.96,229.19,233.25,211.5,653200
2017-09-13,231.96,234.12,229.53,233.32,211.56,479900
2017-09-14,233.33,233.33,227.02,229.29,207.91,558300
2017-09-15,229.6,231.85,228.56,231.66,210.06,540100
2017-09-18,232.0,232.83,226.18,226.67,205.53,483400
2017-09-19,226.39,229.05,225.23,225.88,204.82,599400
2017-09-20,225.79,226.13,221.59,224.82,203.86,648400
2017-09-21,225.25,228.65,225.01,227.3,206.1,427000
2017-09-22,226.31,227.35,224.2,226.26,205.16,341700
2017-09-25,225.4,227.55,223.55,223.94,203.06,537000
2017-09-26,222.23,222.99,217.05,220.27,199.73,888700
2017-09-27,222.95,223.29,220.97,221.08,200.46,736000
2017-09-28,220.98,224.47,219.78,222.88,202.1,591800
2017-09-29,223.57,229.45,222.69,228.39,207.09,663300
2017-10-02,227.2,230.46,224.51,229.28,207.9,560000
2017-10-03,228.55,230.05,227.44,229.32,207.94,412300
2017-10-04,229.5,230.15,227.55,227.7,206.47,396000
2017-10-05,226.58,228.42,226.01,226.75,205.61,450300
2017-10-06,227.28,228.14,224.67,225.01,204.03,312100
2017-10-09,225.59,227.46,224.0,226.02,204.94,343700
2017-10-10,226.0,227.33,224.71,224.77,203.81,380200
2017-10-11,224.53,224.78,221.02,222.51,201.76,564000
2017-10-12,223.09,227.66,223.09,226.81,205.66,579500
2017-10-13,228.0,244.59,228.0,240.51,218.08,933400
2017-10-16,239.96,241.14,237.79,238.12,215.91,562400
2017-10-17,239.19,239.19,235.16,236.4,214.36,439300
2017-10-18,237.1,237.48,234.11,235.0,213.09,323400
2017-10-19,234.58,237.46,234.21,237.25,215.13,237900
2017-10-20,239.3,239.54,235.74,236.67,214.6,402200
2017-10-23,236.98,236.98,234.71,235.85,213.86,294100
2017-10-24,235.53,238.01,233.36,234.28,212.43,491200
2017-10-25,233.57,238.06,231.76,232.94,211.22,536500
2017-10-26,234.0,236.14,231.9,234.95,213.04,371500
2017-10-27,234.59,239.19,232.15,236.95,214.85,534300
2017-10-30,235.8,240.74,235.8,239.12,216.82,645800
2017-10-31,239.0,244.17,236.28,237.45,215.31,817200
2017-11-01,238.57,239.13,234.79,234.79,212.9,728600
2017-11-02,234.79,237.25,226.78,227.44,206.23,692600
2017-11-03,227.44,228.87,224.04,227.84,206.59,500700
2017-11-06,227.6,230.74,227.6,228.46,207.16,310600
2017-11-07,229.0,231.68,226.61,227.03,205.86,489800
2017-11-08,226.12,229.07,225.13,228.36,207.07,580900
2017-11-09,228.25,232.37,226.72,230.79,209.27,561600
2017-11-10,230.55,232.78,228.02,231.14,209.59,329200
2017-11-13,230.66,231.21,228.13,228.55,207.24,410500
2017-11-14,227.55,228.6,225.7,226.13,205.04,425400
2017-11-15,225.47,230.48,223.54,229.27,207.89,599000
2017-11-16,229.31,229.96,224.64,225.47,204.44,589300
2017-11-17,225.7,227.59,224.7,226.32,205.22,832900
2017-11-20,226.34,226.34,223.23,223.84,202.97,447000
2017-11-21,224.67,224.67,221.95,222.25,201.52,499300
2017-11-22,222.35,222.88,219.07,219.24,198.8,623000
2017-11-24,219.37,219.89,217.3,217.67,197.37,299200
2017-11-27,219.46,223.73,217.91,223.07,202.27,950500
2017-11-28,222.83,225.96,221.26,225.01,205.22,573800
2017-11-29,225.43,227.67,220.73,222.74,203.15,481300
