Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,46.49,46.49,45.65,45.82,41.78,678600
2017-05-25,46.06,46.36,46.0,46.14,42.07,811400
2017-05-26,46.14,46.25,45.68,45.9,41.85,476000
2017-05-30,45.71,46.17,45.39,46.04,41.98,711800
2017-05-31,46.24,46.56,45.65,46.49,42.39,1212500
2017-06-01,46.49,47.55,46.38,47.47,43.28,1082800
2017-06-02,47.35,47.7,46.84,47.34,43.16,1085200
2017-06-05,47.41,47.54,46.49,46.51,42.41,774500
2017-06-06,46.22,46.57,45.91,46.29,42.21,611400
2017-06-07,46.43,46.63,45.91,46.04,41.98,681200
2017-06-08,46.04,47.18,46.03,46.66,42.54,895300
2017-06-09,46.72,47.4,46.5,47.25,43.08,545400
2017-06-12,47.3,47.58,46.71,47.01,42.86,777400
2017-06-13,47.01,47.57,46.69,46.85,42.72,792600
2017-06-14,46.66,47.98,46.45,47.86,43.64,1001400
2017-06-15,47.49,48.16,47.21,48.09,43.85,790400
2017-06-16,48.08,48.32,47.63,47.75,43.54,1933300
2017-06-19,47.85,49.03,47.74,48.99,44.67,742400
2017-06-20,48.84,48.97,48.31,48.36,44.09,598900
2017-06-21,48.53,48.6,47.45,47.63,43.43,804600
2017-06-22,47.66,47.66,46.99,47.43,43.25,989000
2017-06-23,47.55,47.68,47.24,47.46,43.27,1151300
2017-06-26,47.64,47.83,47.45,47.69,43.48,601800
2017-06-27,47.68,47.87,47.31,47.53,43.34,584200
2017-06-28,47.8,48.31,47.33,48.12,43.87,1137600
2017-06-29,48.37,48.4,47.13,47.77,43.56,734700
2017-06-30,47.93,48.22,47.7,47.93,43.7,728900
2017-07-03,48.2,49.05,48.06,48.71,44.41,355900
2017-07-05,48.59,49.02,48.45,48.76,44.46,805700
2017-07-06,48.33,48.59,47.96,47.97,43.74,1047100
2017-07-07,48.24,49.5,48.16,49.17,44.83,1004200
2017-07-10,48.98,49.57,48.58,49.39,45.03,871700
2017-07-11,49.38,49.38,48.32,48.41,44.14,719700
2017-07-12,48.82,49.29,48.76,49.16,44.82,580300
2017-07-13,49.26,49.26,48.74,48.95,44.63,604400
2017-07-14,48.94,49.22,48.76,49.05,44.72,596800
2017-07-17,48.94,49.01,48.58,48.6,44.31,645800
2017-07-18,48.4,48.85,47.88,48.33,44.07,865300
2017-07-19,48.39,48.67,48.19,48.45,44.18,551900
2017-07-20,48.44,48.82,48.25,48.66,44.37,571300
2017-07-21,48.57,48.95,48.32,48.42,44.15,565000
2017-07-24,48.48,48.65,46.83,47.17,43.01,1515000
2017-07-25,47.58,47.83,47.0,47.8,43.58,1418800
2017-07-26,46.77,47.35,44.19,44.24,40.34,2510100
2017-07-27,44.22,44.36,43.51,43.82,39.95,1702700
2017-07-28,43.8,45.18,43.73,44.82,40.87,1169400
2017-07-31,45.01,45.4,44.68,45.25,41.26,1068200
2017-08-01,45.28,45.61,44.86,45.12,41.14,1417200
2017-08-02,45.1,45.45,44.08,44.51,40.58,1265900
2017-08-03,44.43,44.92,44.24,44.49,40.57,1278000
2017-08-04,44.64,44.82,43.94,44.22,40.32,1139500
2017-08-07,44.14,44.46,43.82,43.87,40.0,895100
2017-08-08,43.89,44.77,43.76,44.24,40.34,1439800
2017-08-09,44.02,44.29,43.73,43.93,40.05,1257900
2017-08-10,43.81,43.99,43.34,43.42,39.59,1182000
2017-08-11,43.29,43.84,43.28,43.41,39.58,493200
2017-08-14,43.82,44.28,43.51,43.98,40.1,567200
2017-08-15,44.14,44.38,43.75,43.88,40.01,613600
2017-08-16,44.07,44.24,43.76,43.84,39.97,766100
2017-08-17,43.71,43.99,43.23,43.24,39.43,731200
2017-08-18,43.08,43.73,42.92,43.33,39.51,795500
2017-08-21,43.35,43.69,43.13,43.56,39.72,620400
2017-08-22,43.66,44.44,43.62,44.07,40.18,663400
2017-08-23,43.69,44.0,43.45,43.7,40.06,728700
2017-08-24,43.89,43.89,43.53,43.72,40.08,583600
2017-08-25,43.99,44.33,43.81,44.04,40.37,535900
2017-08-28,44.1,44.23,43.88,44.1,40.43,1035200
2017-08-29,43.83,44.57,43.8,44.45,40.75,772600
2017-08-30,44.41,44.55,44.14,44.25,40.57,659800
2017-08-31,44.44,45.33,44.35,45.3,41.53,1028700
2017-09-01,45.4,45.69,44.91,45.28,41.51,783600
2017-09-05,45.17,45.17,44.41,44.62,40.91,696900
2017-09-06,44.78,44.92,44.38,44.39,40.7,969900
2017-09-07,44.48,44.86,44.39,44.85,41.12,738000
2017-09-08,44.73,45.73,44.53,45.49,41.7,747700
2017-09-11,45.89,46.55,45.61,45.86,42.04,677400
2017-09-12,45.97,46.48,45.9,46.45,42.58,555200
