Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,48.85,49.03,48.21,48.57,45.08,844500
2017-05-25,48.9,49.33,48.63,49.09,45.57,651450
2017-05-26,48.95,49.21,48.75,49.12,45.59,802200
2017-05-30,48.77,48.97,48.29,48.67,45.17,626850
2017-05-31,48.7,48.7,47.57,48.18,44.72,1421400
2017-06-01,48.56,49.21,48.05,49.21,45.67,1323900
2017-06-02,48.78,49.15,48.44,48.89,45.37,850350
2017-06-05,49.0,49.64,48.93,49.19,45.66,647850
2017-06-06,48.64,49.27,48.37,49.06,45.54,1123950
2017-06-07,49.26,49.57,48.87,49.31,45.76,853350
2017-06-08,49.31,51.03,49.21,50.72,47.08,1618950
2017-06-09,51.21,52.41,51.21,52.19,48.44,1149450
2017-06-12,52.25,52.95,52.19,52.49,48.72,1405950
2017-06-13,52.73,53.03,52.23,52.61,48.83,1066650
2017-06-14,52.08,52.66,51.46,52.63,48.85,892350
2017-06-15,52.17,52.8,52.14,52.42,48.65,553950
2017-06-16,52.45,52.65,52.01,52.31,48.56,1290000
2017-06-19,52.63,52.93,52.33,52.71,48.92,1206900
2017-06-20,52.58,52.58,52.0,52.1,48.36,788400
2017-06-21,52.11,52.26,51.68,51.79,48.07,1182300
2017-06-22,51.55,51.63,51.06,51.46,47.76,644550
2017-06-23,51.81,51.81,50.95,51.08,47.41,2750250
2017-06-26,51.24,51.87,50.93,51.66,47.95,851250
2017-06-27,51.99,52.88,51.97,52.43,48.66,990150
2017-06-28,52.91,53.96,52.77,53.81,49.94,1576950
2017-06-29,54.61,55.06,53.21,53.67,49.95,1311750
2017-06-30,54.05,54.17,53.21,53.48,49.77,1065000
2017-07-03,53.92,54.67,53.59,54.4,50.63,514950
2017-07-05,54.47,54.65,54.17,54.35,50.59,1080000
2017-07-06,54.32,54.96,53.97,54.01,50.26,1136850
2017-07-07,54.26,54.45,53.78,54.26,50.5,723900
2017-07-10,54.21,55.07,53.89,54.93,51.13,863400
2017-07-11,55.0,55.0,54.33,54.51,50.74,663600
2017-07-12,54.4,54.91,54.08,54.83,51.03,694200
2017-07-13,55.0,55.33,54.77,55.02,51.21,541050
2017-07-14,54.36,55.17,54.09,54.87,51.06,645150
2017-07-17,54.89,55.35,54.65,55.18,51.36,611400
2017-07-18,54.83,55.18,54.59,55.11,51.29,1195050
2017-07-19,55.39,55.42,54.78,55.18,51.36,593100
2017-07-20,55.18,55.48,55.09,55.15,51.33,702750
2017-07-21,55.01,55.6,54.97,55.15,51.32,669000
2017-07-24,55.09,56.02,55.09,55.9,52.03,808200
2017-07-25,56.63,56.94,56.39,56.66,52.73,1036200
2017-07-26,56.91,57.31,56.68,56.91,52.97,1317000
2017-07-27,56.24,56.26,54.15,55.15,51.33,2617200
2017-07-28,55.08,55.5,54.97,55.26,51.43,724800
2017-07-31,55.51,55.56,55.21,55.46,51.62,793650
2017-08-01,55.88,56.02,55.33,55.63,51.77,985800
2017-08-02,55.49,55.74,54.86,55.2,51.37,890250
2017-08-03,55.21,55.21,54.71,54.92,51.11,909600
2017-08-04,55.43,55.8,55.06,55.27,51.44,915900
2017-08-07,55.25,55.43,54.99,55.25,51.42,545250
2017-08-08,55.15,55.83,55.04,55.25,51.42,585000
2017-08-09,54.83,54.93,54.33,54.61,50.83,977250
2017-08-10,54.4,54.42,53.19,53.23,49.54,938100
2017-08-11,53.15,53.59,52.77,52.9,49.23,781350
2017-08-14,53.51,54.07,53.45,53.48,49.77,680700
2017-08-15,54.05,54.13,53.28,53.56,49.85,699150
2017-08-16,53.75,53.91,53.16,53.28,49.59,483300
2017-08-17,52.89,53.19,51.81,51.83,48.24,912600
2017-08-18,51.67,52.32,51.44,51.9,48.3,1191300
2017-08-21,51.93,51.99,51.55,51.81,48.22,704100
2017-08-22,52.03,52.71,51.98,52.67,49.02,673200
2017-08-23,52.29,53.01,52.29,52.67,49.02,488850
2017-08-24,52.85,53.05,52.51,52.53,48.89,960450
2017-08-25,52.81,53.02,52.37,52.5,48.86,630600
2017-08-28,52.77,52.78,52.19,52.28,48.66,461550
2017-08-29,51.57,52.03,51.46,51.69,48.11,808950
2017-08-30,51.77,52.39,51.61,52.13,48.52,574500
2017-08-31,52.37,52.49,52.05,52.21,48.59,653850
2017-09-01,52.37,52.83,52.37,52.64,48.99,651150
2017-09-05,52.22,52.37,50.66,50.85,47.32,714600
2017-09-06,51.19,51.23,50.17,50.77,47.25,964800
2017-09-07,50.84,50.84,49.43,49.87,46.42,1118700
2017-09-08,49.79,50.63,49.66,50.21,46.73,967200
2017-09-11,50.82,51.55,50.75,51.39,47.83,1168950
2017-09-12,51.77,52.23,51.69,52.15,48.53,831600
2017-09-13,51.98,52.34,51.65,52.31,48.68,800550
2017-09-14,52.83,53.01,52.06,52.2,48.58,1237500
2017-09-15,52.25,53.21,52.13,53.18,49.49,1816800
2017-09-18,53.33,54.02,53.29,53.95,50.21,923400
2017-09-19,53.95,54.19,53.73,54.11,50.36,746100
2017-09-20,54.26,55.0,53.8,54.88,51.08,1071300
2017-09-21,54.69,55.3,54.16,55.16,51.34,1222800
2017-09-22,54.96,55.34,54.81,55.27,51.44,593250
2017-09-25,55.02,55.51,54.94,55.15,51.32,808200
2017-09-26,55.31,55.77,54.93,55.3,51.47,766800
2017-09-27,56.02,56.51,55.75,56.25,52.35,967050
2017-09-28,56.26,56.44,55.57,56.38,52.47,547050
2017-09-29,56.11,56.78,55.99,56.22,52.46,945300
2017-10-02,56.22,56.37,55.69,56.37,52.6,1798350
2017-10-03,56.45,57.45,56.19,57.19,53.37,767250
2017-10-04,57.19,57.36,56.85,57.02,53.21,669450
2017-10-05,57.14,57.65,56.89,57.34,53.51,861150
2017-10-06,57.54,58.15,57.0,57.51,53.67,887400
2017-10-09,57.62,57.62,57.17,57.38,53.54,435900
2017-10-10,57.49,57.89,57.22,57.65,53.8,1007550
2017-10-11,57.61,58.03,57.2,57.59,53.74,739950
2017-10-12,57.7,57.95,57.43,57.55,53.7,608850
2017-10-13,57.45,57.5,56.83,56.89,53.08,902550
2017-10-16,56.98,57.31,56.79,57.09,53.28,1291200
2017-10-17,57.21,57.28,56.03,56.07,52.32,823350
2017-10-18,56.43,56.99,56.34,56.87,53.07,1338300
2017-10-19,56.41,57.19,55.96,57.15,53.32,2022900
2017-10-20,57.88,58.13,57.53,57.75,53.89,785100
2017-10-23,57.71,57.99,57.39,57.55,53.7,522000
2017-10-24,57.83,58.06,57.52,57.57,53.72,1039200
2017-10-25,57.57,57.87,56.76,57.15,53.33,1149600
2017-10-26,57.15,57.18,55.63,56.39,52.62,2367600
2017-10-27,56.41,57.22,55.85,56.99,53.18,1395450
2017-10-30,56.61,57.03,56.45,56.67,52.88,927300
2017-10-31,56.8,57.27,56.45,56.52,52.74,1150050
2017-11-01,56.92,56.99,55.82,55.87,52.14,1366650
2017-11-02,55.91,57.38,55.65,57.35,53.51,1159050
2017-11-03,57.1,57.39,56.32,57.13,53.31,978450
2017-11-06,56.83,57.05,56.6,56.88,53.08,604200
2017-11-07,57.06,57.34,55.81,56.02,52.27,836400
2017-11-08,55.8,56.47,55.45,56.11,52.36,745800
2017-11-09,55.68,56.12,55.23,55.74,52.01,575550
2017-11-10,55.77,56.18,55.4,55.7,51.97,902400
2017-11-13,55.14,55.73,55.05,55.58,51.86,1303800
2017-11-14,55.13,55.66,55.01,55.35,51.65,1001250
2017-11-15,54.79,55.43,54.6,55.19,51.5,1572900
