Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,67.64,67.71,66.26,66.68,60.62,1960200
2017-05-25,67.27,67.69,66.45,66.52,60.47,1890600
2017-05-26,66.62,66.79,66.06,66.11,60.1,1452300
2017-05-30,66.33,67.58,66.06,67.34,61.22,2296000
2017-05-31,67.24,67.85,66.53,67.8,61.64,2065600
2017-06-01,68.16,69.71,67.97,69.5,63.18,2147000
2017-06-02,69.7,69.92,68.72,69.17,62.88,2260700
2017-06-05,69.14,69.72,68.75,69.16,62.87,2651500
2017-06-06,68.66,69.46,68.37,69.02,62.75,2285600
2017-06-07,69.16,69.58,68.59,69.13,62.85,2261700
2017-06-08,69.13,70.42,68.87,69.2,62.91,2186400
2017-06-09,68.99,70.28,68.5,70.15,63.77,1413000
2017-06-12,70.0,72.0,69.7,69.7,63.36,2212600
2017-06-13,69.62,70.32,68.78,70.03,63.66,1551100
2017-06-14,70.57,70.73,69.56,70.59,64.17,1306600
2017-06-15,70.14,72.45,69.98,71.57,65.06,2158400
2017-06-16,71.51,72.12,71.06,72.08,65.53,2435300
2017-06-19,72.02,72.11,71.27,71.43,64.94,1772500
2017-06-20,71.57,71.8,70.45,70.66,64.24,1340300
2017-06-21,70.66,71.17,70.28,70.91,64.46,1900900
2017-06-22,71.08,73.96,70.9,71.43,64.94,1601100
2017-06-23,71.27,72.84,70.78,72.73,66.12,1117200
2017-06-26,72.8,73.37,72.19,72.89,66.26,714000
2017-06-27,72.89,73.26,72.36,72.88,66.25,1404100
2017-06-28,72.81,73.66,72.72,72.85,66.68,799900
2017-06-29,73.06,73.84,72.56,73.31,67.11,872900
2017-06-30,73.72,74.29,73.0,73.8,67.55,2321800
2017-07-03,73.95,75.13,73.81,74.85,68.52,417400
2017-07-05,74.73,74.84,72.43,73.1,66.91,1293600
2017-07-06,72.88,73.1,70.36,70.53,64.56,1871200
2017-07-07,70.85,72.86,70.77,72.3,66.18,1359300
2017-07-10,72.15,72.53,71.12,72.42,66.29,1480700
2017-07-11,72.6,72.73,71.56,71.75,65.68,1376500
2017-07-12,72.08,72.51,71.22,71.25,65.22,778700
2017-07-13,71.62,72.35,71.3,71.88,65.8,955400
2017-07-14,71.35,71.88,70.57,71.37,65.33,1237400
2017-07-17,71.5,73.99,71.5,72.82,66.66,995000
2017-07-18,72.74,72.96,71.7,72.14,66.03,1050900
2017-07-19,72.21,73.31,72.08,72.97,66.79,872600
2017-07-20,73.21,74.01,72.89,73.76,67.52,781800
2017-07-21,73.71,75.02,73.14,74.88,68.54,1208700
2017-07-24,74.34,74.44,72.69,73.04,66.86,896300
2017-07-25,73.2,75.77,73.2,74.98,68.63,1147100
2017-07-26,75.06,75.33,74.21,74.66,68.34,1248500
2017-07-27,74.5,75.71,73.75,75.61,69.21,943400
2017-07-28,75.61,75.97,74.69,75.24,68.87,1480600
2017-07-31,75.58,76.24,74.52,75.65,69.25,941600
2017-08-01,75.43,75.86,74.22,75.73,69.32,793600
2017-08-02,75.6,76.1,75.2,75.51,69.12,638200
2017-08-03,75.6,76.45,75.12,76.05,69.61,835300
2017-08-04,76.05,77.35,76.02,77.29,70.75,1030600
2017-08-07,77.37,79.38,76.86,78.15,71.54,2501200
2017-08-08,86.31,88.75,84.25,88.53,81.04,4960300
2017-08-09,88.0,90.45,86.83,87.05,79.68,3450500
2017-08-10,86.69,87.24,83.32,83.84,76.74,2150500
2017-08-11,83.54,85.71,82.31,83.78,76.69,1573400
2017-08-14,84.5,85.18,83.94,84.87,77.69,1054400
2017-08-15,84.4,85.38,83.3,84.96,77.77,1152400
2017-08-16,85.22,86.99,85.22,86.15,78.86,1182300
2017-08-17,85.9,86.95,85.28,85.5,78.26,1188800
2017-08-18,85.24,85.29,83.83,84.32,77.18,1231500
2017-08-21,84.6,85.61,84.14,84.9,77.71,957700
2017-08-22,85.36,85.53,84.47,85.32,78.1,948500
2017-08-23,85.23,85.71,84.51,84.59,77.43,832600
2017-08-24,85.4,86.94,84.75,85.95,78.68,1656400
2017-08-25,86.11,87.87,85.85,87.2,79.82,1178700
2017-08-28,87.08,87.63,86.43,87.23,79.85,847200
2017-08-29,86.42,86.99,86.03,86.83,79.48,548900
2017-08-30,86.57,87.37,85.82,86.95,79.59,1121000
2017-08-31,87.27,87.95,86.93,87.89,80.45,1087900
2017-09-01,87.96,89.42,87.71,89.32,81.76,1188700
2017-09-05,89.77,90.39,88.29,89.5,81.93,1293900
2017-09-06,89.72,90.73,89.22,90.55,82.89,1693000
2017-09-07,90.67,90.97,88.5,88.74,81.23,1480700
2017-09-08,90.45,91.41,89.25,90.79,83.11,1683300
2017-09-11,90.83,92.16,90.4,92.15,84.35,1030000
2017-09-12,92.35,92.55,90.81,91.4,83.66,952700
2017-09-13,91.42,91.63,89.88,90.63,82.96,1124200
2017-09-14,90.49,91.12,89.4,90.82,83.13,1094500
2017-09-15,90.38,91.26,90.0,90.87,83.18,1070400
2017-09-18,91.12,91.39,89.9,90.16,82.53,835400
2017-09-19,90.53,91.28,90.06,91.03,83.33,1070700
2017-09-20,90.46,90.62,88.42,89.11,81.57,1031200
2017-09-21,89.04,89.45,88.01,88.48,80.99,1074700
2017-09-22,88.4,89.05,88.0,88.42,80.94,657300
2017-09-25,88.4,90.05,88.18,88.5,81.01,1272800
2017-09-26,89.06,89.5,88.12,88.73,81.22,1080600
2017-09-27,88.75,89.32,87.54,89.2,81.65,1252900
2017-09-28,88.07,89.53,87.85,88.86,81.8,1353100
2017-09-29,88.95,89.6,88.13,88.29,81.27,985200
2017-10-02,88.38,89.06,87.83,88.98,81.91,738900
2017-10-03,89.47,89.66,88.5,88.54,81.5,662200
2017-10-04,89.14,89.85,88.83,89.48,82.37,1368800
2017-10-05,89.58,89.71,88.99,89.43,82.32,815000
2017-10-06,89.15,89.35,88.02,88.25,81.24,1291800
2017-10-09,88.56,88.59,86.58,86.95,80.04,741900
2017-10-10,85.78,87.54,85.78,87.22,80.29,1261200
2017-10-11,86.67,86.9,84.51,85.2,78.43,1605100
2017-10-12,85.06,85.42,83.26,85.26,78.48,1239000
2017-10-13,85.13,86.25,84.81,85.04,78.28,1258000
2017-10-16,84.91,86.51,84.69,86.05,79.21,1326300
2017-10-17,85.88,86.86,85.81,86.01,79.17,886500
2017-10-18,86.34,87.04,85.21,85.33,78.55,959000
2017-10-19,85.14,86.77,85.12,86.38,79.52,732900
2017-10-20,87.16,90.58,86.98,90.37,83.19,1840700
2017-10-23,89.2,92.16,89.2,89.56,82.44,2003000
2017-10-24,89.48,90.93,89.48,90.67,83.46,1450200
2017-10-25,90.8,92.4,90.2,91.85,84.55,1511300
2017-10-26,91.87,92.84,91.22,91.26,84.01,1412000
2017-10-27,90.5,91.71,89.83,91.09,83.85,1300600
2017-10-30,90.43,92.17,90.05,91.81,84.51,1951100
2017-10-31,91.25,91.9,89.05,89.43,82.32,2034400
2017-11-01,90.21,90.31,88.51,89.45,82.34,2374600
2017-11-02,95.0,97.2,88.69,91.73,84.44,5252700
2017-11-03,91.73,92.41,89.71,90.67,83.46,1588000
2017-11-06,91.0,91.09,87.15,88.03,81.03,2247800
2017-11-07,88.11,88.14,83.91,85.0,78.24,2828900
2017-11-08,85.13,86.69,84.53,85.43,78.64,2051800
2017-11-09,85.21,87.32,85.21,86.3,79.44,1722000
2017-11-10,86.41,87.92,86.36,86.63,79.75,1114200
2017-11-13,86.72,87.34,86.34,86.67,79.78,1466600
2017-11-14,86.15,87.46,86.15,87.2,80.27,905400
2017-11-15,86.91,87.84,86.42,87.13,80.21,1010100
2017-11-16,86.98,88.71,85.91,88.41,81.38,1290500
2017-11-17,89.69,89.87,88.5,89.11,82.03,1077900
2017-11-20,88.98,89.87,88.8,89.56,82.44,876700
2017-11-21,89.87,90.38,88.86,90.27,83.1,785600
2017-11-22,90.16,92.98,90.1,91.94,84.63,1250800
2017-11-24,92.23,93.0,91.14,91.42,84.15,526600
2017-11-27,91.78,92.5,91.55,92.37,85.03,900000
2017-11-28,92.96,94.96,92.73,94.52,87.01,996400
2017-11-29,94.41,96.83,94.3,94.65,87.13,1115000
2017-11-30,94.41,96.04,94.16,95.15,87.59,1083900
2017-12-01,95.15,96.55,93.78,95.6,88.0,1213300
2017-12-04,96.6,100.12,96.09,99.71,91.79,2597500
2017-12-05,99.67,99.7,95.64,95.79,88.18,1591000
2017-12-06,96.26,98.26,95.0,97.3,89.57,1173600
2017-12-07,97.62,100.21,97.62,99.97,92.02,1373400
2017-12-08,100.0,102.38,99.49,102.34,94.21,1158000
2017-12-11,102.15,103.09,100.24,101.19,93.15,1295200
2017-12-12,101.19,101.84,100.09,100.14,92.18,745700
2017-12-13,96.16,97.63,95.73,96.22,88.57,2190400
2017-12-14,96.5,97.5,95.87,96.85,89.15,1048900
2017-12-15,97.56,98.02,95.94,96.11,88.47,1460000
2017-12-18,96.83,98.55,96.02,98.06,90.27,1239400
2017-12-19,98.7,99.01,96.7,97.33,89.59,921600
2017-12-20,97.9,98.97,97.1,98.62,90.78,1139300
2017-12-21,98.98,101.18,98.35,100.92,92.9,1111100
