Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,69.81,70.15,69.61,69.93,66.16,518000
2017-05-25,70.15,70.39,69.97,70.05,66.27,366600
2017-05-26,69.96,70.19,69.68,70.07,66.29,238200
2017-05-30,69.91,70.12,69.59,70.0,66.22,2318400
2017-05-31,70.31,71.3,70.0,71.1,67.26,852200
2017-06-01,71.02,71.9,70.78,71.9,68.02,505100
2017-06-02,72.1,72.64,71.73,71.96,68.08,607300
2017-06-05,72.75,72.88,72.41,72.75,68.82,773800
2017-06-06,72.47,73.01,72.47,72.55,68.64,401500
2017-06-07,72.75,73.36,72.5,73.32,69.36,393700
2017-06-08,73.31,73.59,73.01,73.27,69.32,443700
2017-06-09,73.19,73.83,72.79,73.48,69.52,646700
2017-06-12,73.48,73.67,72.85,73.04,69.1,465200
2017-06-13,73.51,75.54,73.51,75.16,71.1,747300
2017-06-14,75.21,76.0,74.92,75.35,71.28,559500
2017-06-15,75.37,76.19,75.0,76.17,72.06,739100
2017-06-16,76.14,77.45,75.81,77.1,72.94,1319300
2017-06-19,77.09,79.22,77.09,78.91,74.65,999200
2017-06-20,78.69,78.92,78.1,78.47,74.24,769000
2017-06-21,79.0,79.44,78.1,78.39,74.16,1086300
2017-06-22,78.38,78.45,77.56,77.63,73.44,526000
2017-06-23,77.79,78.57,77.53,78.44,74.21,707200
2017-06-26,78.45,78.53,77.65,77.69,73.5,955900
2017-06-27,77.9,77.95,76.97,77.02,72.86,345900
2017-06-28,77.59,77.63,76.52,77.17,73.01,524000
2017-06-29,77.53,77.78,76.41,77.09,72.93,424600
2017-06-30,77.45,78.14,77.24,77.87,73.67,528300
2017-07-03,77.4,77.82,77.06,77.79,73.59,358000
2017-07-05,77.1,77.35,75.77,77.08,72.92,865600
2017-07-06,76.85,76.86,75.95,76.04,71.94,1013900
2017-07-07,75.95,77.11,75.48,76.82,72.68,422300
2017-07-10,76.63,77.18,76.58,76.82,72.68,646200
2017-07-11,76.7,76.81,75.83,76.43,72.31,741900
2017-07-12,76.95,77.42,76.44,77.1,72.94,611800
2017-07-13,77.5,77.5,76.16,77.12,72.96,379900
2017-07-14,77.43,77.99,77.3,77.59,73.4,834800
2017-07-17,77.51,77.82,77.01,77.62,73.43,417800
2017-07-18,77.23,77.7,77.06,77.52,73.34,345000
2017-07-19,77.5,78.24,77.23,78.06,73.85,494700
2017-07-20,78.83,79.0,77.75,78.03,73.82,1944200
2017-07-21,78.04,78.24,76.68,77.0,72.85,1267900
2017-07-24,77.09,77.33,76.56,77.19,73.03,1065400
2017-07-25,77.69,79.63,77.35,77.68,73.49,30299300
2017-07-26,77.65,78.88,77.39,77.66,73.47,1680300
2017-07-27,77.78,78.19,77.32,77.46,73.28,872400
2017-07-28,77.38,77.69,76.58,77.39,73.21,736100
2017-07-31,77.65,77.72,76.83,77.12,72.96,1269000
2017-08-01,77.49,78.37,77.06,77.48,73.3,1017600
2017-08-02,77.48,77.48,71.29,72.51,68.6,4356000
2017-08-03,72.1,73.69,72.1,73.45,69.49,1243800
2017-08-04,74.2,75.44,74.1,75.09,71.04,1181400
2017-08-07,75.16,75.47,74.6,75.05,71.0,572400
2017-08-08,74.94,75.27,74.11,74.4,70.39,907200
2017-08-09,74.13,74.21,73.51,74.12,70.12,845400
2017-08-10,73.83,73.99,72.56,72.62,68.7,693400
2017-08-11,72.62,73.27,72.52,72.56,68.65,427200
2017-08-14,73.02,73.65,72.96,73.62,69.65,447000
2017-08-15,73.3,73.3,72.44,72.44,68.86,506600
2017-08-16,72.68,72.96,72.5,72.7,69.11,468000
2017-08-17,72.94,73.49,72.78,72.79,69.19,460700
2017-08-18,72.82,73.26,72.49,73.07,69.46,529500
2017-08-21,73.06,73.53,72.74,73.44,69.81,310800
2017-08-22,73.52,74.85,73.49,74.55,70.86,500300
2017-08-23,74.44,74.66,73.75,73.91,70.26,510900
2017-08-24,73.82,74.16,73.57,73.9,70.25,439500
2017-08-25,74.3,74.41,73.85,74.2,70.53,459800
2017-08-28,74.23,75.54,74.23,75.54,71.81,620600
2017-08-29,75.04,75.68,74.87,74.95,71.24,491800
2017-08-30,74.95,75.76,74.95,75.58,71.84,439900
2017-08-31,76.0,77.68,75.75,77.58,73.74,743000
2017-09-01,77.56,77.95,77.06,77.59,73.75,424600
2017-09-05,77.3,77.5,76.26,76.6,72.81,850100
2017-09-06,76.77,77.78,76.57,77.66,73.82,397900
2017-09-07,77.76,78.86,77.07,78.82,74.92,572700
2017-09-08,79.01,80.38,78.87,79.84,75.89,557400
2017-09-11,80.59,81.87,80.01,81.38,77.36,720800
2017-09-12,81.26,81.29,80.56,80.88,76.88,606000
2017-09-13,80.79,80.85,79.22,79.61,75.67,672100
2017-09-14,79.4,80.61,79.12,80.55,76.57,783600
2017-09-15,80.45,80.5,79.2,79.23,75.31,1256600
2017-09-18,79.64,79.97,79.3,79.53,75.6,439000
2017-09-19,79.53,79.64,78.87,79.45,75.52,440400
2017-09-20,79.59,80.05,78.96,79.6,75.67,364900
2017-09-21,78.5,78.75,77.22,77.32,73.5,768900
2017-09-22,77.17,77.6,77.12,77.38,73.55,601700
2017-09-25,77.35,77.6,76.62,77.2,73.38,504100
2017-09-26,76.76,76.99,76.28,76.3,72.53,445900
2017-09-27,76.62,76.8,75.28,76.16,72.4,669700
2017-09-28,76.53,76.76,75.83,76.11,72.35,445600
2017-09-29,76.01,77.0,75.83,76.96,73.16,423600
2017-10-02,76.94,77.44,76.56,77.41,73.58,349800
2017-10-03,77.32,77.8,76.18,76.53,72.75,528800
2017-10-04,76.45,77.38,76.32,77.27,73.45,508000
2017-10-05,77.26,77.65,76.91,77.3,73.48,439500
2017-10-06,76.93,77.36,76.76,77.25,73.43,352500
2017-10-09,77.11,77.23,75.95,76.14,72.38,388400
2017-10-10,76.11,76.27,75.62,76.21,72.44,443300
2017-10-11,76.41,76.82,76.02,76.55,72.77,419600
2017-10-12,76.9,77.64,76.8,77.59,73.75,546600
2017-10-13,77.81,78.06,77.27,77.63,73.79,465800
2017-10-16,77.62,78.02,77.33,77.73,73.89,449600
2017-10-17,77.75,78.51,77.51,78.42,74.54,280700
2017-10-18,78.88,79.13,78.46,78.87,74.97,422700
2017-10-19,78.55,78.87,77.75,78.79,74.9,337600
2017-10-20,79.18,79.44,78.61,79.0,75.09,462600
2017-10-23,78.6,80.6,78.6,79.82,75.87,652400
2017-10-24,78.99,79.28,78.5,79.05,75.14,677300
2017-10-25,78.58,79.91,77.71,78.4,74.52,724800
2017-10-26,78.53,79.65,77.87,78.61,74.72,836700
2017-10-27,81.88,87.81,81.01,84.42,80.25,1970500
2017-10-30,84.55,84.55,82.74,82.99,78.89,1142900
2017-10-31,83.35,84.32,83.2,84.18,80.02,717200
2017-11-01,84.68,85.88,84.5,85.77,81.53,988900
2017-11-02,84.68,84.89,82.33,82.86,78.76,1133400
2017-11-03,82.09,83.73,81.75,83.12,79.01,1129000
2017-11-06,83.2,83.93,82.65,83.24,79.13,450200
2017-11-07,83.24,83.38,82.36,82.49,78.41,824800
2017-11-08,82.16,82.75,81.78,82.19,78.46,1230800
2017-11-09,82.05,82.9,81.97,82.72,78.97,598000
2017-11-10,82.32,83.07,81.52,83.06,79.29,374900
2017-11-13,82.39,84.37,81.9,84.0,80.19,918200
2017-11-14,83.52,84.25,82.77,84.22,80.4,668600
2017-11-15,84.0,84.44,83.37,84.25,80.43,497200
2017-11-16,84.29,85.2,84.27,84.98,81.12,649900
2017-11-17,84.84,84.91,83.65,84.63,80.79,459000
2017-11-20,84.6,84.73,83.54,84.71,80.87,422700
2017-11-21,84.83,85.69,84.36,85.66,81.77,611400
2017-11-22,85.41,85.41,84.77,85.27,81.4,637400
2017-11-24,85.27,85.56,84.49,85.11,81.25,153600
2017-11-27,84.9,85.01,84.38,84.68,80.84,506900
2017-11-28,84.71,85.5,84.09,85.19,81.32,521100
2017-11-29,84.82,85.49,84.82,85.25,81.38,406500
2017-11-30,85.37,86.5,85.08,85.4,81.52,1042300
2017-12-01,85.36,85.38,82.81,84.25,80.43,726100
2017-12-04,84.31,84.72,83.57,83.57,79.78,962200
2017-12-05,83.88,85.07,83.6,84.35,80.52,588400
2017-12-06,84.33,85.28,84.04,85.18,81.31,444500
2017-12-07,85.17,86.03,84.93,85.77,81.88,454400
2017-12-08,85.85,86.54,85.53,86.37,82.45,550100
2017-12-11,86.3,86.51,85.87,86.44,82.52,426900
2017-12-12,85.6,86.7,85.28,85.84,81.94,493200
2017-12-13,85.33,85.98,85.01,85.01,81.15,656700
2017-12-14,84.79,84.96,83.88,83.93,80.12,562700
2017-12-15,84.51,85.58,84.37,85.29,81.42,1367200
2017-12-18,85.71,86.52,85.49,85.7,81.81,487000
2017-12-19,86.07,86.45,85.53,86.12,82.21,405600
2017-12-20,86.2,86.3,85.53,85.57,81.69,469700
2017-12-21,85.66,85.93,84.7,84.98,81.12,472000
2017-12-22,85.09,85.5,84.64,85.11,81.25,261300
2017-12-26,85.27,86.07,85.27,85.59,81.71,281300
2017-12-27,85.56,86.02,85.17,85.76,81.87,262000
2017-12-28,85.75,86.3,85.61,86.26,82.35,313000
2017-12-29,86.33,86.33,84.67,84.69,80.85,406200
2018-01-02,85.2,86.12,84.93,85.53,81.65,328500
2018-01-03,85.38,86.65,85.31,86.42,82.5,480800
2018-01-04,86.54,86.85,86.23,86.54,82.61,627500
2018-01-05,86.59,87.69,86.12,87.69,83.71,531600
