Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,158.95,159.42,157.34,158.01,143.45,722000
2017-05-25,158.17,159.41,157.53,159.26,144.59,1060600
2017-05-26,159.0,159.67,158.27,159.28,144.61,447000
2017-05-30,158.9,159.85,158.59,159.38,144.7,506500
2017-05-31,159.4,159.93,157.91,158.72,144.1,1268900
2017-06-01,159.25,162.22,158.48,161.07,146.23,815200
2017-06-02,161.0,163.92,160.6,162.39,147.43,940500
2017-06-05,162.21,163.02,161.62,162.16,147.22,622900
2017-06-06,161.64,162.13,159.72,159.74,145.02,908300
2017-06-07,159.78,159.89,156.32,157.52,143.01,1109200
2017-06-08,157.52,160.47,157.31,160.05,145.3,658000
2017-06-09,160.71,162.98,160.71,162.13,147.19,705700
2017-06-12,162.02,162.73,160.94,161.3,146.44,892100
2017-06-13,161.38,162.35,160.63,161.01,146.18,622100
2017-06-14,160.89,161.17,158.73,159.86,145.13,662700
2017-06-15,158.4,161.67,158.08,161.6,146.71,880400
2017-06-16,162.09,164.13,161.13,164.09,148.97,1112000
2017-06-19,164.84,165.39,162.97,164.06,148.95,694600
2017-06-20,163.06,163.92,161.95,162.15,147.21,583500
2017-06-21,162.85,163.01,159.87,160.12,145.37,621700
2017-06-22,160.26,161.09,159.33,160.53,145.74,393400
2017-06-23,161.37,162.42,160.17,162.19,147.25,1331000
2017-06-26,162.93,163.23,161.27,161.36,146.49,359400
2017-06-27,161.62,161.87,159.09,159.37,144.69,511800
2017-06-28,160.31,160.81,159.61,160.53,145.74,707800
2017-06-29,160.96,162.12,158.03,158.82,144.19,858200
2017-06-30,159.37,162.71,159.37,161.96,147.04,702600
2017-07-03,162.68,163.93,162.14,162.84,147.84,403400
2017-07-05,162.56,163.81,161.57,163.49,148.43,698900
2017-07-06,163.19,164.63,162.42,162.79,147.79,705200
2017-07-07,163.12,165.52,162.51,164.43,149.28,553100
2017-07-10,163.41,165.8,163.36,164.69,149.52,559200
2017-07-11,164.59,164.83,163.18,164.16,149.04,642600
2017-07-12,164.87,166.03,164.63,165.73,150.46,535400
2017-07-13,165.73,166.45,165.04,165.68,150.42,638900
2017-07-14,166.06,167.8,165.79,167.34,151.92,766000
2017-07-17,167.2,167.34,166.09,166.3,150.98,485000
2017-07-18,166.0,166.17,165.0,165.49,150.24,580900
2017-07-19,165.5,167.37,165.34,167.34,151.92,684100
2017-07-20,167.18,167.97,165.63,166.83,151.46,685300
2017-07-21,165.96,166.63,163.93,165.08,149.87,633600
2017-07-24,165.47,165.47,163.6,163.96,148.85,937100
2017-07-25,165.27,166.28,161.77,163.1,148.07,1452500
2017-07-26,158.49,164.9,158.0,162.78,147.78,1939200
2017-07-27,163.47,166.71,163.28,164.97,149.77,1018800
2017-07-28,164.98,165.0,163.27,164.47,149.32,653400
2017-07-31,165.0,166.63,164.76,165.03,149.83,636700
2017-08-01,165.19,165.54,162.55,163.57,148.5,824100
2017-08-02,163.15,166.16,163.15,165.22,150.0,786000
2017-08-03,165.13,166.1,164.82,165.53,150.28,519400
2017-08-04,165.63,166.05,164.75,164.9,149.71,536300
2017-08-07,164.96,166.53,164.83,165.82,150.54,708200
2017-08-08,165.64,166.21,164.99,165.6,150.34,434200
2017-08-09,165.5,166.08,164.9,165.64,150.38,435500
2017-08-10,164.3,164.51,162.1,162.21,147.94,662100
2017-08-11,162.75,162.75,161.51,161.66,147.44,680000
2017-08-14,162.79,164.51,162.48,163.96,149.54,388300
2017-08-15,164.02,165.1,164.02,164.12,149.69,407200
2017-08-16,164.58,165.32,163.86,164.03,149.6,552200
2017-08-17,163.21,164.53,161.22,161.26,147.08,536800
2017-08-18,160.88,163.26,160.29,161.38,147.19,567800
2017-08-21,161.36,161.45,159.58,160.46,146.35,605000
2017-08-22,161.25,163.33,160.84,163.17,148.82,402400
2017-08-23,161.86,162.07,159.98,160.01,145.94,551900
2017-08-24,160.24,160.57,159.32,160.13,146.05,600300
2017-08-25,160.95,161.52,159.51,159.61,145.57,597000
2017-08-28,160.45,160.55,158.89,159.57,145.54,341200
2017-08-29,158.72,160.62,158.61,160.38,146.28,482500
2017-08-30,160.39,162.74,160.39,162.62,148.32,383000
2017-08-31,163.41,164.3,162.95,164.06,149.63,582900
2017-09-01,164.69,165.85,164.3,164.36,149.91,452500
2017-09-05,164.35,165.25,163.05,163.41,149.04,775300
2017-09-06,164.27,164.82,162.15,162.32,148.04,647700
2017-09-07,162.81,162.81,161.21,162.56,148.26,931000
2017-09-08,162.18,164.68,161.7,164.01,149.59,512100
2017-09-11,165.0,169.35,164.47,168.84,153.99,1094100
2017-09-12,169.75,170.41,168.62,169.12,154.25,621200
2017-09-13,168.99,170.45,168.21,169.89,154.95,440700
2017-09-14,169.26,172.25,168.44,172.15,157.01,746400
2017-09-15,171.62,174.18,171.62,173.73,158.45,1019600
2017-09-18,173.95,175.32,173.13,175.16,159.76,558200
2017-09-19,175.39,177.34,175.18,177.13,161.55,638200
2017-09-20,177.52,178.11,176.32,177.58,161.96,686400
2017-09-21,177.71,177.97,177.0,177.33,161.73,435100
2017-09-22,177.33,177.72,176.65,177.55,161.94,492100
2017-09-25,177.49,177.92,176.51,177.67,162.05,367700
2017-09-26,177.75,178.82,176.77,176.98,161.42,611400
2017-09-27,177.87,178.48,176.44,177.33,161.73,532600
2017-09-28,177.06,177.59,175.5,177.27,161.68,467200
2017-09-29,177.2,179.5,176.86,178.21,162.54,621400
2017-10-02,178.8,180.75,178.0,180.7,164.81,724900
2017-10-03,180.67,180.98,179.83,180.8,164.9,587800
2017-10-04,180.92,182.69,180.71,182.35,166.31,556300
2017-10-05,182.13,182.97,180.56,182.51,166.46,454900
2017-10-06,182.36,183.47,182.06,182.31,166.28,481500
2017-10-09,182.47,183.88,182.47,183.27,167.15,335400
2017-10-10,184.14,184.14,182.49,182.74,166.67,371300
2017-10-11,182.94,183.77,182.53,183.75,167.59,375500
2017-10-12,183.26,185.29,183.18,184.5,168.27,444700
2017-10-13,184.66,186.49,184.31,185.88,169.53,524200
2017-10-16,187.12,187.29,185.91,186.41,170.02,390500
2017-10-17,186.4,187.28,185.97,186.27,169.89,432500
2017-10-18,185.9,186.56,184.56,184.97,168.7,730500
2017-10-19,184.6,186.69,184.18,186.44,170.04,525400
2017-10-20,186.9,188.6,186.81,188.5,171.92,677900
2017-10-23,188.7,188.95,187.16,187.67,171.17,392500
2017-10-24,188.9,189.91,187.95,188.68,172.09,612000
2017-10-25,188.25,188.99,186.27,187.07,170.62,642500
2017-10-26,188.12,188.58,187.15,188.03,171.49,511200
2017-10-27,187.91,188.92,186.89,188.78,172.18,411800
2017-10-30,188.34,188.65,186.07,187.0,170.55,502300
2017-10-31,210.66,210.72,195.33,200.82,183.16,3465200
2017-11-01,202.29,202.84,194.98,195.16,178.0,1632100
2017-11-02,195.87,200.06,195.54,199.22,181.7,759800
2017-11-03,199.51,199.61,197.65,198.38,180.93,744000
2017-11-06,197.66,198.38,196.44,196.83,179.52,1229800
2017-11-07,197.05,201.07,196.49,200.83,183.17,1029900
2017-11-08,192.7,199.39,192.0,193.78,176.74,1459800
2017-11-09,192.68,193.13,189.35,189.81,173.12,952100
2017-11-10,189.75,193.0,188.31,192.61,176.45,541900
2017-11-13,191.72,193.13,190.13,192.54,176.38,632200
2017-11-14,191.82,192.43,190.72,191.58,175.5,575200
2017-11-15,190.46,190.46,187.65,188.73,172.89,741400
2017-11-16,200.11,201.98,193.09,193.61,177.36,2377900
2017-11-17,193.03,196.99,193.03,194.36,178.05,1265000
2017-11-20,194.0,195.8,193.06,194.23,177.93,762400
2017-11-21,194.75,195.0,191.92,193.02,176.82,1001400
2017-11-22,190.43,192.44,188.88,191.02,174.99,1102000
2017-11-24,191.8,191.91,190.09,191.48,175.41,280000
2017-11-27,192.01,192.62,190.64,191.04,175.01,680200
2017-11-28,189.0,198.02,188.67,197.13,180.59,1895900
2017-11-29,197.0,197.16,188.83,190.13,174.18,1201900
2017-11-30,191.15,194.32,190.72,193.08,176.88,1250600
2017-12-01,192.94,195.37,188.6,190.46,174.48,862900
2017-12-04,192.79,195.8,190.26,190.78,174.77,1326700
2017-12-05,190.85,192.56,187.53,187.68,171.93,1155900
2017-12-06,187.84,191.71,187.2,190.59,174.6,1156700
2017-12-07,192.87,193.74,189.82,192.26,176.13,720900
2017-12-08,193.69,194.35,191.95,192.86,176.68,596100
2017-12-11,192.5,194.39,190.36,191.47,175.4,485900
2017-12-12,191.6,192.8,190.71,190.75,174.74,470800
2017-12-13,191.26,193.16,190.98,191.46,175.39,660800
2017-12-14,192.19,193.81,189.35,189.45,173.55,629600
2017-12-15,191.06,192.14,190.55,190.93,174.91,1121300
2017-12-18,193.32,194.48,192.46,192.83,176.65,631400
2017-12-19,193.09,194.41,191.83,193.84,177.57,768500
2017-12-20,195.39,195.59,192.79,193.07,176.87,548500
2017-12-21,194.12,194.89,192.53,194.14,177.85,450500
2017-12-22,193.67,194.68,192.98,194.57,178.24,422500
2017-12-26,194.57,195.6,194.26,194.53,178.21,287900
2017-12-27,195.0,196.63,194.64,195.99,179.54,389300
2017-12-28,196.74,197.71,195.69,197.53,180.95,531700
2017-12-29,198.1,198.56,196.32,196.35,179.87,486900
2018-01-02,197.81,198.5,195.22,197.66,181.07,613400
2018-01-03,197.04,200.72,197.04,200.55,183.72,841400
2018-01-04,201.63,203.09,199.23,199.66,182.91,734300
2018-01-05,200.51,200.51,198.76,199.97,183.19,627400
2018-01-08,199.97,202.39,199.04,202.01,185.06,765700
2018-01-09,202.69,203.82,201.54,202.75,185.74,489400
2018-01-10,202.74,203.49,201.0,202.13,185.17,543400
2018-01-11,202.81,206.14,202.77,206.14,188.84,503500
2018-01-12,206.18,208.28,205.71,207.92,190.47,603200
2018-01-16,208.1,209.38,203.12,205.02,187.82,779500
2018-01-17,206.39,207.87,205.32,206.56,189.23,742400
2018-01-18,207.11,207.74,204.26,205.05,187.84,715300
2018-01-19,205.19,207.13,203.36,203.51,186.43,1015300
2018-01-22,204.0,204.4,202.25,203.93,186.82,897100
2018-01-23,204.0,207.51,203.18,204.69,187.51,1040000
2018-01-24,206.86,206.86,198.77,200.47,183.65,1456500
2018-01-25,201.1,202.32,198.01,199.71,182.95,1064800
2018-01-26,199.74,203.24,199.62,203.01,185.97,873000
2018-01-29,202.06,203.96,199.26,199.78,183.02,665200
2018-01-30,198.66,200.93,197.61,199.78,183.02,621600
2018-01-31,200.92,201.01,196.38,197.29,180.73,876000
2018-02-01,197.11,201.81,196.47,199.19,182.48,1034900
2018-02-02,197.57,197.57,193.01,194.02,177.74,1153800
2018-02-05,192.61,194.48,184.56,184.56,169.07,1345400
2018-02-06,178.28,189.99,176.7,188.57,172.75,1767000
2018-02-07,187.99,191.63,187.24,188.78,172.94,984100
2018-02-08,188.4,188.82,178.56,178.73,163.73,1264300
2018-02-09,181.18,184.87,177.85,183.04,167.68,1418800
2018-02-12,186.1,188.08,183.65,186.3,170.67,800500
2018-02-13,183.98,185.42,182.03,184.44,168.96,1131700
2018-02-14,183.44,187.97,183.44,187.09,171.39,823500
2018-02-15,188.69,188.89,185.37,187.58,171.84,988200
2018-02-16,186.25,188.6,185.45,185.56,170.75,845900
2018-02-20,184.29,186.11,183.05,184.67,169.93,692900
2018-02-21,184.58,187.67,183.81,183.95,169.27,603500
2018-02-22,184.71,187.57,183.66,185.29,170.5,658400
2018-02-23,186.7,186.7,183.29,185.47,170.67,602100
