Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,224.8,225.8,224.12,225.18,218.97,263700
2017-05-25,226.0,227.45,225.49,226.75,220.5,262100
2017-05-26,225.97,228.04,225.77,227.08,220.82,319500
2017-05-30,226.22,228.21,226.02,227.7,221.42,289900
2017-05-31,228.59,230.12,227.2,227.2,220.93,858000
2017-06-01,228.16,230.47,227.01,229.67,223.34,434500
2017-06-02,230.34,232.87,230.05,231.2,224.82,384500
2017-06-05,230.83,231.68,230.28,230.36,224.01,397400
2017-06-06,230.0,230.0,228.28,228.36,222.06,414700
2017-06-07,228.83,230.2,227.88,228.88,222.57,329700
2017-06-08,228.88,229.61,226.82,228.45,222.15,509100
2017-06-09,228.65,230.15,227.22,228.84,222.53,432300
2017-06-12,229.19,229.62,227.14,227.14,220.88,474500
2017-06-13,227.34,228.61,226.64,228.43,222.13,351900
2017-06-14,229.28,229.41,227.77,228.84,222.53,304500
2017-06-15,227.36,230.94,226.9,230.73,224.37,401900
2017-06-16,231.38,233.1,230.06,232.2,225.8,697600
2017-06-19,232.6,235.5,232.33,235.25,228.76,434200
2017-06-20,234.41,235.14,232.47,232.95,226.53,280100
2017-06-21,232.89,233.24,231.0,232.67,226.25,391700
2017-06-22,232.58,233.79,232.25,232.41,226.0,274400
2017-06-23,232.77,233.25,231.15,231.51,225.13,1180500
2017-06-26,232.55,233.66,231.46,232.59,226.18,370200
2017-06-27,232.17,232.85,229.95,230.12,223.77,229000
2017-06-28,231.45,233.19,230.76,232.3,225.89,296400
2017-06-29,232.14,232.53,228.4,229.91,223.57,434000
2017-06-30,230.61,232.62,230.4,231.53,225.14,315900
2017-07-03,233.08,233.81,230.93,232.34,225.93,179900
2017-07-05,232.65,236.51,231.67,235.27,229.13,395800
2017-07-06,234.63,235.7,232.48,233.15,227.06,511200
2017-07-07,233.45,236.17,233.45,234.45,228.33,312700
2017-07-10,233.69,237.19,233.65,234.74,228.61,443600
2017-07-11,234.71,235.89,233.3,235.27,229.13,358500
2017-07-12,236.81,238.49,236.5,237.66,231.45,394600
2017-07-13,237.54,237.54,235.5,236.4,230.23,402200
2017-07-14,236.84,238.17,234.66,235.81,229.65,461400
2017-07-17,235.62,236.76,234.83,236.54,230.36,218000
2017-07-18,235.89,236.15,233.45,233.95,227.84,378100
2017-07-19,234.2,236.14,232.79,236.06,229.9,402600
2017-07-20,236.22,236.47,234.45,234.85,228.72,262900
2017-07-21,233.28,234.87,231.55,234.77,228.64,285900
