Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,62.03,62.51,61.68,61.95,59.26,3015100
2017-05-25,62.35,63.27,62.11,63.0,60.27,4109600
2017-05-26,63.15,63.69,62.79,63.52,60.77,1922900
2017-05-30,63.56,63.74,63.3,63.43,60.68,2233700
2017-05-31,63.43,63.94,63.16,63.92,61.15,3039200
2017-06-01,63.88,64.0,63.24,63.68,60.92,2763000
2017-06-02,63.46,63.89,63.31,63.74,61.13,2018700
2017-06-05,63.87,63.88,63.29,63.32,60.73,2234600
2017-06-06,63.1,63.25,61.73,61.84,59.31,3443300
2017-06-07,62.13,62.51,61.86,62.11,59.57,2851600
2017-06-08,62.53,62.63,61.19,61.32,58.81,3451800
2017-06-09,61.42,62.08,60.74,61.96,59.42,2498300
2017-06-12,61.66,62.87,61.66,61.86,59.33,3101700
2017-06-13,61.7,62.28,61.54,62.09,59.55,1962900
2017-06-14,62.35,62.35,60.82,61.1,58.6,2903900
2017-06-15,61.07,61.36,59.53,60.91,58.42,2929900
2017-06-16,60.18,60.23,59.6,60.08,57.62,4407500
2017-06-19,60.19,60.84,59.56,60.65,58.17,2400600
2017-06-20,60.62,60.62,57.66,57.72,55.36,5961100
2017-06-21,57.61,58.15,56.65,56.9,54.57,7242400
2017-06-22,56.94,56.94,55.62,55.97,53.68,6669800
2017-06-23,56.01,56.37,55.22,56.29,53.98,5281600
2017-06-26,56.41,57.27,56.4,56.7,54.38,2851500
2017-06-27,56.62,56.99,56.2,56.53,54.21,2610500
2017-06-28,56.73,58.09,56.35,57.78,55.41,3476400
2017-06-29,57.72,57.93,56.76,57.3,54.95,2934500
2017-06-30,58.06,58.06,57.38,57.73,55.37,3419100
2017-07-03,57.99,58.49,57.96,58.23,55.85,1544000
2017-07-05,58.18,58.25,57.0,57.39,55.04,3940300
2017-07-06,56.91,57.0,55.96,56.28,53.98,4068900
2017-07-07,56.27,56.67,56.12,56.14,53.84,3581400
2017-07-10,56.05,56.14,54.73,54.8,52.56,4575300
2017-07-11,54.81,55.02,54.32,54.34,52.11,3656400
2017-07-12,54.68,54.89,54.08,54.13,51.91,4363900
2017-07-13,54.1,54.61,53.89,54.42,52.19,6000400
2017-07-14,55.61,56.05,54.68,54.76,52.52,5736600
2017-07-17,54.79,55.26,54.67,54.73,52.49,3468100
2017-07-18,54.79,54.97,54.26,54.33,52.1,2698300
2017-07-19,54.35,54.73,54.21,54.42,52.19,4683200
2017-07-20,54.52,55.08,54.42,54.65,52.41,4902400
2017-07-21,54.73,55.02,54.1,54.31,52.09,4069100
2017-07-24,54.2,54.2,52.91,53.07,50.9,5574200
2017-07-25,53.34,54.48,53.08,54.03,51.82,5340000
2017-07-26,54.09,54.41,53.37,53.96,51.75,2715400
2017-07-27,53.9,55.13,53.79,55.12,52.86,3182500
2017-07-28,55.08,55.35,54.67,54.87,52.62,2102600
2017-07-31,55.1,55.39,54.73,55.32,53.05,2736600
2017-08-01,55.46,55.68,55.03,55.6,53.32,2475300
2017-08-02,55.58,55.9,55.21,55.65,53.37,2471500
2017-08-03,55.63,55.99,54.53,54.87,52.62,3109000
2017-08-04,55.1,55.94,54.86,55.86,53.57,2400900
2017-08-07,55.62,56.02,55.13,55.4,53.13,2235000
2017-08-08,55.52,56.61,55.52,55.92,53.63,3085500
2017-08-09,55.88,56.07,55.02,56.04,53.74,3353000
2017-08-10,55.7,55.73,54.67,54.8,52.56,3336900
2017-08-11,54.86,55.94,54.8,55.56,53.28,2593800
2017-08-14,55.91,56.24,54.64,54.77,52.53,3457100
2017-08-15,54.67,54.75,52.85,53.03,50.86,7469000
2017-08-16,53.88,54.45,53.39,54.37,52.14,3615300
2017-08-17,53.92,54.36,53.19,53.33,51.15,5508400
2017-08-18,58.73,59.5,57.99,59.02,56.6,14140300
2017-08-21,58.95,59.14,57.75,58.56,56.16,5277400
2017-08-22,58.8,59.24,58.66,59.19,56.77,3342700
2017-08-23,59.03,59.32,58.67,58.92,56.51,3144700
2017-08-24,59.36,60.8,58.14,58.33,55.94,4233500
2017-08-25,58.39,59.67,58.39,59.38,56.95,6287600
2017-08-28,59.45,59.55,58.76,59.02,56.6,2764300
2017-08-29,58.61,59.15,57.95,58.69,56.29,2649000
2017-08-30,58.74,58.92,58.05,58.43,56.04,3179200
2017-08-31,58.5,58.87,58.15,58.45,56.06,3370000
2017-09-01,58.65,59.27,58.65,58.92,56.51,2751800
2017-09-05,58.75,59.37,58.7,58.99,56.57,2918600
2017-09-06,58.84,59.7,58.84,59.15,56.88,2924100
2017-09-07,59.37,59.62,58.12,58.55,56.3,2942000
2017-09-08,58.51,58.72,57.87,58.52,56.28,2085300
2017-09-11,58.6,59.38,58.34,59.27,57.0,2778200
2017-09-12,59.49,61.4,59.19,60.67,58.34,3369700
2017-09-13,60.76,61.9,60.76,61.41,59.06,2943200
2017-09-14,61.28,61.44,60.29,60.6,58.28,2800900
2017-09-15,60.57,60.93,60.0,60.71,58.38,3528400
2017-09-18,60.81,60.99,59.95,60.81,58.48,2373700
2017-09-19,60.88,61.21,60.69,61.15,58.81,3052400
2017-09-20,61.3,61.43,60.63,60.92,58.58,1747000
2017-09-21,61.1,61.26,60.65,60.91,58.57,2352100
2017-09-22,60.63,61.07,60.31,60.89,58.56,1644500
2017-09-25,62.69,63.58,62.5,62.86,60.45,3860700
2017-09-26,63.01,63.94,62.67,63.79,61.34,3651700
2017-09-27,63.68,65.3,63.64,64.84,62.35,4648200
2017-09-28,64.56,64.85,63.73,64.8,62.32,4224000
2017-09-29,64.92,65.21,64.5,64.57,62.09,2501700
2017-10-02,64.34,64.92,63.73,64.69,62.21,2507300
2017-10-03,64.55,65.15,64.45,64.91,62.42,1775300
