Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,76.84,77.31,76.68,76.83,68.12,3830285
2017-05-25,77.05,77.16,76.8,76.94,68.22,4348775
2017-05-26,76.97,77.05,76.51,76.68,67.99,3378532
2017-05-30,76.65,76.73,76.24,76.32,67.67,4236115
2017-05-31,76.5,76.51,76.15,76.32,67.68,6543661
2017-06-01,76.27,76.87,76.2,76.65,67.96,5107364
2017-06-02,76.82,77.31,76.6,76.85,68.15,3810581
2017-06-05,76.95,77.0,76.1,76.14,67.51,5088296
2017-06-06,75.75,76.04,75.31,75.59,67.03,4746979
2017-06-07,75.92,75.95,75.12,75.38,66.84,2854162
2017-06-08,75.38,75.84,74.94,75.48,66.93,5638884
2017-06-09,75.63,76.04,75.41,75.92,67.32,3383299
2017-06-12,75.68,75.87,75.11,75.44,66.9,4869014
2017-06-13,75.48,75.62,75.26,75.56,67.0,3745273
2017-06-14,75.56,75.78,75.27,75.53,66.97,2811100
2017-06-15,75.41,76.1,75.39,75.99,67.38,3094736
2017-06-16,76.22,76.6,75.68,75.79,67.2,7215490
2017-06-19,76.29,76.94,76.15,76.68,67.99,5392907
2017-06-20,76.5,77.11,76.44,76.47,67.8,4263923
2017-06-21,76.76,76.9,76.46,76.62,67.94,4341784
2017-06-22,76.67,77.38,76.66,76.88,68.17,4793377
2017-06-23,76.78,77.05,76.46,76.92,68.2,6119398
2017-06-26,77.04,77.46,76.66,76.7,68.01,2613111
2017-06-27,76.73,76.87,76.47,76.52,67.85,2706226
2017-06-28,76.82,77.16,76.58,77.09,68.36,2862107
2017-06-29,77.04,77.07,75.91,76.56,67.88,3747815
2017-06-30,76.78,77.18,76.54,76.85,68.14,3829808
2017-07-03,77.16,77.5,76.82,76.83,68.12,1837202
2017-07-05,77.01,77.41,76.88,77.28,68.52,2761682
2017-07-06,77.13,77.41,76.7,76.71,68.02,4859480
2017-07-07,76.95,77.34,76.8,77.16,68.42,2801248
2017-07-10,77.24,77.87,77.0,77.44,68.67,3262376
2017-07-11,77.51,77.84,77.0,77.75,68.94,3104112
2017-07-12,78.05,78.53,77.82,77.85,69.03,3776894
2017-07-13,77.83,77.87,77.31,77.45,68.68,4271073
2017-07-14,77.68,77.81,77.28,77.67,68.87,2827626
2017-07-17,77.87,77.87,77.4,77.48,68.7,2927574
2017-07-18,77.29,77.38,76.73,77.17,68.43,2990021
2017-07-19,77.44,77.55,77.12,77.46,68.68,2718779
2017-07-20,77.32,77.59,76.97,77.06,68.33,2910095
2017-07-21,76.96,77.72,76.69,77.72,68.91,3928803
2017-07-24,77.72,77.88,77.31,77.49,68.71,5847202
2017-07-25,76.71,76.78,75.51,75.78,67.2,7629425
2017-07-26,75.78,75.88,75.07,75.23,66.71,4757307
2017-07-27,75.12,75.15,74.17,74.69,66.23,6764850
2017-07-28,74.76,75.17,74.44,74.81,66.33,3417621
2017-07-31,74.99,75.1,74.54,74.62,66.16,3451785
2017-08-01,74.89,75.05,74.49,74.81,66.34,2468194
2017-08-02,74.76,75.76,74.68,75.74,67.16,3717307
2017-08-03,75.76,76.22,75.43,76.21,67.58,3227577
2017-08-04,76.29,76.56,75.93,76.46,67.79,2865920
2017-08-07,75.08,75.36,74.17,74.59,66.14,7906387
2017-08-08,74.54,74.88,74.27,74.38,65.95,4396604
2017-08-09,74.62,74.74,73.65,73.76,65.4,5058423
2017-08-10,73.56,73.81,73.06,73.48,65.15,5018698
2017-08-11,73.63,74.11,73.22,73.56,65.23,3322440
2017-08-14,73.82,73.98,73.59,73.73,65.37,2949184
2017-08-15,73.71,73.71,72.82,72.98,64.71,3631024
2017-08-16,72.95,74.32,72.89,74.26,66.25,5485864
2017-08-17,74.12,74.12,73.05,73.06,65.18,4325099
2017-08-18,73.03,73.17,72.59,72.67,64.83,4386276
2017-08-21,72.76,72.81,72.17,72.55,64.72,3040075
2017-08-22,72.74,72.89,72.39,72.81,64.95,3823929
2017-08-23,72.63,74.81,72.33,73.65,65.7,9857362
2017-08-24,73.76,73.76,72.34,72.56,64.73,6881959
2017-08-25,72.86,73.06,72.39,72.42,64.6,3569053
2017-08-28,72.56,72.86,72.49,72.58,64.75,5529561
2017-08-29,72.41,74.73,72.02,74.7,66.64,8855338
2017-08-30,74.86,75.43,74.46,75.27,67.14,8285523
2017-08-31,75.29,75.64,74.77,75.34,67.21,6322631
2017-09-01,75.36,75.62,74.15,74.21,66.2,4202428
2017-09-05,72.74,72.94,69.94,69.99,62.43,22592720
2017-09-06,69.86,69.91,68.66,68.98,61.54,14601480
2017-09-07,68.98,69.27,68.66,69.21,61.74,8188276
2017-09-08,69.3,69.44,68.82,68.94,61.5,6998115
2017-09-11,69.23,69.69,68.77,69.0,61.55,8935265
2017-09-12,69.27,69.42,69.04,69.14,61.68,6302610
2017-09-13,69.32,69.52,69.11,69.4,61.91,6071410
2017-09-14,69.4,71.29,69.29,71.2,63.52,11175119
2017-09-15,71.57,71.69,70.94,71.16,63.48,10375534
2017-09-18,71.37,71.52,70.89,70.97,63.31,6418924
2017-09-19,71.11,71.52,70.96,71.52,63.8,5288828
2017-09-20,71.26,71.89,71.25,71.81,64.06,5458692
2017-09-21,71.86,72.27,71.47,72.06,64.28,4076103
2017-09-22,72.01,72.45,71.83,72.38,64.57,4502273
2017-09-25,72.32,72.37,71.56,71.93,64.16,5879459
2017-09-26,72.11,72.38,71.89,72.2,64.4,6388098
2017-09-27,72.28,73.92,72.27,73.74,65.79,8859470
2017-09-28,73.62,73.66,72.61,72.9,65.03,9580399
2017-09-29,72.57,73.08,72.05,73.05,65.17,5196666
2017-10-02,73.09,74.04,72.96,74.0,66.01,3703641
2017-10-03,74.26,74.26,73.81,74.08,66.08,3513438
2017-10-04,74.18,74.4,73.96,74.03,66.04,4449041
2017-10-05,74.03,74.47,73.91,74.37,66.34,4252959
2017-10-06,74.2,74.44,74.01,74.41,66.38,2844469
2017-10-09,74.44,74.81,74.32,74.66,66.6,2779956
2017-10-10,74.64,74.78,74.1,74.34,66.31,4234049
2017-10-11,74.46,74.64,73.9,74.1,66.11,4903495
2017-10-12,74.05,74.85,74.03,74.78,66.71,3774828
2017-10-13,74.93,75.49,74.71,74.71,66.65,5517803
2017-10-16,74.79,75.2,74.51,74.9,66.81,3437960
2017-10-17,74.66,75.12,74.37,75.12,67.01,3220109
2017-10-18,75.2,75.2,74.64,75.0,66.91,2948548
2017-10-19,74.95,75.22,74.4,75.2,67.08,2592771
2017-10-20,75.49,76.1,75.37,76.1,67.89,3995858
2017-10-23,76.0,76.26,75.81,76.08,67.87,4095806
2017-10-24,75.49,77.58,74.86,75.36,67.22,8632243
2017-10-25,75.34,75.7,74.81,74.88,66.8,5859120
2017-10-26,75.17,75.56,74.89,75.48,67.33,5372091
2017-10-27,75.28,75.49,74.86,74.93,66.85,4533099
2017-10-30,75.15,75.85,74.8,75.41,67.27,7043084
2017-10-31,75.54,75.67,75.2,75.37,67.23,5467113
2017-11-01,75.87,76.15,75.48,75.59,67.44,4275363
2017-11-02,75.58,76.47,75.34,76.44,68.19,3119366
2017-11-03,76.62,76.62,75.76,76.19,67.97,3822657
2017-11-06,76.31,76.44,75.75,75.76,67.59,3838388
2017-11-07,75.94,76.44,75.76,75.99,67.79,2945370
2017-11-08,75.85,76.14,75.53,75.7,67.53,3195479
2017-11-09,75.7,75.74,74.32,74.49,66.45,4473035
2017-11-10,74.26,74.56,74.26,74.33,66.31,4961653
2017-11-13,74.23,74.26,73.58,73.68,65.72,3522654
2017-11-14,73.68,74.9,73.63,74.76,66.7,4541203
2017-11-15,74.43,74.5,73.37,73.99,66.0,4175892
2017-11-16,73.82,74.39,73.69,74.19,66.58,3371222
2017-11-17,73.94,74.03,73.3,73.34,65.81,4463024
2017-11-20,73.52,73.74,73.19,73.24,65.73,4631776
2017-11-21,73.3,74.03,73.3,73.66,66.1,3961377
2017-11-22,73.63,73.75,73.35,73.46,65.93,4545493
2017-11-24,73.63,73.73,73.22,73.57,66.03,2361890
2017-11-27,73.52,73.77,73.28,73.71,66.15,4082936
2017-11-28,73.91,74.27,73.57,74.08,66.48,4343849
2017-11-29,74.16,74.55,74.05,74.36,66.73,4400418
2017-11-30,74.85,76.62,74.64,76.43,68.59,8539922
2017-12-01,76.56,76.75,74.76,75.59,67.84,6168180
2017-12-04,76.26,76.73,75.53,75.54,67.8,4380714
2017-12-05,76.77,77.11,75.65,75.7,67.94,5004238
2017-12-06,76.25,76.4,75.75,76.27,68.45,4143159
2017-12-07,76.35,77.3,76.19,77.03,69.13,5733589
2017-12-08,77.03,77.46,76.94,77.29,69.36,4766523
2017-12-11,77.36,77.74,77.09,77.6,69.64,4985488
2017-12-12,77.74,78.14,77.39,77.71,69.74,5606469
2017-12-13,77.72,78.48,77.58,78.23,70.2,8274082
2017-12-14,78.36,78.58,77.66,77.89,69.9,4820390
2017-12-15,78.54,79.57,78.14,79.4,71.26,9841630
2017-12-18,79.76,80.26,79.47,79.74,71.56,6713684
2017-12-19,80.06,80.06,79.06,79.79,71.6,5788886
2017-12-20,80.16,80.48,79.48,79.92,71.73,5197301
2017-12-21,80.08,80.28,79.83,80.12,71.9,4804977
2017-12-22,80.25,80.3,79.89,80.07,71.86,2549551
2017-12-26,80.21,80.52,79.92,80.01,71.8,1672740
2017-12-27,80.21,80.31,79.87,80.29,72.05,2877361
2017-12-28,80.38,80.66,80.11,80.63,72.36,2245257
2017-12-29,80.76,80.86,80.28,80.28,72.05,2871164
2018-01-02,80.49,81.11,80.03,80.65,72.38,4918591
2018-01-03,81.49,81.94,81.38,81.84,73.44,7958983
2018-01-04,82.33,82.36,81.94,82.1,73.67,5820666
2018-01-05,82.5,83.3,82.1,82.8,74.31,5835444
2018-01-08,85.08,85.46,83.2,83.59,75.01,10526807
2018-01-09,83.9,84.62,83.72,84.5,75.83,6724489
2018-01-10,84.41,85.27,84.17,84.9,76.19,5216528
2018-01-11,84.8,85.75,84.8,84.95,76.24,7633874
2018-01-12,85.34,85.95,85.1,85.95,77.14,8285523
2018-01-16,86.68,86.68,84.25,84.31,75.66,8288065
2018-01-17,84.75,84.93,83.67,84.59,75.92,6219028
2018-01-18,84.68,85.37,84.56,84.71,76.02,5098465
2018-01-19,85.0,85.53,84.64,85.53,76.75,5140892
2018-01-22,84.94,85.25,84.08,85.09,76.36,6520938
2018-01-23,85.48,85.89,84.64,85.61,76.83,9101156
2018-01-24,84.97,87.09,84.34,85.39,76.63,8806238
2018-01-25,86.11,87.03,85.59,86.69,77.8,7217874
2018-01-26,86.95,87.16,86.02,86.83,77.93,5090520
2018-01-29,86.88,87.63,85.91,86.01,77.19,5530356
2018-01-30,85.59,86.24,85.15,85.9,77.09,5675590
2018-01-31,86.29,87.05,85.93,86.85,77.94,9389719
2018-02-01,86.21,87.48,85.92,87.05,78.12,6674277
2018-02-02,86.49,86.81,84.58,84.71,76.02,7443988
2018-02-05,84.0,84.42,79.23,80.08,71.86,10984757
2018-02-06,78.14,81.69,77.56,81.69,73.31,13781079
2018-02-07,81.43,83.91,81.22,83.05,74.53,12563270
2018-02-08,82.98,83.3,80.16,80.23,72.0,11691068
2018-02-09,81.28,81.84,76.91,78.68,70.61,19253277
2018-02-12,77.45,80.88,77.41,80.16,71.94,15172249
2018-02-13,79.52,79.9,78.65,79.15,71.03,8052258
2018-02-14,78.65,79.8,78.01,79.74,71.56,11043073
2018-02-15,80.55,81.84,80.42,81.81,73.83,7240596
2018-02-16,81.77,82.45,81.13,81.35,73.41,7602888
2018-02-20,81.03,81.35,79.22,79.58,71.82,7364856
2018-02-21,79.75,82.57,79.6,81.35,73.41,12340333
2018-02-22,82.32,84.7,82.32,84.07,75.86,12827679
2018-02-23,84.69,84.91,82.68,83.79,75.62,7316709
