Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,43.85,44.3,43.84,44.07,40.84,3082500
2017-05-25,44.02,44.7,44.02,44.22,40.98,2844500
2017-05-26,44.2,44.68,44.2,44.55,41.28,1339200
2017-05-30,44.38,44.95,44.32,44.68,41.4,2486500
2017-05-31,44.64,44.65,44.17,44.42,41.31,1688600
2017-06-01,44.52,44.92,44.31,44.7,41.57,1265500
2017-06-02,44.74,45.18,44.49,44.53,41.41,7191700
2017-06-05,44.46,44.87,44.46,44.59,41.47,2306000
2017-06-06,44.53,44.57,44.1,44.22,41.12,1635100
2017-06-07,44.26,44.62,44.19,44.32,41.22,2609900
2017-06-08,44.32,44.66,44.13,44.33,41.23,1861200
2017-06-09,44.34,44.45,43.72,44.14,41.05,2603700
2017-06-12,44.06,44.6,44.05,44.19,41.1,1614200
2017-06-13,44.51,45.03,44.23,44.98,41.83,1903100
2017-06-14,44.96,45.29,44.96,45.15,41.99,1784500
2017-06-15,45.0,45.29,44.79,44.84,41.7,1695300
2017-06-16,44.96,45.09,44.69,45.03,41.88,2227400
2017-06-19,45.05,45.34,44.79,45.3,42.13,1447100
2017-06-20,45.27,45.35,44.98,45.07,41.91,2332900
2017-06-21,45.14,45.33,44.98,45.27,42.1,1759600
2017-06-22,45.24,45.39,44.87,44.92,41.77,1961600
2017-06-23,44.82,45.19,44.72,44.83,41.69,4115200
2017-06-26,44.87,45.47,44.87,45.34,42.16,1307300
2017-06-27,45.4,45.5,45.06,45.06,41.9,1571200
2017-06-28,45.4,45.7,45.24,45.47,42.29,1288300
2017-06-29,45.47,45.6,44.58,44.87,41.73,2068900
2017-06-30,44.91,45.01,44.62,44.76,41.63,2025100
2017-07-03,45.04,45.16,44.79,45.01,41.86,982400
2017-07-05,44.99,45.25,44.66,45.03,41.88,1425800
2017-07-06,44.82,44.96,44.56,44.72,41.59,1284000
2017-07-07,44.95,45.59,44.84,45.32,42.15,1352200
2017-07-10,45.29,45.89,45.14,45.84,42.63,1816400
