Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,110.64,111.5,110.21,110.93,106.17,1086300
2017-05-25,111.27,111.52,110.57,111.36,106.59,1581900
2017-05-26,111.17,111.81,111.02,111.65,106.86,1214400
2017-05-30,111.65,111.99,111.38,111.79,106.99,1363500
2017-05-31,111.88,112.0,110.31,110.59,105.85,3105600
2017-06-01,110.84,113.08,110.58,112.98,108.13,2511300
2017-06-02,113.28,115.62,112.88,115.13,110.19,2207100
2017-06-05,115.09,115.12,113.64,114.09,109.19,1261500
2017-06-06,114.03,114.42,113.33,113.44,108.57,1837800
2017-06-07,113.72,113.89,112.71,113.42,108.55,942300
2017-06-08,113.42,115.99,113.42,115.32,110.38,2656800
2017-06-09,115.43,118.21,115.43,117.64,112.59,3853800
2017-06-12,117.5,118.01,115.42,115.98,111.0,3493200
2017-06-13,116.39,118.05,116.2,117.75,112.7,1824300
2017-06-14,118.19,118.21,115.91,117.56,112.52,2029200
2017-06-15,116.4,117.23,116.17,117.17,112.14,1342200
2017-06-16,117.24,117.3,116.18,116.85,111.84,2610300
2017-06-19,117.54,119.0,117.44,119.0,113.89,2385000
2017-06-20,119.0,120.19,119.0,119.32,114.2,2122200
2017-06-21,119.11,119.89,118.29,118.47,113.38,1590900
2017-06-22,118.29,118.56,117.69,118.25,113.18,1056300
2017-06-23,118.25,119.08,118.03,119.03,113.93,1793100
2017-06-26,119.33,119.87,119.06,119.66,114.53,1820700
2017-06-27,119.78,120.52,119.06,119.39,114.27,1411500
2017-06-28,120.03,120.86,119.99,120.34,115.18,1529700
2017-06-29,120.29,120.7,117.47,117.55,112.5,2106900
2017-06-30,117.9,118.24,116.86,116.99,111.97,2954700
2017-07-03,117.93,118.62,117.14,117.74,112.69,920400
2017-07-05,117.83,118.0,116.62,117.03,112.01,2367300
2017-07-06,116.47,116.96,115.63,116.61,111.61,2074200
2017-07-07,116.56,117.78,116.0,117.34,112.31,1700100
2017-07-10,117.25,117.8,116.92,117.31,112.28,1211700
2017-07-11,117.33,117.96,116.73,117.76,112.7,1650000
2017-07-12,118.33,119.03,117.59,118.65,113.56,1802400
2017-07-13,118.9,119.27,118.31,118.38,113.3,1138500
2017-07-14,118.45,119.08,118.31,118.82,113.73,1357500
2017-07-17,119.22,120.42,119.0,119.8,114.66,1483200
2017-07-18,119.59,119.85,118.87,119.39,114.27,1838400
2017-07-19,119.83,120.28,119.3,119.91,114.76,1861800
2017-07-20,117.36,119.2,112.59,116.93,111.91,9246300
2017-07-21,116.67,117.81,115.76,117.39,112.35,2723400
2017-07-24,117.25,117.77,116.68,117.22,112.19,1761900
2017-07-25,117.7,117.98,116.64,117.41,112.37,1503600
2017-07-26,117.6,118.01,116.68,116.87,111.85,1252800
2017-07-27,116.88,117.08,114.48,115.19,110.25,2633700
2017-07-28,115.19,115.24,113.66,114.13,109.23,2364300
2017-07-31,114.15,114.28,112.38,112.42,107.6,2665500
2017-08-01,112.38,113.38,111.44,112.36,107.54,3249900
2017-08-02,112.47,113.15,111.79,112.36,107.54,2301900
2017-08-03,112.79,112.79,110.56,111.34,106.57,2553600
2017-08-04,111.8,112.34,111.24,111.69,106.9,1574700
2017-08-07,111.95,112.66,111.25,111.46,106.68,1357500
2017-08-08,111.38,111.91,110.49,110.83,106.08,1654200
2017-08-09,110.31,112.61,110.18,111.89,107.09,2286600
