Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,127.54,128.06,126.78,127.75,110.13,551600
2017-05-25,127.54,128.62,127.54,128.0,110.34,847700
2017-05-26,128.1,128.55,127.96,128.17,110.49,413100
2017-05-30,127.6,127.98,127.29,127.77,110.14,511800
2017-05-31,127.9,128.93,127.16,127.85,110.21,1099100
2017-06-01,128.11,130.24,127.28,130.23,112.27,810500
2017-06-02,130.76,131.3,129.73,130.51,112.51,817500
2017-06-05,130.56,130.56,129.71,130.5,112.5,700100
2017-06-06,130.64,131.45,130.1,130.52,112.52,1035600
2017-06-07,130.5,130.88,129.43,130.88,112.83,1373100
2017-06-08,130.88,134.12,127.74,128.51,110.78,1629100
2017-06-09,128.32,128.89,126.7,127.16,109.62,876200
2017-06-12,127.27,128.62,127.02,128.05,110.39,819600
2017-06-13,127.91,128.44,126.52,128.24,110.55,753000
2017-06-14,128.74,129.41,127.02,127.48,109.89,1370300
2017-06-15,127.0,127.32,126.28,127.15,109.61,864400
2017-06-16,126.76,126.76,123.64,124.72,107.52,1416000
2017-06-19,124.72,124.83,123.04,124.16,107.03,700300
2017-06-20,124.0,124.12,122.33,122.37,105.49,783900
2017-06-21,122.64,123.37,121.28,121.57,104.8,844200
2017-06-22,121.73,122.2,120.9,121.23,104.51,855700
2017-06-23,121.22,121.79,120.43,120.72,104.07,1146400
2017-06-26,120.91,122.32,120.61,122.06,105.22,658300
2017-06-27,121.61,122.06,120.16,120.17,103.59,881000
2017-06-28,120.6,121.31,119.67,119.81,103.28,594600
2017-06-29,120.1,120.13,117.78,118.02,101.74,1354100
2017-06-30,118.41,118.99,117.47,118.33,102.01,856000
2017-07-03,118.8,119.12,117.9,118.15,101.85,504800
2017-07-05,117.89,118.08,116.25,116.3,100.26,977100
2017-07-06,116.21,116.65,115.07,115.11,99.23,832900
2017-07-07,115.55,115.71,114.84,115.39,99.47,795500
2017-07-10,115.45,115.45,114.39,114.41,98.63,739200
2017-07-11,114.81,115.58,114.31,114.45,98.66,1177400
2017-07-12,115.29,116.0,114.94,115.16,99.27,946500
2017-07-13,115.25,116.39,115.1,116.34,100.29,1246200
2017-07-14,116.42,117.11,116.22,116.75,100.64,804100
2017-07-17,117.22,118.6,117.02,118.57,102.21,1085200
2017-07-18,118.99,118.99,116.32,116.48,100.41,1017200
2017-07-19,116.01,116.95,115.0,116.76,100.65,1085100
2017-07-20,116.99,119.4,116.97,118.25,101.94,1622800
2017-07-21,118.08,118.48,117.32,118.48,102.14,1281300
2017-07-24,118.44,120.12,118.0,119.61,103.11,1024400
2017-07-25,119.78,121.12,119.39,121.02,104.33,1034500
2017-07-26,121.29,121.45,120.48,120.71,104.06,744900
2017-07-27,120.88,122.14,120.22,122.13,105.28,645600
2017-07-28,122.67,122.8,121.94,122.42,105.53,758900
2017-07-31,122.45,122.49,121.75,121.9,105.08,776600
2017-08-01,122.17,122.41,120.35,120.74,104.08,828400
2017-08-02,120.42,121.76,119.05,120.81,104.14,1328700
2017-08-03,120.53,121.94,120.53,121.17,104.46,567500
2017-08-04,121.54,121.78,121.0,121.47,104.71,745200
2017-08-07,121.47,122.72,121.29,122.57,105.66,668600
2017-08-08,122.16,122.56,121.65,121.79,104.99,594400
2017-08-09,121.25,122.53,121.01,122.19,106.01,714100
2017-08-10,121.72,122.25,121.24,121.72,105.61,805400
2017-08-11,122.09,123.05,121.51,122.28,106.09,448800
2017-08-14,122.41,123.46,122.17,123.01,106.72,637900
2017-08-15,123.05,123.34,122.6,122.92,106.65,613400
2017-08-16,122.92,123.78,122.56,123.18,106.87,545700
2017-08-17,122.9,123.83,122.48,122.66,106.42,669700
2017-08-18,122.55,122.68,121.6,121.9,105.76,725400
2017-08-21,121.63,122.09,121.12,121.85,105.72,704600
2017-08-22,121.71,121.88,119.2,119.86,103.99,1324300
2017-08-23,119.34,119.69,118.09,118.85,103.12,2394000
2017-08-24,112.5,113.1,106.93,107.51,93.28,5352400
2017-08-25,107.55,107.89,105.04,105.15,91.23,2441100
2017-08-28,105.1,106.54,104.15,105.4,91.45,1888400
2017-08-29,105.5,105.73,104.59,104.7,90.84,1368000
2017-08-30,104.77,105.11,103.5,104.24,90.44,1772400
2017-08-31,104.37,105.01,104.01,104.76,90.89,1493700
2017-09-01,105.0,105.46,104.46,104.84,90.96,1044800
2017-09-05,104.84,106.18,104.47,106.08,92.04,1182300
2017-09-06,106.29,106.37,105.21,106.21,92.15,1260300
