Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,72.13,72.28,71.07,71.36,60.47,5257900
2017-05-25,71.27,71.69,68.94,69.39,58.8,14649400
2017-05-26,69.5,70.35,69.0,70.09,59.4,8960700
2017-05-30,69.22,69.49,68.65,68.74,58.67,7263500
2017-05-31,68.31,69.93,68.23,69.59,59.4,8944200
2017-06-01,69.67,70.19,69.22,69.78,59.56,5874800
2017-06-02,68.88,69.12,68.03,68.96,58.86,8646500
2017-06-05,68.79,69.5,68.63,69.27,59.12,4670800
2017-06-06,69.14,70.19,68.71,69.97,59.72,6588600
2017-06-07,69.55,69.86,67.92,68.67,58.61,10227700
2017-06-08,68.67,69.11,68.23,68.31,58.3,7739800
2017-06-09,68.35,70.39,68.32,69.68,59.47,8141100
2017-06-12,70.25,70.69,69.07,69.31,59.16,7999200
2017-06-13,69.31,69.7,68.84,69.35,59.19,7882700
2017-06-14,69.06,69.09,67.34,68.18,58.19,10261300
2017-06-15,67.96,68.08,67.0,67.33,57.47,9465900
2017-06-16,67.6,68.58,67.05,68.58,58.53,10179200
2017-06-19,68.53,68.78,67.9,68.1,58.12,5037600
2017-06-20,67.05,67.05,66.04,66.75,56.97,9580000
2017-06-21,66.48,66.49,65.26,65.47,55.88,11374200
2017-06-22,65.5,66.43,65.15,65.37,55.79,8088000
2017-06-23,65.33,66.16,65.15,65.93,56.27,7402500
2017-06-26,66.11,66.4,65.53,65.89,56.24,8042700
2017-06-27,65.65,66.04,65.13,65.36,55.79,6498400
2017-06-28,65.44,66.04,65.1,65.25,55.69,6243500
2017-06-29,65.6,66.3,65.3,65.38,55.8,7194800
2017-06-30,65.85,66.11,65.38,65.84,56.2,7981900
2017-07-03,66.12,67.4,65.9,66.97,57.16,5201400
2017-07-05,67.26,67.26,65.34,65.74,56.11,8872900
2017-07-06,66.16,66.5,65.02,65.13,55.59,6503800
2017-07-07,64.99,65.18,64.15,65.08,55.55,6743400
2017-07-10,64.82,65.69,64.78,65.35,55.78,5873600
