Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,163.59,163.59,161.33,162.17,143.56,441900
2017-05-25,162.33,162.46,159.0,160.2,141.82,916300
2017-05-26,159.69,160.78,158.39,160.71,142.27,493100
2017-05-30,159.62,161.1,159.02,159.65,141.33,380100
2017-05-31,159.94,162.36,158.55,161.66,143.11,836300
2017-06-01,161.98,164.26,160.99,163.44,144.69,548300
2017-06-02,164.22,165.44,162.53,162.75,144.07,572700
2017-06-05,162.08,163.74,161.5,163.06,144.35,413700
2017-06-06,163.26,163.77,162.1,162.38,143.75,400700
2017-06-07,162.52,162.59,160.34,160.89,142.43,417700
2017-06-08,160.89,160.89,154.72,156.88,138.88,1335600
2017-06-09,156.86,158.0,154.51,157.51,139.44,1105600
2017-06-12,158.0,159.51,156.44,157.47,139.4,493200
2017-06-13,157.8,158.51,156.9,157.76,139.66,531800
2017-06-14,158.0,158.0,155.95,157.02,139.0,577100
2017-06-15,155.96,157.0,154.82,156.16,138.24,561400
2017-06-16,156.19,158.0,155.85,157.96,139.83,660000
2017-06-19,158.0,158.47,155.89,157.64,139.55,587400
2017-06-20,157.0,157.59,156.35,156.39,138.44,427800
2017-06-21,156.1,156.11,152.92,153.24,135.66,731400
2017-06-22,153.23,155.68,152.49,154.77,137.01,566900
2017-06-23,155.08,156.28,154.06,154.47,136.74,1266600
2017-06-26,154.85,156.86,154.56,156.05,138.14,352500
2017-06-27,155.92,156.5,154.81,154.9,137.13,445400
2017-06-28,155.18,156.56,154.91,155.92,138.03,569700
2017-06-29,156.4,157.64,155.48,156.51,138.55,795600
2017-06-30,156.7,158.92,156.65,158.0,139.87,771400
2017-07-03,158.75,159.74,157.91,158.83,140.6,401300
2017-07-05,159.26,159.43,154.76,156.96,138.95,758900
2017-07-06,156.05,156.75,153.87,154.32,136.61,860800
2017-07-07,154.55,156.51,154.09,155.99,138.09,549000
2017-07-10,155.12,155.99,154.04,154.14,136.45,605000
2017-07-11,154.0,154.5,152.79,153.48,135.87,920000
2017-07-12,154.0,155.13,152.6,152.94,135.39,670200
2017-07-13,153.0,154.34,152.5,154.28,136.58,1019300
2017-07-14,154.39,156.26,154.14,155.74,137.87,646000
2017-07-17,156.44,159.75,156.0,159.02,140.77,931200
2017-07-18,158.57,159.12,156.35,156.69,138.71,887500
2017-07-19,156.7,157.96,156.08,157.71,139.61,1154900
2017-07-20,160.0,162.49,149.5,150.34,133.09,2289700
2017-07-21,150.48,152.5,148.66,150.0,132.79,1522400
2017-07-24,149.87,150.0,146.47,147.51,130.58,1285900
2017-07-25,147.76,150.03,147.01,149.94,132.73,1092100
2017-07-26,150.2,150.87,149.15,150.04,132.82,1300200
2017-07-27,150.08,155.05,149.07,154.88,137.11,1697300
2017-07-28,154.0,155.62,152.32,152.43,134.94,1209800
2017-07-31,152.75,154.47,150.63,154.2,136.51,725100
2017-08-01,154.64,156.45,152.21,152.96,135.41,742200
2017-08-02,152.95,153.92,151.54,152.99,135.43,464200
2017-08-03,152.99,154.31,152.55,152.85,135.31,470500
2017-08-04,152.84,153.34,151.75,152.76,135.23,409900
2017-08-07,154.02,155.87,153.04,154.95,137.17,481200
2017-08-08,155.0,155.88,153.9,154.23,136.53,543600
2017-08-09,154.7,155.85,154.28,155.2,137.39,670200
2017-08-10,154.16,155.09,152.04,152.77,135.24,574800
2017-08-11,152.49,154.3,152.35,152.46,134.97,603100
2017-08-14,153.45,153.97,152.14,153.76,136.12,495700
2017-08-15,153.76,153.82,150.98,151.52,134.13,502600
2017-08-16,150.93,151.58,149.55,151.52,134.76,506800
2017-08-17,151.31,152.2,148.75,148.82,132.36,425400
2017-08-18,148.07,149.16,147.88,147.96,131.6,757700
2017-08-21,145.83,146.78,141.24,141.7,126.03,1854200
2017-08-22,141.95,142.78,140.83,142.0,126.3,1291300
2017-08-23,141.75,143.42,141.36,141.51,125.86,871000
2017-08-24,141.87,142.99,141.36,142.83,127.04,639400
2017-08-25,142.88,146.76,142.8,144.91,128.89,655700
2017-08-28,145.32,145.47,144.07,144.76,128.75,320400
2017-08-29,144.18,146.45,143.84,145.7,129.59,620100
2017-08-30,145.68,146.16,144.46,146.15,129.99,512500
2017-08-31,146.47,148.01,146.25,147.57,131.25,442300
2017-09-01,148.0,148.07,145.92,146.01,129.86,425100
2017-09-05,145.98,145.98,144.19,144.67,128.67,613300
2017-09-06,145.3,146.5,144.18,145.7,129.59,411100
2017-09-07,145.55,146.45,145.04,146.34,130.16,341400
2017-09-08,146.01,147.4,145.61,147.0,130.74,298700
