Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,72.96,73.22,72.36,73.03,73.03,1416900
2017-05-25,73.13,73.71,72.91,73.53,73.53,1058200
2017-05-26,73.85,74.71,73.62,74.37,74.37,1368400
2017-05-30,74.31,74.74,74.0,74.7,74.7,1275500
2017-05-31,74.78,75.0,74.5,74.87,74.87,3856700
2017-06-01,75.03,75.41,74.53,74.93,74.93,1318700
2017-06-02,75.13,75.99,74.99,75.82,75.82,1288500
2017-06-05,75.61,76.25,75.61,75.76,75.76,905400
2017-06-06,75.71,76.43,75.41,75.81,75.81,940200
2017-06-07,76.23,76.33,75.58,76.07,76.07,921500
2017-06-08,76.12,76.45,75.72,76.12,76.12,889900
2017-06-09,75.95,76.57,74.43,74.93,74.93,1194000
2017-06-12,74.39,74.76,73.05,73.89,73.89,1553500
2017-06-13,74.12,74.67,73.95,74.66,74.66,1173300
2017-06-14,74.95,74.96,73.71,74.34,74.34,1011300
2017-06-15,74.11,74.11,73.13,74.02,74.02,1325300
2017-06-16,73.77,74.33,73.58,73.78,73.78,1360300
2017-06-19,73.73,75.18,73.72,74.71,74.71,1178300
2017-06-20,74.45,75.27,74.45,74.61,74.61,888300
2017-06-21,74.95,74.98,74.14,74.65,74.65,863100
2017-06-22,74.75,74.92,74.04,74.59,74.59,779300
2017-06-23,74.59,74.87,74.31,74.36,74.36,1971200
2017-06-26,74.36,74.94,74.26,74.52,74.52,905200
2017-06-27,74.39,74.82,73.61,73.65,73.65,840900
2017-06-28,73.98,74.46,73.65,74.26,74.26,735000
2017-06-29,74.04,74.25,72.4,72.97,72.97,900600
2017-06-30,73.02,73.35,72.76,72.93,72.93,779800
2017-07-03,73.37,73.44,72.08,72.12,72.12,530300
2017-07-05,72.43,72.99,72.05,72.74,72.74,1081900
2017-07-06,72.48,72.66,71.94,72.53,72.53,1042900
2017-07-07,72.67,73.53,72.26,73.15,73.15,697800
2017-07-10,73.05,73.84,73.04,73.5,73.5,833000
2017-07-11,73.51,73.89,73.04,73.54,73.54,732600
2017-07-12,74.0,75.25,73.43,75.16,75.16,949900
2017-07-13,75.16,75.43,74.71,74.89,74.89,685500
2017-07-14,75.04,75.41,74.67,75.27,75.27,554500
2017-07-17,75.3,75.83,75.02,75.64,75.64,480000
2017-07-18,75.49,75.69,75.16,75.66,75.66,384800
2017-07-19,75.85,76.51,75.74,76.41,76.41,536700
2017-07-20,76.48,76.56,75.49,75.82,75.82,556500
2017-07-21,75.59,76.18,75.59,75.91,75.91,453400
2017-07-24,75.95,76.36,75.81,76.34,76.34,687700
2017-07-25,76.3,76.97,76.19,76.4,76.4,845000
2017-07-26,76.57,77.25,76.47,76.69,76.69,417000
2017-07-27,76.85,77.29,75.61,76.36,76.36,748200
2017-07-28,76.23,76.68,75.98,76.43,76.43,352100
2017-07-31,76.6,76.89,76.08,76.57,76.57,579400
2017-08-01,76.9,76.9,76.37,76.77,76.77,661000
2017-08-02,76.96,76.96,75.63,76.04,76.04,690000
2017-08-03,76.11,76.28,75.53,76.1,76.1,724800
2017-08-04,76.06,76.64,75.82,76.61,76.61,1125600
2017-08-07,76.69,77.22,76.48,77.15,77.15,506000
2017-08-08,77.13,77.55,76.75,76.82,76.82,871600
2017-08-09,76.45,77.05,76.23,76.85,76.85,636700
2017-08-10,76.56,76.7,75.59,75.65,75.65,1003300
