Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,50.19,50.47,50.15,50.38,40.29,4048700
2017-05-25,50.38,50.62,50.25,50.5,40.39,5144200
2017-05-26,50.5,50.55,50.35,50.45,40.35,3265900
2017-05-30,50.47,50.74,50.34,50.57,40.44,3848600
2017-05-31,50.66,50.93,50.6,50.61,40.48,8671000
2017-06-01,50.65,50.98,50.53,50.93,40.73,5270300
2017-06-02,51.03,51.17,50.84,51.01,40.8,4994400
2017-06-05,50.93,50.98,50.77,50.81,40.64,3221700
2017-06-06,51.09,51.18,50.71,50.79,40.62,3850700
2017-06-07,50.76,51.12,50.71,51.01,40.8,4475500
2017-06-08,51.01,51.01,50.49,50.74,40.58,5667000
2017-06-09,50.63,50.73,50.34,50.68,40.53,3498100
2017-06-12,50.86,51.34,50.75,50.85,40.67,4967500
2017-06-13,50.8,51.16,50.69,51.06,40.84,3653400
2017-06-14,51.36,51.63,51.21,51.22,40.96,4916000
2017-06-15,51.21,51.75,51.19,51.71,41.36,5185300
2017-06-16,51.78,51.97,51.45,51.53,41.21,8791500
2017-06-19,51.49,51.67,51.23,51.42,41.12,4144600
2017-06-20,51.43,51.74,51.42,51.71,41.36,2724000
2017-06-21,51.73,51.77,51.0,51.2,40.95,3678000
2017-06-22,51.05,51.05,50.25,50.38,40.29,5180000
2017-06-23,50.3,50.4,49.76,49.84,39.86,5480700
2017-06-26,49.89,50.36,49.73,50.1,40.07,3721100
2017-06-27,49.9,49.99,49.28,49.4,39.51,4399200
2017-06-28,49.52,49.55,49.1,49.15,39.31,4316100
2017-06-29,48.74,48.75,48.16,48.29,38.62,7203200
2017-06-30,48.24,48.45,47.87,47.88,38.29,5782900
2017-07-03,47.99,48.05,47.58,47.65,38.11,2804200
2017-07-05,47.72,47.73,47.34,47.42,37.93,4753800
2017-07-06,47.28,47.49,47.13,47.4,37.91,4044800
2017-07-07,47.45,47.6,47.28,47.36,37.88,3510100
2017-07-10,47.66,47.67,47.27,47.28,37.81,3980100
2017-07-11,47.36,47.42,47.09,47.28,37.81,3380700
2017-07-12,47.55,47.66,47.47,47.51,38.0,3439700
2017-07-13,47.62,47.65,47.1,47.12,37.69,3334900
2017-07-14,47.42,47.56,47.22,47.26,37.8,3453800
2017-07-17,47.25,47.31,46.91,47.04,37.62,5191000
2017-07-18,47.1,47.17,46.87,47.12,37.69,4916700
2017-07-19,47.2,47.3,47.08,47.23,37.77,3519900
2017-07-20,47.31,47.43,47.19,47.32,37.85,3373800
2017-07-21,47.27,47.88,47.2,47.88,38.29,4117200
2017-07-24,47.86,47.88,47.24,47.25,37.79,4513300
2017-07-25,47.29,47.32,46.76,46.78,37.41,4010400
2017-07-26,46.78,47.4,46.71,47.4,37.91,4153200
2017-07-27,47.19,47.82,47.05,47.82,38.25,4629100
2017-07-28,47.81,47.97,47.26,47.51,38.0,4263400
2017-07-31,47.51,48.0,47.33,47.93,38.33,5973100
2017-08-01,48.03,49.06,48.01,48.53,38.81,8875900
2017-08-02,48.51,50.08,47.91,49.78,39.81,9067300
2017-08-03,49.48,49.7,49.18,49.36,39.48,6066700
2017-08-04,49.1,49.24,48.54,48.79,39.02,5375300
2017-08-07,48.78,49.04,48.69,49.0,39.19,4051000
2017-08-08,48.91,49.2,48.78,49.12,39.29,5256800
2017-08-09,49.2,49.22,48.78,48.85,39.07,5181900
2017-08-10,48.81,48.96,48.57,48.81,39.04,3319000
2017-08-11,48.81,48.86,48.26,48.42,38.73,3227000
2017-08-14,48.42,48.65,48.32,48.64,38.9,3773300
2017-08-15,48.53,48.96,48.5,48.96,39.16,2917400
2017-08-16,48.88,49.15,48.86,48.99,39.18,3033300
2017-08-17,48.42,48.45,47.9,47.92,38.78,3346400
2017-08-18,47.84,48.49,47.69,48.3,39.09,4853000
2017-08-21,48.34,48.43,48.07,48.29,39.08,4699300
2017-08-22,48.2,48.22,47.78,47.95,38.81,4134600
2017-08-23,47.99,48.08,47.85,48.04,38.88,3224200
2017-08-24,48.03,48.14,47.88,48.02,38.87,2877800
2017-08-25,48.2,48.51,47.98,48.31,39.1,3792600
2017-08-28,48.43,48.49,48.1,48.35,39.13,2549300
2017-08-29,48.41,48.48,48.11,48.18,38.99,2334300
2017-08-30,48.15,48.24,47.95,48.21,39.02,2460800
2017-08-31,48.35,48.5,48.21,48.26,39.06,4325500
2017-09-01,48.32,48.32,47.88,48.26,39.06,3112800
2017-09-05,48.31,49.19,48.21,49.16,39.79,6725300
2017-09-06,49.35,49.46,49.08,49.28,39.89,7368000
2017-09-07,49.3,50.0,49.1,49.95,40.43,7074800
2017-09-08,49.73,50.27,49.6,50.2,40.63,5696200
2017-09-11,50.05,50.64,49.96,50.61,40.96,5297700
2017-09-12,50.49,50.58,49.26,49.56,40.11,5912600
2017-09-13,49.52,49.56,49.16,49.42,40.0,4398500
2017-09-14,49.65,50.49,49.44,50.4,40.79,6166900
2017-09-15,50.6,50.8,50.32,50.64,40.99,7244800
2017-09-18,50.7,50.72,49.73,50.07,40.52,3859900
2017-09-19,50.07,50.1,49.68,49.87,40.36,5110100
2017-09-20,50.02,50.1,49.24,49.45,40.02,4721000
2017-09-21,49.49,49.64,49.24,49.27,39.88,3040000
2017-09-22,49.36,49.41,48.76,48.82,39.51,4155500
