Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,138.27,139.72,137.76,139.51,133.56,759600
2017-05-25,139.91,140.9,139.83,140.69,134.69,506200
2017-05-26,140.63,141.11,139.79,140.21,134.23,972800
2017-05-30,140.04,140.92,139.76,140.81,134.81,635900
2017-05-31,140.83,142.93,140.54,142.81,136.72,1437500
2017-06-01,143.21,145.3,143.09,143.7,137.57,1798600
2017-06-02,144.06,144.64,143.08,144.16,138.01,1174500
2017-06-05,144.19,144.68,143.76,144.4,138.24,584000
2017-06-06,144.0,144.36,143.4,143.93,137.79,1057600
2017-06-07,144.37,146.32,144.1,146.01,139.79,1339000
2017-06-08,146.01,146.42,144.9,145.61,139.4,1423000
2017-06-09,145.7,147.54,144.79,146.81,140.55,1064500
2017-06-12,146.81,147.03,144.35,145.69,139.48,1293100
2017-06-13,145.9,146.88,144.81,146.5,140.25,1136900
2017-06-14,146.46,148.16,146.21,147.41,141.13,1138200
2017-06-15,146.89,148.49,146.26,148.44,142.11,856400
2017-06-16,148.83,149.17,147.85,148.49,142.16,1324300
2017-06-19,149.58,150.4,148.82,149.4,143.03,1167000
2017-06-20,149.37,149.38,146.86,147.22,140.94,1331800
2017-06-21,147.22,147.69,144.8,145.22,139.03,1627500
2017-06-22,145.23,145.7,144.68,145.38,139.18,1327500
2017-06-23,145.78,147.12,145.16,146.7,140.45,1515300
2017-06-26,147.17,148.1,146.17,146.27,140.03,836800
2017-06-27,146.71,147.55,145.56,146.09,139.86,838000
2017-06-28,146.9,149.05,146.58,148.9,142.55,1081500
2017-06-29,149.11,149.88,145.87,146.04,139.81,1404200
2017-06-30,146.38,146.84,145.71,145.99,139.77,1934000
2017-07-03,146.42,147.64,145.72,145.72,139.51,599800
2017-07-05,146.07,148.42,146.07,147.53,141.24,1240100
2017-07-06,147.27,147.87,145.75,146.35,140.11,1015300
2017-07-07,146.51,149.8,145.97,148.79,142.45,1338400
2017-07-10,148.55,149.27,148.04,148.8,142.46,1237000
2017-07-11,148.31,148.55,146.96,147.9,141.6,800100
2017-07-12,148.48,149.88,148.02,149.44,143.07,970900
2017-07-13,149.35,150.01,148.29,149.65,143.27,1415100
2017-07-14,149.22,149.99,148.59,149.47,143.1,1349800
2017-07-17,149.26,149.96,148.57,149.51,143.14,1117100
2017-07-18,148.79,150.16,148.19,149.87,143.48,584000
2017-07-19,150.01,150.35,149.38,150.19,143.79,892000
2017-07-20,150.33,151.63,150.21,151.12,144.68,1046300
2017-07-21,150.9,154.66,150.9,153.85,147.29,2490000
2017-07-24,153.77,155.17,153.72,154.79,148.19,1080000
2017-07-25,155.95,157.43,154.63,155.15,148.54,820100
2017-07-26,155.3,156.18,154.4,154.58,147.99,1093700
2017-07-27,158.35,158.35,151.86,153.45,146.91,1476400
2017-07-28,153.47,154.09,152.29,153.47,146.93,1017200
2017-07-31,154.52,154.84,153.48,153.59,147.04,1442400
2017-08-01,154.0,155.84,154.0,154.63,148.04,1974100
2017-08-02,154.38,154.7,151.12,152.02,145.54,1936800
2017-08-03,151.68,152.46,151.53,151.92,145.44,1374400
2017-08-04,152.36,152.73,150.94,151.03,144.59,1107600
2017-08-07,151.56,151.94,150.74,150.95,144.52,777000
2017-08-08,150.9,151.15,148.07,148.28,141.96,1996600
