Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,81.64,81.87,81.25,81.81,71.74,1435900
2017-05-25,82.12,82.8,81.84,82.14,72.03,1219600
2017-05-26,81.8,82.27,81.61,81.99,71.9,1268200
2017-05-30,81.53,81.92,81.4,81.68,71.63,1263000
2017-05-31,81.49,81.69,80.73,81.46,71.44,1815100
2017-06-01,81.88,82.89,81.47,82.82,72.63,1312900
2017-06-02,81.99,83.0,81.73,82.68,72.51,1255000
2017-06-05,83.86,84.37,83.05,83.07,72.85,2472800
2017-06-06,82.55,83.4,81.98,83.3,73.05,2168400
2017-06-07,83.45,84.45,83.1,84.39,74.01,2031500
2017-06-08,84.39,86.48,84.38,86.0,75.42,2173800
2017-06-09,86.4,87.51,86.35,87.35,76.6,1884400
2017-06-12,87.3,88.06,87.03,87.11,76.39,1595200
2017-06-13,87.88,89.61,87.84,88.59,77.69,3127800
2017-06-14,87.95,88.82,87.52,88.79,77.86,1703800
2017-06-15,88.22,89.26,88.11,88.8,77.87,1477000
2017-06-16,89.02,89.07,87.94,88.25,77.39,3223700
2017-06-19,88.63,89.95,88.49,89.52,78.5,1953400
2017-06-20,89.2,89.82,88.94,89.15,78.18,1026000
2017-06-21,89.33,89.62,88.74,89.38,78.38,1223300
2017-06-22,89.08,89.37,88.58,88.68,77.77,1195000
2017-06-23,88.75,88.8,86.8,87.24,76.5,3447000
2017-06-26,87.46,87.9,87.03,87.82,77.01,1527500
2017-06-27,88.22,88.68,87.77,87.9,77.08,1236300
2017-06-28,89.0,89.94,88.9,89.66,78.63,2293200
2017-06-29,91.43,91.43,89.0,89.64,78.94,1877900
2017-06-30,90.08,90.34,89.39,89.73,79.02,1540800
2017-07-03,90.4,91.61,90.05,91.08,80.21,684700
2017-07-05,91.35,91.99,90.55,91.53,80.61,1505900
2017-07-06,91.55,91.76,90.57,90.61,79.8,1361000
2017-07-07,91.11,91.49,90.59,90.87,80.03,1691000
2017-07-10,90.87,91.9,90.65,91.52,80.6,1968200
2017-07-11,91.55,91.55,90.03,90.2,79.44,1981200
2017-07-12,89.99,91.19,89.76,90.99,80.13,1970800
2017-07-13,91.45,92.22,90.95,91.79,80.84,1337900
2017-07-14,90.85,92.31,90.18,92.07,81.08,1566000
2017-07-17,91.92,92.84,91.67,92.56,81.52,1022200
2017-07-18,91.74,92.32,91.39,92.08,81.09,936400
2017-07-19,92.27,92.27,89.25,90.61,79.8,4370000
2017-07-20,90.81,92.42,90.72,90.87,80.03,2100700
2017-07-21,90.34,91.32,90.34,90.99,80.13,1324800
2017-07-24,90.94,91.66,90.76,91.53,80.61,1660800
2017-07-25,93.18,93.18,92.16,92.54,81.5,1893000
2017-07-26,95.83,96.26,93.92,94.28,83.03,2757500
2017-07-27,94.63,94.72,93.14,93.55,82.39,1867900
2017-07-28,93.39,93.63,92.8,93.17,82.05,1735000
2017-07-31,93.46,93.59,93.16,93.23,82.11,1999000
2017-08-01,93.74,93.89,93.08,93.6,82.43,1782600
2017-08-02,93.88,94.37,93.6,94.22,82.98,1969900
2017-08-03,94.17,94.7,93.51,93.77,82.58,1375700
2017-08-04,94.47,95.8,94.3,95.1,83.75,2329400
2017-08-07,95.07,95.3,94.43,94.45,83.18,1029500
2017-08-08,94.12,95.44,94.04,94.35,83.09,1178600
2017-08-09,93.71,94.3,93.25,94.28,83.03,2138400
2017-08-10,93.83,94.22,92.0,92.5,81.46,2297400
2017-08-11,92.53,93.6,91.62,92.08,81.09,2274000
2017-08-14,93.09,94.06,92.9,93.52,82.36,1451300
2017-08-15,94.12,94.89,93.56,93.82,82.63,1219800
2017-08-16,93.01,94.06,92.82,93.04,81.94,1651200
2017-08-17,92.8,93.25,91.53,91.79,80.84,1877300
2017-08-18,91.56,92.97,91.19,92.42,81.39,1916300
2017-08-21,92.3,92.89,92.04,92.33,81.31,1349700
2017-08-22,92.62,93.83,92.57,93.64,82.47,1111900
2017-08-23,92.77,93.98,92.77,93.45,82.3,1291600
2017-08-24,93.72,94.43,93.31,93.78,82.59,1680700
2017-08-25,94.05,94.62,93.43,93.47,82.32,2205500
2017-08-28,93.65,94.02,92.58,92.9,81.81,1351400
2017-08-29,91.88,92.32,91.03,92.0,81.02,2191800
2017-08-30,92.13,92.61,92.07,92.4,81.37,1497300
2017-08-31,92.9,92.9,92.19,92.49,81.45,2089000
2017-09-01,92.89,93.89,92.6,93.18,82.06,1387100
2017-09-05,92.63,93.38,91.56,91.79,80.84,2844500
2017-09-06,92.22,92.49,91.06,91.63,80.7,2263600
2017-09-07,91.64,91.81,90.01,90.97,80.12,2244100
2017-09-08,91.08,92.88,91.01,92.5,81.46,2029400
2017-09-11,93.65,94.67,93.42,94.33,83.07,1711700
2017-09-12,94.82,95.39,94.42,94.96,83.63,1554300
2017-09-13,94.58,94.58,93.7,94.27,83.02,1883300
2017-09-14,94.21,94.5,93.81,94.1,82.87,2482800
2017-09-15,94.16,94.83,93.74,94.04,82.82,5229300
2017-09-18,94.26,94.93,94.13,94.76,83.45,1202900
2017-09-19,95.03,95.9,94.65,95.68,84.26,1687400
2017-09-20,95.8,96.21,94.71,95.82,84.39,1397000
2017-09-21,95.93,96.39,95.52,95.95,84.5,1226800
2017-09-22,95.81,96.04,95.36,95.56,84.16,1599700
2017-09-25,95.49,95.65,93.72,94.46,83.19,1507500
2017-09-26,94.63,94.72,93.75,93.91,82.7,1759100
2017-09-27,95.14,96.11,94.63,95.54,84.14,1561900
2017-09-28,95.55,95.85,95.05,95.81,84.38,942500
2017-09-29,95.4,95.82,95.01,95.54,84.51,1486500
2017-10-02,95.73,96.74,95.34,96.34,85.22,1189900
2017-10-03,96.07,97.07,96.03,96.99,85.79,1273000
2017-10-04,96.94,98.08,96.85,97.11,85.9,1242800
2017-10-05,97.39,99.13,97.14,98.95,87.53,1967900
2017-10-06,99.4,99.99,98.32,98.8,87.39,1529900
2017-10-09,98.81,98.82,97.86,98.09,86.77,875700
2017-10-10,98.3,99.2,98.1,99.17,87.72,1540900
2017-10-11,99.2,99.41,98.4,99.29,87.83,1818600
2017-10-12,99.3,99.89,98.6,98.63,87.24,1691500
2017-10-13,98.63,99.95,98.04,99.26,87.8,1588700
2017-10-16,99.18,99.65,98.36,98.54,87.16,1452700
2017-10-17,98.64,98.64,97.07,97.15,85.93,1458100
2017-10-18,97.46,98.82,97.32,98.35,87.0,1395900
2017-10-19,97.81,97.86,96.82,97.48,86.23,2319400
2017-10-20,98.69,99.22,98.02,99.12,87.68,2308800
2017-10-23,96.95,97.37,94.23,96.17,85.07,2304800
2017-10-24,96.61,97.4,96.31,96.43,85.3,1775200
2017-10-25,96.51,96.72,93.16,94.05,83.19,3226600
2017-10-26,94.58,95.8,94.54,94.74,83.8,2211500
2017-10-27,94.65,94.8,93.45,93.51,82.71,1778200
2017-10-30,93.1,94.06,93.08,93.29,82.52,1996100
2017-10-31,93.14,93.46,91.96,92.0,81.38,1623400
2017-11-01,92.52,92.96,92.18,92.25,81.6,1642300
2017-11-02,92.07,93.41,92.01,92.51,81.83,1337700
2017-11-03,92.4,92.8,92.15,92.53,81.85,1078900
2017-11-06,92.06,92.64,91.86,92.29,81.64,1162700
2017-11-07,92.68,92.94,90.21,90.28,79.86,1470600
2017-11-08,90.1,91.39,89.68,91.13,80.61,1892200
2017-11-09,90.61,91.47,90.09,90.77,80.29,1608400
