Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,43.05,43.2,42.59,42.73,33.55,2385100
2017-05-25,42.88,43.42,42.48,43.11,33.84,2951200
2017-05-26,42.67,43.0,42.2,42.53,33.39,3272100
2017-05-30,42.21,43.55,42.21,43.24,33.95,3566900
2017-05-31,43.39,43.57,42.86,43.57,34.21,4522300
2017-06-01,43.56,43.56,42.63,42.88,33.66,3492900
2017-06-02,42.96,43.35,42.91,43.22,33.93,2682400
2017-06-05,42.86,42.99,42.06,42.08,33.04,3322200
2017-06-06,42.0,42.35,41.59,41.89,32.89,3406600
2017-06-07,42.09,42.56,41.77,41.94,32.93,2397400
2017-06-08,42.05,42.82,41.58,42.77,33.58,3210600
2017-06-09,42.86,43.53,41.6,42.37,33.26,4759000
2017-06-12,41.75,41.94,40.32,41.54,32.61,6519300
2017-06-13,41.99,42.4,41.78,42.03,33.0,3981100
2017-06-14,42.23,42.23,40.81,41.28,32.41,3917200
2017-06-15,40.45,41.65,40.4,41.52,32.6,3694900
2017-06-16,41.4,42.1,41.33,42.03,33.0,7267700
2017-06-19,41.65,42.15,41.55,41.83,33.34,3068300
2017-06-20,41.68,41.74,41.03,41.04,32.71,3294500
2017-06-21,41.19,41.87,41.08,41.66,33.2,2799300
2017-06-22,41.96,42.23,41.59,42.01,33.48,2443800
2017-06-23,42.01,43.25,41.94,42.67,34.01,3597000
2017-06-26,42.95,43.27,42.24,42.39,33.79,3631500
2017-06-27,41.1,41.2,39.51,39.51,31.49,9008700
2017-06-28,40.0,40.3,39.44,40.18,32.02,4744000
2017-06-29,39.84,39.92,38.28,38.91,31.01,6082400
2017-06-30,39.4,39.45,38.51,38.75,30.88,3872600
2017-07-03,38.92,39.27,38.57,38.59,30.76,1975100
2017-07-05,38.8,39.14,38.16,39.02,31.1,5116900
2017-07-06,38.28,38.44,36.94,37.29,29.72,9051800
2017-07-07,37.48,38.69,37.22,38.2,30.45,5852100
2017-07-10,38.14,38.6,37.88,38.39,30.6,3632000
2017-07-11,38.37,39.16,38.37,38.72,30.86,3751200
2017-07-12,39.33,40.17,39.15,39.7,31.64,4980200
2017-07-13,37.62,39.01,37.32,38.32,30.54,11523700
2017-07-14,38.4,39.69,38.38,39.5,31.48,5357200
2017-07-17,39.0,39.25,38.56,39.07,31.14,3813400
2017-07-18,39.06,39.06,38.3,38.83,30.95,3497300
2017-07-19,39.0,39.44,38.93,39.24,31.27,4143900
2017-07-20,39.24,39.6,38.87,39.42,31.42,2778800
2017-07-21,39.48,39.72,39.08,39.58,31.55,3256600
2017-07-24,39.63,40.13,39.23,39.76,31.69,6279100
2017-07-25,32.33,34.13,31.88,33.2,26.46,35475700
2017-07-26,33.35,33.42,32.08,32.34,25.78,12637600
2017-07-27,32.5,33.03,32.1,32.56,25.95,7709600
2017-07-28,32.3,32.62,31.88,32.61,25.99,7865500
2017-07-31,32.73,33.14,32.48,32.96,26.27,7171700
2017-08-01,33.05,33.51,32.9,33.37,26.6,6029200
2017-08-02,33.46,33.47,33.03,33.42,26.64,5838400
2017-08-03,33.51,33.77,33.26,33.57,26.76,4934900
2017-08-04,33.71,34.03,33.36,33.43,26.64,6768000
2017-08-07,33.4,33.66,33.24,33.48,26.68,5520700
2017-08-08,33.39,33.62,32.97,32.99,26.29,5981500
2017-08-09,32.74,32.99,32.47,32.6,25.98,4285900
2017-08-10,32.36,32.52,31.51,31.55,25.15,6368500
2017-08-11,32.25,33.25,31.97,32.29,25.74,5647200
2017-08-14,32.65,33.16,32.54,32.55,25.94,4163000
2017-08-15,32.59,32.67,32.26,32.28,25.73,2938600
2017-08-16,32.34,32.51,32.18,32.48,25.89,2533500
2017-08-17,32.3,32.6,31.47,31.51,25.11,3483100
2017-08-18,31.58,31.74,31.04,31.37,25.0,2901000
2017-08-21,31.47,31.54,31.14,31.46,25.07,3141400
2017-08-22,31.67,32.38,31.56,32.29,25.74,2639500
2017-08-23,31.12,31.36,30.6,31.01,24.72,7757300
2017-08-24,31.11,31.43,30.95,31.02,24.72,4542600
2017-08-25,31.07,31.4,30.85,31.25,24.91,3504800
2017-08-28,31.34,31.7,31.12,31.49,25.1,2856300
2017-08-29,31.2,31.55,30.95,31.45,25.07,3357200
2017-08-30,31.36,31.58,30.91,31.5,25.11,3807000
2017-08-31,31.8,31.8,31.26,31.53,25.13,4289300
2017-09-01,31.59,32.02,31.55,31.8,25.34,2115300
2017-09-05,31.84,33.35,31.83,32.75,26.1,8454400
2017-09-06,32.85,33.31,32.65,32.79,26.13,5927700
2017-09-07,32.93,32.98,31.89,32.34,25.78,4284300
2017-09-08,32.31,32.31,31.9,31.99,25.5,3562500
2017-09-11,31.27,31.79,30.89,30.95,24.67,6630300
2017-09-12,31.0,32.0,30.96,31.89,25.42,5159400
2017-09-13,32.12,32.85,31.94,32.78,26.13,5299700
2017-09-14,32.51,32.79,32.35,32.65,26.02,3368200
2017-09-15,32.66,33.64,32.4,33.55,26.74,9565600
2017-09-18,33.75,33.92,32.31,33.52,26.72,8551000
2017-09-19,32.75,32.92,31.7,32.18,26.14,7963200
2017-09-20,32.19,32.68,31.97,32.38,26.3,4594000
2017-09-21,32.38,33.05,32.05,32.72,26.58,4696900
2017-09-22,32.67,33.65,32.56,33.57,27.27,4397600
2017-09-25,33.42,33.7,32.97,33.16,26.94,3625700
2017-09-26,33.18,33.5,32.8,32.87,26.7,3423900
2017-09-27,33.02,33.47,32.59,33.18,26.95,3785400
2017-09-28,33.25,33.37,32.41,32.98,26.79,4585600
2017-09-29,32.99,33.23,32.75,33.17,26.94,2524400
2017-10-02,33.64,34.48,33.54,34.2,27.78,7402300
2017-10-03,34.2,34.25,33.53,34.05,27.66,3755400
2017-10-04,34.04,34.26,33.86,33.98,27.6,3067400
2017-10-05,34.08,34.28,33.76,34.1,27.7,3210800
2017-10-06,33.86,34.13,33.51,33.79,27.45,3555600
2017-10-09,34.03,34.82,33.84,33.85,27.5,3678900
2017-10-10,34.24,34.35,33.36,33.75,27.41,5237500
2017-10-11,33.58,34.1,33.4,33.5,27.21,3610700
2017-10-12,33.4,33.77,33.22,33.62,27.31,5111100
2017-10-13,33.86,34.56,33.66,34.4,27.94,4178500
2017-10-16,34.46,34.55,34.09,34.49,28.02,4041500
2017-10-17,34.04,34.19,33.15,33.96,27.58,5936500
2017-10-18,34.11,34.33,34.02,34.26,27.83,3732200
2017-10-19,33.92,34.35,33.85,34.34,27.89,4362900
2017-10-20,34.55,35.28,34.41,34.94,28.38,8315300
2017-10-23,39.65,40.9,37.64,39.35,31.96,33601200
2017-10-24,39.5,40.34,38.51,38.84,31.55,12140500
2017-10-25,38.47,38.68,37.5,38.15,30.99,7430700
2017-10-26,38.31,38.62,37.57,38.18,31.01,4276300
2017-10-27,38.26,38.26,36.85,36.9,29.97,5297400
2017-10-30,36.95,36.98,36.12,36.68,29.79,5870300
2017-10-31,36.82,37.73,36.57,36.97,30.03,4432600
2017-11-01,37.38,37.63,36.66,36.96,30.02,2784300
2017-11-02,36.97,37.0,36.38,36.77,29.87,2745200
2017-11-03,36.6,36.98,36.16,36.33,29.51,2280100
2017-11-06,36.28,37.53,36.07,37.46,30.43,3186100
2017-11-07,37.43,37.49,36.84,37.12,30.15,2842300
2017-11-08,37.04,38.2,36.73,37.71,30.63,4241200
2017-11-09,37.13,38.13,37.13,37.41,30.39,4349600
2017-11-10,37.2,38.08,37.2,37.99,30.86,3011500
2017-11-13,37.9,37.94,37.32,37.66,30.59,2305600
2017-11-14,37.62,37.93,37.33,37.49,30.45,2598800
2017-11-15,37.34,37.85,37.24,37.81,30.71,3497300
2017-11-16,37.96,39.28,37.93,39.12,31.78,5258400
2017-11-17,39.24,39.6,38.78,39.42,32.02,3154700
2017-11-20,39.34,40.07,39.08,39.85,32.37,3993100
2017-11-21,40.05,40.64,39.96,40.14,32.6,3848100
2017-11-22,40.02,40.47,39.82,40.33,32.76,2364900
2017-11-24,40.36,40.55,39.97,40.29,32.73,1340100
2017-11-27,39.47,39.7,38.56,39.08,31.74,5631700
2017-11-28,39.38,40.05,38.96,39.98,32.47,3809300
2017-11-29,39.95,40.5,38.66,38.75,31.48,6069800
2017-11-30,38.99,39.16,38.21,38.56,31.32,6782500
2017-12-01,38.31,39.28,37.25,39.11,31.77,5125100
2017-12-04,39.76,40.02,38.78,39.2,31.84,4592200
2017-12-05,39.52,39.95,39.04,39.13,31.78,3945600
2017-12-06,39.17,39.31,38.56,39.18,31.82,2520300
2017-12-07,39.16,40.1,38.98,39.58,32.15,3725000
2017-12-08,39.83,40.62,39.58,40.49,32.89,5502100
2017-12-11,40.35,41.13,40.17,40.47,32.87,3740700
2017-12-12,40.67,42.57,40.6,42.12,34.21,6354900
2017-12-13,42.37,42.65,41.94,42.08,34.18,4509100
2017-12-14,42.21,42.29,41.84,41.94,34.07,3301600
2017-12-15,42.2,42.21,41.41,42.02,34.13,6241800
2017-12-18,42.36,43.07,42.23,42.99,34.92,4628900
2017-12-19,42.21,42.73,41.94,42.18,34.77,4553200
2017-12-20,42.44,42.5,41.36,41.53,34.24,3321900
2017-12-21,41.72,42.53,41.59,41.96,34.59,3425300
2017-12-22,41.93,42.39,41.9,42.17,34.76,1713300
2017-12-26,41.99,42.7,41.71,42.14,34.74,2968800
2017-12-27,42.24,42.49,41.73,42.11,34.71,1934600
2017-12-28,42.19,42.26,41.74,42.02,34.64,1368800
2017-12-29,42.01,42.35,41.84,41.84,34.49,1866400
2018-01-02,42.35,43.14,41.91,42.93,35.39,2888400
2018-01-03,42.93,43.15,42.48,42.85,35.32,3446100
2018-01-04,42.87,43.23,41.97,42.64,35.15,2825000
2018-01-05,42.84,42.99,42.44,42.94,35.4,2183200
2018-01-08,48.78,49.7,45.62,46.0,37.92,23460800
2018-01-09,46.48,47.29,46.04,46.39,38.24,10500200
2018-01-10,46.16,47.27,45.81,47.07,38.8,3808800
2018-01-11,47.36,49.05,47.11,49.01,40.4,6246600
2018-01-12,49.12,51.88,49.11,51.26,42.26,7747400
2018-01-16,50.77,52.34,50.42,51.51,42.46,6885300
2018-01-17,51.27,52.42,50.89,52.14,42.98,4113600
2018-01-18,52.2,52.29,51.62,52.01,42.87,3981600
2018-01-19,52.14,52.77,51.74,52.62,43.38,3871200
2018-01-22,52.49,53.25,52.04,53.16,43.82,3591700
2018-01-23,53.18,54.12,52.93,54.06,44.56,3192200
2018-01-24,54.04,54.08,52.3,52.97,43.67,5551500
2018-01-25,53.46,53.8,52.67,53.17,43.83,3618300
2018-01-26,53.51,55.0,53.44,54.94,45.29,7318600
2018-01-29,54.0,55.62,53.51,55.11,45.43,8941000
2018-01-30,54.0,55.01,53.15,54.98,45.32,7756300
2018-01-31,55.15,56.45,55.07,55.2,45.5,5110200
2018-02-01,54.72,55.53,53.8,54.44,44.88,5356400
2018-02-02,53.99,54.0,51.38,51.77,42.68,6567200
2018-02-05,51.26,52.42,49.51,49.65,40.93,7359000
