Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,180.81,180.81,177.26,178.83,166.67,2613600
2017-05-25,180.02,181.92,178.49,180.14,167.89,1606900
2017-05-26,179.6,181.49,179.49,180.93,168.63,583000
2017-05-30,180.03,181.29,179.49,180.51,168.24,1416500
2017-05-31,180.9,182.95,180.52,182.75,170.32,1577700
2017-06-01,183.32,184.69,182.39,184.69,172.13,1044100
2017-06-02,185.72,186.46,184.17,184.77,172.21,758300
2017-06-05,184.24,184.86,182.54,184.51,171.96,716800
2017-06-06,184.51,186.55,184.26,185.83,173.19,1140400
2017-06-07,185.01,185.94,183.01,184.54,171.99,1139700
2017-06-08,184.54,184.54,181.76,183.45,170.98,1190200
2017-06-09,183.82,184.4,180.95,181.0,168.69,1474200
2017-06-12,180.82,181.18,176.21,179.14,166.96,1975100
2017-06-13,179.52,179.9,178.47,179.55,167.34,1193600
2017-06-14,180.82,181.37,179.5,179.9,167.67,1340800
2017-06-15,179.22,180.78,178.57,180.3,168.04,785300
2017-06-16,180.33,181.29,179.5,180.88,168.58,1108800
2017-06-19,180.89,183.71,180.13,183.28,170.82,1174100
2017-06-20,183.73,185.43,183.69,184.55,172.0,1052400
2017-06-21,184.4,185.21,183.35,184.5,171.95,926800
2017-06-22,184.49,185.19,183.4,184.11,171.59,852700
2017-06-23,184.17,185.77,183.54,184.57,172.02,1100000
2017-06-26,184.97,185.01,182.34,182.47,170.06,1187500
2017-06-27,181.31,182.71,180.46,182.28,169.88,1302000
2017-06-28,183.23,184.71,181.9,183.68,171.19,2145500
2017-06-29,197.33,197.41,192.06,192.79,179.68,6167200
2017-06-30,194.63,196.67,193.03,193.73,180.56,3097500
2017-07-03,194.14,194.58,191.68,191.73,178.69,969100
2017-07-05,191.41,194.81,191.06,193.92,180.73,1450500
2017-07-06,192.89,194.59,192.6,193.76,180.58,1187000
2017-07-07,194.29,194.51,192.86,193.52,180.36,723500
2017-07-10,194.12,194.96,192.9,193.82,180.64,914300
2017-07-11,193.65,194.08,192.5,193.89,180.71,873300
2017-07-12,195.0,197.86,194.49,197.1,183.7,1592000
2017-07-13,197.55,197.62,195.54,196.25,182.9,955900
2017-07-14,196.6,198.46,196.53,198.32,184.83,736200
2017-07-17,198.41,199.64,196.37,196.6,183.23,1817700
2017-07-18,197.0,198.18,196.4,197.18,183.77,1541200
2017-07-19,197.51,198.37,196.0,198.3,184.82,986800
2017-07-20,198.53,199.89,197.0,198.12,184.65,1575800
2017-07-21,197.58,198.68,196.93,198.52,185.02,707900
2017-07-24,196.54,197.09,195.52,196.0,182.67,1285200
2017-07-25,196.0,196.0,193.64,193.67,180.5,1488000
2017-07-26,194.55,195.1,193.07,193.38,180.23,1636400
2017-07-27,194.24,195.76,193.02,194.46,181.24,1627300
2017-07-28,194.78,195.89,194.11,194.59,181.36,807800
2017-07-31,194.4,194.8,192.86,193.35,180.2,1528300
2017-08-01,194.22,196.31,194.08,194.75,181.51,1551100
2017-08-02,195.1,195.28,191.71,193.51,180.35,1746800
2017-08-03,194.0,194.91,192.91,193.04,179.91,749700
2017-08-04,193.23,194.45,192.1,193.82,180.64,744100
2017-08-07,193.65,195.21,193.01,194.97,182.2,773800
2017-08-08,195.04,196.32,193.84,194.68,181.93,878100
2017-08-09,194.3,195.64,193.55,195.39,182.59,937300
2017-08-10,195.25,196.49,193.92,194.69,181.94,1036500
2017-08-11,195.0,197.71,194.98,195.65,182.84,897800
2017-08-14,197.05,198.48,196.22,197.19,184.28,941300
2017-08-15,197.18,198.77,196.16,198.7,185.69,775600
2017-08-16,199.0,199.34,198.09,198.57,185.57,866400
2017-08-17,198.64,199.29,196.94,197.08,184.17,780400
2017-08-18,196.66,198.4,195.89,197.88,184.92,776100
2017-08-21,198.17,198.49,196.94,198.12,185.14,702300
2017-08-22,198.16,198.75,195.96,196.74,183.85,941000
2017-08-23,196.73,197.62,196.01,196.73,183.85,418200
2017-08-24,198.41,199.79,196.08,196.88,183.99,1267500
2017-08-25,197.44,199.33,196.89,198.32,185.33,689200
2017-08-28,198.5,199.33,197.12,197.88,184.92,1336100
2017-08-29,197.28,199.08,197.25,198.4,185.41,715900
2017-08-30,198.4,200.0,198.21,199.54,186.47,1127300
2017-08-31,199.73,200.64,199.4,200.1,186.99,1937500
2017-09-01,200.55,200.8,198.2,200.23,187.12,992600
2017-09-05,200.12,201.2,198.97,201.09,187.92,1074400
2017-09-06,201.39,202.71,197.81,202.52,189.26,2060000
2017-09-07,202.96,203.75,201.13,202.21,188.97,814800
2017-09-08,202.16,203.56,202.16,202.39,189.13,846500
2017-09-11,203.35,204.47,202.78,203.7,190.36,1015500
2017-09-12,203.68,205.12,203.59,204.62,191.22,1287100
2017-09-13,204.6,204.88,203.87,204.45,191.06,1191400
2017-09-14,204.46,204.67,204.11,204.38,190.99,812500
2017-09-15,204.5,204.55,203.28,203.4,190.08,1399000
2017-09-18,203.52,204.95,203.24,203.9,190.55,828500
2017-09-19,203.92,204.28,201.79,202.33,189.08,1200600
2017-09-20,202.08,202.95,200.26,201.77,188.56,831900
2017-09-21,201.71,202.1,200.74,201.02,187.85,645500
2017-09-22,201.4,201.98,200.68,201.81,188.59,736800
2017-09-25,201.98,202.36,199.82,200.61,187.47,628200
2017-09-26,200.0,201.7,197.32,200.45,187.32,1309600
2017-09-27,200.45,200.91,198.25,199.8,186.71,1283300
2017-09-28,199.2,199.91,197.52,199.3,186.25,1906800
2017-09-29,199.35,200.7,199.08,199.45,186.39,1253800
2017-10-02,200.39,202.71,199.28,199.35,186.29,2017400
2017-10-03,199.56,200.79,198.44,199.08,186.04,1960000
2017-10-04,199.95,202.25,199.27,201.18,188.0,3141400
2017-10-05,211.75,213.4,207.0,209.25,195.55,4951900
2017-10-06,209.28,210.25,207.39,210.11,196.35,1776900
2017-10-09,209.85,210.29,207.83,208.19,194.55,745600
2017-10-10,205.38,208.6,205.3,207.96,194.34,1670000
2017-10-11,208.35,209.09,207.34,207.74,194.13,972300
2017-10-12,207.81,208.56,207.1,207.4,193.82,1321700
