Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,105.49,105.98,104.7,105.42,97.43,969900
2017-05-25,105.65,107.18,105.13,106.04,98.0,1303700
2017-05-26,106.0,106.34,104.5,105.89,97.86,1051100
2017-05-30,105.8,107.25,105.77,106.36,98.3,752600
2017-05-31,106.98,107.0,105.43,106.43,98.36,1468100
2017-06-01,106.79,107.68,106.25,107.68,99.52,1649400
2017-06-02,108.13,108.67,106.51,108.42,100.2,1577200
2017-06-05,108.2,109.2,107.75,108.15,99.95,1300600
2017-06-06,107.5,109.43,107.3,107.86,99.68,1121500
2017-06-07,108.0,109.8,107.71,109.48,101.18,1527300
2017-06-08,109.82,111.06,108.82,111.01,102.59,1526800
2017-06-09,111.4,112.11,104.29,107.01,98.9,2974300
2017-06-12,105.26,105.85,101.0,103.76,95.89,4118900
2017-06-13,104.67,105.69,103.47,104.85,96.9,2062400
2017-06-14,105.27,105.56,101.02,102.47,94.7,1701800
2017-06-15,100.74,102.64,100.56,102.28,94.53,1675300
2017-06-16,102.35,103.61,101.09,101.9,94.18,1923200
2017-06-19,102.72,104.55,102.72,104.06,96.17,1239800
2017-06-20,103.9,104.59,101.61,101.81,94.09,1377900
2017-06-21,102.32,103.57,101.61,103.3,95.47,1123500
2017-06-22,103.37,103.65,101.38,103.25,95.42,1309700
2017-06-23,103.25,104.51,102.57,104.36,96.45,2462200
2017-06-26,104.47,105.25,101.26,101.32,93.64,1947400
2017-06-27,100.5,100.62,97.71,97.86,90.44,2896400
2017-06-28,98.74,98.88,96.37,98.36,90.9,2328300
2017-06-29,97.96,98.42,94.35,96.13,88.84,3107500
2017-06-30,96.64,97.27,95.11,95.95,88.68,2194300
2017-07-03,96.44,97.48,95.15,95.34,88.11,1180800
2017-07-05,95.79,97.82,95.79,97.53,90.14,2346200
2017-07-06,97.14,99.04,96.61,97.79,90.38,2241900
2017-07-07,98.19,100.42,98.06,99.7,92.14,1556300
2017-07-10,99.93,100.3,98.42,100.05,92.47,1295200
2017-07-11,100.05,101.07,99.69,100.73,93.09,1375200
2017-07-12,101.45,102.29,101.14,101.73,94.02,1605700
2017-07-13,102.0,103.18,101.48,102.75,94.96,1682100
2017-07-14,103.42,104.03,103.17,103.99,96.11,1352000
2017-07-17,104.02,104.42,103.18,103.3,95.47,1693900
2017-07-18,103.05,103.87,101.87,103.83,95.96,1281600
2017-07-19,104.5,105.5,104.06,105.41,97.42,1810600
2017-07-20,106.18,108.21,105.5,107.64,99.48,4144600
2017-07-21,106.73,107.98,105.23,107.47,99.32,3844900
2017-07-24,107.65,107.73,105.37,105.86,97.84,3086000
2017-07-25,106.39,106.74,104.71,106.39,98.32,1700100
2017-07-26,107.0,107.94,106.3,107.33,99.19,1319700
2017-07-27,107.61,108.56,105.55,107.0,98.89,3054600
2017-07-28,106.64,107.15,105.42,105.76,97.74,1604600
2017-07-31,106.37,106.51,104.39,104.87,96.92,1240700
2017-08-01,105.11,105.38,103.5,104.28,96.37,2064400
2017-08-02,106.82,106.98,103.35,104.43,96.51,2025200
2017-08-03,104.43,104.53,101.29,101.79,94.07,2148500
2017-08-04,101.67,103.65,101.0,102.55,95.07,1712800
2017-08-07,102.29,104.7,102.29,104.5,96.88,1257000
2017-08-08,104.5,105.98,104.25,104.73,97.1,1319300
2017-08-09,103.7,105.07,103.51,104.74,97.11,1012600
2017-08-10,103.6,103.99,101.49,101.6,94.19,1650800
2017-08-11,101.71,103.59,101.45,103.18,95.66,1051200
2017-08-14,104.04,105.66,103.81,105.47,97.78,1252700
2017-08-15,105.73,106.11,104.83,105.8,98.09,2056700
2017-08-16,106.1,106.1,105.09,105.93,98.21,1018700
2017-08-17,105.48,105.56,102.11,102.21,94.76,1617300
2017-08-18,102.57,102.93,101.17,102.21,94.76,1138800
2017-08-21,102.58,102.62,100.06,101.01,93.65,1364900
2017-08-22,101.64,103.38,101.39,103.01,95.5,980800
2017-08-23,102.53,103.03,102.21,102.71,95.22,861100
2017-08-24,102.93,103.31,101.94,102.5,95.03,1131700
2017-08-25,102.74,103.13,101.55,101.98,94.55,1105700
2017-08-28,102.09,102.29,99.77,100.7,93.36,1952200
2017-08-29,99.98,101.97,99.11,101.52,94.12,1137700
2017-08-30,101.8,104.08,101.24,103.94,96.36,1602900
2017-08-31,104.01,105.6,103.67,105.36,97.68,1412900
2017-09-01,105.56,106.38,105.43,105.57,97.87,1106400
2017-09-05,106.92,108.94,105.33,106.93,99.14,2198500
2017-09-06,107.63,107.99,105.8,106.17,98.43,1469100
2017-09-07,106.43,107.3,105.94,106.43,98.67,1394700
2017-09-08,106.05,106.35,104.31,104.64,97.01,969500
2017-09-11,105.7,107.43,105.25,107.19,99.38,1268600
2017-09-12,107.6,107.75,106.65,106.87,99.08,1029300
2017-09-13,106.45,106.86,105.58,106.8,99.02,899300
2017-09-14,105.78,108.11,105.77,107.08,99.27,1635900
2017-09-15,107.06,109.73,106.71,109.55,101.56,2366300
2017-09-18,109.8,110.61,107.38,107.49,99.65,2274600
2017-09-19,107.89,108.66,107.22,107.93,100.06,1091700
2017-09-20,108.24,108.28,101.76,103.51,95.97,3559400
2017-09-21,103.28,103.85,101.23,102.13,94.69,2126700
2017-09-22,101.71,103.52,101.5,103.08,95.57,1377400
