Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,139.96,140.34,139.83,139.99,132.35,1121400
2017-05-25,140.26,141.21,139.77,140.85,133.17,1201800
2017-05-26,140.97,141.59,140.4,141.27,133.56,827500
2017-05-30,140.99,142.05,140.85,141.98,134.24,779100
2017-05-31,142.56,143.2,141.97,142.96,135.16,1764900
2017-06-01,142.8,144.7,142.44,144.7,136.81,971600
2017-06-02,145.26,145.62,144.05,144.48,136.6,1469600
2017-06-05,144.7,144.79,143.77,144.22,136.35,1098900
2017-06-06,143.75,144.66,143.75,144.05,136.19,777800
2017-06-07,144.6,145.01,143.53,144.44,136.56,685500
2017-06-08,144.44,144.62,141.53,142.43,134.66,1683700
2017-06-09,142.6,143.0,141.22,141.87,134.13,1194600
2017-06-12,141.58,141.76,139.02,140.62,132.95,1657200
2017-06-13,141.06,141.81,139.88,141.18,133.48,1002200
2017-06-14,141.75,142.66,141.22,141.89,134.15,1143800
2017-06-15,141.08,141.47,139.76,141.23,133.53,1037400
2017-06-16,141.5,142.36,140.83,142.24,134.48,1583300
2017-06-19,142.65,143.17,140.87,141.38,133.67,1307200
2017-06-20,141.44,142.32,140.82,140.98,133.29,1053600
2017-06-21,141.45,141.97,140.41,140.8,133.12,1458200
2017-06-22,140.45,141.4,140.34,141.22,133.52,1252900
2017-06-23,141.19,141.99,140.68,141.12,133.42,1161200
2017-06-26,141.17,141.72,139.8,139.91,132.28,702500
2017-06-27,139.91,140.54,139.24,139.59,131.98,804500
2017-06-28,139.95,140.19,139.48,139.8,132.58,700900
2017-06-29,140.0,140.21,137.77,138.81,131.64,1270600
2017-06-30,138.97,139.71,138.78,138.78,131.61,1081900
2017-07-03,139.23,139.43,138.09,138.22,131.08,487600
2017-07-05,138.56,139.98,138.19,139.74,132.52,1040900
2017-07-06,139.15,139.46,138.0,139.27,132.08,1182400
2017-07-07,139.78,141.21,139.36,141.12,133.83,1239800
2017-07-10,140.86,141.22,140.43,140.56,133.3,831100
2017-07-11,140.61,141.06,140.26,140.5,133.24,1006900
2017-07-12,141.03,145.1,140.88,144.36,136.9,1884800
2017-07-13,144.36,144.43,142.91,143.2,135.8,1132500
2017-07-14,143.29,145.99,143.29,145.4,137.89,901800
2017-07-17,145.45,145.78,144.44,144.81,137.33,702800
2017-07-18,144.6,145.57,144.0,145.37,137.86,922500
2017-07-19,145.54,146.45,145.38,146.22,138.67,733300
2017-07-20,146.36,147.78,146.34,147.4,139.79,1011700
2017-07-21,147.43,148.15,145.91,146.19,138.64,1158600
2017-07-24,146.25,147.03,145.3,146.84,139.25,869500
2017-07-25,147.49,147.49,145.54,146.06,138.51,963000
2017-07-26,146.04,146.24,144.85,145.75,138.22,1107800
2017-07-27,145.78,145.99,142.97,144.05,136.61,1465700
2017-07-28,144.85,147.91,144.85,147.8,140.17,1927100
2017-07-31,147.91,147.91,146.58,147.1,139.5,1452500
2017-08-01,147.58,148.84,146.86,147.87,140.23,1179900
2017-08-02,147.69,147.9,144.68,145.14,137.64,1239100
2017-08-03,144.52,146.42,144.29,146.37,138.81,761100
2017-08-04,147.09,147.09,145.89,146.53,138.96,638400
2017-08-07,146.59,146.76,146.1,146.73,139.15,674900
2017-08-08,146.48,146.73,145.86,146.14,138.59,645100
2017-08-09,146.25,146.25,144.88,145.18,137.68,1081000
2017-08-10,144.82,145.08,143.81,143.91,136.48,768200
2017-08-11,144.52,144.79,143.54,144.18,136.73,846900
2017-08-14,144.98,146.28,144.71,146.0,138.46,1104500
2017-08-15,146.29,147.83,146.22,147.44,139.82,1429500
2017-08-16,147.86,148.04,147.17,147.41,139.8,876000
2017-08-17,147.35,147.43,145.33,145.36,137.85,733300
2017-08-18,144.92,145.44,144.08,144.29,136.84,1673300
2017-08-21,144.25,145.27,143.83,145.13,137.63,1099700
2017-08-22,145.22,146.69,144.96,145.51,137.99,1491800
2017-08-23,141.0,141.43,137.7,138.36,131.21,4313100
2017-08-24,138.5,138.99,138.14,138.77,131.6,1340000
2017-08-25,139.94,140.34,139.34,139.88,132.65,1397200
