Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,28.94,28.97,28.76,28.81,19.02,20659564
2017-05-25,28.79,28.96,28.78,28.87,19.06,19717670
2017-05-26,28.86,28.89,28.71,28.79,19.01,18173092
2017-05-30,28.84,29.21,28.84,29.12,19.22,27178013
2017-05-31,29.19,29.36,29.09,29.1,19.21,31829490
2017-06-01,29.21,29.37,29.09,29.36,19.38,23423149
2017-06-02,29.46,29.52,29.27,29.36,19.38,24532396
2017-06-05,29.31,29.35,29.13,29.31,19.35,18300196
2017-06-06,29.29,29.4,29.19,29.25,19.31,21473029
2017-06-07,29.34,29.36,29.11,29.27,19.33,21752526
2017-06-08,29.27,29.34,29.02,29.08,19.2,26840128
2017-06-09,29.18,29.31,29.12,29.3,19.34,24359349
2017-06-12,29.3,29.74,29.3,29.51,19.48,30160588
2017-06-13,29.46,29.46,29.14,29.21,19.29,24946940
2017-06-14,29.3,29.31,29.08,29.24,19.31,21655609
2017-06-15,29.21,29.38,29.18,29.34,19.37,22092529
2017-06-16,29.43,29.46,29.2,29.43,19.43,39368743
2017-06-19,29.44,29.44,29.22,29.39,19.4,27748127
2017-06-20,29.28,29.4,29.15,29.2,19.28,28782171
2017-06-21,29.17,29.21,28.59,28.81,19.02,32567355
2017-06-22,28.84,28.97,28.68,28.78,19.0,21450124
2017-06-23,28.82,28.82,28.56,28.66,18.92,30328338
2017-06-26,28.66,28.91,28.6,28.81,19.02,24366631
2017-06-27,28.81,28.81,28.4,28.47,18.8,26297288
2017-06-28,28.61,28.75,28.53,28.66,18.92,26937045
2017-06-29,28.6,28.69,28.41,28.41,18.76,31402500
2017-06-30,28.5,28.6,28.35,28.5,18.81,29843887
2017-07-03,28.58,28.8,28.53,28.78,19.0,14728573
2017-07-05,28.78,28.86,28.59,28.79,19.01,26592408
2017-07-06,28.39,28.47,28.08,28.08,18.86,27549395
2017-07-07,28.08,28.12,27.81,27.93,18.76,27593219
2017-07-10,27.92,28.01,27.81,27.82,18.68,30154365
2017-07-11,27.82,27.84,27.6,27.64,18.56,28583174
2017-07-12,27.76,27.87,27.65,27.82,18.68,23151861
2017-07-13,27.6,27.64,27.33,27.35,18.37,40024652
2017-07-14,27.36,27.48,27.32,27.42,18.41,31195294
2017-07-17,27.43,27.53,27.38,27.48,18.46,27203963
2017-07-18,27.52,27.52,27.09,27.18,18.26,38589172
2017-07-19,27.21,27.29,27.05,27.29,18.33,34796441
2017-07-20,27.44,27.73,27.31,27.58,18.52,42225670
2017-07-21,27.51,27.65,27.39,27.58,18.52,26679659
2017-07-24,27.58,27.61,27.33,27.36,18.38,29662234
2017-07-25,27.41,27.57,27.29,27.36,18.37,38987828
2017-07-26,27.36,28.78,27.36,28.72,19.29,95899703
2017-07-27,28.85,29.83,28.85,29.77,19.99,82070788
2017-07-28,29.65,29.96,29.33,29.46,19.78,47681080
2017-07-31,29.43,29.55,29.24,29.46,19.78,37709241
2017-08-01,29.65,29.66,29.24,29.37,19.72,38891838
2017-08-02,29.44,29.45,28.73,28.9,19.41,45824302
2017-08-03,28.87,29.08,28.81,28.91,19.42,24960313
2017-08-04,29.03,29.09,28.73,29.03,19.49,21603708
2017-08-07,29.03,29.18,28.98,29.09,19.54,22277227
2017-08-08,29.12,29.26,28.9,28.97,19.46,20436999
2017-08-09,28.85,29.0,28.75,28.97,19.46,26091671
2017-08-10,28.9,29.11,28.84,28.84,19.37,28208350
2017-08-11,28.93,28.96,28.75,28.78,19.33,17581396
2017-08-14,28.88,29.12,28.84,29.08,19.53,22724606
2017-08-15,29.08,29.12,28.71,28.82,19.36,19622210
2017-08-16,28.82,28.96,28.67,28.87,19.39,19824649
2017-08-17,28.82,28.87,28.38,28.4,19.07,29120056
2017-08-18,28.32,28.41,28.1,28.23,18.96,30475700
2017-08-21,28.32,28.62,28.26,28.38,19.06,22917248
2017-08-22,28.47,28.69,28.37,28.69,19.26,19512847
