Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,94.69,94.91,94.01,94.44,84.68,1376900
2017-05-25,94.96,95.19,94.45,94.66,84.87,1543500
2017-05-26,94.08,96.05,93.81,95.78,86.25,1733500
2017-05-30,95.41,95.8,94.78,95.28,85.8,1609000
2017-05-31,95.5,96.29,94.54,94.79,85.36,2960900
2017-06-01,95.01,96.59,95.01,96.59,86.98,1786600
2017-06-02,96.88,97.38,96.42,96.86,87.23,1003400
2017-06-05,96.38,96.56,95.62,96.25,86.68,1816800
2017-06-06,96.14,96.59,95.82,96.02,86.47,1019700
2017-06-07,95.99,97.5,88.32,89.78,80.85,9451700
2017-06-08,89.78,89.95,86.03,87.16,78.49,8588600
2017-06-09,86.8,87.42,86.15,87.4,78.71,3918300
2017-06-12,87.2,88.26,86.88,88.26,79.48,3622100
2017-06-13,88.45,89.23,88.0,88.98,80.13,2734600
2017-06-14,89.33,89.77,87.73,88.12,79.35,2065900
2017-06-15,87.8,87.98,87.24,87.64,78.92,2087300
2017-06-16,87.66,87.84,85.99,86.85,78.21,3149200
2017-06-19,87.06,87.06,85.91,86.58,77.97,3072500
2017-06-20,86.47,87.21,86.4,86.66,78.04,1595600
2017-06-21,86.5,86.86,85.59,85.77,77.24,1376500
2017-06-22,85.71,86.3,85.46,85.95,77.4,1684900
2017-06-23,85.98,86.71,85.76,86.5,77.9,1770600
2017-06-26,86.94,87.17,86.35,86.35,77.76,1161800
2017-06-27,86.4,86.59,85.77,86.38,77.79,1257800
2017-06-28,86.78,87.82,86.5,87.42,78.72,1497500
2017-06-29,87.41,87.41,85.9,86.46,77.86,1311200
2017-06-30,86.86,86.96,86.3,86.34,77.75,1015600
2017-07-03,86.68,86.98,86.19,86.41,77.81,516300
2017-07-05,86.15,86.69,85.92,86.44,77.84,1719500
2017-07-06,86.32,86.86,86.04,86.2,77.63,1011400
2017-07-07,86.2,86.72,85.84,86.13,77.56,1330500
2017-07-10,86.55,86.73,85.55,85.61,77.09,837000
2017-07-11,85.56,86.27,85.34,85.92,77.37,988500
