Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,263.28,265.9,262.22,265.44,218.18,849300
2017-05-25,266.33,268.34,264.49,267.03,219.49,469200
2017-05-26,267.06,267.83,262.74,264.41,217.33,427900
2017-05-30,264.08,266.6,263.03,266.39,218.96,592500
2017-05-31,267.23,268.26,264.13,268.08,220.35,660400
2017-06-01,267.71,271.66,267.32,269.14,221.22,692900
2017-06-02,269.53,272.08,268.26,271.67,223.3,546300
2017-06-05,271.91,272.17,269.99,270.59,222.41,333700
2017-06-06,269.64,272.3,268.55,270.17,222.07,439300
2017-06-07,270.09,271.86,267.77,270.04,221.96,404500
2017-06-08,270.04,273.71,268.72,273.25,224.6,418800
2017-06-09,274.26,274.99,267.24,269.93,221.87,486600
2017-06-12,269.12,270.39,262.78,262.78,215.99,1422800
2017-06-13,262.2,269.92,262.05,269.29,221.34,537200
2017-06-14,270.0,273.69,268.94,270.59,222.41,463500
2017-06-15,268.16,272.45,267.44,271.32,223.01,445000
2017-06-16,270.89,272.29,269.69,270.26,222.14,593900
2017-06-19,271.42,272.97,269.74,271.12,222.85,440900
2017-06-20,269.41,270.67,265.86,266.0,218.64,633400
2017-06-21,267.18,270.89,265.66,267.95,220.24,443100
2017-06-22,267.98,269.79,266.96,267.5,219.87,370500
2017-06-23,267.61,270.34,266.24,268.12,220.38,588800
2017-06-26,268.5,273.24,268.04,268.25,220.49,623300
2017-06-27,267.63,269.79,261.49,265.38,218.13,795400
2017-06-28,267.6,268.4,265.67,267.48,219.86,624100
2017-06-29,267.14,268.4,263.6,265.01,217.83,777100
2017-06-30,266.36,269.94,265.24,268.87,221.0,511600
2017-07-03,268.91,270.98,265.07,265.09,217.89,272700
2017-07-05,265.26,269.93,265.26,268.31,220.54,322100
2017-07-06,267.15,268.44,263.05,263.6,216.67,467100
2017-07-07,263.72,267.85,263.72,266.66,219.18,461600
2017-07-10,267.55,272.48,266.96,270.61,222.43,535100
2017-07-11,270.61,271.96,268.81,270.63,222.45,302300
2017-07-12,272.94,276.05,271.33,274.6,225.71,365300
2017-07-13,273.93,275.39,272.08,275.29,226.28,295800
2017-07-14,276.06,284.12,276.06,282.14,231.91,737900
2017-07-17,282.14,283.29,280.8,282.2,231.96,566300
2017-07-18,282.75,282.75,279.28,280.55,230.6,217300
2017-07-19,282.73,287.34,281.25,286.44,235.44,376000
2017-07-20,285.55,286.25,283.17,283.86,233.32,350000
2017-07-21,283.43,286.51,283.43,286.5,235.49,286400
2017-07-24,286.23,287.45,284.64,287.02,235.92,273500
2017-07-25,287.76,289.22,285.07,287.6,236.39,319900
2017-07-26,288.55,289.65,285.1,286.05,235.12,314700
2017-07-27,286.86,288.2,281.31,282.49,232.19,544800
2017-07-28,282.14,283.88,281.0,282.66,232.33,572600
2017-07-31,283.0,284.75,280.61,282.14,231.91,413900
2017-08-01,283.33,284.16,281.71,283.08,232.68,364800
2017-08-02,282.42,283.94,280.43,282.45,232.16,389300
2017-08-03,279.59,283.35,276.09,280.13,230.25,664200
2017-08-04,281.3,281.3,278.75,280.6,230.64,451200
2017-08-07,281.16,285.63,281.05,284.39,233.76,468500
2017-08-08,285.0,295.0,283.5,285.7,234.83,788600
2017-08-09,285.02,286.26,276.46,277.72,228.27,519100
2017-08-10,277.0,279.82,272.85,273.38,224.71,310300
2017-08-11,273.21,275.71,272.18,274.36,225.51,193200
2017-08-14,277.26,279.87,275.54,278.73,229.1,271100
2017-08-15,278.42,279.18,275.37,278.92,229.26,212900
2017-08-16,279.24,281.3,278.99,280.36,230.44,217900
2017-08-17,279.24,281.0,274.49,274.69,225.78,288900
2017-08-18,273.41,275.8,272.76,273.11,224.48,240500
2017-08-21,273.06,273.58,270.54,271.43,223.1,242300
2017-08-22,272.35,275.4,270.98,275.34,226.32,335000
2017-08-23,274.3,275.19,271.66,271.82,223.42,246800
2017-08-24,275.01,277.51,270.83,271.43,223.1,431100
2017-08-25,272.78,273.81,270.51,270.65,222.46,342200
2017-08-28,271.12,272.83,270.95,271.08,222.82,325200
2017-08-29,269.38,275.7,267.37,274.75,225.83,389700
2017-08-30,274.81,277.04,272.96,276.51,227.28,282300
2017-08-31,255.12,262.94,254.93,260.66,232.77,555700
2017-09-01,261.25,262.45,256.79,256.86,229.38,395700
2017-09-05,256.44,256.52,253.54,254.1,226.91,424300
2017-09-06,254.49,254.49,249.57,250.43,223.64,409400
2017-09-07,251.91,253.9,249.73,253.75,226.6,382800
2017-09-08,253.22,254.61,252.27,254.02,226.84,469800
2017-09-11,255.51,258.7,254.61,255.0,227.72,332500
2017-09-12,255.35,256.35,252.32,254.18,226.98,293500
2017-09-13,254.0,255.13,251.54,252.4,225.39,245100
2017-09-14,252.01,255.84,252.01,254.72,227.47,709400
2017-09-15,255.0,256.21,252.71,256.15,228.74,633900
2017-09-18,256.89,265.04,256.86,264.64,236.32,1159700
2017-09-19,263.94,267.41,258.75,265.2,236.82,1227100
2017-09-20,257.5,262.83,255.14,259.25,231.51,1754800
2017-09-21,258.47,265.2,256.51,264.27,235.99,807500
2017-09-22,263.98,264.66,259.65,260.4,232.54,274600
2017-09-25,260.28,260.4,255.21,258.22,230.59,336500
2017-09-26,258.43,259.54,255.78,256.55,229.1,323800
2017-09-27,256.49,257.59,254.13,254.47,227.24,335100
2017-09-28,253.44,255.34,252.79,253.55,226.42,312300
2017-09-29,253.24,255.87,252.35,255.65,228.3,317100
2017-10-02,256.64,258.21,254.94,258.18,230.56,368400
2017-10-03,258.13,262.35,256.05,262.33,234.26,352800
2017-10-04,261.54,263.58,261.35,262.88,234.75,462500
2017-10-05,263.15,269.34,262.69,268.25,239.55,841100
2017-10-06,267.75,268.78,263.65,264.97,236.62,451200
2017-10-09,264.97,266.58,263.93,266.4,237.9,180400
2017-10-10,267.11,267.11,265.19,266.53,238.01,223700
2017-10-11,266.79,267.03,262.49,264.56,236.25,388700
2017-10-12,264.36,266.47,264.26,266.16,237.68,296900
2017-10-13,266.31,267.12,265.39,265.49,237.08,386300
2017-10-16,266.4,267.41,261.94,263.62,235.41,333300
2017-10-17,263.42,266.58,262.17,266.0,237.54,428700
2017-10-18,266.38,266.52,264.36,265.7,237.27,438100
2017-10-19,265.14,265.83,262.57,264.5,236.2,365100
2017-10-20,265.78,268.62,263.54,268.6,239.86,329400
2017-10-23,268.99,269.86,267.07,267.58,238.95,241900
2017-10-24,266.83,268.48,265.75,267.82,239.16,178700
2017-10-25,267.42,273.71,267.42,272.62,243.45,301400
2017-10-26,273.45,273.68,269.88,273.0,243.79,520700
2017-10-27,272.81,277.5,270.73,277.5,247.81,555900
2017-10-30,275.99,278.28,275.13,277.2,247.54,376500
2017-10-31,277.6,278.77,276.22,277.5,247.81,354200
2017-11-01,279.64,282.87,278.93,280.95,250.89,421200
2017-11-02,279.84,283.63,279.84,282.55,252.32,662100
2017-11-03,281.9,285.15,280.49,282.52,252.29,408600
2017-11-06,282.23,284.38,281.38,283.0,252.72,386700
2017-11-07,283.58,283.58,279.75,283.33,253.01,573400
2017-11-08,282.17,285.57,281.56,284.97,254.48,662000
2017-11-09,264.03,275.7,260.83,265.58,237.16,1227800
2017-11-10,267.13,270.67,262.5,267.0,238.43,760600
2017-11-13,266.09,266.24,261.61,262.0,233.97,714600
2017-11-14,262.17,268.37,261.78,268.02,239.34,371100
2017-11-15,267.02,267.02,262.75,265.15,236.78,419100
2017-11-16,266.51,271.81,266.26,268.4,239.68,467500
2017-11-17,267.08,267.54,262.72,263.08,234.93,296100
2017-11-20,263.29,267.82,263.18,266.64,238.11,342300
2017-11-21,267.73,268.6,265.7,267.15,238.57,584600
2017-11-22,268.07,269.5,266.65,268.99,240.21,342700
2017-11-24,270.32,275.99,268.97,275.65,246.16,296400
2017-11-27,274.86,276.89,270.33,273.99,244.67,485500
2017-11-28,274.93,277.09,273.68,277.06,247.42,318600
2017-11-29,277.23,279.51,274.63,279.32,249.43,335100
2017-11-30,280.0,284.26,279.58,283.79,253.43,417600
2017-12-01,283.35,284.64,277.13,279.87,249.93,402200
2017-12-04,281.97,282.99,273.89,275.01,245.59,498900
2017-12-05,275.84,275.84,270.62,271.95,242.85,374000
2017-12-06,272.11,275.26,272.11,274.0,244.68,245600
2017-12-07,273.39,276.62,272.4,275.15,245.71,476800
2017-12-08,275.93,277.49,274.04,274.62,245.24,282500
2017-12-11,274.04,276.38,273.18,274.38,245.02,340400
2017-12-12,271.43,271.83,268.4,270.0,241.11,489400
2017-12-13,270.39,273.56,270.03,272.6,243.43,548900
2017-12-14,273.35,279.37,273.35,274.48,245.11,521000
2017-12-15,275.72,278.33,274.71,276.55,246.96,467200
2017-12-18,277.78,280.47,274.18,275.4,245.93,339600
2017-12-19,275.66,277.48,270.64,270.92,241.93,326500
2017-12-20,272.45,273.2,270.64,271.42,242.38,238700
2017-12-21,272.29,274.48,268.84,272.86,243.67,445900
2017-12-22,273.32,273.32,270.32,270.65,241.69,187900
2017-12-26,270.83,274.05,270.69,273.11,243.89,187900
2017-12-27,273.62,274.92,271.95,273.81,244.51,259500
2017-12-28,274.32,276.11,272.88,275.77,246.26,316800
2017-12-29,276.61,279.5,274.62,274.62,245.24,251800
2018-01-02,275.46,276.0,271.47,275.11,245.67,327000
2018-01-03,271.99,271.99,265.29,270.22,241.31,1007200
2018-01-04,271.74,273.45,268.62,272.84,243.65,636800
2018-01-05,274.21,275.8,273.24,274.91,245.5,224700
2018-01-08,274.66,277.5,273.97,276.02,246.49,543700
2018-01-09,277.42,282.65,276.68,282.41,252.19,378500
2018-01-10,282.12,282.31,279.54,281.23,251.14,353400
2018-01-11,282.47,287.81,281.61,287.51,256.75,316100
2018-01-12,288.72,294.32,288.1,292.5,261.2,393000
2018-01-16,294.09,296.96,292.77,293.85,262.41,564600
2018-01-17,295.97,296.13,293.37,294.44,262.94,378000
2018-01-18,294.49,296.21,292.41,294.1,262.63,315500
2018-01-19,296.0,299.66,291.67,299.17,267.16,366000
2018-01-22,297.33,299.33,294.46,296.85,265.09,279800
2018-01-23,297.0,300.69,296.16,300.37,268.23,325300
2018-01-24,300.04,306.14,299.64,303.9,271.38,423600
2018-01-25,304.25,307.27,302.3,306.85,274.02,385800
2018-01-26,308.53,314.61,306.55,314.13,280.52,317300
2018-01-29,312.68,320.36,312.68,317.28,283.33,560800
2018-01-30,315.62,319.98,314.61,317.37,283.41,348100
2018-01-31,319.98,321.38,316.73,316.91,283.0,440300
2018-02-01,315.96,318.47,313.97,315.2,281.48,393500
2018-02-02,312.81,314.07,306.66,307.28,274.4,466900
2018-02-05,306.39,311.73,293.46,296.86,265.1,717600
2018-02-06,277.0,292.84,268.4,290.66,259.56,1146700
2018-02-07,290.61,300.84,288.62,292.1,260.85,560800
2018-02-08,297.0,297.0,281.77,283.0,252.72,873500
2018-02-09,287.16,287.5,274.28,282.55,252.32,973500
2018-02-12,283.8,289.46,281.59,286.2,255.58,477800
2018-02-13,285.37,287.43,281.46,285.8,255.22,381200
2018-02-14,283.61,291.01,281.8,290.39,259.32,418500
2018-02-15,292.77,298.53,291.76,298.44,266.51,653700
2018-02-16,297.72,300.14,296.68,298.35,266.43,473900
2018-02-20,297.12,301.29,296.52,298.75,266.79,301600
2018-02-21,298.75,302.22,292.56,292.72,261.4,407400
2018-02-22,294.34,298.35,291.65,292.99,261.64,248200
2018-02-23,294.54,298.06,292.48,297.78,265.92,317800
2018-02-26,298.49,299.92,292.19,295.16,263.58,359300
2018-02-27,295.95,296.97,291.26,291.38,260.2,312900
2018-02-28,292.5,294.35,288.24,288.31,257.46,503900
2018-03-01,288.28,288.3,278.99,284.56,254.11,708300
2018-03-02,283.41,286.28,280.26,285.15,254.64,667400
2018-03-05,283.0,286.06,280.25,285.58,255.02,369300
2018-03-06,286.98,287.34,280.62,284.09,253.69,1736900
2018-03-07,282.2,288.27,280.96,287.02,256.31,1034700
2018-03-08,288.4,288.4,283.66,286.01,255.41,724300
2018-03-09,287.66,293.53,287.01,292.0,260.76,1014900
2018-03-12,293.35,293.75,287.65,288.0,257.19,525700
2018-03-13,288.72,293.25,287.75,289.51,258.53,834000
2018-03-14,291.69,297.16,289.43,295.12,263.54,617800
2018-03-15,295.65,296.6,291.05,296.0,264.33,494000
2018-03-16,296.17,299.57,292.43,299.23,267.21,583900
2018-03-19,300.84,304.14,298.25,302.5,270.13,622500
2018-03-20,303.78,309.75,301.85,308.14,275.17,453700
2018-03-21,307.63,311.92,306.79,309.34,276.24,451800
2018-03-22,307.32,310.99,302.43,302.73,270.34,597600
2018-03-23,302.59,308.91,301.78,302.8,270.4,568900
2018-03-26,306.21,309.74,303.32,309.39,276.29,247400
2018-03-27,310.88,313.93,303.33,305.14,272.49,449900
2018-03-28,305.62,306.21,298.15,300.79,268.61,498300
2018-03-29,303.58,307.9,303.23,306.94,274.1,608000
2018-04-02,305.41,307.5,298.36,301.07,268.86,381400
2018-04-03,302.95,305.73,299.97,305.47,272.79,343200
2018-04-04,300.82,308.57,298.58,308.11,275.14,498200
2018-04-05,308.99,312.96,307.44,310.94,277.67,518300
2018-04-06,309.54,311.57,305.17,306.36,273.58,463200
2018-04-09,308.21,309.73,302.98,303.2,270.76,414300
2018-04-10,308.12,308.55,304.25,306.24,273.47,356000
