Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,128.9,129.78,128.26,128.93,128.93,77500
2017-05-25,129.34,131.06,129.0,131.03,131.03,154300
2017-05-26,130.64,131.63,130.01,131.35,131.35,117300
2017-05-30,131.08,131.28,129.55,129.99,129.99,80200
2017-05-31,130.21,131.91,128.65,131.51,131.51,128100
2017-06-01,131.98,133.4,131.01,133.37,133.37,126500
2017-06-02,133.53,136.5,132.95,133.84,133.84,156800
2017-06-05,133.52,134.03,131.12,131.18,131.18,117500
2017-06-06,130.29,131.04,129.66,129.87,129.87,138400
2017-06-07,129.92,129.92,127.98,128.13,128.13,141600
2017-06-08,127.85,132.12,127.17,131.1,131.1,182900
2017-06-09,131.76,133.48,131.57,133.02,133.02,220200
2017-06-12,133.11,133.11,130.5,131.02,131.02,185800
2017-06-13,131.16,131.63,130.47,130.67,130.67,180000
2017-06-14,130.99,130.99,129.31,130.0,130.0,153300
2017-06-15,128.53,131.76,128.15,131.63,131.63,155500
2017-06-16,130.64,131.71,129.74,130.97,130.97,571100
2017-06-19,131.84,133.0,130.68,132.61,132.61,303100
2017-06-20,132.03,132.32,128.99,129.32,129.32,261600
2017-06-21,129.6,130.12,127.41,128.12,128.12,221600
2017-06-22,128.42,128.85,126.84,126.95,126.95,160100
2017-06-23,126.98,127.64,125.01,125.36,125.36,3350200
2017-06-26,126.05,127.54,125.36,126.24,126.24,310900
2017-06-27,126.03,126.73,123.29,123.52,123.52,268700
2017-06-28,124.16,125.92,124.02,125.73,125.73,233300
2017-06-29,125.83,126.91,123.37,124.74,124.74,229500
2017-06-30,125.54,128.29,125.38,127.65,127.65,284500
2017-07-03,128.42,129.05,127.75,128.11,128.11,94300
2017-07-05,129.61,131.5,128.92,131.28,131.28,262300
2017-07-06,130.48,131.73,129.26,129.43,129.43,301500
2017-07-07,129.73,133.68,129.67,133.25,133.25,232400
2017-07-10,132.93,133.95,131.99,132.72,132.72,165600
2017-07-11,132.89,133.4,131.23,133.04,133.04,124200
2017-07-12,133.97,135.82,133.97,134.86,134.86,150000
2017-07-13,134.99,134.99,133.33,133.68,133.68,178100
2017-07-14,133.87,135.12,133.79,134.38,134.38,174000
2017-07-17,134.19,136.08,133.43,135.68,135.68,231400
2017-07-18,135.4,135.6,134.09,134.39,134.39,235800
2017-07-19,134.97,136.61,134.73,136.5,136.5,248300
2017-07-20,136.51,136.96,135.18,135.47,135.47,243500
2017-07-21,135.14,136.1,134.56,135.97,135.97,173800
2017-07-24,136.19,136.83,135.41,136.63,136.63,174600
2017-07-25,137.5,138.74,136.0,137.41,137.41,306400
2017-07-26,137.61,138.11,135.97,136.1,136.1,141200
2017-07-27,136.86,137.44,135.43,135.95,135.95,155700
2017-07-28,135.88,137.31,135.74,137.02,137.02,101500
2017-07-31,137.3,137.3,136.11,136.34,136.34,101900
2017-08-01,137.32,137.82,136.32,136.84,136.84,126500
2017-08-02,136.85,138.95,136.03,138.63,138.63,232200
2017-08-03,145.0,148.37,142.17,147.51,147.51,374800
2017-08-04,148.62,148.62,146.69,148.3,148.3,197500
2017-08-07,148.2,148.24,146.64,147.13,147.13,202700
2017-08-08,147.04,147.62,144.82,146.8,146.8,153000
2017-08-09,146.32,147.43,146.04,147.12,147.12,180200
2017-08-10,146.52,146.75,144.79,144.98,144.98,167100
2017-08-11,145.47,146.43,144.76,144.77,144.77,130600
2017-08-14,146.09,147.56,145.01,147.16,147.16,125900
2017-08-15,147.35,147.96,146.39,146.98,146.98,132700
2017-08-16,147.59,147.95,146.63,147.29,147.29,157600
2017-08-17,146.77,147.69,143.66,144.01,144.01,129000
2017-08-18,143.47,144.66,143.01,143.94,143.94,172300
2017-08-21,143.89,144.81,142.78,143.52,143.52,154700
2017-08-22,143.96,145.44,143.5,144.95,144.95,109200
2017-08-23,144.1,145.01,143.93,144.45,144.45,98700
2017-08-24,144.65,145.94,144.28,145.53,145.53,171500
2017-08-25,146.11,146.25,145.15,145.31,145.31,91100
2017-08-28,145.89,145.89,144.4,145.4,145.4,78200
2017-08-29,144.5,147.73,144.5,147.6,147.6,145500
2017-08-30,147.54,149.16,147.02,148.76,148.76,121200
2017-08-31,149.26,150.37,148.23,150.06,150.06,129100
2017-09-01,150.54,151.54,150.11,150.55,150.55,168500
2017-09-05,150.61,150.99,148.36,148.9,148.9,141000
2017-09-06,149.72,149.73,147.69,148.62,148.62,123800
2017-09-07,148.87,149.08,147.43,149.02,149.02,159600
2017-09-08,148.37,151.21,147.83,151.03,151.03,151700
2017-09-11,152.17,153.78,151.67,153.64,153.64,192600
2017-09-12,153.91,154.92,153.48,154.61,154.61,187700
2017-09-13,154.6,155.01,153.23,154.5,154.5,216100
2017-09-14,154.39,155.24,153.99,154.7,154.7,188600
2017-09-15,154.49,155.71,153.95,155.18,155.18,267900
2017-09-18,155.78,158.33,155.62,158.25,158.25,177300
2017-09-19,158.36,159.54,157.54,158.84,158.84,239900
2017-09-20,158.95,160.46,158.15,160.2,160.2,165600
2017-09-21,160.26,161.0,158.94,160.76,160.76,180600
2017-09-22,160.87,161.58,160.28,161.03,161.03,110100
2017-09-25,160.83,161.3,159.55,160.45,160.45,159800
2017-09-26,160.8,160.8,159.16,159.31,159.31,128000
2017-09-27,159.81,160.93,158.73,160.56,160.56,197700
2017-09-28,160.24,160.5,158.53,159.48,159.48,230200
2017-09-29,159.71,160.04,158.41,159.18,159.18,138600
2017-10-02,159.73,163.07,159.73,163.07,163.07,147200
2017-10-03,163.18,163.29,160.86,163.04,163.04,182000
2017-10-04,163.15,163.86,161.72,162.56,162.56,118500
2017-10-05,162.76,163.38,162.11,163.01,163.01,85100
2017-10-06,162.8,163.22,161.84,163.02,163.02,99300
2017-10-09,163.38,164.06,162.83,163.62,163.62,105500
2017-10-10,164.32,164.66,163.56,164.44,164.44,95200
2017-10-11,164.63,164.63,162.58,162.66,162.66,95000
2017-10-12,162.77,165.0,162.31,164.99,164.99,105400
2017-10-13,165.47,165.87,162.73,162.97,162.97,131800
2017-10-16,163.23,164.29,161.79,161.95,161.95,179400
2017-10-17,162.0,162.66,161.11,161.53,161.53,81300
2017-10-18,161.94,163.4,161.43,163.06,163.06,88400
2017-10-19,162.29,164.18,162.08,163.59,163.59,123800
2017-10-20,163.53,165.66,162.13,165.42,165.42,67300
2017-10-23,165.91,166.34,164.18,166.15,166.15,145900
