Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,75.9,76.9,75.8,76.85,70.13,1717700
2017-05-25,77.13,78.32,76.82,78.17,71.33,2077300
2017-05-26,77.93,78.32,77.68,78.01,71.19,1251900
2017-05-30,78.0,79.15,77.5,79.01,72.1,2500200
2017-05-31,79.14,79.5,78.62,78.85,71.95,2075800
2017-06-01,79.17,79.95,78.8,79.82,72.84,1692800
2017-06-02,79.94,79.95,79.41,79.47,72.52,1034100
2017-06-05,79.69,80.33,79.51,79.88,72.89,1370900
2017-06-06,79.35,79.63,79.03,79.43,72.48,1313200
2017-06-07,79.64,79.92,79.24,79.73,72.76,1716300
2017-06-08,79.73,80.28,79.1,79.95,72.96,1899400
2017-06-09,80.05,80.7,79.0,79.59,72.63,1343100
2017-06-12,79.22,79.42,77.98,78.34,71.49,1953200
2017-06-13,78.6,78.97,77.93,78.77,71.88,1497300
2017-06-14,79.0,79.34,78.22,78.71,71.83,853500
2017-06-15,78.17,79.09,78.0,78.84,71.94,1134900
2017-06-16,78.94,79.14,78.19,78.71,71.83,1609400
2017-06-19,79.09,80.1,78.73,80.03,73.03,1534200
2017-06-20,79.82,80.12,79.28,79.3,72.36,1078400
2017-06-21,79.48,79.8,78.83,78.97,72.06,1261000
2017-06-22,78.98,79.19,78.47,78.81,71.92,1825400
2017-06-23,78.9,79.24,78.59,78.77,71.88,1006700
2017-06-26,79.1,79.45,78.26,78.65,71.77,1214300
2017-06-27,78.58,78.97,77.95,77.95,71.13,1090600
2017-06-28,78.57,79.22,78.17,78.91,72.01,1259300
2017-06-29,78.96,79.16,77.58,78.09,71.26,1027600
2017-06-30,78.36,79.07,78.13,78.68,71.8,1772300
2017-07-03,78.98,79.18,78.09,78.15,71.31,1421100
2017-07-05,78.57,78.97,77.5,78.84,71.94,1398000
2017-07-06,78.2,78.75,77.91,78.24,71.4,2214700
2017-07-07,78.66,79.46,78.58,79.08,72.16,1691400
2017-07-10,79.0,79.58,78.88,79.43,72.48,1042100
2017-07-11,79.58,79.66,78.72,79.24,72.31,1427200
2017-07-12,79.84,81.38,79.51,81.19,74.09,1877100
2017-07-13,81.16,81.86,80.77,81.22,74.12,1403500
2017-07-14,81.22,81.7,80.95,81.49,74.36,778700
2017-07-17,81.44,81.84,81.14,81.6,74.46,662600
2017-07-18,81.35,81.81,81.05,81.8,74.64,894200
2017-07-19,82.0,83.17,81.64,83.11,75.84,1377500
2017-07-20,83.09,83.36,82.26,82.59,75.37,1080400
2017-07-21,82.29,82.5,81.52,82.03,74.85,1354300
2017-07-24,81.99,82.18,81.36,81.67,74.53,1570800
2017-07-25,82.09,83.37,81.66,83.22,75.94,2223900
2017-07-26,84.65,85.2,79.25,80.65,73.6,3415200
2017-07-27,80.67,81.67,79.94,80.57,73.52,2314400
2017-07-28,80.25,82.06,80.15,81.89,74.73,2042000
2017-07-31,82.09,82.3,80.33,80.39,73.36,1368300
2017-08-01,80.7,80.86,79.17,79.85,72.87,1802600
2017-08-02,80.11,80.66,79.65,80.64,73.59,1679600
2017-08-03,80.74,80.74,79.51,79.72,72.75,1644000
2017-08-04,80.03,80.39,79.79,80.38,73.35,953900
2017-08-07,80.34,81.21,80.18,80.9,73.82,930000
2017-08-08,80.74,81.37,80.45,80.68,73.62,906800
2017-08-09,80.38,81.24,80.25,81.19,74.09,1253100
2017-08-10,80.63,81.02,78.76,78.79,71.9,1325900
