Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,43.21,43.21,42.39,42.55,35.89,3219500
2017-05-25,42.65,42.93,42.46,42.63,35.96,2546600
2017-05-26,42.58,42.71,42.43,42.56,35.9,1671200
2017-05-30,42.26,42.39,41.73,42.07,35.49,2558800
2017-05-31,42.11,42.15,41.17,41.65,35.13,4898200
2017-06-01,41.88,42.44,41.46,42.42,35.78,3639600
2017-06-02,42.09,42.5,41.81,42.16,35.56,5191500
2017-06-05,42.16,42.63,42.08,42.25,35.64,3896700
2017-06-06,41.9,42.18,41.69,41.94,35.38,3785300
2017-06-07,42.06,42.4,41.97,42.26,35.65,5977700
2017-06-08,42.26,43.87,42.22,43.38,36.59,6902700
2017-06-09,43.66,44.21,43.62,44.11,37.21,5840200
2017-06-12,44.2,44.69,44.09,44.09,37.19,3675000
2017-06-13,44.39,44.57,44.15,44.29,37.36,3233400
2017-06-14,43.87,44.56,43.56,44.53,37.56,3555900
2017-06-15,44.29,44.74,44.23,44.41,37.46,3167300
2017-06-16,44.45,44.51,44.1,44.33,37.39,4158600
2017-06-19,44.52,44.81,44.26,44.37,37.43,2690800
2017-06-20,44.23,44.26,43.88,43.95,37.07,3359900
2017-06-21,43.96,44.01,43.54,43.65,36.82,2628600
2017-06-22,43.52,43.63,43.21,43.34,36.56,3216900
2017-06-23,43.55,43.75,43.0,43.17,36.42,4055500
2017-06-26,43.27,43.79,43.11,43.45,36.65,3283200
2017-06-27,43.73,44.25,43.54,43.82,36.96,3116300
2017-06-28,44.16,44.83,44.15,44.78,37.77,4461400
2017-06-29,45.82,46.5,44.99,45.61,38.47,5906800
2017-06-30,45.85,45.93,45.16,45.41,38.31,3806800
2017-07-03,45.72,46.28,45.66,46.12,38.9,2771200
2017-07-05,46.2,46.29,45.82,46.14,38.92,3587100
2017-07-06,46.14,46.23,45.52,45.53,38.41,3914100
2017-07-07,45.69,45.71,45.23,45.47,38.36,4054400
2017-07-10,45.35,45.57,45.17,45.35,38.25,2493700
2017-07-11,45.43,45.56,45.2,45.38,38.28,2803800
2017-07-12,45.24,45.56,45.1,45.43,38.32,2548700
2017-07-13,45.48,45.57,45.24,45.56,38.43,2293800
2017-07-14,45.03,45.16,44.59,44.81,37.8,6048100
2017-07-17,44.77,45.13,44.56,44.91,37.88,2344600
2017-07-18,44.61,44.84,44.41,44.61,37.63,3142800
2017-07-19,44.77,44.97,44.36,44.76,37.76,3374500
2017-07-20,45.26,46.53,45.02,46.26,39.02,6200800
2017-07-21,46.16,47.14,46.16,46.28,39.04,5932000
2017-07-24,46.25,46.71,46.25,46.59,39.3,4245300
2017-07-25,47.43,47.65,47.16,47.21,39.82,6146300
2017-07-26,47.21,47.37,46.67,46.75,39.44,5646000
2017-07-27,46.74,47.24,46.58,46.88,39.55,6262500
2017-07-28,46.81,47.09,46.66,46.88,39.55,3667900
2017-07-31,46.99,47.57,46.99,47.32,39.92,3965700
2017-08-01,47.58,47.85,47.34,47.85,40.36,4752400
2017-08-02,47.73,47.99,47.61,47.93,40.43,3370900
2017-08-03,47.81,47.99,47.64,47.84,40.35,2861400
2017-08-04,48.2,48.63,48.06,48.36,40.79,4518100
2017-08-07,48.31,48.4,48.11,48.16,40.62,3223700
2017-08-08,48.01,48.9,48.01,48.25,40.7,3312800
2017-08-09,47.66,47.83,47.45,47.69,40.51,4355600
2017-08-10,47.29,47.45,46.66,46.68,39.65,5226400
2017-08-11,46.88,47.03,46.16,46.31,39.33,4575000
2017-08-14,46.73,47.14,46.71,46.86,39.8,3209700
2017-08-15,47.29,47.48,46.94,46.99,39.91,3315800
2017-08-16,47.04,47.26,46.7,46.82,39.77,3612800
2017-08-17,46.73,46.86,46.13,46.16,39.21,4648600
2017-08-18,45.95,46.47,45.89,46.12,39.17,4394900
2017-08-21,46.14,46.14,45.88,45.88,38.97,5089900
