Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,200.29,200.97,198.74,200.17,195.72,146900
2017-05-25,200.17,202.13,199.7,201.33,196.86,249300
2017-05-26,201.05,201.71,199.67,201.21,196.74,187700
2017-05-30,200.88,201.51,199.62,200.75,196.29,162500
2017-05-31,201.57,202.5,199.31,200.02,195.58,500400
2017-06-01,199.93,204.42,199.78,204.14,199.61,382600
2017-06-02,205.72,207.99,205.25,207.02,202.42,253700
2017-06-05,206.4,207.71,203.78,205.07,200.52,161900
2017-06-06,203.96,205.23,203.2,203.48,198.96,224300
2017-06-07,204.6,206.6,203.64,206.07,201.49,199500
2017-06-08,206.69,206.69,203.41,204.01,199.48,178900
2017-06-09,204.28,204.87,199.42,200.0,195.56,252100
2017-06-12,200.16,200.87,196.41,200.3,195.85,203800
2017-06-13,199.83,202.04,199.83,201.91,197.43,116000
2017-06-14,201.08,204.08,199.89,201.44,196.97,161400
2017-06-15,200.83,200.92,198.77,199.86,195.42,290400
2017-06-16,199.4,202.22,199.0,200.83,196.37,227200
2017-06-19,201.49,203.73,199.45,203.41,198.89,143400
2017-06-20,203.06,204.87,203.0,203.52,199.0,156300
2017-06-21,203.65,204.82,202.03,203.45,198.93,167600
2017-06-22,203.42,205.61,202.96,204.35,199.81,186600
2017-06-23,205.67,209.98,204.0,206.11,201.53,495400
2017-06-26,206.05,208.1,206.05,207.47,202.86,232600
2017-06-27,207.75,208.22,205.4,205.73,201.16,158200
2017-06-28,207.36,208.22,205.83,207.32,202.72,165600
2017-06-29,207.38,207.66,204.33,205.75,201.18,196600
2017-06-30,206.81,209.4,204.49,207.76,203.15,186800
2017-07-03,208.1,209.79,205.89,206.93,202.33,170600
2017-07-05,206.71,209.24,206.71,207.79,203.17,264800
2017-07-06,206.12,209.29,204.18,204.74,200.19,262200
2017-07-07,205.76,211.75,205.41,211.4,206.7,195700
2017-07-10,210.64,210.87,208.21,208.48,203.85,227900
2017-07-11,209.49,210.02,207.1,207.58,202.97,202400
2017-07-12,208.1,211.08,208.1,208.71,204.07,175400
2017-07-13,209.2,210.18,206.94,209.23,204.58,129200
2017-07-14,208.97,212.63,208.7,211.09,206.4,162000
2017-07-17,211.53,212.17,209.64,211.01,206.32,292100
2017-07-18,210.46,211.5,209.83,210.77,206.09,106200
2017-07-19,211.3,212.83,210.94,211.89,207.18,104800
2017-07-20,213.04,213.4,211.53,212.57,207.85,86800
2017-07-21,212.72,214.25,210.24,211.17,206.48,119200
2017-07-24,211.12,214.53,210.64,214.23,209.47,126300
2017-07-25,214.69,216.37,213.61,215.59,210.8,258200
2017-07-26,215.69,215.69,211.01,212.03,207.32,186200
2017-07-27,212.62,212.76,208.56,210.42,205.75,229100
2017-07-28,209.54,211.69,208.18,210.1,205.43,210800
