Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,54.51,54.54,53.76,54.13,47.63,6780700
2017-05-25,54.34,54.56,54.01,54.2,47.7,7360400
2017-05-26,54.35,54.55,53.93,54.4,47.87,3738300
2017-05-30,54.51,55.11,54.36,54.94,48.35,5763600
2017-05-31,55.25,55.3,54.25,55.15,48.53,8401700
2017-06-01,55.25,55.89,55.07,55.66,48.98,5165300
2017-06-02,55.56,55.79,55.22,55.52,48.86,4485200
2017-06-05,55.57,55.68,54.93,55.63,48.95,4236800
2017-06-06,55.26,55.27,54.32,54.58,48.03,6395100
2017-06-07,54.7,54.83,54.27,54.47,47.93,5728200
2017-06-08,54.47,55.18,54.47,54.63,48.07,5767100
2017-06-09,54.96,57.07,54.73,56.9,50.07,7889200
2017-06-12,57.1,58.33,57.1,57.87,50.93,11661500
2017-06-13,57.7,57.84,56.75,57.38,50.49,5947600
2017-06-14,57.5,57.96,56.82,57.86,50.92,4337100
2017-06-15,56.98,57.75,55.33,55.46,48.81,10528000
2017-06-16,51.43,52.61,48.56,52.61,46.3,49491700
2017-06-19,52.87,52.91,50.64,51.71,45.51,14747200
2017-06-20,51.81,51.87,50.91,50.91,44.8,8795400
2017-06-21,50.96,51.79,50.44,50.52,44.46,9996500
2017-06-22,50.61,50.96,50.05,50.63,44.55,6746000
2017-06-23,50.6,50.92,50.38,50.76,44.67,6256700
2017-06-26,50.83,51.66,50.77,51.48,45.3,5805000
2017-06-27,51.41,52.34,51.36,52.07,45.82,6671600
2017-06-28,52.13,52.69,51.9,52.06,45.81,6148000
2017-06-29,52.25,52.63,51.74,52.09,45.84,4663000
2017-06-30,52.25,52.43,51.91,52.29,46.02,4008400
2017-07-03,52.53,52.88,52.33,52.65,46.33,2790900
2017-07-05,52.85,53.18,51.92,52.16,45.9,3960700
2017-07-06,52.0,52.08,51.37,51.44,45.27,3712700
2017-07-07,51.48,51.73,50.69,51.07,44.94,4882400
2017-07-10,51.15,51.17,50.04,50.18,44.16,6520000
2017-07-11,50.23,50.78,50.19,50.41,44.36,4594300
2017-07-12,50.48,51.16,50.46,50.87,44.77,4482100
2017-07-13,52.25,53.71,52.0,53.31,46.91,23218000
2017-07-14,53.48,53.54,53.06,53.23,46.84,5829200
2017-07-17,53.23,54.17,53.22,53.73,47.28,12488000
2017-07-18,53.58,53.97,53.26,53.73,47.28,4526300
2017-07-19,53.8,54.21,53.52,54.1,47.61,3954200
2017-07-20,54.16,54.93,53.98,54.58,48.03,6665900
2017-07-21,54.56,55.01,54.18,54.84,48.26,6355400
2017-07-24,54.65,54.86,54.02,54.05,47.56,5627100
2017-07-25,54.21,55.56,54.19,55.1,48.49,4506500
2017-07-26,55.06,55.16,54.27,54.96,48.37,3403400
2017-07-27,54.96,56.06,54.53,56.05,49.32,4489100
2017-07-28,56.0,56.36,55.64,56.11,49.38,5372000
2017-07-31,56.34,56.75,55.9,56.67,49.87,5662800
2017-08-01,56.58,56.88,56.14,56.86,50.04,4029000
