Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,37.27,37.35,36.99,36.99,34.52,11123200
2017-05-25,37.19,37.87,37.1,37.69,35.16,9097400
2017-05-26,37.8,37.92,37.62,37.76,35.24,5496600
2017-05-30,37.67,37.85,37.38,37.42,34.92,6939800
2017-05-31,37.58,37.68,37.4,37.6,35.09,7954600
2017-06-01,37.88,38.03,37.52,37.95,35.41,5530600
2017-06-02,37.7,37.9,37.43,37.61,35.09,6952800
2017-06-05,37.51,37.79,37.38,37.51,35.01,5087000
2017-06-06,37.33,37.42,36.94,36.99,34.51,7778800
2017-06-07,37.17,37.34,37.01,37.1,34.61,5436200
2017-06-08,37.1,37.31,36.36,36.39,33.96,10310000
2017-06-09,36.4,37.04,36.15,36.84,34.38,9353200
2017-06-12,36.76,37.24,36.76,36.88,34.42,7417600
2017-06-13,36.92,37.11,36.78,36.96,34.48,6415400
2017-06-14,36.87,36.92,36.44,36.58,34.14,7714600
2017-06-15,36.56,36.65,35.84,36.27,33.84,7819200
2017-06-16,35.94,36.26,35.7,36.22,33.8,11545000
2017-06-19,36.31,36.35,35.79,36.17,33.76,7778000
2017-06-20,36.03,36.09,35.08,35.09,32.74,14403600
2017-06-21,34.95,35.38,34.42,34.7,32.38,14474800
2017-06-22,34.71,34.72,34.27,34.38,32.08,12287800
2017-06-23,34.36,34.69,34.11,34.63,32.32,12230400
2017-06-26,34.9,35.17,34.71,34.97,32.63,7687800
2017-06-27,34.85,35.12,34.83,34.98,32.64,7125800
2017-06-28,35.14,35.76,35.07,35.71,33.32,9648800
2017-06-29,35.69,35.79,35.4,35.54,33.16,8988000
2017-06-30,35.74,36.28,35.67,36.08,33.67,12423600
2017-07-03,36.33,36.6,35.76,35.78,33.39,5938000
2017-07-05,35.85,35.85,35.13,35.59,33.21,10277400
2017-07-06,35.33,35.42,35.06,35.15,32.79,9383600
2017-07-07,35.25,35.47,35.11,35.17,32.82,8533800
2017-07-10,35.1,35.15,34.3,34.34,32.04,7759600
2017-07-11,34.3,34.46,34.17,34.3,32.01,9519200
2017-07-12,34.38,34.58,34.35,34.47,32.16,6893200
2017-07-13,34.67,35.01,34.62,34.99,32.65,10021800
