Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,171.81,172.44,171.28,172.33,170.1,827900
2017-05-25,172.47,173.07,171.96,172.9,170.66,764200
2017-05-26,173.31,173.56,172.88,173.42,171.18,683300
2017-05-30,173.17,173.58,172.42,173.25,171.01,1114200
2017-05-31,173.78,174.38,172.78,172.79,170.56,1836500
2017-06-01,172.79,174.82,172.33,174.82,172.56,1014500
2017-06-02,175.0,176.39,174.17,176.39,174.11,1074500
2017-06-05,176.26,176.85,175.31,176.44,174.16,874300
2017-06-06,176.0,176.58,175.74,176.07,173.79,1443000
2017-06-07,176.09,176.51,175.52,176.34,174.06,897800
2017-06-08,176.34,176.36,173.85,174.81,172.55,2016400
2017-06-09,175.3,175.97,174.07,174.93,172.67,1238400
2017-06-12,174.99,175.19,172.04,173.38,171.14,1695200
2017-06-13,173.52,175.1,173.33,174.93,172.82,912100
2017-06-14,175.34,175.34,173.78,174.57,172.46,1337300
2017-06-15,173.82,174.24,172.58,174.13,172.03,1150400
2017-06-16,174.56,175.31,174.0,174.86,172.75,1944700
2017-06-19,175.62,176.71,175.09,176.25,174.12,1154800
2017-06-20,176.04,176.92,175.26,175.67,173.55,1299600
2017-06-21,176.49,176.88,175.09,175.6,173.48,1348000
2017-06-22,176.03,176.37,174.3,175.47,173.35,964500
2017-06-23,175.75,175.75,173.2,174.44,172.33,1633700
2017-06-26,174.99,175.0,172.94,173.23,171.14,1297100
2017-06-27,172.97,174.3,172.13,173.7,171.6,1207800
2017-06-28,174.62,176.27,173.77,175.77,173.65,1009900
2017-06-29,175.6,176.1,173.2,173.89,171.79,1252100
2017-06-30,174.42,175.21,173.98,174.47,172.36,819700
2017-07-03,175.33,176.2,174.41,174.41,172.3,612300
2017-07-05,174.6,176.44,174.23,175.74,173.62,1186800
2017-07-06,174.78,175.79,174.29,175.04,172.93,2290600
2017-07-07,175.8,177.99,175.4,177.49,175.35,1345700
2017-07-10,177.8,178.29,176.74,177.67,175.52,1492500
2017-07-11,177.65,179.14,176.89,178.64,176.48,2127100
2017-07-12,179.21,180.72,179.06,180.2,178.02,1101600
2017-07-13,180.57,180.7,179.31,180.03,177.86,927400
2017-07-14,179.86,181.27,179.37,180.95,178.77,871900
2017-07-17,181.08,182.4,180.24,180.79,178.61,1297300
2017-07-18,180.6,180.96,178.85,179.35,177.18,1433300
2017-07-19,180.06,180.64,179.25,180.15,177.97,932300
2017-07-20,181.11,182.77,181.11,181.55,179.36,1109800
2017-07-21,181.29,182.86,181.06,182.18,179.98,786800
2017-07-24,182.14,182.87,181.61,182.16,179.96,805600
2017-07-25,181.77,182.28,179.5,180.13,177.96,1440700
2017-07-26,175.17,176.74,170.18,175.06,172.95,3944000
2017-07-27,175.85,177.0,174.33,175.27,173.15,2479100
2017-07-28,175.3,176.5,173.53,175.97,173.85,1326900
2017-07-31,176.61,177.05,175.3,175.53,173.41,1266500
2017-08-01,176.16,176.5,175.12,175.47,173.35,1382400
2017-08-02,175.87,176.59,175.51,176.44,174.31,1370000
2017-08-03,176.0,176.22,174.88,175.74,173.62,933100
2017-08-04,175.93,176.91,175.16,176.33,174.2,752100
2017-08-07,176.35,177.43,175.68,177.35,175.21,791800
2017-08-08,176.51,176.85,173.93,173.99,171.89,1648700
2017-08-09,170.26,174.01,170.26,173.26,171.17,4284600
2017-08-10,171.93,173.39,171.31,171.74,169.67,2266700
2017-08-11,171.64,174.1,170.07,173.23,171.14,2202600
2017-08-14,174.95,175.25,173.72,174.03,171.93,1182400
2017-08-15,174.75,175.26,173.36,173.56,171.46,992500
2017-08-16,173.95,176.0,173.84,175.44,173.32,1268500
2017-08-17,175.2,175.72,172.87,172.89,170.8,1159800
2017-08-18,172.56,174.36,172.15,172.57,170.49,1182700
2017-08-21,172.79,174.14,172.51,174.01,171.91,1184900
2017-08-22,174.55,176.86,174.16,176.79,174.66,1271600
2017-08-23,176.31,177.28,175.16,175.81,173.69,2168700
2017-08-24,175.82,176.64,175.54,175.96,173.84,1177000
2017-08-25,176.54,178.6,176.46,177.22,175.08,1537700
2017-08-28,177.8,178.74,177.23,178.43,176.28,1462200
2017-08-29,177.69,180.68,177.29,180.52,178.34,1549500
2017-08-30,180.97,183.32,180.43,182.95,180.74,1445300
2017-08-31,183.49,187.54,182.96,187.14,184.88,2035500
2017-09-01,188.22,188.76,185.42,186.0,183.75,1404800
2017-09-05,185.87,186.5,184.88,186.02,183.77,1190400
2017-09-06,187.39,189.49,187.03,189.41,187.12,1516600
2017-09-07,190.0,190.95,188.85,190.59,188.29,1619100
2017-09-08,190.59,192.28,189.78,191.63,189.32,1545800
2017-09-11,192.22,193.67,192.07,193.57,191.23,1521000
2017-09-12,194.02,194.3,192.6,194.04,191.7,1000900
2017-09-13,193.65,193.88,191.1,191.47,189.16,1302100
2017-09-14,191.82,192.0,189.64,191.69,189.52,1287300
2017-09-15,190.76,192.83,190.58,190.63,188.48,3274900
2017-09-18,191.15,191.98,190.78,191.86,189.69,1750700
2017-09-19,192.04,192.28,189.3,189.62,187.48,1215500
2017-09-20,189.53,190.17,187.42,188.6,186.47,1194400
