Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,35.98,36.02,35.59,35.69,35.69,534500
2017-05-25,35.8,36.03,35.65,35.79,35.79,476300
2017-05-26,35.81,35.92,35.61,35.76,35.76,476300
2017-05-30,35.67,35.98,35.5,35.86,35.86,405900
2017-05-31,36.0,36.28,35.28,36.04,36.04,1166000
2017-06-01,36.11,36.48,35.91,36.47,36.47,831400
2017-06-02,36.54,36.86,36.23,36.74,36.74,911300
2017-06-05,36.6,37.15,36.55,37.0,37.0,978400
2017-06-06,36.72,37.01,36.1,36.78,36.78,960500
2017-06-07,36.8,37.0,36.62,36.91,36.91,866800
2017-06-08,36.88,36.93,36.54,36.78,36.78,742300
2017-06-09,36.88,37.1,35.87,36.32,36.32,880400
2017-06-12,36.26,36.32,35.66,36.31,36.31,921900
2017-06-13,36.5,36.78,36.3,36.52,36.52,738100
2017-06-14,36.69,37.09,36.05,36.74,36.74,866300
2017-06-15,36.37,36.65,36.06,36.39,36.39,539800
2017-06-16,36.42,36.75,35.8,36.6,36.6,1754300
2017-06-19,36.84,37.18,36.63,37.15,37.15,603900
2017-06-20,37.09,37.37,36.45,36.51,36.51,683700
2017-06-21,36.64,36.87,36.19,36.33,36.33,619000
2017-06-22,36.32,36.72,36.0,36.56,36.56,547200
2017-06-23,36.58,36.75,36.43,36.45,36.45,1092600
2017-06-26,36.64,36.91,36.39,36.51,36.51,513900
2017-06-27,36.4,36.49,35.78,35.8,35.8,485100
2017-06-28,36.09,36.33,35.77,36.13,36.13,746500
2017-06-29,36.08,36.08,35.31,35.72,35.72,656600
2017-06-30,35.97,36.02,35.58,35.67,35.67,875700
2017-07-03,35.96,36.24,35.67,35.79,35.79,608600
2017-07-05,35.89,36.3,35.75,35.92,35.92,888000
2017-07-06,35.64,36.14,35.63,35.69,35.69,917500
2017-07-07,35.76,36.99,35.76,36.69,36.69,755000
2017-07-10,36.73,37.13,36.63,36.74,36.74,849700
2017-07-11,36.7,37.14,36.39,37.01,37.01,1073500
2017-07-12,37.29,37.95,36.88,37.36,37.36,870700
2017-07-13,37.35,37.44,37.0,37.26,37.26,776300
2017-07-14,37.32,37.73,37.22,37.45,37.45,545800
2017-07-17,37.44,37.74,37.01,37.23,37.23,487000
2017-07-18,37.19,37.31,37.0,37.15,37.15,460700
2017-07-19,37.29,37.73,37.19,37.56,37.56,426900
2017-07-20,37.61,37.7,37.28,37.55,37.55,303700
2017-07-21,37.41,37.72,37.28,37.71,37.71,459000
2017-07-24,37.67,38.3,37.67,38.2,38.2,690200
2017-07-25,38.41,38.88,38.22,38.79,38.79,1586500
2017-07-26,38.77,39.0,38.26,38.36,38.36,718900
2017-07-27,38.48,38.64,37.76,37.8,37.8,982500
2017-07-28,37.53,37.76,37.34,37.43,37.43,915000
2017-07-31,37.49,37.63,37.34,37.43,37.43,716200
2017-08-01,37.56,37.65,37.39,37.5,37.5,1047400
2017-08-02,37.52,37.97,37.07,37.58,37.58,1600000
2017-08-03,38.42,39.45,37.77,37.84,37.84,1749600
2017-08-04,37.82,38.1,37.55,37.75,37.75,857400
2017-08-07,37.72,38.05,37.57,37.83,37.83,877100
2017-08-08,37.86,37.92,37.34,37.45,37.45,608700
2017-08-09,37.24,37.38,36.92,37.02,37.02,1266800
2017-08-10,36.88,36.97,36.17,36.18,36.18,742300
