Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,69.07,69.51,67.62,68.68,59.11,5328100
2017-05-25,68.68,70.05,68.3,69.66,59.96,2559400
2017-05-26,69.57,70.13,69.04,69.7,59.99,1370200
2017-05-30,69.49,70.05,69.38,69.78,60.06,1353300
2017-05-31,69.79,70.49,69.6,70.44,60.63,2366500
2017-06-01,70.72,71.81,70.2,71.8,61.8,2156300
2017-06-02,71.51,71.71,70.98,71.53,61.57,1517600
2017-06-05,71.61,71.92,71.09,71.88,61.87,1116000
2017-06-06,71.72,71.84,70.78,71.06,61.16,1328900
2017-06-07,71.43,72.0,71.25,71.9,61.89,1298600
2017-06-08,72.0,72.81,71.81,71.96,61.94,1484800
2017-06-09,72.08,73.38,72.0,73.27,63.06,1669000
2017-06-12,73.26,73.97,72.6,73.92,63.62,1734900
2017-06-13,73.69,73.82,72.76,73.36,63.63,1039300
2017-06-14,73.0,73.31,72.19,73.24,63.53,1147700
2017-06-15,72.46,73.39,72.09,73.25,63.54,1151900
2017-06-16,73.38,73.45,72.84,73.35,63.62,2073900
2017-06-19,73.81,74.35,73.44,74.03,64.21,1039400
2017-06-20,73.93,73.93,73.34,73.34,63.62,1003500
2017-06-21,73.61,73.68,72.98,73.04,63.36,1108600
2017-06-22,72.86,73.53,72.44,73.2,63.49,1157700
2017-06-23,73.49,74.03,73.13,73.74,63.96,4791300
2017-06-26,73.96,74.28,73.48,73.83,64.04,1025600
2017-06-27,74.05,74.58,73.82,74.09,64.27,773200
2017-06-28,74.56,75.27,74.3,75.04,65.09,1390400
2017-06-29,75.51,75.92,73.5,74.03,64.21,1611600
2017-06-30,74.6,74.98,74.2,74.21,64.37,1487300
2017-07-03,74.85,75.69,74.63,75.1,65.14,873300
2017-07-05,75.19,75.48,74.83,75.31,65.32,974800
2017-07-06,75.11,75.13,74.16,74.23,64.39,1335700
2017-07-07,74.61,76.4,74.43,76.16,66.06,1443900
2017-07-10,76.03,77.5,76.03,77.05,66.83,1885100
2017-07-11,75.5,75.57,74.3,75.16,65.19,2023100
2017-07-12,75.37,76.07,75.3,75.58,65.56,1034700
2017-07-13,77.8,80.05,77.8,79.19,68.69,4912000
2017-07-14,79.0,80.64,79.0,80.23,69.59,2192200
2017-07-17,80.29,80.49,79.51,80.16,69.53,1137700
2017-07-18,79.99,80.27,79.78,80.11,69.49,1550200
2017-07-19,80.33,80.93,80.0,80.81,70.1,882400
2017-07-20,80.94,81.25,80.43,81.08,70.33,903100
2017-07-21,80.96,81.4,80.71,80.83,70.11,991300
2017-07-24,80.84,81.13,80.37,81.1,70.35,1496400
2017-07-25,82.01,84.46,81.98,83.83,72.71,3019900
2017-07-26,84.11,85.42,84.04,84.92,73.66,2652200
2017-07-27,85.07,85.11,81.83,82.67,71.71,3149600
2017-07-28,82.51,82.93,81.87,82.35,71.43,1386200
2017-07-31,82.54,82.94,82.11,82.72,71.75,2757600
2017-08-01,83.08,83.19,82.48,83.15,72.12,1538900
2017-08-02,83.49,83.49,82.24,82.61,71.66,1271800
2017-08-03,82.64,82.93,82.19,82.65,71.69,1022000
2017-08-04,83.11,83.11,82.58,82.79,71.81,879500
2017-08-07,82.88,83.55,82.81,83.37,72.32,798500
2017-08-08,83.0,83.68,82.69,83.19,72.16,1337900
2017-08-09,82.94,83.38,82.48,83.18,72.15,1295600
2017-08-10,82.97,84.77,82.49,82.85,71.86,2025300
2017-08-11,83.17,83.75,82.57,82.79,71.81,1127000
2017-08-14,83.4,84.0,82.74,83.84,72.72,1011900
2017-08-15,84.05,84.22,83.44,83.9,72.78,1049900
2017-08-16,84.33,85.07,84.06,84.14,72.98,1464600
2017-08-17,83.99,84.03,82.53,82.61,71.66,1860400
2017-08-18,82.55,82.83,82.12,82.3,71.39,1091400
2017-08-21,82.33,82.74,81.99,82.37,71.45,828100
2017-08-22,82.57,83.74,82.57,83.61,72.52,1131700
2017-08-23,83.35,83.35,82.74,82.85,71.86,956800
2017-08-24,83.19,83.19,82.38,82.46,71.53,1212500
2017-08-25,82.9,84.28,82.9,83.9,72.78,1509800
2017-08-28,84.11,84.63,83.77,84.14,72.98,1054700
2017-08-29,83.5,84.2,83.01,84.03,72.89,1090000
2017-08-30,84.05,84.17,83.73,83.82,72.71,921400
2017-08-31,84.16,84.54,83.76,84.36,73.17,1407000
2017-09-01,84.59,84.82,84.05,84.28,73.1,856800
2017-09-05,83.83,84.07,82.57,82.78,71.8,1208500
2017-09-06,83.26,83.57,82.58,82.78,71.8,1399700
2017-09-07,82.83,82.83,81.61,82.25,71.34,1570000
2017-09-08,81.93,82.67,81.77,82.13,71.24,1209700
2017-09-11,82.77,83.65,82.77,83.35,72.3,1206600
2017-09-12,83.61,84.86,83.55,84.86,73.61,1072600
2017-09-13,83.93,84.54,82.82,84.27,73.59,1202200
2017-09-14,84.01,84.52,83.58,84.27,73.59,923600
2017-09-15,84.22,84.99,83.9,84.72,73.98,1805400
2017-09-18,84.73,85.46,84.26,85.35,74.53,1275100
2017-09-19,85.33,85.77,84.98,85.1,74.32,995900
2017-09-20,85.47,85.87,84.51,85.72,74.86,990700
2017-09-21,85.69,86.13,85.38,85.97,75.08,742700
2017-09-22,86.03,86.77,85.83,86.69,75.7,708300
2017-09-25,86.59,87.64,86.53,87.32,76.25,1175100
2017-09-26,87.23,87.43,86.42,86.56,75.59,1301500
2017-09-27,87.36,88.57,86.99,88.09,76.93,1779800
2017-09-28,88.26,90.57,87.9,90.13,78.71,2241000
2017-09-29,89.91,91.19,89.7,90.65,79.16,1801400
2017-10-02,90.43,90.78,89.38,90.68,79.19,1605900
2017-10-03,90.52,90.95,90.02,90.92,79.4,980800
2017-10-04,90.97,91.59,90.77,91.41,79.83,1142700
2017-10-05,91.86,92.38,91.43,91.75,80.12,939700
2017-10-06,92.06,92.06,91.28,91.72,80.1,829500
2017-10-09,92.07,92.41,91.83,91.98,80.32,703900
2017-10-10,92.49,92.58,91.65,92.18,80.5,1049200
2017-10-11,92.21,92.89,91.6,92.85,81.08,973000
2017-10-12,93.07,94.72,93.07,94.46,82.49,1720900
2017-10-13,94.76,95.65,94.37,94.94,82.91,1335500
2017-10-16,94.96,95.5,94.51,94.82,82.8,1312300
2017-10-17,95.18,95.21,94.45,94.73,82.72,921600
2017-10-18,94.96,95.95,94.75,95.76,83.62,949000
2017-10-19,95.59,95.97,95.1,95.63,83.51,953600
2017-10-20,96.5,97.35,96.19,96.86,84.59,1220700
2017-10-23,96.11,97.28,95.96,96.13,83.95,1769400
2017-10-24,96.75,96.84,96.22,96.48,84.25,1204600
2017-10-25,96.62,96.91,93.95,95.15,83.09,1831000
2017-10-26,97.0,97.0,93.27,95.07,83.02,1735000
2017-10-27,94.78,94.98,92.0,93.98,82.07,1753500
2017-10-30,93.62,93.9,92.26,92.42,80.71,1854500
2017-10-31,92.38,93.5,91.89,92.9,81.13,2428900
2017-11-01,93.48,93.64,92.46,92.57,80.84,1031000
2017-11-02,92.86,95.92,92.47,94.63,82.64,1928600
2017-11-03,94.76,94.99,94.15,94.57,82.59,847800
2017-11-06,94.05,95.04,94.05,94.95,82.92,1009200
2017-11-07,95.2,95.46,93.35,93.76,81.88,901200
2017-11-08,93.5,93.58,91.65,93.49,81.64,1447700
2017-11-09,93.01,93.32,90.95,92.72,80.97,1245700
2017-11-10,92.93,93.71,92.71,93.57,81.71,1119100
2017-11-13,93.03,93.48,92.41,93.41,81.57,1067100
2017-11-14,93.06,94.54,93.06,94.48,82.51,1056200
2017-11-15,93.96,94.97,92.88,94.35,82.39,1011100
2017-11-16,94.62,95.72,94.43,95.53,83.42,981500
2017-11-17,95.38,96.19,95.24,95.98,83.82,839800
2017-11-20,96.06,96.51,95.5,96.3,84.1,1057200
2017-11-21,96.92,97.84,96.24,97.73,85.34,1566200
2017-11-22,97.55,98.01,97.0,97.72,85.34,1126200
2017-11-24,98.22,98.31,97.49,97.88,85.48,487500
2017-11-27,97.95,99.01,97.8,97.97,85.55,1147700
2017-11-28,98.08,99.8,97.97,99.75,87.11,1442400
2017-11-29,100.22,102.23,100.13,101.27,88.44,2186700
2017-11-30,101.8,103.85,101.03,102.92,89.88,2750100
2017-12-01,102.82,103.57,100.21,102.79,89.76,1983600
2017-12-04,103.35,103.61,102.07,102.82,89.79,2102100
2017-12-05,103.77,104.4,101.53,101.64,88.76,1939600
2017-12-06,101.2,102.46,101.05,101.79,88.89,1173100
2017-12-07,101.78,103.05,101.68,102.74,89.72,1260700
2017-12-08,101.95,103.37,100.89,102.75,89.73,1951000
2017-12-11,102.87,102.88,101.58,101.85,88.94,1213100
2017-12-12,101.8,102.96,101.8,102.64,89.63,2032900
2017-12-13,101.91,103.21,101.73,101.9,89.48,1315000
2017-12-14,102.61,103.12,101.23,101.59,89.21,1276700
2017-12-15,101.6,103.08,101.03,102.57,90.07,4366900
2017-12-18,103.4,105.36,103.0,103.44,90.84,1985800
2017-12-19,103.98,104.27,103.08,103.14,90.57,1174500
2017-12-20,103.29,104.8,103.29,103.76,91.12,1313800
2017-12-21,104.28,104.9,103.39,104.6,91.85,1045000
2017-12-22,104.6,105.29,104.1,105.24,92.42,834400
2017-12-26,105.46,105.54,104.93,105.36,92.52,558600
2017-12-27,105.55,105.85,104.89,105.02,92.22,1123700
2017-12-28,105.1,105.44,104.7,105.34,92.5,807900
2017-12-29,105.79,106.1,104.93,104.93,92.14,692600
2018-01-02,104.44,105.0,102.35,103.08,90.52,1603500
