Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,121.77,122.17,121.57,122.05,108.46,1116700
2017-05-25,122.59,123.94,122.38,123.72,109.95,1849300
2017-05-26,123.59,123.92,123.34,123.66,109.89,925600
2017-05-30,123.36,124.23,123.16,123.73,109.96,1139200
2017-05-31,123.87,124.96,123.54,124.85,110.95,2124400
2017-06-01,124.97,125.45,124.45,125.4,111.44,1429200
2017-06-02,125.33,125.8,124.99,125.15,111.22,1210200
2017-06-05,125.0,125.74,124.93,125.38,111.42,1052400
2017-06-06,125.19,125.45,124.02,124.03,110.22,1277700
2017-06-07,123.87,124.11,123.24,123.5,110.39,1138900
2017-06-08,123.5,124.52,123.19,123.78,110.64,1826500
2017-06-09,123.86,125.25,123.78,125.23,111.94,1038500
2017-06-12,125.21,125.67,124.78,125.67,112.33,1534100
2017-06-13,125.57,126.1,125.32,126.1,112.72,1297600
2017-06-14,126.4,128.17,126.06,127.96,114.38,1572800
2017-06-15,127.94,129.29,127.83,129.02,115.33,1820600
2017-06-16,129.48,129.6,128.25,129.44,115.7,2470700
2017-06-19,129.4,129.49,128.02,128.27,114.66,1405900
2017-06-20,128.35,129.15,128.3,128.75,115.09,1163700
2017-06-21,128.75,129.1,128.39,128.58,114.93,1115300
2017-06-22,128.17,128.71,128.15,128.31,114.69,1116500
2017-06-23,128.0,128.64,127.17,127.66,114.11,1899300
2017-06-26,127.6,128.17,127.29,127.95,114.37,1004800
2017-06-27,128.38,128.38,127.33,127.38,113.86,1027500
2017-06-28,127.73,128.43,127.39,127.78,114.22,1324700
2017-06-29,128.22,128.23,125.96,126.39,112.98,1909100
2017-06-30,126.52,126.92,125.8,126.53,113.1,1186500
2017-07-03,126.98,128.24,126.69,127.34,113.83,932700
2017-07-05,127.47,127.47,126.13,126.37,112.96,1402600
2017-07-06,126.51,127.05,126.0,126.18,112.79,1014600
2017-07-07,126.79,127.28,126.01,127.17,113.67,987100
2017-07-10,126.57,126.98,125.77,125.77,112.42,1518100
2017-07-11,125.96,126.02,124.35,125.05,111.78,937300
2017-07-12,125.61,125.9,124.98,125.25,111.96,1034500
2017-07-13,125.25,125.68,124.76,125.43,112.12,886700
