Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,58.23,58.66,58.18,58.43,52.59,1678700
2017-05-25,58.49,58.73,57.82,58.1,52.3,1943200
2017-05-26,58.1,58.67,57.93,58.34,52.51,1712400
2017-05-30,58.11,58.27,57.51,57.94,52.35,2120400
2017-05-31,58.03,58.08,57.26,57.34,51.81,3546200
2017-06-01,57.52,58.57,57.2,58.48,52.84,3088600
2017-06-02,58.41,58.95,57.7,57.89,52.31,2731900
2017-06-05,57.9,58.39,57.7,58.27,52.65,1948800
2017-06-06,58.46,59.66,58.27,59.37,53.65,2971000
2017-06-07,59.24,60.61,59.13,60.47,54.64,3412700
2017-06-08,60.47,61.57,60.36,60.52,54.69,3822800
2017-06-09,60.52,61.36,60.23,60.75,54.89,2296300
2017-06-12,61.11,61.99,61.07,61.27,55.36,2975600
2017-06-13,61.86,62.49,61.25,62.38,56.37,2340000
2017-06-14,62.6,63.03,62.12,62.51,56.48,2469100
2017-06-15,62.44,62.73,61.88,61.96,55.99,2732400
2017-06-16,61.85,61.93,60.53,61.61,55.67,4269100
2017-06-19,61.61,61.66,60.62,61.56,55.63,1913300
2017-06-20,61.61,62.18,61.33,61.39,55.47,1877800
2017-06-21,61.43,61.62,60.96,61.38,55.46,1408600
2017-06-22,61.47,62.0,60.94,61.72,55.77,2510100
2017-06-23,61.6,63.14,61.6,62.79,56.74,7281400
2017-06-26,63.28,63.79,62.41,62.76,56.71,3241500
2017-06-27,62.48,62.64,61.53,61.7,55.75,2162600
2017-06-28,61.97,62.36,61.54,61.57,55.63,2345100
2017-06-29,61.65,62.15,61.28,61.57,55.63,2960600
2017-06-30,61.7,62.92,61.7,62.63,56.59,2835500
2017-07-03,62.75,63.13,62.16,62.58,56.55,1584400
2017-07-05,62.67,62.81,61.3,61.57,55.63,2505300
2017-07-06,61.45,61.67,60.19,60.21,54.41,2578300
2017-07-07,60.4,60.63,60.02,60.22,54.41,2563500
2017-07-10,60.2,60.44,59.08,59.28,53.57,3529100
