Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,69.22,69.57,68.56,68.67,62.79,2724430
2017-05-25,69.08,69.41,68.72,69.29,63.35,1274177
2017-05-26,69.11,69.69,69.11,69.32,63.38,848162
2017-05-30,69.15,69.35,68.69,69.19,63.27,1141410
2017-05-31,68.88,69.63,68.6,69.51,63.56,1998466
2017-06-01,69.8,69.81,68.98,69.51,63.56,1766575
2017-06-02,69.51,69.8,69.29,69.42,63.47,1461726
2017-06-05,69.3,69.76,69.12,69.32,63.38,2434663
2017-06-06,68.94,69.35,68.34,68.98,63.07,1754974
2017-06-07,69.08,69.29,68.01,68.37,62.8,2620279
2017-06-08,68.37,68.47,68.05,68.25,62.68,2182664
2017-06-09,68.27,68.56,68.0,68.36,62.78,2237317
2017-06-12,68.35,68.52,68.04,68.15,62.59,2123628
2017-06-13,68.37,69.57,68.24,69.57,63.9,2348945
2017-06-14,69.87,69.95,68.49,68.81,63.2,2227521
2017-06-15,68.27,69.71,68.22,69.71,64.03,1464304
2017-06-16,69.82,71.64,69.74,71.64,65.8,5321250
2017-06-19,71.87,72.28,71.65,71.83,65.98,2517933
2017-06-20,71.44,71.62,70.7,70.79,65.02,2116538
2017-06-21,71.05,71.2,70.08,70.19,64.47,2542424
2017-06-22,70.25,70.58,70.12,70.38,64.64,1650822
2017-06-23,70.39,70.92,70.08,70.66,64.9,2352812
2017-06-26,70.88,71.26,70.5,70.54,64.79,2974110
2017-06-27,70.51,70.72,69.97,70.22,64.49,2046674
2017-06-28,70.61,71.24,70.47,71.09,65.29,1733576
2017-06-29,71.1,71.21,69.62,70.11,64.39,1969850
2017-06-30,70.35,71.29,70.22,70.9,65.12,1509032
2017-07-03,71.15,71.37,70.92,70.94,65.16,972808
2017-07-05,70.9,71.57,70.85,71.5,65.67,1420091
2017-07-06,71.34,71.79,71.16,71.47,65.64,2186402
2017-07-07,71.51,72.55,70.97,72.34,66.45,2389677
2017-07-10,72.35,73.23,72.28,72.72,66.79,1677762
2017-07-11,72.56,72.68,71.78,72.08,66.2,1733963
2017-07-12,72.62,73.2,72.48,72.54,66.63,1592560
2017-07-13,72.57,72.77,71.66,72.03,66.16,1545898
2017-07-14,72.0,72.12,71.31,72.02,66.15,1641413
2017-07-17,71.91,72.35,71.02,72.2,66.32,1850617
2017-07-18,71.94,72.17,71.4,71.73,65.88,1559948
2017-07-19,71.96,72.37,71.54,72.3,66.41,1613699
2017-07-20,72.28,72.31,71.15,71.51,65.68,1797511
2017-07-21,71.16,71.51,70.75,71.12,65.32,1545511
2017-07-24,70.96,71.06,70.47,70.64,64.88,1889545
2017-07-25,71.25,71.25,70.19,70.19,64.47,2047834
2017-07-26,69.37,69.37,66.56,67.45,61.95,6181657
2017-07-27,67.46,68.43,67.43,68.1,62.55,2834769
2017-07-28,67.97,68.86,67.53,68.69,63.09,2073743
2017-07-31,68.89,69.35,68.08,68.18,62.62,1854098
2017-08-01,68.33,68.63,66.81,67.1,61.63,2922679
2017-08-02,66.76,67.7,66.76,67.61,62.1,3160370
2017-08-03,67.71,67.94,66.85,67.28,61.8,2562919
2017-08-04,67.56,68.67,67.37,68.41,62.83,1988411
2017-08-07,68.36,68.47,67.89,68.35,62.78,1733189
2017-08-08,68.29,68.36,67.74,67.88,62.35,1479128
2017-08-09,67.72,67.96,67.4,67.7,62.18,1134062
2017-08-10,67.23,67.55,65.87,65.93,60.55,3157921
2017-08-11,65.76,66.36,65.64,66.01,60.63,2608292
2017-08-14,66.55,66.96,66.5,66.65,61.22,1494724
2017-08-15,66.66,67.27,66.63,66.87,61.42,1710116
2017-08-16,67.06,67.39,66.9,67.29,61.81,1819939
2017-08-17,66.97,67.35,66.23,66.3,60.9,1997821
2017-08-18,66.3,66.87,65.86,66.08,60.7,1719397
2017-08-21,66.01,66.21,65.76,66.04,60.66,1070515
2017-08-22,66.09,66.98,66.09,66.81,61.37,840686
2017-08-23,66.47,66.77,65.42,65.48,60.14,1946261
2017-08-24,65.62,65.78,64.86,64.99,59.69,1999368
2017-08-25,65.38,66.04,65.38,65.66,60.3,1510579
2017-08-28,65.94,65.94,64.93,65.06,59.76,1818263
2017-08-29,64.7,65.42,64.45,65.38,60.06,1999883
2017-08-30,65.2,66.58,65.0,66.35,60.95,1961085
2017-08-31,66.63,66.7,65.66,66.25,60.85,2804864
2017-09-01,66.64,66.8,65.98,66.0,60.63,1554147
2017-09-05,65.9,66.3,65.62,65.77,60.41,2025019
2017-09-06,66.21,66.52,65.12,65.47,60.13,2199679
2017-09-07,65.26,66.04,64.62,65.99,60.94,2222365
2017-09-08,65.78,68.75,65.61,67.85,62.66,3842380
2017-09-11,68.33,68.68,67.78,68.67,63.41,2548353
2017-09-12,69.05,70.18,69.03,69.83,64.48,2491895
2017-09-13,69.52,70.44,69.36,70.11,64.74,1926153
2017-09-14,69.89,70.05,69.12,69.84,64.49,2358999
2017-09-15,69.46,69.74,69.01,69.39,64.07,3156761
2017-09-18,69.61,70.27,69.51,70.22,64.84,1886709
2017-09-19,70.26,70.99,70.12,70.18,64.8,2468177
2017-09-20,69.12,69.53,68.67,69.28,63.97,2041518
2017-09-21,69.29,69.56,69.14,69.23,63.93,1661908
2017-09-22,69.12,69.4,68.57,68.98,63.7,2085215
2017-09-25,69.05,69.28,68.17,68.93,63.65,2216693
2017-09-26,68.93,69.17,68.56,68.85,63.58,1761161
2017-09-27,69.26,69.32,68.12,68.31,63.08,2103132
2017-09-28,68.2,68.5,67.77,68.41,63.17,1598360
2017-09-29,68.4,69.41,68.33,69.18,63.88,2274312
2017-10-02,69.33,69.82,68.95,69.79,64.45,2164102
2017-10-03,69.78,69.93,69.36,69.93,64.58,1506068
2017-10-04,69.74,70.7,69.74,70.18,64.8,1972814
2017-10-05,70.37,70.75,70.13,70.51,65.11,1846750
2017-10-06,70.67,71.97,70.53,71.41,65.94,2776377
2017-10-09,71.37,71.96,71.25,71.42,65.95,1617308
2017-10-10,71.66,71.66,70.51,70.89,65.46,1249428
2017-10-11,70.95,71.0,70.62,70.93,65.5,1566522
2017-10-12,70.83,71.37,70.67,70.89,65.46,1933371
2017-10-13,71.26,71.56,70.77,70.85,65.42,1002069
2017-10-16,71.08,71.08,70.52,70.83,65.41,1462113
2017-10-17,70.31,70.75,69.98,70.67,65.26,2197745
2017-10-18,70.77,70.95,70.4,70.77,65.35,1452961
2017-10-19,70.51,70.69,70.09,70.66,65.25,2151470
2017-10-20,71.13,72.55,71.02,72.54,66.99,1988540
2017-10-23,72.47,73.96,72.31,72.74,67.17,2686792
2017-10-24,73.22,74.65,72.88,74.17,68.49,3247249
2017-10-25,70.27,72.54,69.22,70.85,65.42,6230897
2017-10-26,71.41,71.75,70.29,70.33,64.95,2765292
2017-10-27,69.5,70.81,69.31,70.71,65.3,3145418
2017-10-30,70.5,70.69,68.94,68.95,63.67,2447940
2017-10-31,68.82,69.2,68.26,68.74,63.47,3851661
2017-11-01,69.24,69.34,67.75,67.91,62.71,2203417
2017-11-02,67.92,68.36,66.74,67.96,62.76,3253952
2017-11-03,67.65,68.04,66.57,66.91,61.79,3855786
2017-11-06,66.97,67.69,66.52,66.83,61.72,2056342
2017-11-07,67.04,67.09,66.07,66.38,61.29,1942265
2017-11-08,66.43,66.65,65.65,66.47,61.38,1910556
2017-11-09,65.96,66.1,65.02,65.48,60.47,2020121
2017-11-10,65.13,66.04,64.99,65.91,60.86,1786683
2017-11-13,65.54,66.15,65.46,65.76,60.72,2167325
2017-11-14,65.59,66.15,65.52,65.71,60.68,2263226
2017-11-15,65.2,65.3,64.62,64.67,59.72,1988798
2017-11-16,65.09,66.28,65.07,66.14,61.08,2251883
2017-11-17,65.66,66.18,65.28,66.04,60.98,1713726
2017-11-20,66.22,66.7,65.69,65.73,60.7,2046932
2017-11-21,66.04,66.31,65.52,66.16,61.09,2279854
2017-11-22,66.21,66.29,65.55,65.62,60.6,1522309
2017-11-24,65.85,65.9,65.14,65.35,60.34,890055
2017-11-27,65.35,65.94,65.31,65.73,60.7,1629167
2017-11-28,65.92,67.55,65.53,67.22,62.07,3114224
2017-11-29,67.58,67.64,66.48,66.77,61.66,2354230
2017-11-30,66.98,68.44,66.9,67.98,62.77,3087542
2017-12-01,67.84,68.23,65.84,66.88,61.76,2264515
2017-12-04,67.49,67.7,66.03,66.04,60.98,3087413
2017-12-05,66.15,66.37,65.44,65.62,60.59,2585347
2017-12-06,65.4,67.18,64.94,66.92,61.8,3147738
2017-12-07,66.74,67.66,66.4,66.95,62.15,1886194
2017-12-08,68.53,69.08,67.55,67.97,63.09,2808473
2017-12-11,67.92,68.62,67.92,68.13,63.24,3027474
2017-12-12,68.34,68.36,66.97,67.01,62.21,2061240
2017-12-13,67.07,67.87,66.49,67.6,62.75,2568075
2017-12-14,67.89,68.18,66.73,66.74,61.95,1537390
2017-12-15,67.4,67.8,66.91,67.3,62.47,3675068
2017-12-18,67.53,68.15,67.16,67.21,62.39,1922801
2017-12-19,67.49,67.71,66.94,67.29,62.47,1503103
2017-12-20,67.76,68.11,67.28,67.66,62.8,1402948
2017-12-21,68.01,70.36,67.81,70.12,65.09,4158056
2017-12-22,70.27,70.32,69.15,69.64,64.65,1680598
2017-12-26,69.7,69.7,69.05,69.21,64.24,676209
2017-12-27,69.39,69.41,69.04,69.13,64.17,982476
2017-12-28,69.39,69.39,68.66,69.22,64.26,848807
2017-12-29,69.5,69.95,69.19,69.19,64.23,1213594
2018-01-02,69.61,69.78,68.11,68.85,63.91,2448456
2018-01-03,68.79,69.87,68.63,69.78,64.78,1656881
2018-01-04,69.88,70.81,69.75,70.12,65.09,1665388
2018-01-05,70.33,70.49,69.31,69.6,64.6,1800089
2018-01-08,69.85,70.54,69.71,70.15,65.12,2547837
2018-01-09,70.39,70.84,70.16,70.51,65.45,2293389
2018-01-10,70.5,70.67,69.9,70.58,65.52,1927442
2018-01-11,70.6,71.99,70.42,71.37,66.25,2446264
2018-01-12,71.66,71.66,70.35,70.67,65.61,2248145
2018-01-16,71.28,71.32,69.81,70.02,65.0,1870984
2018-01-17,70.19,70.38,69.62,69.96,64.94,1502716
2018-01-18,69.75,70.69,69.47,70.08,65.05,1595266
2018-01-19,70.44,70.64,69.91,70.54,65.48,1473585
2018-01-22,70.38,70.47,69.26,69.7,64.7,1543191
2018-01-23,70.81,71.26,70.08,71.19,66.09,2118858
2018-01-24,71.52,72.41,71.13,71.36,66.24,2248918
2018-01-25,71.88,71.88,70.5,71.04,65.94,1380906
2018-01-26,71.37,72.82,70.99,72.79,67.56,2087407
2018-01-29,72.64,73.82,72.61,72.82,67.6,2670808
2018-01-30,72.47,72.88,71.2,71.78,66.63,3238613
2018-01-31,72.44,73.53,70.84,73.41,68.15,5681268
2018-02-01,73.2,75.77,73.12,74.94,69.57,4684226
2018-02-02,74.45,74.84,73.76,73.89,68.59,3353076
2018-02-05,73.34,73.92,70.09,70.23,65.19,4884408
2018-02-06,68.82,71.6,68.14,71.18,66.07,3909021
2018-02-07,71.16,72.62,70.71,70.74,65.67,2719532
2018-02-08,70.7,70.81,67.91,67.96,63.08,2721724
2018-02-09,68.82,69.73,66.52,69.17,64.21,3031341
2018-02-12,69.73,71.16,69.57,70.53,65.47,1914036
2018-02-13,69.86,70.53,69.53,70.02,65.0,1510966
2018-02-14,69.58,70.39,69.3,70.12,65.09,2387486
2018-02-15,70.8,71.65,69.72,71.38,66.26,2036491
2018-02-16,71.16,72.34,70.43,70.62,65.55,2527987
2018-02-20,70.2,70.75,69.59,69.85,64.84,2125819
2018-02-21,69.98,70.79,69.28,69.83,64.82,3847923
2018-02-22,70.28,71.06,69.9,70.06,65.04,1669384
2018-02-23,70.58,70.71,69.49,69.94,64.92,2002461
2018-02-26,70.05,70.58,69.21,70.33,65.28,2785142
2018-02-27,70.39,71.19,69.88,69.88,64.87,1992923
2018-02-28,70.24,70.9,68.88,68.89,63.95,2341726
2018-03-01,69.03,69.08,66.57,66.62,61.84,3435830
2018-03-02,66.02,67.16,65.21,66.94,62.14,3684220
2018-03-05,66.58,67.21,65.97,66.89,62.09,4578786
2018-03-06,67.32,68.19,66.68,67.49,62.65,2540103
2018-03-07,66.55,67.88,66.54,67.67,62.82,2568075
2018-03-08,67.65,68.0,67.17,67.87,63.32,2516128
2018-03-09,68.47,69.54,68.17,69.53,64.88,2601202
2018-03-12,69.55,69.79,68.19,68.33,63.76,1772504
2018-03-13,68.68,69.32,68.12,68.46,63.87,1814396
2018-03-14,68.94,69.19,68.11,68.52,63.93,1813365
2018-03-15,68.66,70.07,68.36,69.99,65.31,3031341
2018-03-16,69.94,69.98,69.01,69.42,64.77,2991898
2018-03-19,69.26,69.36,67.98,68.67,64.08,1217847
2018-03-20,68.88,69.84,68.77,69.01,64.4,1450641
2018-03-21,69.16,69.89,68.93,69.04,64.42,1752782
2018-03-22,68.26,68.26,66.6,66.78,62.31,1643475
2018-03-23,67.0,67.0,64.86,65.06,60.7,2009551
2018-03-26,65.98,66.94,65.43,66.85,62.38,1962631
2018-03-27,67.17,67.35,65.59,65.94,61.53,1656623
2018-03-28,66.02,66.45,64.86,65.13,60.77,1812850
2018-03-29,65.53,66.93,65.53,66.34,61.9,1283200
