Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,80.3,80.3,79.74,80.05,70.2,3671500
2017-05-25,80.49,80.99,79.98,80.79,70.85,3226100
2017-05-26,80.86,81.18,80.32,81.12,71.13,2812200
2017-05-30,81.0,82.2,81.0,81.97,71.88,3258100
2017-05-31,82.2,83.24,82.18,82.49,72.34,6503900
2017-06-01,82.61,82.86,81.22,81.49,71.46,4320100
2017-06-02,81.96,81.97,80.86,81.63,71.58,4725900
2017-06-05,81.66,82.38,81.66,81.89,71.81,2589900
2017-06-06,81.65,82.88,81.51,82.22,72.1,3279300
2017-06-07,82.8,83.43,82.29,82.89,72.69,3763000
2017-06-08,83.2,84.36,82.62,84.34,73.96,4410200
2017-06-09,84.23,84.65,79.94,80.9,70.94,6815700
2017-06-12,79.82,81.32,79.67,81.05,71.07,6746200
2017-06-13,81.41,81.8,80.6,80.99,71.02,4324800
2017-06-14,81.26,81.49,79.44,80.16,70.29,3944200
2017-06-15,79.35,80.4,79.22,80.08,70.22,3061900
2017-06-16,79.85,80.23,79.02,79.7,69.89,6246800
2017-06-19,80.37,81.45,80.28,81.42,71.4,3569100
2017-06-20,81.16,81.23,79.54,79.57,69.78,3831300
2017-06-21,79.7,79.92,79.23,79.67,69.86,4318600
2017-06-22,79.95,80.05,78.95,79.05,69.32,3327400
2017-06-23,79.06,80.02,78.64,79.58,69.78,4052600
2017-06-26,80.04,80.09,78.24,78.31,68.67,4913100
2017-06-27,78.0,78.27,76.94,76.95,67.48,5797000
2017-06-28,77.61,78.21,76.95,78.06,68.45,6362100
2017-06-29,77.5,77.93,75.92,76.9,67.43,6644600
2017-06-30,77.69,77.69,76.61,76.93,67.46,4696100
2017-07-03,77.45,77.64,76.4,76.41,67.0,3494200
2017-07-05,76.63,77.51,76.24,76.91,67.44,6680800
2017-07-06,76.19,77.69,76.19,76.86,67.4,5047000
2017-07-07,77.31,78.66,77.31,78.48,68.82,5342900
2017-07-10,78.43,79.09,77.93,78.78,69.08,3611500
2017-07-11,78.78,79.15,78.28,79.04,69.31,2729200
2017-07-12,79.46,80.54,79.46,80.52,70.61,3891700
2017-07-13,80.41,80.98,80.27,80.54,70.63,3372800
2017-07-14,80.95,82.11,80.85,82.0,71.91,3654700
2017-07-17,81.82,82.0,81.48,81.66,71.61,2972700
2017-07-18,81.5,82.21,81.15,82.16,72.05,2773500
2017-07-19,82.49,82.7,81.86,82.16,72.05,3133500
2017-07-20,82.2,82.81,81.86,82.69,72.51,3766700
