Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,47.18,47.71,47.18,47.47,47.1,663200
2017-05-25,47.58,48.35,47.52,48.17,47.8,1049200
2017-05-26,48.07,48.5,47.95,48.16,47.79,758000
2017-05-30,48.06,48.34,47.83,47.99,47.62,1628000
2017-05-31,48.14,48.15,47.46,47.8,47.43,1387500
2017-06-01,47.88,48.25,47.43,47.72,47.35,1215400
2017-06-02,47.74,48.0,47.67,47.75,47.38,1076300
2017-06-05,47.66,47.9,46.94,47.04,46.67,1051400
2017-06-06,46.72,47.36,46.58,46.96,46.6,970100
2017-06-07,47.13,47.15,46.81,46.84,46.5,1166900
2017-06-08,46.84,47.08,46.54,46.99,46.65,1422800
2017-06-09,47.04,47.35,46.96,47.29,46.94,1227800
2017-06-12,47.31,47.44,46.9,47.24,46.89,997300
2017-06-13,47.3,47.77,47.15,47.68,47.33,867600
2017-06-14,47.53,47.75,47.22,47.4,47.05,627700
2017-06-15,47.13,47.38,46.87,47.29,46.94,978700
2017-06-16,47.25,47.66,47.08,47.44,47.09,2142200
2017-06-19,47.64,48.35,47.4,48.1,47.75,1262100
2017-06-20,47.97,48.05,46.86,46.88,46.54,982000
2017-06-21,47.0,47.07,46.07,46.19,45.85,1609900
2017-06-22,46.19,46.5,45.35,45.37,45.04,1666700
2017-06-23,45.37,46.11,45.0,45.78,45.44,5240600
2017-06-26,45.89,46.13,45.54,45.57,45.24,1460100
2017-06-27,45.59,46.6,45.51,46.45,46.11,2597300
2017-06-28,46.74,47.32,46.63,46.98,46.64,899000
2017-06-29,47.08,47.5,46.23,46.64,46.3,1161600
2017-06-30,46.91,47.4,46.65,47.1,46.75,1169900
2017-07-03,47.39,48.0,47.0,47.73,47.38,454300
2017-07-05,47.71,48.14,47.55,48.03,47.68,1317600
2017-07-06,47.97,48.1,47.41,47.43,47.08,1376000
2017-07-07,47.58,48.35,47.53,48.06,47.71,1168000
2017-07-10,48.08,48.78,47.86,48.52,48.16,930500
2017-07-11,48.52,48.86,48.1,48.73,48.37,1187600
2017-07-12,49.0,49.26,48.68,48.81,48.45,1080500
2017-07-13,48.96,49.27,48.83,49.19,48.83,932100
2017-07-14,49.36,49.77,49.3,49.64,49.28,967000
2017-07-17,49.54,49.86,49.35,49.52,49.16,912100
2017-07-18,49.41,49.77,49.19,49.54,49.18,1872500
2017-07-19,50.1,50.15,48.48,48.67,48.31,3113300
2017-07-20,48.75,49.77,48.58,48.63,48.27,2187500
2017-07-21,48.0,48.7,47.84,48.49,48.13,2538200
2017-07-24,48.45,48.89,48.2,48.79,48.43,1464000
2017-07-25,49.22,49.54,48.64,49.29,48.93,1499200
2017-07-26,49.43,49.72,48.71,49.11,48.75,1125100
2017-07-27,49.1,49.1,48.19,48.5,48.14,978100
2017-07-28,48.49,49.33,48.18,49.25,48.89,953300
2017-07-31,49.25,49.33,48.97,49.13,48.77,1077100
2017-08-01,49.29,49.49,48.78,49.39,49.03,1086300
2017-08-02,49.36,49.74,49.11,49.36,49.0,1174600
2017-08-03,49.27,49.41,48.92,49.04,48.68,1011700
2017-08-04,49.19,49.34,49.03,49.31,48.95,808500
2017-08-07,49.34,49.44,48.76,49.4,49.04,858000
2017-08-08,49.3,49.49,48.91,49.06,48.7,1047300
2017-08-09,49.07,49.25,48.51,49.13,48.77,1275800
2017-08-10,48.95,49.06,48.23,48.24,47.89,1172600
2017-08-11,48.18,48.74,47.75,48.48,48.12,966000
2017-08-14,48.86,49.15,48.51,48.95,48.59,637700
2017-08-15,48.98,49.15,48.83,49.09,48.73,697300
2017-08-16,49.17,49.59,49.0,49.13,48.77,1050900
2017-08-17,48.99,49.06,48.1,48.12,47.77,910400
2017-08-18,48.04,48.09,47.55,47.69,47.34,1037000
2017-08-21,47.76,47.76,47.24,47.53,47.18,1021100
2017-08-22,47.7,48.22,47.5,48.06,47.71,1211800
2017-08-23,47.89,48.46,47.8,47.99,47.64,1143900
2017-08-24,48.07,48.18,47.72,47.94,47.59,918500
2017-08-25,48.2,48.62,47.95,48.43,48.07,1244100
2017-08-28,48.54,48.69,48.03,48.09,47.74,730400
2017-08-29,47.87,48.29,47.79,48.16,47.81,1339200
2017-08-30,48.23,49.05,48.16,48.97,48.61,896800
2017-08-31,49.12,49.35,48.92,49.09,48.73,1154000
2017-09-01,49.3,49.66,49.23,49.23,48.87,792400
2017-09-05,49.14,49.5,48.52,48.7,48.34,1582600
2017-09-06,49.0,49.22,48.62,48.79,48.43,1211400
2017-09-07,48.82,48.83,48.45,48.71,48.35,749400
2017-09-08,48.6,49.25,48.51,49.24,48.88,740000
2017-09-11,49.99,51.19,49.65,51.19,50.81,2883700
2017-09-12,51.23,52.43,51.2,52.41,52.03,2788900
2017-09-13,52.31,52.89,52.23,52.35,51.97,1727200
2017-09-14,52.14,52.42,51.56,51.76,51.4,1471400
2017-09-15,51.65,51.95,51.12,51.61,51.25,2331700
2017-09-18,51.78,52.49,51.74,52.46,52.1,1365600
2017-09-19,52.5,52.87,52.28,52.74,52.37,1261400
2017-09-20,52.77,53.58,52.77,53.12,52.75,1407600
2017-09-21,53.14,53.34,52.91,53.06,52.69,971900
2017-09-22,53.04,53.21,52.68,53.09,52.72,1065200
2017-09-25,53.1,53.24,52.49,53.07,52.7,631200
2017-09-26,53.12,53.39,52.93,53.13,52.76,1078900
2017-09-27,53.43,54.07,53.16,53.96,53.58,1597900
2017-09-28,53.72,54.05,53.0,53.58,53.21,984400
2017-09-29,53.64,53.9,53.27,53.88,53.51,723000
2017-10-02,54.01,54.61,53.82,54.57,54.19,1237200
2017-10-03,54.63,54.69,54.27,54.5,54.12,1348500
2017-10-04,54.48,55.01,54.22,54.99,54.61,1585900
2017-10-05,55.1,55.76,55.05,55.65,55.26,1369100
2017-10-06,55.49,55.79,55.33,55.49,55.1,855900
2017-10-09,55.64,55.8,55.14,55.33,54.95,637100
2017-10-10,55.49,55.49,54.26,54.4,54.02,1424200
2017-10-11,54.46,54.55,53.73,53.92,53.54,2701300
2017-10-12,53.92,54.11,53.42,53.55,53.18,2994600
2017-10-13,53.61,53.78,53.24,53.26,52.89,3174100
2017-10-16,53.34,53.61,53.07,53.34,52.97,1123500
2017-10-17,53.19,53.45,52.81,53.07,52.7,1520200
2017-10-18,53.23,53.68,52.91,53.57,53.2,3233400
2017-10-19,52.33,53.13,51.07,53.1,52.73,4174300
2017-10-20,53.33,54.03,52.8,53.74,53.37,3015200
2017-10-23,53.76,54.13,53.6,53.7,53.33,1750100
2017-10-24,53.7,54.64,53.7,54.42,54.04,1740400
2017-10-25,54.29,54.57,53.52,53.71,53.34,1372400
2017-10-26,53.99,54.32,53.19,53.76,53.39,1187900
2017-10-27,53.57,53.9,52.84,53.03,52.66,1694000
2017-10-30,52.8,52.94,52.43,52.6,52.23,1348800
2017-10-31,52.66,52.93,52.49,52.74,52.37,1398200
2017-11-01,53.01,53.55,52.96,53.4,53.03,1508600
2017-11-02,53.29,54.53,52.93,54.28,53.9,1311800
2017-11-03,54.17,54.56,53.81,54.55,54.17,1217300
2017-11-06,54.55,54.69,54.2,54.43,54.05,837200
2017-11-07,54.45,54.8,54.07,54.28,53.9,781900
2017-11-08,54.28,54.95,54.08,54.85,54.47,1082700
2017-11-09,55.03,55.24,54.02,54.4,54.02,922300
2017-11-10,54.21,54.75,54.01,54.27,53.89,1104300
2017-11-13,54.03,54.19,53.58,53.7,53.33,1875100
2017-11-14,53.53,53.83,53.34,53.57,53.2,875900
2017-11-15,53.0,53.23,52.33,52.47,52.1,1366200
2017-11-16,52.64,53.2,52.5,52.9,52.53,1631300
2017-11-17,52.74,53.53,52.61,52.97,52.6,1467300
2017-11-20,53.19,53.57,52.85,53.48,53.11,1503500
2017-11-21,53.78,54.01,53.6,53.69,53.32,1217200
2017-11-22,53.71,53.85,53.41,53.53,53.16,953800
2017-11-24,53.67,53.8,53.28,53.3,52.93,523300
2017-11-27,53.35,53.78,53.23,53.48,53.11,1081200
2017-11-28,53.74,54.39,53.59,54.32,53.94,1527600
2017-11-29,54.41,54.97,54.37,54.84,54.46,904100
2017-11-30,55.04,55.83,54.52,55.71,55.32,1656100
2017-12-01,55.71,55.8,53.38,54.89,54.51,1451400
2017-12-04,55.64,56.47,55.18,55.18,54.8,1975500
2017-12-05,55.48,55.48,53.98,54.01,53.63,1342900
2017-12-06,53.98,54.49,53.91,53.92,53.54,1281600
2017-12-07,53.83,55.02,53.81,54.79,54.41,1088800
2017-12-08,55.06,55.2,54.72,54.84,54.46,1088000
2017-12-11,54.91,55.18,54.52,54.63,54.25,1016900
2017-12-12,54.68,55.05,54.56,54.57,54.19,842100
2017-12-13,54.54,55.17,54.36,54.62,54.24,1132200
2017-12-14,54.62,54.91,54.25,54.38,54.02,823900
2017-12-15,54.76,55.6,54.63,55.22,54.86,2583300
2017-12-18,55.64,56.26,55.29,56.19,55.82,1143300
2017-12-19,56.45,56.58,56.05,56.35,55.98,1271700
2017-12-20,56.6,57.32,56.56,57.0,56.62,1731800
2017-12-21,57.32,57.71,56.91,57.18,56.8,2160800
2017-12-22,57.06,57.24,56.71,56.76,56.39,947600
2017-12-26,56.82,57.17,56.78,56.88,56.5,473200
2017-12-27,57.05,57.17,56.72,56.97,56.59,852100
2017-12-28,57.0,57.03,56.83,57.0,56.62,455600
2017-12-29,57.18,57.18,56.58,56.59,56.22,603300
2018-01-02,56.9,57.32,56.57,57.3,56.92,1186800
2018-01-03,57.03,57.8,57.0,57.63,57.25,1131100
2018-01-04,57.8,57.9,57.3,57.58,57.2,1189500
2018-01-05,57.95,58.51,57.4,58.5,58.11,2244100
2018-01-08,58.64,58.71,57.98,58.35,57.97,1237500
2018-01-09,58.43,58.7,58.26,58.45,58.06,935000
2018-01-10,58.4,58.61,58.18,58.4,58.01,570900
2018-01-11,58.51,59.12,58.5,59.09,58.7,1047000
2018-01-12,59.39,60.19,59.27,60.15,59.75,1213300
2018-01-16,60.46,60.54,58.36,58.78,58.39,1584300
2018-01-17,59.04,59.45,58.65,59.17,58.78,988200
2018-01-18,59.26,59.39,58.77,58.81,58.42,937500
2018-01-19,59.18,59.18,58.62,58.9,58.51,1204100
2018-01-22,58.93,59.12,58.44,59.09,58.7,1116600
2018-01-23,59.06,59.29,58.63,59.1,58.71,877500
2018-01-24,59.2,60.37,59.17,59.71,59.32,1751200
2018-01-25,59.98,60.69,59.59,60.53,60.13,1386000
2018-01-26,60.71,60.95,60.06,60.86,60.46,1255400
2018-01-29,60.9,62.19,60.87,61.22,60.82,1695700
2018-01-30,60.89,61.07,60.12,60.18,59.78,1630800
2018-01-31,58.3,60.34,57.87,58.67,58.28,2675200
2018-02-01,58.7,60.35,58.61,59.84,59.45,2262100
2018-02-02,59.49,60.14,58.94,59.06,58.67,1747200
2018-02-05,58.2,59.85,56.15,56.66,56.29,2760200
2018-02-06,55.63,57.46,54.95,57.1,56.72,2487200
2018-02-07,57.01,58.83,56.95,57.91,57.53,1857400
2018-02-08,58.0,58.0,55.49,55.54,55.17,1480800
2018-02-09,56.2,56.87,54.36,56.31,55.94,2062800
2018-02-12,56.77,58.12,56.41,57.55,57.17,1801300
2018-02-13,57.28,58.23,57.1,57.55,57.17,1794200
2018-02-14,57.14,58.9,56.91,58.8,58.41,2167300
2018-02-15,59.08,59.86,58.9,59.68,59.29,1855200
2018-02-16,59.57,60.66,59.39,60.33,59.93,1650100
2018-02-20,59.9,60.88,59.6,60.06,59.66,1514500
2018-02-21,59.97,60.48,59.42,59.52,59.13,2424000
2018-02-22,59.83,60.42,59.41,59.52,59.13,1340500
2018-02-23,59.58,59.91,58.96,59.28,58.89,1846100
2018-02-26,59.84,61.16,59.57,61.03,60.63,1378000
2018-02-27,60.96,61.47,60.23,60.25,59.85,1330300
