Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,18.04,18.18,17.98,18.11,18.11,2311145
2017-05-25,18.2,18.51,17.95,18.01,18.01,2372574
2017-05-26,18.05,18.22,17.86,18.07,18.07,1572225
2017-05-30,18.1,18.37,17.91,18.01,18.01,2484138
2017-05-31,18.02,18.03,17.47,17.83,17.83,3680752
2017-06-01,17.9,18.48,17.79,18.39,18.39,3322805
2017-06-02,18.55,18.93,18.47,18.72,18.72,3450548
2017-06-05,18.71,19.04,18.44,18.95,18.95,2386667
2017-06-06,18.87,19.06,18.54,18.97,18.97,2713091
2017-06-07,19.02,19.55,19.0,19.22,19.22,4888619
2017-06-08,19.31,19.94,19.28,19.6,19.6,3489996
2017-06-09,19.64,20.3,19.6,20.21,20.21,3640805
2017-06-12,20.18,21.35,20.16,21.2,21.2,5922895
2017-06-13,21.46,21.81,20.87,21.25,21.25,6620420
2017-06-14,21.25,21.25,20.74,21.09,21.09,4181360
2017-06-15,20.49,20.76,20.15,20.33,20.33,3978883
2017-06-16,20.27,20.29,19.24,19.68,19.68,4406657
2017-06-19,19.69,19.83,19.43,19.67,19.67,2350943
2017-06-20,19.66,19.67,19.0,19.01,19.01,3297307
2017-06-21,19.06,19.09,18.52,18.75,18.75,4383982
2017-06-22,18.8,19.78,18.69,19.24,19.24,2745463
2017-06-23,19.24,19.68,19.02,19.65,19.65,3008146
2017-06-26,19.65,20.08,19.59,19.92,19.92,2193109
2017-06-27,19.97,20.26,19.74,19.9,19.9,2378884
2017-06-28,20.01,20.48,19.96,20.0,20.0,2460930
2017-06-29,20.11,20.4,19.65,19.8,19.8,2721067
2017-06-30,20.03,20.33,19.89,20.16,20.16,2481299
2017-07-03,20.24,20.6,20.2,20.52,20.52,2086423
2017-07-05,20.5,20.53,20.22,20.4,20.4,1931975
2017-07-06,20.22,20.25,19.02,19.1,19.1,3785134
2017-07-07,19.1,19.41,18.88,19.22,19.22,2165292
2017-07-10,19.2,19.23,18.71,19.13,19.13,2320078
2017-07-11,19.07,19.07,18.54,18.92,18.92,2684819
2017-07-12,19.03,19.18,18.55,18.58,18.58,2674134
2017-07-13,18.64,18.96,18.6,18.63,18.63,2203052
2017-07-14,18.65,19.05,18.63,18.93,18.93,2970504
2017-07-17,19.0,19.2,18.72,18.82,18.82,3057294
2017-07-18,18.75,18.99,18.41,18.68,18.68,3522868
2017-07-19,18.66,19.01,18.66,18.91,18.91,1795799
2017-07-20,19.0,19.39,18.99,19.05,19.05,1883694
2017-07-21,18.98,19.2,18.58,18.84,18.84,3767734
2017-07-24,18.6,18.76,18.23,18.26,18.26,8229995
2017-07-25,18.07,18.4,18.05,18.12,18.12,4282915
2017-07-26,18.17,18.26,17.46,17.55,17.55,5816471
2017-07-27,17.62,17.7,17.17,17.37,17.37,5227021
2017-07-28,17.36,17.47,17.21,17.36,17.36,2997104
2017-07-31,17.38,18.5,17.38,18.11,18.11,6834743
2017-08-01,17.01,17.19,16.15,16.23,16.23,23217686
2017-08-02,16.19,16.48,16.02,16.47,16.47,6116906
2017-08-03,16.47,16.64,16.26,16.34,16.34,5188554
2017-08-04,16.46,16.75,16.43,16.61,16.61,4049052
2017-08-07,16.6,16.7,16.43,16.63,16.63,2948004
2017-08-08,16.71,17.29,16.71,17.21,17.21,4376508
2017-08-09,17.02,17.42,17.02,17.17,17.17,2379727
2017-08-10,16.96,17.0,16.65,16.82,16.82,3543586
2017-08-11,16.71,17.0,16.69,16.8,16.8,1951039
2017-08-14,16.86,17.13,16.84,17.11,17.11,2569540
2017-08-15,16.7,16.85,16.35,16.66,16.66,6951169
2017-08-16,16.72,16.9,16.66,16.68,16.68,2562487
2017-08-17,16.6,16.7,16.28,16.28,16.28,3775028
2017-08-18,16.03,16.1,15.54,15.64,15.64,5382048
2017-08-21,15.6,15.61,15.1,15.15,15.15,5896412
2017-08-22,15.2,15.48,15.12,15.42,15.42,2868456
2017-08-23,15.34,15.64,15.34,15.55,15.55,1857176
2017-08-24,15.66,15.93,15.56,15.73,15.73,2352759
2017-08-25,15.83,15.96,15.74,15.94,15.94,2344912
2017-08-28,15.9,15.94,15.71,15.78,15.78,2056065
2017-08-29,15.5,15.6,15.05,15.34,15.34,4402129
2017-08-30,15.35,15.45,15.15,15.18,15.18,3783934
2017-08-31,15.21,15.32,15.09,15.1,15.1,3602210
2017-09-01,15.23,15.51,14.98,15.39,15.39,0
2017-09-05,15.26,15.81,15.21,15.62,15.62,2707232
2017-09-06,15.68,15.96,15.68,15.8,15.8,2413618
2017-09-07,15.86,16.02,15.83,15.98,15.98,2819302
2017-09-08,15.98,16.3,15.91,16.12,16.12,2234235
2017-09-11,16.27,16.49,16.15,16.34,16.34,2825140
2017-09-12,16.19,16.26,15.81,16.25,16.25,3149171
2017-09-13,16.29,16.89,16.14,16.87,16.87,3903776
2017-09-14,16.85,16.88,16.29,16.52,16.52,3727761
2017-09-15,16.48,16.55,16.33,16.46,16.46,3216932
2017-09-18,16.48,16.58,16.06,16.14,16.14,2505788
2017-09-19,15.87,15.93,15.58,15.7,15.7,4988164
2017-09-20,15.7,15.7,15.1,15.24,15.24,4557487
2017-09-21,15.27,15.27,15.08,15.13,15.13,2583645
2017-09-22,15.06,15.28,15.03,15.04,15.04,2378142
2017-09-25,15.17,15.65,15.17,15.39,15.39,3478162
2017-09-26,15.45,15.52,15.1,15.14,15.14,3561380
2017-09-27,15.12,15.14,14.8,15.06,15.06,5093464
2017-09-28,15.03,15.15,14.95,15.07,15.07,2509797
2017-09-29,15.09,15.17,14.96,15.02,15.02,4255817
2017-10-02,15.07,15.09,14.83,15.08,15.08,3161560
2017-10-03,15.1,15.34,15.03,15.26,15.26,2527489
2017-10-04,15.25,15.38,15.02,15.03,15.03,2798281
2017-10-05,15.05,15.19,14.84,15.03,15.03,3146738
2017-10-06,15.0,15.6,15.0,15.46,15.46,4305124
2017-10-09,15.45,15.48,15.07,15.3,15.3,2691869
2017-10-10,15.38,15.69,15.31,15.51,15.51,2340288
2017-10-11,15.45,15.45,15.1,15.15,15.15,2485328
2017-10-12,15.05,15.26,14.88,15.22,15.22,2797286
2017-10-13,15.22,15.35,14.85,14.95,14.95,3972222
2017-10-16,14.85,15.11,14.85,14.98,14.98,2416536
2017-10-17,14.97,15.18,14.85,15.11,15.11,2169173
2017-10-18,15.13,15.21,14.94,14.98,14.98,2482887
2017-10-19,14.92,15.15,14.9,15.02,15.02,2141529
2017-10-20,15.12,16.02,15.11,15.91,15.91,6757945
2017-10-23,15.81,15.94,15.19,15.22,15.22,5164705
2017-10-24,15.27,15.27,14.77,14.83,14.83,5480882
2017-10-25,14.79,14.84,14.29,14.65,14.65,5815250
2017-10-26,14.6,14.82,14.42,14.65,14.65,5011956
2017-10-27,14.61,14.68,14.3,14.4,14.4,5450573
2017-10-30,14.17,14.87,14.11,14.74,14.74,8795611
2017-10-31,13.02,13.36,11.4,11.53,11.53,36954006
2017-11-01,11.46,11.82,10.91,11.29,11.29,21617457
2017-11-02,11.23,11.42,10.42,10.84,10.84,18830932
2017-11-03,10.93,10.95,10.54,10.59,10.59,8896391
2017-11-06,10.5,11.03,10.36,10.97,10.97,8861715
2017-11-07,11.1,11.22,10.67,10.74,10.74,7914227
2017-11-08,10.73,10.87,10.52,10.83,10.83,5559942
2017-11-09,10.86,11.24,10.73,10.99,10.99,8036493
2017-11-10,11.01,11.4,10.95,11.37,11.37,7664588
2017-11-13,11.35,11.52,10.91,10.95,10.95,7020187
2017-11-14,10.95,11.06,10.74,10.92,10.92,3580082
2017-11-15,10.8,11.34,10.7,11.11,11.11,4807233
2017-11-16,11.11,11.3,10.89,11.28,11.28,3843718
2017-11-17,11.5,11.88,11.38,11.73,11.73,7986386
2017-11-20,11.75,12.08,11.72,12.07,12.07,6060219
2017-11-21,12.1,12.17,11.31,11.36,11.36,10578514
2017-11-22,11.34,11.77,11.24,11.67,11.67,3864491
2017-11-24,11.71,11.75,11.53,11.59,11.59,2187890
2017-11-27,11.62,11.72,11.27,11.35,11.35,3453577
2017-11-28,11.35,11.56,11.25,11.51,11.51,2703977
2017-11-29,11.57,12.25,11.56,12.18,12.18,5618725
2017-11-30,12.18,12.42,11.84,11.93,11.93,4329924
2017-12-01,11.9,11.9,11.53,11.73,11.73,4208102
2017-12-04,11.85,12.09,11.84,11.98,11.98,3458177
2017-12-05,12.02,12.08,11.66,11.72,11.72,3007107
2017-12-06,11.65,11.71,11.37,11.55,11.55,3520601
2017-12-07,11.57,12.0,11.56,11.93,11.93,3205451
2017-12-08,11.95,12.29,11.78,12.19,12.19,3885305
2017-12-11,12.2,12.23,11.93,12.18,12.18,3250706
2017-12-12,12.18,12.42,12.08,12.38,12.38,3510211
2017-12-13,12.44,12.48,12.2,12.36,12.36,2793215
2017-12-14,12.38,12.55,12.21,12.45,12.45,2654281
2017-12-15,12.83,13.93,12.8,13.62,13.62,18509445
2017-12-18,13.91,14.33,13.41,14.24,14.24,10300791
2017-12-19,14.3,14.36,14.0,14.1,14.1,4616945
2017-12-20,14.04,14.14,13.59,13.72,13.72,5351996
2017-12-21,13.77,13.97,13.59,13.95,13.95,6676904
2017-12-22,13.81,13.92,13.47,13.8,13.8,6300618
2017-12-26,13.73,14.1,13.66,14.07,14.07,3032604
2017-12-27,14.1,14.56,14.05,14.23,14.23,5030027
2017-12-28,14.22,14.27,14.0,14.14,14.14,4597333
2017-12-29,14.07,14.14,13.29,13.32,13.32,6684072
2018-01-02,13.45,14.01,13.23,13.97,13.97,6264809
2018-01-03,13.97,14.47,13.97,14.4,14.4,4839585
2018-01-04,14.44,14.79,14.28,14.75,14.75,6026551
2018-01-05,14.75,15.69,14.71,14.73,14.73,9431345
2018-01-08,14.69,15.14,14.64,14.78,14.78,4838135
2018-01-09,14.16,14.62,13.97,14.1,14.1,8791364
2018-01-10,13.85,14.05,13.67,13.94,13.94,5960052
2018-01-11,13.95,14.49,13.82,14.13,14.13,6438818
2018-01-12,14.21,14.39,13.9,14.14,14.14,4573854
2018-01-16,13.74,13.88,12.3,12.48,12.48,14256780
2018-01-17,12.57,12.66,12.27,12.39,12.39,7005987
2018-01-18,12.33,12.39,12.16,12.37,12.37,6691103
2018-01-19,12.4,12.98,12.4,12.85,12.85,6101584
2018-01-22,12.85,13.28,12.67,13.28,13.28,4735057
2018-01-23,13.36,13.75,13.29,13.59,13.59,4143943
2018-01-24,13.61,13.76,13.23,13.61,13.61,3964507
2018-01-25,13.73,13.73,13.14,13.31,13.31,3314927
2018-01-26,13.3,13.42,13.15,13.27,13.27,2584562
2018-01-29,13.15,13.41,13.15,13.18,13.18,3546154
2018-01-30,13.08,13.2,12.77,12.99,12.99,3013993
2018-01-31,13.02,13.05,12.75,12.85,12.85,3172929
2018-02-01,12.67,12.91,12.51,12.7,12.7,2924631
2018-02-02,12.64,12.77,12.3,12.41,12.41,2607829
2018-02-05,12.25,12.54,11.86,11.87,11.87,3088130
2018-02-06,11.65,12.12,11.41,12.05,12.05,6084580
2018-02-07,12.08,12.53,12.05,12.15,12.15,3775156
2018-02-08,12.14,12.25,11.7,11.95,11.95,3267739
2018-02-09,12.08,12.63,11.92,12.46,12.46,5646164
2018-02-12,12.61,13.43,12.6,13.18,13.18,8042844
2018-02-13,14.55,15.65,14.49,15.29,15.29,20751087
2018-02-14,15.13,16.33,14.45,16.14,16.14,10617147
