Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,19.49,19.6,19.4,19.56,19.56,2484900
2017-05-25,19.68,20.0,19.43,19.49,19.49,2724600
2017-05-26,19.51,19.84,19.3,19.69,19.69,2618200
2017-05-30,19.67,20.02,19.52,19.56,19.56,2555700
2017-05-31,19.6,19.6,18.89,19.16,19.16,4335900
2017-06-01,19.24,19.8,19.05,19.72,19.72,3421400
2017-06-02,19.91,20.3,19.89,20.11,20.11,4234300
2017-06-05,20.06,20.39,19.72,20.28,20.28,2333400
2017-06-06,20.09,20.4,19.87,20.22,20.22,2989400
2017-06-07,20.4,20.97,20.36,20.54,20.54,4701900
2017-06-08,20.54,21.5,20.54,21.16,21.16,5827400
2017-06-09,21.29,21.91,21.16,21.88,21.88,5377000
2017-06-12,21.65,23.15,21.6,23.14,23.14,10924400
2017-06-13,23.21,23.46,22.52,22.95,22.95,8393100
2017-06-14,22.72,22.88,22.23,22.7,22.7,4667800
2017-06-15,22.17,22.2,21.55,21.71,21.71,7136600
2017-06-16,21.72,21.72,20.51,20.99,20.99,7703000
2017-06-19,21.08,21.12,20.74,21.02,21.02,3444400
2017-06-20,21.06,21.14,20.35,20.48,20.48,4352700
2017-06-21,20.47,20.47,19.95,20.31,20.31,4724100
2017-06-22,20.34,21.46,20.15,20.65,20.65,5871100
2017-06-23,20.85,21.23,20.44,21.2,21.2,4543200
2017-06-26,21.28,21.76,21.09,21.56,21.56,4737200
2017-06-27,21.58,21.86,21.38,21.77,21.77,5505400
2017-06-28,21.89,22.27,21.61,21.63,21.63,3490700
2017-06-29,21.91,22.04,21.03,21.31,21.31,5441300
2017-06-30,21.7,21.99,21.49,21.76,21.76,3531200
2017-07-03,21.94,22.37,21.92,22.28,22.28,2299200
2017-07-05,22.07,22.28,21.88,22.14,22.14,3633200
2017-07-06,22.03,22.15,20.53,20.65,20.65,7879200
2017-07-07,20.65,20.93,20.4,20.64,20.64,3323300
2017-07-10,20.6,20.64,20.15,20.6,20.6,2612000
