Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,38.35,38.49,38.12,38.39,32.64,797600
2017-05-25,38.55,38.63,38.1,38.3,32.56,816500
2017-05-26,38.36,38.6,38.28,38.33,32.59,749000
2017-05-30,38.29,38.54,38.23,38.34,32.6,896300
2017-05-31,38.42,38.67,38.41,38.61,32.83,1763000
2017-06-01,38.57,38.65,38.29,38.47,32.71,1841600
2017-06-02,38.65,39.42,38.65,39.35,33.46,1409500
2017-06-05,39.23,39.9,39.1,39.86,33.89,1325500
2017-06-06,39.85,39.89,39.4,39.42,33.52,1244100
2017-06-07,39.47,40.17,39.34,39.99,34.0,1950600
2017-06-08,39.99,40.11,39.38,39.94,33.96,967600
2017-06-09,39.93,40.29,39.71,40.22,34.2,1083500
2017-06-12,39.56,40.05,39.56,39.73,33.78,1272900
2017-06-13,39.77,39.97,39.37,39.65,33.71,1743200
2017-06-14,40.0,40.09,39.58,39.7,33.76,1083400
2017-06-15,39.62,40.27,39.57,40.0,34.01,969700
2017-06-16,40.11,40.32,40.06,40.19,34.17,1748700
2017-06-19,40.26,40.71,40.2,40.49,34.43,970000
2017-06-20,40.55,40.6,39.81,40.26,34.23,985700
2017-06-21,40.28,40.29,39.78,40.1,34.1,900300
2017-06-22,40.01,40.12,39.46,39.63,33.7,1516200
2017-06-23,39.67,39.94,39.56,39.67,33.73,1769100
2017-06-26,39.79,39.98,39.55,39.73,33.78,1289300
2017-06-27,39.56,39.73,39.09,39.21,33.34,1355100
2017-06-28,39.3,39.42,38.97,39.04,33.19,1484600
2017-06-29,38.84,39.27,38.63,39.2,33.33,1444400
2017-06-30,39.24,39.49,38.9,38.97,33.13,1337400
2017-07-03,39.11,39.35,38.82,39.3,33.42,512600
2017-07-05,39.31,39.71,39.17,39.35,33.46,1346600
2017-07-06,38.92,38.99,38.0,38.07,32.63,1508200
2017-07-07,38.13,38.38,38.02,38.17,32.71,1322900
2017-07-10,38.25,38.39,37.83,37.83,32.42,1170000
2017-07-11,37.95,38.0,37.37,37.75,32.35,906500
2017-07-12,38.09,38.32,37.92,38.0,32.57,1082600
2017-07-13,38.0,38.07,37.77,37.8,32.4,720700
2017-07-14,37.99,38.24,37.93,38.16,32.7,1251000
2017-07-17,38.14,38.62,38.12,38.55,33.04,688400
2017-07-18,38.51,38.78,38.21,38.61,33.09,1560200
2017-07-19,38.67,39.13,38.64,39.12,33.53,879400
2017-07-20,39.14,39.42,39.08,39.27,33.65,1312000
2017-07-21,39.27,39.45,39.06,39.37,33.74,1167200
2017-07-24,39.37,39.43,39.05,39.14,33.54,1562500
2017-07-25,39.3,39.3,38.64,38.68,33.15,840500
2017-07-26,38.67,39.38,38.47,39.19,33.59,828200
2017-07-27,38.4,38.86,38.0,38.68,33.15,2014600
2017-07-28,38.77,39.45,38.68,39.32,33.7,1441300
2017-07-31,39.33,39.38,38.94,39.09,33.5,1365000
2017-08-01,39.18,39.38,38.99,39.1,33.51,1134700
2017-08-02,38.96,39.19,38.81,39.03,33.45,969800
2017-08-03,38.85,39.34,38.67,38.78,33.23,1166200
2017-08-04,38.78,39.05,38.61,38.64,33.11,1162900
2017-08-07,38.65,38.85,38.51,38.73,33.19,700000
2017-08-08,38.55,38.76,38.4,38.65,33.12,1885200
2017-08-09,38.78,38.99,38.5,38.82,33.27,1154800
2017-08-10,38.78,38.93,38.66,38.8,33.25,852100
2017-08-11,38.85,38.85,38.41,38.47,32.97,721300
2017-08-14,38.64,39.06,38.55,39.01,33.43,770900
2017-08-15,38.96,39.15,38.72,39.13,33.53,1230700
2017-08-16,39.39,39.52,38.85,38.93,33.36,1278800
2017-08-17,38.94,39.32,38.82,39.23,33.62,1138700
2017-08-18,39.16,39.19,38.85,38.96,33.39,837200
2017-08-21,39.08,39.49,38.96,39.34,33.71,908400
2017-08-22,39.34,39.56,39.09,39.26,33.65,1065100
2017-08-23,39.31,39.51,39.2,39.34,33.71,1131300
2017-08-24,39.46,39.55,39.06,39.14,33.54,2408900
2017-08-25,39.23,39.34,38.95,39.04,33.46,1538200
2017-08-28,39.05,39.11,38.74,38.93,33.36,1492900
2017-08-29,38.99,39.14,38.66,38.72,33.18,1143400
2017-08-30,38.64,38.81,38.41,38.74,33.2,1474700
2017-08-31,38.82,38.97,38.7,38.82,33.27,2049600
2017-09-01,38.88,39.05,38.75,38.84,33.29,992100
2017-09-05,38.83,39.12,38.69,39.07,33.48,1585100
2017-09-06,39.14,39.31,38.98,39.06,33.47,1105000
2017-09-07,39.14,39.48,38.95,39.43,33.79,1271600
2017-09-08,39.45,39.7,39.38,39.55,33.89,2095600
2017-09-11,39.63,39.87,39.51,39.79,34.1,1335900
2017-09-12,39.75,39.75,38.95,39.19,33.59,1970000
2017-09-13,39.2,39.25,38.6,38.71,33.17,1395100
2017-09-14,38.69,38.99,38.55,38.95,33.38,1257200
2017-09-15,39.04,39.09,38.69,38.93,33.36,2298800
2017-09-18,38.94,39.04,38.69,38.92,33.35,1000800
2017-09-19,38.88,38.96,38.37,38.46,32.96,1291700
2017-09-20,38.49,38.71,38.3,38.43,32.93,1252100
2017-09-21,38.45,38.53,38.15,38.15,32.69,942500
2017-09-22,38.25,38.3,37.93,38.01,32.57,705400
2017-09-25,38.05,38.24,37.97,38.12,32.67,1242000
2017-09-26,38.12,38.25,38.06,38.08,32.63,1001200
2017-09-27,38.06,38.06,37.65,37.84,32.43,992000
2017-09-28,37.87,38.08,37.74,38.05,32.61,1047800
2017-09-29,37.95,38.04,37.73,38.03,32.59,1253700
2017-10-02,38.07,38.12,37.77,37.97,32.54,1135400
2017-10-03,37.98,38.05,37.68,37.96,32.53,1115700
2017-10-04,37.94,38.48,37.91,38.39,32.9,787800
2017-10-05,38.74,38.96,38.44,38.55,33.04,1330600
2017-10-06,38.1,38.19,37.55,38.16,32.97,993700
2017-10-09,38.12,38.45,38.09,38.36,33.14,1160100
2017-10-10,38.44,38.74,38.4,38.64,33.38,1418500
2017-10-11,38.67,38.8,38.57,38.61,33.36,1116900
2017-10-12,38.62,38.94,38.58,38.93,33.63,1047300
2017-10-13,39.11,39.17,38.9,39.0,33.69,1100400
2017-10-16,38.96,39.08,38.66,38.76,33.49,969000
2017-10-17,38.67,38.83,38.55,38.77,33.5,934900
2017-10-18,38.72,38.8,38.48,38.55,33.31,736000
2017-10-19,38.6,38.62,38.35,38.52,33.28,1128200
2017-10-20,38.52,38.57,38.21,38.42,33.19,1373300
2017-10-23,38.54,38.56,38.35,38.55,33.31,985500
2017-10-24,38.37,38.64,37.83,38.03,32.86,1574900
2017-10-25,37.95,38.3,37.93,38.21,33.01,1656400
2017-10-26,38.43,38.43,38.1,38.25,33.05,1553500
2017-10-27,38.26,38.57,38.08,38.51,33.27,1465300
2017-10-30,38.51,38.69,38.44,38.56,33.31,1930200
2017-10-31,38.46,38.8,38.17,38.79,33.51,1462300
2017-11-01,38.86,39.18,38.72,39.1,33.78,1558400
2017-11-02,39.15,39.21,37.97,38.13,32.94,2371900
2017-11-03,37.91,38.69,37.85,38.47,33.24,2348800
2017-11-06,38.52,39.16,38.52,38.89,33.6,1815100
2017-11-07,38.97,39.34,38.95,39.29,33.94,1508000
2017-11-08,39.35,40.06,39.32,40.05,34.6,2409300
2017-11-09,39.96,40.31,39.72,39.83,34.41,1882600
2017-11-10,39.61,40.14,39.61,39.74,34.33,1123700
2017-11-13,39.78,40.15,39.76,39.94,34.51,1540700
2017-11-14,39.92,40.09,39.71,39.99,34.55,1044300
2017-11-15,39.99,40.33,39.36,39.4,34.04,1260200
2017-11-16,39.37,39.66,39.28,39.51,34.13,1645700
2017-11-17,39.41,39.6,39.01,39.17,33.84,4300100
