Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,175.45,176.1,174.52,175.59,162.95,1612300
2017-05-25,176.32,178.73,175.94,178.05,165.24,3212200
2017-05-26,177.68,178.89,177.0,177.5,164.73,1583600
2017-05-30,177.54,178.08,176.24,176.59,163.88,2285700
2017-05-31,176.89,176.9,174.92,175.18,162.57,3320400
2017-06-01,175.78,179.58,175.19,179.58,166.66,2890600
2017-06-02,179.92,179.92,178.34,179.39,166.48,2610100
2017-06-05,179.53,180.32,179.16,179.37,166.46,2640600
2017-06-06,179.19,181.06,178.48,180.82,167.81,3443900
2017-06-07,182.0,183.47,179.65,183.21,170.03,3783600
2017-06-08,183.21,183.76,180.98,181.69,168.61,3079900
2017-06-09,181.84,182.4,180.86,181.46,168.4,2392200
2017-06-12,181.46,181.82,176.42,179.25,166.35,3705600
2017-06-13,179.21,181.39,179.15,181.05,168.02,2458500
2017-06-14,180.94,182.84,180.94,182.36,169.24,2039300
2017-06-15,181.75,183.5,180.09,180.38,168.09,3078700
2017-06-16,180.83,182.46,180.38,181.63,169.26,4473300
2017-06-19,182.3,183.02,180.76,183.02,170.55,3887100
2017-06-20,182.75,183.42,182.22,183.27,170.78,2742600
2017-06-21,183.49,185.11,182.71,184.92,172.32,2866300
2017-06-22,184.9,188.66,184.78,186.5,173.79,3841300
2017-06-23,186.27,186.27,184.14,185.25,172.63,3438500
2017-06-26,185.13,185.89,183.39,185.12,172.51,2327400
2017-06-27,185.72,186.8,184.22,184.6,172.02,2682800
2017-06-28,185.68,186.31,185.09,185.7,173.05,2451200
2017-06-29,185.82,186.09,184.33,185.27,172.65,2193600
2017-06-30,185.15,186.19,184.93,185.42,172.79,2392000
2017-07-03,186.29,187.53,185.74,186.65,173.93,2087000
2017-07-05,186.14,188.36,185.72,188.25,175.42,2587400
2017-07-06,188.12,188.19,186.15,186.94,174.2,1844700
2017-07-07,187.35,188.43,187.01,187.96,175.15,2252500
2017-07-10,187.33,188.0,186.15,186.95,174.21,2612000
2017-07-11,187.0,187.66,185.09,185.95,173.28,2664500
2017-07-12,186.79,187.3,186.41,186.69,173.97,3342800
2017-07-13,187.0,187.28,185.32,185.48,172.84,2379300
2017-07-14,185.81,187.13,184.77,186.9,174.17,2716700
2017-07-17,187.07,187.25,185.76,186.35,173.65,2444600
2017-07-18,186.95,187.2,183.86,186.85,174.12,4235800
2017-07-19,187.51,189.41,187.51,189.19,176.3,3401600
2017-07-20,189.41,191.92,188.92,191.5,178.45,3099600
2017-07-21,191.38,193.0,190.6,191.78,178.71,4911500
2017-07-24,191.79,192.17,190.64,190.89,177.88,2356500
2017-07-25,192.13,192.48,190.3,190.4,177.43,1960100
2017-07-26,190.02,191.53,189.38,190.75,177.75,2683500
2017-07-27,190.24,190.49,188.46,188.93,176.06,2631400
2017-07-28,189.11,191.24,187.6,191.15,178.13,1925000
2017-07-31,191.59,192.61,191.14,191.81,178.74,3767100
2017-08-01,193.4,193.4,191.62,192.23,179.13,3336800
2017-08-02,192.14,193.45,192.14,193.0,179.85,2463800
2017-08-03,193.26,194.96,193.01,194.77,181.5,2886100
2017-08-04,194.95,196.04,194.6,194.88,181.6,2892300
2017-08-07,194.81,195.41,193.9,194.78,181.51,2074800
2017-08-08,194.68,194.99,194.08,194.9,181.62,1741000
2017-08-09,194.9,195.36,194.17,194.83,181.56,2125900
2017-08-10,194.26,194.39,192.4,192.57,179.45,2698600
2017-08-11,193.91,194.54,192.66,193.02,179.87,2210700
2017-08-14,194.6,194.75,192.9,193.71,180.51,2322000
2017-08-15,194.47,195.01,193.81,194.5,181.25,1595200
2017-08-16,194.81,195.27,192.83,193.77,180.57,1881600
2017-08-17,193.75,194.24,192.66,192.7,179.57,2440900
2017-08-18,192.84,193.2,190.63,190.82,177.82,2858500
2017-08-21,190.88,192.31,190.88,192.03,178.95,1930500
2017-08-22,192.15,194.96,191.56,194.79,181.52,2021900
2017-08-23,194.5,194.59,193.72,194.24,181.01,1547000
2017-08-24,194.55,195.07,194.21,194.75,181.48,1923700
2017-08-25,195.33,195.54,194.14,194.36,181.12,1375000
2017-08-28,194.59,195.81,194.36,195.09,181.8,2009900
2017-08-29,194.83,197.04,194.33,196.73,183.33,2072200
2017-08-30,196.38,196.88,195.2,195.88,182.53,1506700
2017-08-31,196.93,199.49,196.39,198.9,185.35,2990200
2017-09-01,199.79,199.99,198.36,199.75,186.14,2241800
2017-09-05,199.2,200.44,198.71,199.31,185.73,2700800
2017-09-06,199.54,199.99,197.63,198.38,184.86,3040200
2017-09-07,197.77,199.48,197.07,198.17,185.37,2684600
2017-09-08,198.43,198.86,197.0,197.75,184.98,2206000
2017-09-11,199.25,200.42,198.78,199.58,186.69,3307900
2017-09-12,199.44,199.47,196.91,197.47,184.71,2554700
2017-09-13,197.8,200.76,197.78,198.33,185.52,2394400
2017-09-14,197.95,198.38,197.09,197.73,184.96,2378600
2017-09-15,198.52,199.71,197.2,198.18,185.38,4198700
2017-09-18,198.17,198.82,197.51,198.19,185.39,1915200
2017-09-19,198.44,198.6,192.39,194.65,182.08,3819000
2017-09-20,195.02,195.84,194.06,195.75,183.11,2788500
2017-09-21,195.63,196.13,194.9,195.21,182.6,1895000
2017-09-22,195.11,195.87,188.25,193.03,180.56,5660200
2017-09-25,193.27,196.31,190.92,191.75,179.36,3105900
2017-09-26,192.31,194.36,192.04,192.7,180.25,2775400
2017-09-27,193.2,195.62,191.74,194.49,181.93,3267200
2017-09-28,194.25,196.55,193.51,196.1,183.43,2088400
2017-09-29,195.82,196.09,194.48,195.85,183.2,2646300
2017-10-02,196.59,197.91,196.33,197.44,184.69,2893600
2017-10-03,197.5,199.44,197.26,198.63,185.8,2533800
2017-10-04,199.03,200.73,198.43,200.48,187.53,2286400
2017-10-05,199.93,199.93,196.56,197.9,185.12,4069000
2017-10-06,197.9,199.99,197.51,198.06,185.27,3361900
2017-10-09,198.01,198.32,195.78,196.3,183.62,3365400
2017-10-10,196.26,196.43,193.67,194.68,182.1,2499100
2017-10-11,194.63,196.07,193.59,195.26,182.65,2935600
2017-10-12,195.01,195.36,192.73,192.92,180.46,2954700
2017-10-13,189.59,192.71,186.0,192.52,180.08,5435000
2017-10-16,192.48,193.32,191.36,193.2,180.72,2927400
2017-10-17,196.8,206.62,196.37,203.89,190.72,8949700
2017-10-18,203.8,207.8,203.68,205.23,191.97,4796300
2017-10-19,205.47,205.75,202.7,203.25,190.12,3471800
2017-10-20,204.26,208.21,203.69,207.49,194.09,5138800
2017-10-23,207.58,208.45,205.8,207.01,193.64,2261400
2017-10-24,206.38,208.23,205.88,208.15,194.7,3459900
2017-10-25,208.32,209.14,207.07,207.56,194.15,2908300
2017-10-26,207.92,211.7,207.58,209.15,195.64,4346000
