Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,111.21,113.35,110.27,110.81,110.81,1457300
2017-05-25,110.86,113.93,110.26,111.4,111.4,1684900
2017-05-26,111.0,111.86,109.95,111.17,111.17,787000
2017-05-30,110.73,112.07,109.97,110.65,110.65,1122100
2017-05-31,110.35,111.07,106.32,108.73,108.73,2129400
2017-06-01,109.58,112.36,109.0,109.97,109.97,1759300
2017-06-02,109.66,109.71,108.16,108.49,108.49,1582700
2017-06-05,108.4,108.4,104.24,105.74,105.74,2856400
2017-06-06,105.05,106.59,103.48,106.32,106.32,1993800
2017-06-07,106.67,106.81,104.58,105.26,105.26,1496200
2017-06-08,105.26,108.08,104.87,106.54,106.54,1242900
2017-06-09,106.84,110.8,106.61,110.22,110.22,2118200
2017-06-12,110.67,111.82,109.92,111.82,111.82,1946400
2017-06-13,111.35,111.95,109.64,111.66,111.66,1614900
2017-06-14,111.24,111.24,104.07,104.81,104.81,3048800
2017-06-15,103.76,105.67,102.86,103.49,103.49,2141300
2017-06-16,103.66,105.22,102.73,105.2,105.2,1882200
2017-06-19,105.64,107.45,105.38,106.95,106.95,1018200
2017-06-20,106.22,106.22,102.42,103.91,103.91,2093100
2017-06-21,104.26,104.74,100.62,101.62,101.62,1902800
2017-06-22,102.17,104.35,101.3,103.82,103.82,1377000
2017-06-23,104.0,105.76,103.28,104.85,104.85,1580000
2017-06-26,104.96,107.18,104.96,106.11,106.11,862300
2017-06-27,106.79,108.65,105.75,105.78,105.78,1292700
2017-06-28,107.09,109.09,106.82,108.49,108.49,1264300
2017-06-29,109.71,113.66,108.79,109.7,109.7,2428400
2017-06-30,110.71,113.87,110.52,112.71,112.71,2065200
2017-07-03,113.6,115.08,112.6,113.21,113.21,747900
2017-07-05,113.76,117.55,112.76,114.27,114.27,1905800
2017-07-06,114.18,115.4,111.92,112.35,112.35,2250600
2017-07-07,112.39,113.02,111.11,112.55,112.55,1024800
2017-07-10,112.06,114.65,111.09,113.54,113.54,1114800
2017-07-11,113.83,114.08,111.92,113.69,113.69,817400
2017-07-12,114.73,117.32,114.06,114.26,114.26,1258000
2017-07-13,116.1,116.1,113.34,114.74,114.74,1844300
2017-07-14,115.07,117.65,114.33,117.21,117.21,1260500
2017-07-17,118.62,119.44,117.16,117.79,117.79,1506000
2017-07-18,117.34,117.84,116.3,117.48,117.48,1723700
2017-07-19,117.48,119.19,117.04,118.7,118.7,1781700
2017-07-20,124.0,126.26,121.39,122.54,122.54,3581600
2017-07-21,120.75,121.53,119.25,119.31,119.31,1782200
2017-07-24,119.5,120.46,117.53,118.39,118.39,1355800
2017-07-25,119.77,122.96,119.69,121.18,121.18,1749400
2017-07-26,122.17,122.17,119.76,120.17,120.17,949500
2017-07-27,120.19,121.23,118.71,120.77,120.77,1086800
2017-07-28,120.61,120.94,119.03,119.73,119.73,1109400
2017-07-31,119.92,120.25,118.42,118.96,118.96,866700
2017-08-01,119.47,119.57,115.67,116.56,116.56,1597800
2017-08-02,115.87,117.04,114.06,115.03,115.03,1307100
2017-08-03,115.48,117.08,115.21,116.31,116.31,1177200
2017-08-04,117.2,118.66,117.01,118.37,118.37,920600
2017-08-07,118.52,118.84,117.44,118.1,118.1,830500
2017-08-08,117.4,119.42,116.88,117.38,117.38,848700
2017-08-09,116.08,116.81,114.6,115.31,115.31,944900
2017-08-10,114.71,115.5,111.56,111.62,111.62,1697800
2017-08-11,111.42,112.25,110.7,111.54,111.54,982700
2017-08-14,113.0,113.67,111.99,112.2,112.2,1209900
2017-08-15,113.1,113.22,111.6,111.99,111.99,681900
2017-08-16,112.82,113.33,111.16,111.97,111.97,995900
2017-08-17,115.75,116.0,111.59,111.82,111.82,2070200
2017-08-18,112.96,113.21,110.65,111.86,111.86,1411900
2017-08-21,111.71,111.86,107.67,108.4,108.4,1366700
2017-08-22,109.0,112.56,109.0,112.44,112.44,1378700
2017-08-23,111.36,111.74,108.69,108.69,108.69,1019300
2017-08-24,109.0,109.76,107.33,107.61,107.61,973600
2017-08-25,108.05,108.39,106.52,107.26,107.26,1073000
2017-08-28,108.5,110.77,108.22,110.71,110.71,1338200
2017-08-29,109.58,115.84,109.43,114.94,114.94,2941900
2017-08-30,115.1,119.8,113.13,119.19,119.19,3207200
2017-08-31,119.59,120.71,117.54,118.06,118.06,1734300
2017-09-01,118.37,121.18,118.37,120.56,120.56,1646500
2017-09-05,120.56,121.68,117.86,119.09,119.09,1508500
2017-09-06,120.46,121.43,119.79,121.16,121.16,1439500
2017-09-07,121.5,123.16,120.33,123.09,123.09,1871400
2017-09-08,123.5,128.0,123.5,126.69,126.69,2616500
2017-09-11,125.4,126.34,123.45,125.03,125.03,2174600
2017-09-12,127.11,128.49,126.17,127.69,127.69,1418600
2017-09-13,127.5,129.63,126.11,128.82,128.82,1434700
2017-09-14,128.27,128.75,126.79,127.36,127.36,1301900
2017-09-15,127.15,128.82,126.97,128.1,128.1,1119500
2017-09-18,128.1,129.51,128.09,129.43,129.43,920000
2017-09-19,129.5,129.96,128.12,129.89,129.89,846800
2017-09-20,130.0,132.3,129.72,130.74,130.74,1041600
2017-09-21,131.21,131.21,129.9,130.12,130.12,894800
2017-09-22,129.72,132.81,129.01,132.31,132.31,998000
2017-09-25,132.72,132.98,131.22,132.21,132.21,1023900
2017-09-26,132.4,134.57,132.02,133.94,133.94,1040700
2017-09-27,134.63,137.12,134.15,135.69,135.69,1236700
2017-09-28,135.77,138.33,135.18,137.97,137.97,1039300
2017-09-29,137.96,139.98,136.96,138.74,138.74,1224400
2017-10-02,139.2,139.75,136.84,139.2,139.2,1368300
2017-10-03,139.71,142.71,138.98,142.71,142.71,1670200
2017-10-04,142.22,142.31,139.46,140.75,140.75,1654000
2017-10-05,141.54,143.15,140.81,141.98,141.98,997700
2017-10-06,141.43,143.07,141.0,142.24,142.24,865300
2017-10-09,142.66,142.88,141.09,142.49,142.49,810800
2017-10-10,143.6,144.19,140.35,141.55,141.55,1105600
2017-10-11,141.83,142.44,140.91,142.16,142.16,825600
2017-10-12,140.99,144.35,140.16,144.01,144.01,1120100
2017-10-13,144.9,145.56,143.43,144.21,144.21,884900
2017-10-16,145.89,146.67,144.45,145.79,145.79,1204000
2017-10-17,145.43,145.63,143.01,143.34,143.34,1525600
2017-10-18,144.07,144.6,142.16,144.32,144.32,1922400
2017-10-19,144.8,147.6,140.94,144.4,144.4,2955500
2017-10-20,144.81,146.69,144.03,144.4,144.4,2525000
2017-10-23,144.44,144.64,141.2,141.48,141.48,1372400
2017-10-24,142.45,145.5,142.18,143.94,143.94,1420400
2017-10-25,143.25,144.1,138.19,138.91,138.91,2508100
2017-10-26,139.75,142.23,139.3,141.24,141.24,2021000
2017-10-27,141.34,146.06,141.34,145.94,145.94,1365800
2017-10-30,145.32,146.72,143.25,143.59,143.59,1256900
2017-10-31,143.6,144.82,141.23,141.48,141.48,1329100
2017-11-01,143.34,144.59,142.6,143.67,143.67,1147300
2017-11-02,143.37,146.87,143.0,145.58,145.58,1025900
2017-11-03,145.09,146.0,144.46,144.71,144.71,708200
2017-11-06,145.26,148.52,145.12,148.4,148.4,1092300
2017-11-07,148.4,149.45,146.56,147.55,147.55,765000
2017-11-08,146.92,148.84,146.5,148.74,148.74,917600
2017-11-09,146.0,147.39,143.05,145.09,145.09,1045000
2017-11-10,144.95,146.98,144.95,146.31,146.31,743300
2017-11-13,145.19,145.72,143.58,144.61,144.61,1313900
2017-11-14,143.75,146.17,143.75,144.87,144.87,1112900
2017-11-15,143.97,144.85,141.36,143.38,143.38,1058600
2017-11-16,145.0,148.56,143.65,148.36,148.36,1648900
2017-11-17,147.75,151.15,147.43,150.09,150.09,1607300
2017-11-20,149.75,152.76,149.75,151.5,151.5,1026900
2017-11-21,152.1,155.0,152.0,153.69,153.69,1318800
2017-11-22,154.61,154.96,152.5,153.27,153.27,1053300
2017-11-24,153.61,155.45,152.16,153.16,153.16,768100
2017-11-27,152.88,154.74,152.37,153.36,153.36,1004900
2017-11-28,154.02,156.8,153.18,156.6,156.6,863000
2017-11-29,156.0,158.68,155.19,157.84,157.84,1184000
2017-11-30,158.48,161.35,158.04,159.48,159.48,1467000
2017-12-01,159.07,159.45,151.3,157.09,157.09,1735800
2017-12-04,160.22,163.92,159.73,159.75,159.75,1312800
2017-12-05,159.75,161.58,158.2,159.19,159.19,918200
2017-12-06,158.19,159.63,156.85,158.28,158.28,606400
2017-12-07,158.22,163.16,157.86,162.38,162.38,966100
2017-12-08,163.74,165.18,162.77,164.0,164.0,1094800
2017-12-11,164.53,165.65,163.12,163.82,163.82,949400
2017-12-12,164.0,165.85,163.16,163.65,163.65,832300
2017-12-13,162.99,165.7,160.37,163.81,163.81,948200
2017-12-14,163.82,165.3,160.95,161.17,161.17,990400
2017-12-15,162.8,165.6,162.34,164.29,164.29,1225900
2017-12-18,165.98,169.05,165.56,168.57,168.57,1292000
2017-12-19,169.37,170.33,165.02,166.38,166.38,1390100
2017-12-20,167.99,169.02,165.73,168.3,168.3,1419100
2017-12-21,169.69,170.74,167.65,170.47,170.47,1090300
2017-12-22,170.47,171.32,168.22,169.49,169.49,575000
2017-12-26,169.0,171.83,168.99,170.61,170.61,749700
2017-12-27,170.47,172.22,170.02,171.47,171.47,611000
2017-12-28,172.38,173.47,171.03,173.33,173.33,801600
2017-12-29,173.79,174.4,171.78,171.91,171.91,624500
2018-01-02,172.92,173.96,171.7,173.58,173.58,813300
2018-01-03,174.45,175.74,173.4,175.19,175.19,844100
2018-01-04,175.85,176.62,169.63,172.0,172.0,1331000
2018-01-05,173.0,173.32,169.5,171.38,171.38,1078600
2018-01-08,171.29,172.67,169.43,172.45,172.45,1623600
2018-01-09,172.75,173.53,170.7,172.43,172.43,981500
2018-01-10,171.73,174.93,171.5,173.2,173.2,1100500
2018-01-11,174.81,179.99,174.64,179.99,179.99,1533900
2018-01-12,180.6,182.86,179.52,180.89,180.89,882600
2018-01-16,181.95,184.0,176.68,178.97,178.97,1083800
2018-01-17,178.76,180.68,177.52,180.17,180.17,693800
2018-01-18,180.33,181.79,179.77,181.24,181.24,814400
2018-01-19,181.7,184.25,180.82,183.67,183.67,1208300
2018-01-22,184.0,187.17,181.0,187.12,187.12,995400
2018-01-23,187.5,188.73,183.88,185.87,185.87,1531500
2018-01-24,186.47,187.08,183.88,185.52,185.52,1836900
2018-01-25,186.0,189.0,176.55,181.91,181.91,3108700
2018-01-26,184.69,187.25,180.44,185.37,185.37,1963200
2018-01-29,184.93,188.31,180.21,180.47,180.47,1996900
2018-01-30,177.06,182.99,176.79,182.14,182.14,1401100
2018-01-31,185.1,185.89,179.78,181.11,181.11,1420300
2018-02-01,180.68,183.53,178.45,179.65,179.65,1431400
2018-02-02,177.58,178.21,173.04,173.3,173.3,1496700
2018-02-05,171.72,176.01,166.58,166.71,166.71,2209500
2018-02-06,162.28,172.76,161.41,171.34,171.34,1982500
2018-02-07,170.49,176.06,170.31,173.58,173.58,1839700
2018-02-08,173.83,173.92,161.86,161.99,161.99,2291400
2018-02-09,164.51,166.44,156.01,164.26,164.26,2529300
2018-02-12,166.63,168.77,163.21,166.06,166.06,1551500
2018-02-13,165.1,167.46,164.53,166.33,166.33,1359300
2018-02-14,164.02,168.29,163.34,167.04,167.04,1284800
2018-02-15,169.04,169.69,164.11,167.24,167.24,1203600
2018-02-16,166.41,170.69,166.41,168.02,168.02,1047800
2018-02-20,167.19,174.75,166.8,172.25,172.25,1356900
2018-02-21,171.86,175.61,171.6,171.9,171.9,1293400
2018-02-22,173.65,176.44,172.59,175.16,175.16,1706000
2018-02-23,176.69,179.23,175.38,179.09,179.09,1317300
2018-02-26,180.36,181.07,177.36,180.63,180.63,1123100
2018-02-27,180.5,182.16,178.31,178.42,178.42,1138300
2018-02-28,179.46,179.99,175.04,175.09,175.09,1373500
2018-03-01,174.76,175.0,170.45,173.24,173.24,1782300
2018-03-02,172.65,177.11,169.5,176.6,176.6,1659800
2018-03-05,175.3,181.12,173.76,180.71,180.71,1325900
2018-03-06,180.78,185.84,178.55,184.99,184.99,1365600
2018-03-07,182.78,184.7,177.31,181.35,181.35,1883700
2018-03-08,181.54,184.41,180.01,183.36,183.36,885900
2018-03-09,185.12,189.56,183.86,189.4,189.4,1069600
2018-03-12,189.4,189.5,185.4,186.63,186.63,1347700
2018-03-13,187.64,190.74,186.11,186.65,186.65,908200
2018-03-14,187.91,188.21,184.11,184.82,184.82,889600
2018-03-15,186.02,186.63,182.37,182.91,182.91,1012400
2018-03-16,183.0,188.0,182.62,186.29,186.29,1089200
2018-03-19,185.62,186.08,182.85,185.4,185.4,1018300
2018-03-20,185.68,187.88,184.82,185.16,185.16,1037800
2018-03-21,184.97,190.3,184.51,187.27,187.27,913800
2018-03-22,184.0,186.23,179.58,180.26,180.26,1449100
2018-03-23,181.11,181.11,174.02,174.18,174.18,1143200
2018-03-26,177.63,180.81,175.91,180.57,180.57,1430700
2018-03-27,181.48,183.75,176.0,177.15,177.15,1135700
2018-03-28,177.22,177.22,168.95,169.11,169.11,1815400
2018-03-29,170.9,174.17,168.44,172.73,172.73,1567900
2018-04-02,172.04,172.74,163.57,166.6,166.6,1649800
2018-04-03,167.28,169.82,166.32,169.5,169.5,1340000
2018-04-04,165.05,174.39,164.46,173.68,173.68,1478000
2018-04-05,175.33,178.76,174.0,177.94,177.94,1356900
2018-04-06,176.22,179.29,169.61,172.14,172.14,1178700
2018-04-09,173.97,175.44,171.66,171.94,171.94,932500
2018-04-10,175.71,178.76,173.73,177.97,177.97,1115200
2018-04-11,175.95,178.34,173.63,173.97,173.97,1026700
2018-04-12,175.0,177.64,174.39,176.32,176.32,791600
2018-04-13,178.51,178.84,172.83,172.95,172.95,1289900
2018-04-16,174.68,176.84,172.51,174.13,174.13,1663500
2018-04-17,175.89,178.19,175.4,177.54,177.54,1456200
