Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,49.83,49.89,49.41,49.76,43.78,2247298
2017-05-25,50.17,50.31,49.77,50.08,44.06,3734629
2017-05-26,50.16,50.84,49.97,50.57,44.49,2433467
2017-05-30,50.49,51.05,50.49,50.64,44.55,2574925
2017-05-31,50.72,51.02,50.48,50.66,44.56,3680467
2017-06-01,50.81,51.1,50.17,50.52,44.44,3595826
2017-06-02,50.95,51.39,50.59,51.17,45.01,2706401
2017-06-05,51.24,51.4,50.83,51.13,44.98,2350737
2017-06-06,51.05,51.2,50.38,50.58,44.5,3150848
2017-06-07,50.32,50.67,50.16,50.52,44.79,1898537
2017-06-08,50.52,50.96,50.47,50.47,44.75,1962045
2017-06-09,50.56,52.13,50.44,52.1,46.19,3322892
2017-06-12,52.13,53.42,52.12,52.62,46.65,4675986
2017-06-13,52.59,52.79,51.9,52.75,46.77,1960664
2017-06-14,52.72,53.25,52.34,53.22,47.19,2086511
2017-06-15,52.96,52.97,52.34,52.82,46.83,1947071
2017-06-16,52.71,53.08,52.15,53.04,47.03,5444237
2017-06-19,53.17,53.61,52.9,53.51,47.44,2116035
2017-06-20,53.21,53.24,51.33,51.69,45.82,3666236
2017-06-21,51.69,52.07,51.48,52.0,46.1,1710139
2017-06-22,52.07,52.92,51.88,52.56,46.6,2252821
2017-06-23,52.52,53.2,52.21,53.14,47.11,6336211
2017-06-26,53.35,53.92,53.04,53.79,47.69,1586947
2017-06-27,53.67,53.95,53.45,53.53,47.46,1444108
2017-06-28,53.79,54.12,53.67,53.7,47.61,2003675
2017-06-29,53.78,54.13,53.28,53.61,47.53,2196959
2017-06-30,53.97,54.78,53.67,54.24,48.09,3005566
2017-07-03,54.08,54.78,54.01,54.32,48.16,1755698
2017-07-05,54.34,54.34,53.56,53.98,47.86,2080033
2017-07-06,53.81,53.81,52.8,52.85,46.86,1927955
2017-07-07,52.83,53.51,52.59,53.39,47.34,2335019
2017-07-10,53.25,53.41,52.86,53.23,47.19,2361145
2017-07-11,53.1,53.12,52.29,52.47,46.52,2853806
2017-07-12,52.65,52.99,52.44,52.65,46.68,1655233
2017-07-13,52.85,53.23,52.56,52.75,46.77,2492302
2017-07-14,52.8,52.87,52.51,52.75,46.77,3216798
2017-07-17,52.61,53.53,52.57,52.92,46.92,5629556
2017-07-18,52.91,53.21,52.27,52.66,46.69,4696695
2017-07-19,52.66,53.25,52.51,53.25,47.21,2268963
2017-07-20,53.5,54.52,53.27,54.34,48.18,2756209
2017-07-21,54.33,55.35,54.33,55.23,48.96,3504919
2017-07-24,56.04,56.04,54.59,55.44,49.16,3920479
2017-07-25,55.72,57.75,55.48,57.49,50.97,4569467
2017-07-26,57.62,57.64,56.59,57.32,50.82,2423165
2017-07-27,57.5,57.61,56.81,57.26,50.77,2086830
2017-07-28,57.75,58.47,57.53,58.24,51.64,2111999
2017-07-31,58.24,58.57,58.05,58.56,51.92,2880250
2017-08-01,58.41,58.99,58.03,58.87,52.19,2249741
2017-08-02,58.79,59.35,58.54,59.09,52.39,2743252
2017-08-03,59.08,59.86,58.96,59.54,52.79,1738813
2017-08-04,59.59,60.01,59.22,59.52,52.77,1497420
2017-08-07,59.53,59.79,59.27,59.27,52.55,1773009
2017-08-08,59.82,60.23,58.9,58.95,52.27,3707761
2017-08-09,58.56,59.13,56.51,58.65,52.0,2564411
2017-08-10,57.77,58.32,57.64,57.66,51.13,2630786
2017-08-11,57.4,58.43,57.13,57.98,51.41,1602133
2017-08-14,58.51,59.82,58.35,59.79,53.01,3759055
2017-08-15,59.72,60.36,59.23,60.17,53.35,4297914
2017-08-16,60.27,60.5,59.84,60.17,53.35,2501860
2017-08-17,59.9,60.36,59.3,59.41,52.67,2385252
2017-08-18,59.1,59.2,58.31,59.11,52.41,2805910
2017-08-21,59.21,59.59,58.99,59.27,52.55,2195048
2017-08-22,59.53,59.61,59.06,59.42,52.68,1417770
2017-08-23,59.19,59.3,58.83,58.95,52.26,1752406
2017-08-24,59.68,60.05,59.16,59.27,52.55,1726281
2017-08-25,59.34,60.13,59.3,59.72,52.95,1422549
2017-08-28,59.73,59.78,59.2,59.53,52.78,1344067
2017-08-29,59.06,59.52,58.75,59.38,52.65,1087063
2017-08-30,59.24,59.35,58.74,58.89,52.21,1470764
2017-08-31,59.12,59.32,58.95,59.2,52.49,2460760
2017-09-01,59.32,59.95,59.11,59.87,53.08,1727662
2017-09-05,59.84,60.46,59.59,60.22,53.39,2069732
2017-09-06,60.36,60.74,59.02,59.67,52.9,2531277
2017-09-07,59.68,59.71,59.01,59.22,52.85,2006649
2017-09-08,58.98,59.18,58.29,58.83,52.51,1996772
2017-09-11,59.1,59.69,59.0,59.66,53.25,1483295
2017-09-12,59.61,59.9,59.26,59.42,53.03,2102123
2017-09-13,59.45,59.63,59.24,59.4,53.01,2103503
2017-09-14,59.22,59.36,58.18,58.7,52.39,3069923
2017-09-15,58.8,59.33,58.45,58.79,52.47,4304392
2017-09-18,58.83,59.13,58.25,58.53,52.24,3126634
2017-09-19,58.67,58.77,58.27,58.52,52.23,2595847
2017-09-20,58.57,58.57,58.03,58.5,52.21,1703342
2017-09-21,58.51,58.68,58.22,58.24,51.98,1274506
2017-09-22,58.29,58.63,57.97,58.57,52.27,1530342
2017-09-25,58.29,58.92,58.03,58.09,51.85,1733503
2017-09-26,58.23,59.36,58.12,59.12,52.77,2593404
2017-09-27,58.84,59.44,58.35,59.37,52.99,2179330
2017-09-28,59.13,59.83,59.01,59.79,53.37,2292008
2017-09-29,59.88,60.26,59.76,59.86,53.43,2634079
2017-10-02,59.83,59.99,59.16,59.99,53.54,2214695
2017-10-03,60.42,60.84,59.96,60.34,53.85,3125997
2017-10-04,60.48,61.17,60.37,61.12,54.55,2008879
2017-10-05,61.21,61.49,60.87,60.95,54.4,1903635
2017-10-06,60.93,61.87,60.66,61.82,55.17,2414245
2017-10-09,61.79,61.87,60.49,60.65,54.13,1546697
2017-10-10,60.76,61.5,60.71,60.74,54.22,1566450
2017-10-11,60.61,60.9,60.43,60.59,54.08,1863916
2017-10-12,60.61,60.82,60.26,60.68,54.16,2006224
2017-10-13,60.73,60.91,60.09,60.15,53.69,2447379
2017-10-16,60.28,60.5,59.97,60.35,53.86,1690810
2017-10-17,60.44,61.05,60.3,60.82,54.28,1812834
2017-10-18,60.9,61.44,60.86,61.27,54.69,2549437
2017-10-19,61.06,61.72,61.03,61.53,54.92,1877722
2017-10-20,62.08,63.06,61.89,62.5,55.79,4898369
2017-10-23,64.07,67.75,63.98,65.87,58.79,9649226
2017-10-24,66.9,67.17,65.89,67.07,59.86,3794101
2017-10-25,67.22,67.48,66.41,67.09,59.88,3047409
2017-10-26,67.09,67.33,66.24,66.38,59.25,2967865
2017-10-27,66.11,66.85,65.78,66.76,59.59,2418068
2017-10-30,66.25,66.29,65.52,65.83,58.75,2220005
2017-10-31,65.57,65.89,65.14,65.58,58.53,3001849
2017-11-01,65.6,66.29,64.95,66.05,58.96,2585014
2017-11-02,66.4,66.49,65.26,65.83,58.75,2324081
2017-11-03,65.85,66.05,65.16,65.41,58.38,2643637
2017-11-06,65.53,65.96,65.0,65.04,58.05,1869439
2017-11-07,65.0,65.08,64.36,64.67,57.72,1643339
2017-11-08,64.65,65.53,64.47,65.43,58.4,1396530
2017-11-09,65.24,65.75,65.09,65.31,58.29,1638241
2017-11-10,65.23,65.98,65.04,65.56,58.52,1729042
2017-11-13,65.59,66.15,65.44,65.6,58.55,1333129
2017-11-14,65.36,66.17,65.19,65.84,58.76,1036193
2017-11-15,65.74,66.13,65.48,65.56,58.52,1743273
2017-11-16,65.71,66.3,65.38,65.99,58.9,2940997
2017-11-17,66.43,67.09,66.43,66.68,59.51,1961195
2017-11-20,66.69,67.96,66.38,67.75,60.47,1846712
2017-11-21,67.92,68.43,67.54,68.35,61.01,2212677
2017-11-22,68.09,69.11,67.98,69.07,61.64,2978591
2017-11-24,69.21,69.74,69.19,69.58,62.1,1345129
2017-11-27,69.68,70.5,69.13,69.15,61.72,2409147
2017-11-28,69.36,70.35,69.26,69.7,62.21,2345852
2017-11-29,69.83,70.49,69.49,69.8,62.3,2138656
2017-11-30,69.85,70.07,68.65,68.7,61.32,4236849
2017-12-01,68.69,68.69,66.77,67.6,60.33,3767870
2017-12-04,68.17,68.38,67.04,67.06,59.85,4563945
2017-12-05,67.21,67.3,66.23,66.28,59.16,3408595
2017-12-06,67.62,67.92,66.38,67.5,60.24,2413820
2017-12-07,67.49,68.36,67.39,67.71,60.82,1815277
2017-12-08,67.82,69.08,67.74,69.07,62.04,2409678
2017-12-11,69.28,69.61,68.15,68.36,61.41,2847753
2017-12-12,68.4,68.67,68.15,68.3,61.35,2475947
2017-12-13,68.51,69.2,68.31,68.79,61.8,1201759
2017-12-14,69.21,69.56,68.88,69.07,62.04,2231687
2017-12-15,69.58,70.17,69.27,70.07,62.94,4251505
2017-12-18,70.49,70.86,69.6,69.81,62.71,2247723
2017-12-19,70.03,70.4,69.26,69.54,62.47,1626878
2017-12-20,69.9,70.33,69.71,70.06,62.93,2745907
2017-12-21,70.24,70.62,69.68,69.9,62.79,1743167
2017-12-22,69.82,70.02,69.16,69.56,62.48,2024172
2017-12-26,69.42,70.3,69.37,70.25,63.11,905036
2017-12-27,70.46,70.53,70.11,70.17,63.03,1120835
2017-12-28,70.2,70.2,69.89,69.95,62.84,1013360
2017-12-29,69.92,70.41,69.67,69.68,62.59,1529917
2018-01-02,70.08,70.22,69.4,70.08,62.95,1819312
2018-01-03,70.2,70.24,69.41,69.47,62.41,1776620
2018-01-04,69.78,71.08,69.58,71.05,63.83,2663071
2018-01-05,71.19,71.71,70.93,71.28,64.03,2221385
2018-01-08,71.44,74.11,71.44,72.84,65.43,3212550
2018-01-09,72.57,72.77,71.52,71.69,64.39,3154883
2018-01-10,71.57,71.92,71.22,71.68,64.39,2719145
2018-01-11,71.75,72.74,71.67,72.68,65.29,2477115
2018-01-12,72.84,73.49,72.74,73.26,65.81,2141735
2018-01-16,73.44,73.45,72.16,72.2,64.86,2427626
2018-01-17,72.7,73.7,72.51,73.58,66.09,1643551
2018-01-18,73.78,74.73,73.66,73.85,66.34,2324399
2018-01-19,74.28,75.19,74.04,75.13,67.49,2681444
2018-01-22,75.09,76.0,74.76,75.73,68.02,2279052
2018-01-23,75.56,76.27,75.16,76.15,68.4,2752173
2018-01-24,76.43,77.31,76.05,76.24,68.49,2329178
2018-01-25,76.53,76.68,75.83,76.21,68.46,2292221
2018-01-26,76.64,76.82,76.1,76.81,69.0,2044987
2018-01-29,76.64,77.85,76.64,77.73,69.82,2778192
2018-01-30,77.49,78.11,76.89,77.18,69.33,2258237
2018-01-31,77.33,77.82,76.03,76.4,68.63,3927807
2018-02-01,75.68,76.53,74.06,75.91,68.19,3243879
2018-02-02,75.87,76.61,75.09,75.23,67.57,3391922
2018-02-05,75.54,76.96,74.04,74.04,66.51,4928848
2018-02-06,72.66,75.24,71.96,74.73,67.13,4306091
2018-02-07,74.82,76.72,74.44,75.77,68.06,3811518
2018-02-08,75.64,76.42,74.13,74.15,66.61,3502157
2018-02-09,74.91,75.66,72.54,74.69,67.09,3833608
2018-02-12,75.73,76.98,75.43,75.99,68.26,4289843
2018-02-13,76.0,77.38,75.68,77.32,69.45,2395022
2018-02-14,76.88,78.85,76.53,78.8,70.79,3085216
2018-02-15,79.08,79.45,78.45,79.04,71.0,3600286
2018-02-16,68.28,74.14,68.28,70.28,63.13,10637629
2018-02-20,70.31,70.4,68.49,69.27,62.23,4571060
2018-02-21,69.55,71.44,69.44,70.15,63.02,3657528
2018-02-22,70.29,71.11,70.06,70.82,63.62,3573524
2018-02-23,71.12,71.37,69.83,71.33,64.07,2570677
2018-02-26,71.25,71.86,70.65,71.61,64.33,2158727
2018-02-27,71.93,72.32,70.53,70.53,63.35,2426351
2018-02-28,70.73,70.98,70.21,70.22,63.07,2784776
2018-03-01,70.14,70.53,68.79,69.4,62.34,2429431
2018-03-02,68.78,69.4,68.35,69.23,62.19,3277332
