Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,126.2,126.42,123.35,125.12,119.65,1491200
2017-05-25,125.74,130.1,125.53,127.75,122.16,1984400
2017-05-26,127.06,127.47,125.2,126.43,120.9,996800
2017-05-30,125.61,125.97,124.29,125.05,119.58,897400
2017-05-31,125.04,125.38,123.86,124.65,119.2,1158200
2017-06-01,125.1,127.42,124.4,126.83,121.28,1128800
2017-06-02,126.67,126.83,126.01,126.26,120.74,727000
2017-06-05,125.86,126.87,125.5,125.91,120.4,773300
2017-06-06,125.31,126.07,124.47,125.16,119.68,833100
2017-06-07,125.75,128.07,125.47,126.71,121.17,855600
2017-06-08,126.71,129.9,126.38,128.34,122.73,1214800
2017-06-09,128.75,131.69,128.4,130.33,124.63,1050400
2017-06-12,129.59,130.81,128.0,129.91,124.23,1027300
2017-06-13,130.36,132.54,130.18,132.26,126.47,769900
2017-06-14,132.0,132.11,128.8,129.21,123.56,1001900
2017-06-15,127.57,128.97,126.58,128.64,123.01,656700
2017-06-16,128.64,130.38,128.42,129.38,123.72,904900
2017-06-19,130.04,130.98,129.37,130.24,124.54,534400
2017-06-20,129.73,130.24,128.59,129.54,123.87,895900
2017-06-21,129.56,130.31,127.8,128.17,122.56,821300
2017-06-22,128.16,130.22,127.6,129.34,123.68,733800
2017-06-23,129.38,132.61,129.13,132.23,126.45,1218100
2017-06-26,133.39,134.92,132.25,133.48,127.64,1457600
2017-06-27,132.8,132.94,131.05,131.38,125.63,1148000
2017-06-28,132.28,132.66,130.11,130.2,124.5,1098200
2017-06-29,129.96,129.96,126.02,127.01,121.45,1268400
2017-06-30,127.45,128.47,125.67,126.68,121.14,1273700
2017-07-03,127.23,127.92,125.55,127.14,121.58,701500
2017-07-05,127.41,130.0,127.28,130.0,124.31,1538700
2017-07-06,129.25,130.12,128.17,129.45,123.79,1434100
2017-07-07,129.42,129.47,127.47,128.17,122.56,1064600
2017-07-10,127.6,127.6,125.61,125.92,120.41,1055100
2017-07-11,126.39,126.39,123.59,125.09,119.62,1044400
2017-07-12,126.98,126.98,125.13,126.16,120.64,951900
2017-07-13,126.0,127.28,124.61,125.33,119.85,1048700
2017-07-14,125.67,126.25,124.65,124.96,119.49,566400
2017-07-17,124.55,125.74,124.05,124.68,119.23,794600
2017-07-18,123.8,124.4,122.54,123.03,117.65,836100
2017-07-19,123.27,125.54,122.88,125.47,119.98,990100
2017-07-20,125.29,126.07,124.11,125.3,119.82,585500
2017-07-21,124.83,126.19,124.7,126.19,120.67,608900
2017-07-24,126.02,126.88,125.07,126.5,120.97,871000
2017-07-25,127.29,128.26,126.43,127.1,121.54,876100
2017-07-26,126.89,127.03,124.65,125.65,120.15,1086800
2017-07-27,125.36,125.97,123.65,124.04,118.61,1000700
2017-07-28,123.93,124.35,121.9,124.0,118.58,1667400
2017-07-31,124.39,124.54,123.01,123.12,117.73,1245000
2017-08-01,123.8,124.54,116.28,119.2,113.99,3276900
2017-08-02,120.01,123.5,114.51,123.12,117.73,4817400
2017-08-03,123.15,124.25,119.65,120.15,114.89,1941100
2017-08-04,120.33,122.69,119.69,121.84,116.51,1168200
2017-08-07,121.59,123.11,120.8,120.82,115.53,1132000
2017-08-08,120.55,120.55,118.24,118.39,113.21,1134800
2017-08-09,118.15,118.37,116.7,117.88,112.72,1244900
2017-08-10,117.5,117.63,114.67,114.71,109.69,1334700
2017-08-11,114.82,115.19,113.94,114.2,109.2,1072800
2017-08-14,114.9,115.47,113.88,115.17,110.13,1565100
2017-08-15,115.38,117.43,115.38,116.61,111.51,1274800
2017-08-16,117.15,117.56,115.41,116.09,111.01,876400
2017-08-17,115.41,116.01,114.05,114.11,109.12,766300
2017-08-18,113.92,114.55,112.12,113.97,108.98,922600
2017-08-21,113.99,113.99,111.77,112.57,107.88,1021600
2017-08-22,112.95,115.41,112.85,115.16,110.36,1227100
2017-08-23,114.06,114.87,113.31,114.63,109.86,1265500
2017-08-24,115.12,115.39,113.76,114.34,109.58,1029900
2017-08-25,114.69,114.69,111.85,113.13,108.42,1383000
2017-08-28,113.46,115.95,112.1,115.94,111.11,1655100
2017-08-29,115.44,117.13,114.86,116.5,111.65,1777800
2017-08-30,116.6,122.11,116.6,121.86,116.79,2265000
2017-08-31,122.82,123.32,119.73,121.26,116.21,2081100
2017-09-01,121.92,121.92,119.23,121.2,116.15,1253800
2017-09-05,120.2,120.91,117.66,118.14,113.22,1503200
2017-09-06,118.14,119.7,117.17,119.05,114.09,1489500
2017-09-07,119.54,120.15,118.34,119.73,114.74,1154700
2017-09-08,119.88,121.6,118.98,121.52,116.46,1071900
2017-09-11,121.0,121.39,116.89,117.0,112.13,1459600
2017-09-12,117.53,118.54,117.12,118.0,113.09,927200
2017-09-13,117.55,117.63,115.02,117.02,112.15,1063800
2017-09-14,116.34,116.51,114.29,114.54,109.77,1368000
2017-09-15,114.11,114.61,112.83,113.21,108.5,1933200
2017-09-18,113.8,116.87,113.8,115.59,110.78,1613600
2017-09-19,115.67,115.96,113.89,115.18,110.38,1122300
2017-09-20,115.72,118.21,115.34,118.2,113.28,1488300
2017-09-21,118.53,118.81,116.4,117.0,112.13,905300
2017-09-22,117.0,117.36,116.15,116.67,111.81,609100
2017-09-25,116.52,116.93,114.82,115.73,110.91,947700
2017-09-26,115.88,116.49,114.6,115.89,111.06,626100
2017-09-27,116.31,120.1,116.06,118.83,113.88,1027600
2017-09-28,118.96,120.36,118.9,119.12,114.16,1114900
2017-09-29,119.19,120.01,118.33,119.6,114.62,955700
2017-10-02,119.58,120.33,118.16,118.93,113.98,1042200
2017-10-03,119.37,119.9,117.88,119.71,114.72,996500
2017-10-04,119.67,119.67,117.8,118.59,113.65,570700
2017-10-05,118.56,120.93,118.09,120.88,115.85,1111700
2017-10-06,119.9,120.88,119.25,120.25,115.24,1220600
2017-10-09,120.35,121.18,119.43,120.19,115.18,732700
2017-10-10,120.49,120.49,118.09,119.01,114.05,886000
2017-10-11,119.11,119.35,116.84,117.28,112.4,1002900
2017-10-12,116.76,118.38,116.58,117.79,112.88,1010900
2017-10-13,118.67,118.67,116.08,116.28,111.44,939500
2017-10-16,116.64,117.45,115.01,117.33,112.44,785700
2017-10-17,116.89,117.82,116.63,117.01,112.14,613400
2017-10-18,117.52,117.6,116.89,116.94,112.07,567000
2017-10-19,116.32,120.33,116.15,120.04,115.04,1419200
2017-10-20,120.58,122.54,120.08,121.61,116.55,1107000
2017-10-23,121.6,122.0,120.19,121.08,116.04,954600
2017-10-24,121.17,123.85,121.17,123.76,118.61,1045900
2017-10-25,123.25,123.5,121.34,122.33,117.24,1439300
2017-10-26,123.0,123.94,120.91,123.01,117.89,1339700
2017-10-27,122.55,123.09,121.31,122.45,117.35,887100
2017-10-30,122.19,123.17,121.28,121.97,116.89,1348500
2017-10-31,122.5,123.01,121.68,121.75,116.68,961500
2017-11-01,122.55,122.7,120.08,121.02,115.98,1788500
2017-11-02,122.86,128.77,122.27,124.27,119.09,3874700
2017-11-03,123.8,126.46,123.09,126.43,121.16,1557900
2017-11-06,126.2,126.43,123.65,124.61,119.42,1006500
2017-11-07,124.3,125.0,121.63,122.66,117.55,1283300
2017-11-08,122.96,124.18,122.07,123.9,118.74,870300
2017-11-09,123.45,124.87,122.51,124.68,119.49,1024400
