Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,79.77,80.44,79.69,80.41,78.74,988600
2017-05-25,80.58,81.61,80.39,81.18,79.49,1024700
2017-05-26,81.2,81.52,80.52,80.55,78.87,814900
2017-05-30,80.21,81.24,80.08,81.05,79.36,765500
2017-05-31,81.26,81.44,80.38,80.89,79.21,817800
2017-06-01,81.05,81.5,80.82,81.17,79.48,985000
2017-06-02,81.42,81.89,80.9,81.86,80.16,895000
2017-06-05,81.83,82.21,81.45,81.47,79.77,904700
2017-06-06,81.21,81.46,80.55,80.67,78.99,521400
2017-06-07,81.05,81.07,80.03,80.74,79.06,629200
2017-06-08,80.58,80.89,80.07,80.38,78.71,528100
2017-06-09,80.39,80.51,79.89,80.07,78.4,521900
2017-06-12,79.86,81.54,79.86,81.5,79.8,778400
2017-06-13,81.42,82.6,81.42,82.42,80.7,962400
2017-06-14,82.57,83.02,82.44,82.97,81.24,800000
2017-06-15,82.61,83.62,82.61,83.25,81.52,989000
2017-06-16,82.9,83.42,82.28,83.14,81.41,1427400
2017-06-19,83.35,83.91,83.12,83.78,82.04,657100
2017-06-20,83.47,83.92,83.24,83.91,82.16,828100
2017-06-21,83.91,84.18,83.55,84.06,82.31,1112100
2017-06-22,84.11,84.12,83.01,83.03,81.3,951700
2017-06-23,83.09,83.09,82.14,82.36,80.64,1870900
2017-06-26,82.68,83.55,82.62,83.18,81.45,778300
2017-06-27,83.02,83.15,82.3,82.82,81.1,903400
2017-06-28,83.03,84.0,82.68,83.96,82.21,741300
2017-06-29,83.82,83.86,82.99,83.36,81.62,1062000
2017-06-30,83.91,84.68,83.54,84.37,82.61,982100
2017-07-03,84.87,84.96,84.15,84.17,82.42,507200
2017-07-05,84.22,84.54,83.92,84.29,82.53,781000
2017-07-06,83.74,83.86,83.38,83.48,81.74,830300
2017-07-07,83.48,83.86,83.38,83.65,81.91,1077700
2017-07-10,83.63,83.69,83.33,83.45,81.71,769600
2017-07-11,83.48,83.51,82.94,83.48,81.74,494600
2017-07-12,84.01,84.62,83.97,84.55,82.79,601600
2017-07-13,84.4,84.55,83.56,84.4,82.64,508500
2017-07-14,84.76,85.53,84.69,85.44,83.66,852000
2017-07-17,85.45,85.75,85.07,85.24,83.46,912500
2017-07-18,85.07,85.94,84.73,85.87,84.08,864700
2017-07-19,85.86,86.01,84.96,85.99,84.2,674500
2017-07-20,86.05,86.35,85.0,86.27,84.47,410200
2017-07-21,86.14,86.96,86.14,86.51,84.71,881500
2017-07-24,86.48,87.21,85.95,87.11,85.3,864400
2017-07-25,87.3,87.42,86.66,86.88,85.07,590300
2017-07-26,86.97,87.18,86.77,87.06,85.25,404100
2017-07-27,87.03,87.47,86.58,87.15,85.33,721700
2017-07-28,87.06,87.62,86.77,87.32,85.5,510200
2017-07-31,87.32,88.0,87.0,87.26,85.44,739600
2017-08-01,85.48,88.17,85.48,87.17,85.35,1081600
2017-08-02,85.43,85.43,82.55,83.84,82.09,2072300
2017-08-03,83.45,83.74,82.12,82.31,80.6,1470400
2017-08-04,82.56,82.98,82.03,82.88,81.15,1043100
2017-08-07,82.99,83.24,82.15,82.52,80.8,749900
2017-08-08,82.33,82.75,81.86,81.89,80.18,597400
2017-08-09,81.91,82.03,81.41,81.53,79.83,721700
2017-08-10,81.23,81.41,80.56,80.58,78.9,788600
2017-08-11,80.96,81.2,80.59,80.62,78.94,551100
2017-08-14,81.15,81.7,80.94,81.44,79.74,504800
2017-08-15,81.48,81.67,81.2,81.4,79.7,552500
2017-08-16,81.61,81.89,81.28,81.65,79.95,559500
2017-08-17,81.51,81.9,80.82,80.9,79.22,1111400
2017-08-18,80.39,80.96,80.12,80.65,78.97,850900
2017-08-21,80.8,81.3,80.43,81.07,79.38,535900
2017-08-22,81.21,82.36,81.06,82.05,80.34,633500
2017-08-23,81.87,81.87,81.18,81.21,79.52,603100
2017-08-24,81.3,81.3,79.87,80.26,78.59,717300
2017-08-25,80.75,80.75,79.59,79.67,78.01,994600
2017-08-28,80.0,80.15,79.08,79.23,77.58,653000
2017-08-29,79.29,79.61,78.97,79.52,77.86,813100
2017-08-30,79.62,80.35,79.2,80.16,78.49,957600
2017-08-31,80.25,81.19,80.16,81.05,79.36,660400
2017-09-01,81.38,81.38,80.81,80.98,79.29,631300
2017-09-05,80.82,81.24,80.42,80.62,78.94,1056000
2017-09-06,80.72,81.18,80.59,81.06,79.37,767700
2017-09-07,81.16,82.35,81.16,82.0,80.29,893400
2017-09-08,81.73,82.8,80.89,82.48,80.76,665400
2017-09-11,82.92,82.93,81.87,82.03,80.32,796300
2017-09-12,82.02,83.0,81.5,82.9,81.17,628100
2017-09-13,82.64,82.65,81.33,81.45,79.75,557400
2017-09-14,81.25,81.49,80.32,80.69,79.01,817300
2017-09-15,80.72,81.4,80.53,81.03,79.34,1191700
2017-09-18,81.1,81.81,80.92,81.77,80.07,621000
2017-09-19,81.81,81.81,81.38,81.71,80.01,390300
2017-09-20,81.7,82.49,81.45,82.09,80.38,570500
2017-09-21,82.01,82.32,81.7,81.95,80.24,463900
2017-09-22,81.58,82.38,81.58,82.31,80.6,393600
2017-09-25,82.21,82.4,81.82,82.03,80.32,595900
2017-09-26,82.5,82.5,81.7,81.9,80.19,1049400
2017-09-27,82.03,82.26,81.69,81.98,80.27,737800
2017-09-28,81.58,82.44,81.49,82.4,80.68,864000
2017-09-29,82.28,83.84,82.27,83.19,81.46,922200
2017-10-02,83.4,84.09,83.01,83.52,81.78,794900
2017-10-03,83.57,84.05,83.1,83.75,82.01,548700
2017-10-04,83.74,84.0,83.11,83.87,82.12,462900
2017-10-05,83.88,84.01,83.58,83.8,82.05,495000
2017-10-06,83.64,83.88,83.21,83.5,81.76,493900
2017-10-09,83.36,83.68,83.03,83.33,81.59,493500
2017-10-10,83.37,83.86,83.33,83.74,82.0,401200
2017-10-11,83.72,83.97,83.16,83.36,81.62,530000
2017-10-12,83.39,83.99,83.21,83.82,82.07,640200
2017-10-13,84.27,84.6,83.91,84.0,82.25,474000
2017-10-16,83.96,84.26,83.74,84.07,82.32,379000
2017-10-17,84.01,84.44,83.82,84.31,82.55,441400
2017-10-18,84.26,84.9,84.26,84.8,83.03,428500
2017-10-19,84.8,84.92,84.12,84.91,83.14,514800
2017-10-20,85.0,85.37,84.76,84.85,83.08,748500
2017-10-23,84.88,85.07,84.36,84.77,83.0,634100
2017-10-24,84.73,85.15,84.37,84.88,83.11,532400
2017-10-25,84.53,84.93,83.96,84.2,82.45,540600
2017-10-26,84.48,85.16,84.29,84.83,83.06,777200
2017-10-27,84.53,85.35,84.37,84.94,83.17,1169500
2017-10-30,84.92,85.16,84.4,84.7,82.94,779000
2017-10-31,84.81,85.42,84.66,85.05,83.28,1239800
2017-11-01,86.0,91.34,86.0,89.88,88.01,2413500
2017-11-02,90.3,91.31,89.93,91.02,89.12,1598500
2017-11-03,91.08,91.41,90.15,91.03,89.13,877100
2017-11-06,90.94,91.73,90.31,91.1,89.2,797600
2017-11-07,91.8,92.92,91.7,92.29,90.37,924500
2017-11-08,92.14,92.86,91.85,92.57,90.64,980800
2017-11-09,92.16,92.78,90.67,90.82,88.93,751500
2017-11-10,90.72,90.72,89.95,90.21,88.33,889600
2017-11-13,90.03,90.43,89.65,90.12,88.24,888900
2017-11-14,89.99,91.59,89.97,91.11,89.21,1044100
2017-11-15,91.1,91.32,90.39,90.83,88.94,613200
2017-11-16,91.13,91.41,90.63,90.82,88.93,1090200
2017-11-17,90.88,92.21,90.68,91.86,89.95,1884000
2017-11-20,91.74,92.56,91.62,92.53,90.6,1030800
2017-11-21,92.72,94.1,92.65,93.58,91.63,1269500
2017-11-22,93.52,94.26,93.21,93.82,91.87,946700
2017-11-24,93.8,94.13,93.52,93.88,91.92,223800
2017-11-27,93.88,94.51,93.87,94.22,92.26,685200
2017-11-28,94.41,95.25,94.13,95.23,93.25,759500
2017-11-29,95.29,95.92,94.81,94.98,93.0,681700
2017-11-30,95.19,96.92,94.84,96.42,94.41,904500
2017-12-01,98.05,98.6,94.18,95.64,93.65,957700
2017-12-04,95.82,96.71,95.79,96.01,94.01,877000
2017-12-05,96.34,96.65,95.88,95.94,93.94,838300
2017-12-06,96.08,96.35,95.62,95.87,93.87,605500
2017-12-07,96.25,96.41,95.35,95.44,93.45,715700
2017-12-08,96.01,96.38,95.35,96.16,94.16,565100
2017-12-11,95.96,95.96,94.23,94.32,92.36,1249400
2017-12-12,94.48,94.85,93.73,94.6,92.63,972400
2017-12-13,94.79,95.1,94.25,94.41,92.44,848200
2017-12-14,94.56,95.76,94.5,94.73,92.76,1015500
2017-12-15,95.0,95.62,94.39,95.0,93.02,2703900
2017-12-18,95.41,96.36,95.32,95.94,93.94,824200
2017-12-19,95.77,96.76,95.46,96.0,94.0,1067500
2017-12-20,96.38,97.09,96.08,96.32,94.31,822700
2017-12-21,96.83,96.83,95.32,95.58,93.59,652700
2017-12-22,95.52,95.74,94.93,95.33,93.34,656200
2017-12-26,95.46,96.17,95.28,95.65,93.66,456900
2017-12-27,95.96,96.05,95.44,95.77,93.78,369300
2017-12-28,95.54,96.52,95.54,96.45,94.44,597800
2017-12-29,96.41,97.0,95.93,96.0,94.0,529400
2018-01-02,96.48,96.74,95.38,95.83,93.83,653900
2018-01-03,95.76,95.97,95.26,95.55,93.56,760200
2018-01-04,95.96,96.29,95.58,96.03,94.03,960300
2018-01-05,96.5,96.96,95.92,96.88,94.86,882100
2018-01-08,96.56,97.56,96.34,97.0,94.98,791600
2018-01-09,97.02,97.19,96.33,96.73,94.72,566900
2018-01-10,97.13,97.13,96.07,96.34,94.33,437500
2018-01-11,96.39,96.73,96.03,96.67,94.66,357900
2018-01-12,96.78,97.59,96.43,97.5,95.47,734500
2018-01-16,97.37,97.89,97.1,97.2,95.18,967600
2018-01-17,97.75,98.27,97.27,98.01,95.97,719800
2018-01-18,98.09,98.72,96.29,98.2,96.15,764000
2018-01-19,98.5,99.09,97.99,98.9,96.84,1088600
2018-01-22,99.01,99.55,98.34,99.52,97.45,628700
2018-01-23,99.08,99.3,97.33,99.25,97.18,922100
2018-01-24,99.25,99.92,98.89,99.0,96.94,637400
2018-01-25,99.45,99.71,98.53,98.59,96.54,653200
2018-01-26,98.96,98.96,97.87,98.31,96.26,1477600
2018-01-29,98.0,98.86,97.54,98.25,96.2,1033600
2018-01-30,98.29,99.4,97.88,99.12,97.06,1253600
2018-01-31,99.17,100.54,98.72,100.05,97.97,1264600
2018-02-01,99.23,100.34,98.0,100.26,98.17,1599800
2018-02-02,99.84,100.26,98.8,98.83,96.77,1086600
2018-02-05,98.88,99.31,94.85,94.89,92.91,1257500
2018-02-06,93.53,95.44,92.4,95.01,93.03,1246900
2018-02-07,94.61,96.4,94.52,94.69,92.72,940100
