Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,89.39,90.44,89.14,90.1,90.1,405800
2017-05-25,90.39,90.89,89.93,90.67,90.67,683900
2017-05-26,90.57,90.67,89.88,90.14,90.14,823900
2017-05-30,90.15,90.81,89.92,90.64,90.64,939900
2017-05-31,90.79,90.79,89.9,90.16,90.16,892500
2017-06-01,90.55,92.29,90.39,92.28,92.28,850000
2017-06-02,92.24,92.77,91.8,92.55,92.55,443000
2017-06-05,92.45,93.0,91.13,92.52,92.52,375400
2017-06-06,92.23,92.72,92.04,92.07,92.07,797100
2017-06-07,92.23,92.85,91.94,92.26,92.26,719600
2017-06-08,92.48,93.0,91.73,92.95,92.95,453100
2017-06-09,93.28,93.78,91.46,92.33,92.33,797400
2017-06-12,91.84,92.19,90.84,91.11,91.11,1176100
2017-06-13,91.43,92.29,91.34,91.6,91.6,922900
2017-06-14,91.82,92.47,91.07,91.66,91.66,1258200
2017-06-15,91.08,92.19,90.49,92.19,92.19,465700
2017-06-16,92.31,92.69,91.73,92.46,92.46,843100
2017-06-19,92.99,93.92,92.92,93.65,93.65,478000
2017-06-20,93.68,93.68,92.54,92.65,92.65,474100
2017-06-21,92.9,93.41,92.52,93.23,93.23,476500
2017-06-22,93.17,94.23,92.71,93.52,93.52,663400
2017-06-23,93.63,94.26,93.39,93.96,93.96,617000
2017-06-26,94.17,94.93,93.52,93.56,93.56,522200
2017-06-27,93.53,94.31,92.73,92.8,92.8,405600
2017-06-28,93.16,93.83,92.54,93.77,93.77,476300
2017-06-29,93.73,93.73,92.13,93.51,93.51,1017900
2017-06-30,93.32,93.9,92.94,92.96,92.96,2204900
2017-07-03,93.5,94.23,92.91,93.9,93.9,520400
2017-07-05,94.05,95.76,94.05,94.44,94.44,1519900
2017-07-06,94.27,94.33,93.23,93.25,93.25,669100
2017-07-07,93.37,95.39,93.14,94.42,94.42,1693500
2017-07-10,94.48,96.16,94.31,95.29,95.29,1376100
2017-07-11,95.24,95.86,94.7,95.61,95.61,537900
2017-07-12,96.15,97.07,95.81,96.87,96.87,703700
2017-07-13,96.64,97.5,95.9,97.18,97.18,1344600
2017-07-14,97.31,97.36,96.85,96.92,96.92,788900
2017-07-17,96.99,98.08,96.78,98.0,98.0,650800
2017-07-18,97.94,98.51,97.35,98.43,98.43,490500
2017-07-19,98.68,98.98,98.09,98.61,98.61,799300
2017-07-20,98.87,99.11,98.55,98.84,98.84,531200
2017-07-21,98.51,99.47,98.5,98.95,98.95,500900
2017-07-24,98.87,100.28,98.87,99.96,99.96,487400
2017-07-25,99.96,101.68,99.49,100.98,100.98,889300
2017-07-26,101.32,101.85,100.68,101.82,101.82,581100
2017-07-27,102.34,102.73,100.96,101.95,101.95,877900
2017-07-28,103.37,103.79,101.35,102.5,102.5,957600
2017-07-31,102.64,102.77,101.11,101.17,101.17,1059200
2017-08-01,101.0,101.16,99.33,99.37,99.37,1100300
2017-08-02,99.3,100.39,98.96,99.41,99.41,923200
2017-08-03,99.42,100.45,99.03,100.05,100.05,546100
2017-08-04,100.38,100.38,99.05,99.31,99.31,588600
2017-08-07,99.25,99.72,99.01,99.32,99.32,453300
2017-08-08,99.28,99.51,98.36,98.73,98.73,634800
2017-08-09,98.42,99.86,98.01,99.77,99.77,773600
2017-08-10,99.29,99.65,97.52,97.74,97.74,889600
2017-08-11,97.75,98.21,97.15,97.95,97.95,466100
2017-08-14,98.69,99.27,98.4,98.85,98.85,363700
2017-08-15,99.16,99.16,97.99,98.57,98.57,516700
2017-08-16,98.74,99.75,98.63,99.23,99.23,474100
2017-08-17,98.84,99.44,97.91,97.93,97.93,466300
2017-08-18,97.79,98.77,97.38,98.2,98.2,490400
2017-08-21,98.11,99.23,97.96,98.96,98.96,539300
2017-08-22,99.03,100.51,98.95,100.24,100.24,644500
2017-08-23,99.84,101.15,99.84,101.02,101.02,533700
2017-08-24,101.12,101.65,100.31,101.5,101.5,584500
2017-08-25,101.78,102.12,101.3,101.44,101.44,365000
2017-08-28,101.93,102.51,101.58,102.21,102.21,764400
2017-08-29,101.81,102.24,101.55,101.62,101.62,850900
2017-08-30,101.54,102.62,101.27,102.52,102.52,469700
2017-08-31,103.0,103.91,102.2,103.75,103.75,875100
2017-09-01,104.18,104.25,103.62,103.94,103.94,536000
2017-09-05,103.65,103.91,102.18,102.54,102.54,688200
2017-09-06,102.67,103.03,102.06,102.79,102.79,724500
2017-09-07,103.04,103.67,102.51,103.48,103.48,413400
2017-09-08,103.49,104.3,103.07,103.31,103.31,410100
2017-09-11,103.8,104.86,103.28,104.65,104.65,620300
2017-09-12,104.73,105.0,103.44,103.73,103.73,434400
2017-09-13,103.61,103.78,102.86,103.32,103.32,471700
2017-09-14,103.11,103.56,102.34,103.39,103.39,393100
2017-09-15,103.42,104.6,103.03,104.39,104.39,1536100
2017-09-18,104.69,105.3,104.31,105.08,105.08,546000
2017-09-19,105.26,105.81,104.72,105.41,105.41,651400
2017-09-20,105.52,106.04,104.83,105.89,105.89,521000
2017-09-21,106.0,106.22,105.22,105.77,105.77,514500
2017-09-22,105.38,106.18,104.18,104.58,104.58,834000
2017-09-25,104.37,104.42,102.84,103.35,103.35,460000
2017-09-26,104.06,104.54,103.33,104.22,104.22,549900
2017-09-27,104.74,105.99,104.45,104.72,104.72,692600
2017-09-28,104.63,105.85,104.22,105.62,105.62,623000
2017-09-29,105.81,106.81,105.06,106.39,106.39,635100
2017-10-02,106.76,107.71,106.34,106.49,106.49,648800
2017-10-03,106.63,108.05,106.17,107.99,107.99,2352300
2017-10-04,107.71,108.88,107.37,108.57,108.57,575100
2017-10-05,108.76,108.92,107.98,108.92,108.92,504400
