Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,45.45,45.49,44.85,45.04,36.0,15846000
2017-05-25,45.05,45.38,45.01,45.31,36.22,11206400
2017-05-26,45.25,45.44,45.24,45.32,36.22,5999900
2017-05-30,45.26,46.33,45.26,46.2,36.93,16442300
2017-05-31,46.43,46.95,46.26,46.64,37.28,22811100
2017-06-01,46.71,46.71,46.1,46.51,37.18,14219400
2017-06-02,46.63,47.19,46.32,46.44,37.12,18552800
2017-06-05,46.17,46.42,46.02,46.37,37.06,8538200
2017-06-06,46.37,46.81,46.24,46.44,37.12,11610500
2017-06-07,46.52,46.7,46.36,46.5,37.17,8648100
2017-06-08,46.5,46.56,46.0,46.19,36.92,11717800
2017-06-09,46.17,46.78,46.01,46.72,37.34,11698800
2017-06-12,46.72,47.5,46.72,47.19,37.72,18929100
2017-06-13,47.3,47.31,46.4,46.46,37.14,15194600
2017-06-14,46.63,46.78,46.41,46.69,37.32,9817600
2017-06-15,46.58,46.83,46.5,46.64,37.28,10984100
2017-06-16,46.86,47.0,46.33,46.63,37.27,22573900
2017-06-19,46.63,46.63,46.29,46.57,37.22,9773500
2017-06-20,46.4,46.41,45.74,45.94,36.72,16756100
2017-06-21,45.95,46.02,45.09,45.41,36.3,15027200
2017-06-22,45.47,45.59,45.18,45.42,36.3,10511300
2017-06-23,45.43,45.46,45.3,45.39,36.28,10069700
2017-06-26,45.45,45.98,45.45,45.75,36.57,10105500
2017-06-27,44.97,45.15,44.81,44.84,35.84,20187200
2017-06-28,44.98,45.23,44.68,44.84,35.84,18703600
2017-06-29,44.8,44.9,44.39,44.41,35.5,17913000
2017-06-30,44.62,44.75,44.36,44.66,35.7,13368900
2017-07-03,44.61,45.08,44.51,45.0,35.97,9732000
2017-07-05,45.05,45.06,44.44,44.65,35.69,14853400
2017-07-06,43.97,44.09,43.52,43.52,35.24,16854300
2017-07-07,43.53,43.6,43.21,43.48,35.21,12198500
2017-07-10,43.48,43.51,43.18,43.2,34.98,12272500
2017-07-11,43.21,43.22,42.8,42.89,34.73,13249500
2017-07-12,43.04,43.38,43.0,43.22,35.0,11388900
2017-07-13,43.15,43.54,43.04,43.49,35.22,12140500
2017-07-14,43.63,43.82,43.41,43.56,35.27,11986800
2017-07-17,43.63,43.86,43.56,43.66,35.36,10804200
2017-07-18,43.66,43.79,43.26,43.36,35.11,15417100
2017-07-19,43.35,43.54,43.2,43.45,35.19,13940800
2017-07-20,43.5,44.58,43.48,44.22,35.81,19309100
2017-07-21,44.23,44.31,43.82,44.23,35.82,11426600
2017-07-24,44.15,44.21,43.68,43.71,35.4,11895200
2017-07-25,43.9,44.17,43.81,43.98,35.61,9818800
2017-07-26,44.8,44.83,44.28,44.4,35.95,19045200
2017-07-27,46.26,47.84,45.95,47.81,38.72,44702500
2017-07-28,47.7,48.38,47.12,47.94,38.82,25296500
2017-07-31,47.85,48.57,47.48,48.4,39.19,28456800
2017-08-01,48.68,49.63,48.53,48.89,39.59,33498200
2017-08-02,48.9,48.93,47.9,48.21,39.04,19233400
2017-08-03,48.09,48.61,47.94,48.61,39.36,15190100
2017-08-04,48.55,48.91,48.14,48.91,39.61,13841700
2017-08-07,48.79,48.96,48.68,48.86,39.57,10448700
2017-08-08,48.75,48.95,48.43,48.6,39.36,10901200
2017-08-09,48.52,48.64,48.08,48.22,39.05,18887100
2017-08-10,48.18,48.21,47.86,48.02,38.89,13005200
2017-08-11,48.2,48.23,47.7,48.06,38.92,10420500
2017-08-14,48.17,48.8,48.15,48.78,39.5,11064600
2017-08-15,48.56,48.59,48.19,48.48,39.26,11164800
2017-08-16,48.37,48.53,48.22,48.41,39.2,9447000
2017-08-17,48.37,48.45,47.89,47.89,38.78,10638000
2017-08-18,47.85,47.95,47.51,47.69,38.62,16919100
2017-08-21,47.83,48.5,47.69,48.14,38.98,10556800
2017-08-22,48.13,48.44,47.78,48.35,39.15,11005500
2017-08-23,48.26,48.67,48.19,48.28,39.1,8909200
2017-08-24,48.35,48.56,48.18,48.31,39.12,8898200
2017-08-25,48.48,48.98,48.43,48.68,39.42,9846700
2017-08-28,48.65,48.75,48.31,48.61,39.36,6329400
2017-08-29,48.36,48.76,48.33,48.51,39.28,6044100
2017-08-30,48.33,48.37,48.0,48.12,38.97,10758400
2017-08-31,48.26,48.4,47.93,47.97,38.85,14237700
2017-09-01,48.02,48.07,47.77,47.92,38.81,11455200
2017-09-05,47.78,47.92,47.3,47.36,38.35,10005100
2017-09-06,47.47,47.56,46.62,46.91,37.99,14081900
2017-09-07,47.0,47.21,46.07,46.2,37.41,16591100
2017-09-08,46.18,46.39,45.71,46.11,37.34,14152000
2017-09-11,46.23,46.34,46.12,46.3,37.49,11073700
2017-09-12,46.5,46.95,46.38,46.79,37.89,11173200
2017-09-13,46.78,47.26,46.68,47.25,38.26,12772700
2017-09-14,47.24,47.59,47.01,47.18,38.21,11808500
2017-09-15,47.42,47.9,47.06,47.86,38.76,24626500
2017-09-18,47.91,48.25,47.51,48.09,38.94,18810200
2017-09-19,48.09,49.55,48.01,49.34,39.96,30818000
2017-09-20,49.3,49.64,49.08,49.48,40.07,18755900
2017-09-21,49.37,49.44,48.84,48.94,39.63,14315800
2017-09-22,49.19,50.08,49.02,49.9,40.41,20646400
2017-09-25,49.87,50.32,49.75,49.9,40.41,13698600
2017-09-26,49.96,50.08,49.4,49.51,40.09,12007500
2017-09-27,49.19,49.73,49.12,49.51,40.09,14270800
2017-09-28,49.24,49.57,49.14,49.41,40.01,8231800
2017-09-29,49.3,49.83,49.01,49.49,40.08,13021700
2017-10-02,49.39,49.7,49.25,49.36,39.97,9525800
2017-10-03,49.45,50.02,49.43,49.85,40.37,10218600
2017-10-04,49.64,50.08,49.38,49.9,40.41,9887500
2017-10-05,49.96,50.03,49.68,49.77,40.3,12230600
2017-10-06,49.04,49.2,48.66,48.81,40.0,13239600
2017-10-09,48.89,49.09,48.65,49.05,40.2,10702900
2017-10-10,49.28,49.49,49.06,49.14,40.27,10843900
2017-10-11,49.14,49.32,48.51,48.86,40.04,10335100
2017-10-12,48.44,48.85,48.13,48.35,39.62,17087900
2017-10-13,48.34,48.48,47.83,47.86,39.22,20105100
2017-10-16,47.9,48.35,47.7,48.09,39.41,10394700
2017-10-17,48.09,48.49,47.87,48.4,39.66,14842800
2017-10-18,48.33,48.85,47.76,48.65,39.87,20410400
2017-10-19,50.05,51.18,49.05,49.21,40.33,29173900
2017-10-20,49.45,49.59,48.93,49.53,40.59,16259600
2017-10-23,49.47,49.69,48.91,48.99,40.15,15660000
2017-10-24,49.16,49.28,48.72,48.94,40.11,11527900
2017-10-25,48.68,48.79,48.15,48.64,39.86,19256800
2017-10-26,48.86,49.43,48.75,48.89,40.07,14420100
2017-10-27,48.72,49.39,48.53,48.87,40.05,12423400
2017-10-30,48.88,49.12,47.42,47.83,39.2,24587400
2017-10-31,47.94,48.18,47.71,47.87,39.23,15910000
2017-11-01,48.15,48.17,47.56,47.83,39.2,11046600
2017-11-02,47.88,47.94,47.18,47.46,38.89,13126900
2017-11-03,47.66,47.74,47.24,47.42,38.86,8038200
2017-11-06,46.31,46.35,44.84,45.53,37.31,36443300
2017-11-07,45.21,45.59,44.68,45.57,37.35,25789600
2017-11-08,45.41,45.52,45.14,45.46,37.25,17414800
2017-11-09,45.29,45.43,44.81,45.07,36.94,21078700
2017-11-10,45.11,45.11,44.75,44.88,36.78,17075000
2017-11-13,44.92,45.08,44.7,44.75,36.67,16673900
2017-11-14,44.69,44.85,44.15,44.22,36.24,20829900
2017-11-15,44.33,44.38,43.97,44.11,36.15,15726500
2017-11-16,44.21,44.88,44.11,44.77,36.69,13818000
2017-11-17,44.63,45.77,44.62,45.42,37.22,18933200
2017-11-20,45.8,46.35,45.5,46.2,37.86,18227400
2017-11-21,46.34,46.45,46.01,46.18,37.85,13598000
2017-11-22,46.25,47.42,46.24,47.1,38.6,15825100
2017-11-24,47.06,47.18,46.85,47.01,38.53,5097200
2017-11-27,47.37,47.9,47.35,47.66,39.06,17548300
2017-11-28,47.7,48.84,47.53,48.82,40.01,20982500
2017-11-29,48.84,50.49,48.84,49.9,40.89,31034500
2017-11-30,50.0,51.09,49.99,50.89,41.7,33268500
2017-12-01,50.9,51.55,50.33,51.25,42.0,23909000
2017-12-04,51.52,52.33,51.5,51.72,42.39,19371000
2017-12-05,51.25,51.89,50.78,50.92,41.73,17574100
