Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,61.61,62.08,61.54,61.96,53.32,1271400
2017-05-25,61.96,62.58,61.8,62.48,53.77,1074000
2017-05-26,62.48,62.75,62.4,62.45,53.74,858300
2017-05-30,62.45,62.71,62.34,62.57,53.84,1271400
2017-05-31,62.61,62.97,62.61,62.76,54.01,2021400
2017-06-01,62.6,63.17,62.33,63.17,54.36,1471500
2017-06-02,63.49,63.64,63.1,63.57,54.7,1618000
2017-06-05,63.47,63.51,62.93,63.04,54.25,1189900
2017-06-06,63.13,63.23,62.69,62.84,54.08,1659300
2017-06-07,62.93,63.48,62.69,63.38,54.54,1165000
2017-06-08,63.38,63.38,62.55,62.98,54.2,1446100
2017-06-09,62.71,63.16,62.56,63.13,54.32,1046700
2017-06-12,63.17,63.56,62.83,63.27,54.45,1905400
2017-06-13,63.27,63.38,62.95,63.33,54.5,689100
2017-06-14,63.79,64.07,63.55,63.76,54.87,1261300
2017-06-15,63.7,63.99,63.46,63.88,54.97,1717800
2017-06-16,64.0,64.37,63.89,64.23,55.27,2648900
2017-06-19,64.17,64.17,63.55,63.83,54.93,1199000
2017-06-20,63.92,64.2,63.8,64.14,55.19,912800
2017-06-21,64.15,64.21,63.38,63.87,54.96,995200
2017-06-22,63.79,64.03,63.58,63.63,54.76,1014400
2017-06-23,63.61,63.91,63.27,63.46,54.61,1447700
2017-06-26,63.11,64.01,62.91,63.65,54.77,1371000
2017-06-27,63.33,63.43,62.48,62.67,53.93,1353800
2017-06-28,62.94,62.99,62.17,62.19,53.52,1527500
2017-06-29,61.77,61.77,61.24,61.47,52.9,1680100
2017-06-30,61.62,61.78,61.26,61.38,52.82,1669200
2017-07-03,61.55,61.66,61.03,61.11,52.59,637900
2017-07-05,61.13,61.13,60.56,60.83,52.35,1152100
2017-07-06,60.66,60.9,60.53,60.72,52.25,1395100
2017-07-07,60.75,61.16,60.63,60.92,52.42,1443000
2017-07-10,61.02,61.17,60.82,60.82,52.34,1814700
2017-07-11,60.93,60.95,60.47,60.84,52.35,1308700
2017-07-12,61.2,61.48,61.16,61.37,52.81,1682500
2017-07-13,61.2,61.3,60.79,60.83,52.35,1877500
2017-07-14,61.2,61.43,61.01,61.23,52.69,1039400
2017-07-17,61.23,61.61,61.02,61.6,53.01,1176900
2017-07-18,61.7,62.25,61.58,62.11,53.45,2388500
2017-07-19,62.14,62.77,61.95,62.7,53.95,2174200
2017-07-20,62.88,62.99,62.51,62.79,54.03,1491400
2017-07-21,62.75,63.38,62.66,63.37,54.53,1040900
2017-07-24,63.39,63.5,62.4,62.5,53.78,1357900
2017-07-25,62.51,62.59,62.05,62.18,53.51,993700
2017-07-26,62.04,62.73,61.9,62.62,53.89,1745300
2017-07-27,62.56,62.67,62.07,62.5,53.78,1308900
2017-07-28,62.43,62.63,62.19,62.36,53.66,1259400
2017-07-31,62.4,63.03,62.32,62.97,54.19,1348300
2017-08-01,62.97,63.34,62.82,63.11,54.31,1269800
2017-08-02,62.88,63.67,62.73,63.64,54.76,1374600
2017-08-03,63.57,64.17,63.49,64.11,55.17,1102800
2017-08-04,63.91,64.15,63.52,64.09,55.15,1129000
2017-08-07,64.03,64.33,63.87,64.3,55.33,829400
2017-08-08,64.15,64.76,64.1,64.73,55.7,986000
2017-08-09,64.86,64.9,64.37,64.47,55.48,1736700
2017-08-10,64.05,64.94,63.51,64.66,56.09,3496700
2017-08-11,64.56,64.56,63.46,63.84,55.38,1801400
2017-08-14,63.83,64.24,63.7,64.05,55.56,2412200
2017-08-15,63.76,64.53,63.76,64.47,55.93,1101000
2017-08-16,64.28,64.7,64.28,64.57,56.02,1304400
2017-08-17,64.6,64.76,64.02,64.06,55.57,1500500
2017-08-18,64.12,64.85,63.82,64.59,56.03,3423700
2017-08-21,64.68,64.88,64.38,64.74,56.16,1242700
2017-08-22,64.72,64.87,64.33,64.85,56.26,1172700
2017-08-23,64.79,65.11,64.57,65.05,56.43,1382100
2017-08-24,65.0,65.14,64.78,64.92,56.32,798600
2017-08-25,65.24,65.47,64.94,65.1,56.48,1259000
2017-08-28,65.27,65.41,65.04,65.38,56.72,933200
2017-08-29,65.49,65.71,65.23,65.26,56.61,1026600
2017-08-30,65.16,65.29,65.01,65.11,56.48,1204400
2017-08-31,65.16,65.42,65.05,65.22,56.58,1232700
2017-09-01,65.39,65.65,65.03,65.13,56.5,1418200
2017-09-05,65.23,65.59,65.03,65.56,56.87,1544100
2017-09-06,65.67,65.79,65.41,65.58,56.89,2707200
2017-09-07,65.75,66.17,65.44,66.12,57.36,2340100
2017-09-08,66.1,66.83,65.84,66.64,57.81,1611600
2017-09-11,66.64,67.2,66.45,67.04,58.16,1452400
2017-09-12,66.93,66.99,65.26,65.63,56.94,1500100
2017-09-13,65.61,65.79,65.14,65.14,56.51,1577800
2017-09-14,65.05,65.82,64.93,65.81,57.09,1367700
2017-09-15,66.0,66.2,65.58,66.07,57.32,2484900
2017-09-18,66.0,66.15,65.11,65.48,56.81,1988500
2017-09-19,65.55,65.6,64.98,65.0,56.39,2038400
2017-09-20,65.13,65.3,64.27,64.5,55.96,1261400
2017-09-21,64.46,64.8,64.19,64.27,55.76,1108000
2017-09-22,64.53,64.53,63.57,63.61,55.18,1244800
2017-09-25,63.5,64.43,63.5,64.24,55.73,1537000
2017-09-26,64.16,64.31,63.89,63.91,55.44,1324700
2017-09-27,63.5,63.71,62.59,62.89,54.56,1828000
2017-09-28,62.7,63.22,62.4,63.16,54.79,1661500
2017-09-29,63.16,63.16,62.64,62.78,54.46,1837900
2017-10-02,62.93,63.77,62.85,63.6,55.17,2562900
2017-10-03,63.52,63.52,62.84,63.32,54.93,1640400
2017-10-04,63.26,64.14,63.05,64.09,55.6,1656600
2017-10-05,64.01,64.13,63.68,64.07,55.58,1310800
2017-10-06,63.84,64.31,63.52,64.3,55.78,1827500
2017-10-09,64.41,64.5,64.11,64.26,55.75,1654400
2017-10-10,64.38,64.73,64.16,64.51,55.96,2081200
2017-10-11,64.57,65.31,64.51,64.73,56.15,1687800
2017-10-12,64.78,65.64,64.74,65.57,56.88,1633300
2017-10-13,65.85,66.01,65.03,65.1,56.48,1316100
2017-10-16,65.0,65.44,64.76,65.03,56.41,1088300
2017-10-17,64.96,65.54,64.8,65.5,56.82,1290100
2017-10-18,65.41,65.77,65.18,65.7,57.0,1087200
2017-10-19,65.81,66.61,65.67,66.59,57.77,1535600
2017-10-20,66.54,66.86,66.35,66.81,57.96,1577600
2017-10-23,66.84,66.95,66.52,66.8,57.95,1481100
2017-10-24,66.66,66.91,66.41,66.82,57.97,1324700
2017-10-25,66.76,66.95,65.73,66.77,57.92,1498900
2017-10-26,67.1,67.7,66.82,67.28,58.37,1428400
2017-10-27,67.2,68.03,67.16,67.84,58.85,1288300
2017-10-30,67.75,67.95,67.36,67.47,58.53,1999100
2017-10-31,67.4,67.66,67.11,67.39,58.46,1941600
2017-11-01,67.7,67.73,66.76,66.95,58.08,1484200
2017-11-02,67.11,67.67,66.93,67.61,58.65,1691300
2017-11-03,67.53,68.67,67.53,68.17,59.14,2971800
2017-11-06,68.18,68.24,67.63,67.65,58.69,1170200
2017-11-07,67.86,68.62,67.62,68.24,59.2,1630000
2017-11-08,68.15,68.45,67.76,68.17,59.14,1395500
2017-11-09,68.0,68.37,67.77,68.23,59.19,1532800
2017-11-10,67.91,68.2,67.56,67.92,58.92,1976500
2017-11-13,67.56,68.36,67.51,68.35,59.75,1783000
2017-11-14,68.26,69.58,68.13,69.53,60.78,2485400
2017-11-15,69.62,70.09,68.71,68.76,60.11,1772700
2017-11-16,68.63,68.89,68.4,68.77,60.12,1251000
2017-11-17,68.5,68.85,68.12,68.19,59.61,1108300
2017-11-20,68.3,68.47,67.84,67.98,59.43,1344700
2017-11-21,68.09,68.46,67.96,68.19,59.61,932700
2017-11-22,68.16,68.33,67.78,68.27,59.68,804300
2017-11-24,68.37,68.93,68.27,68.53,59.91,486400
2017-11-27,68.62,68.89,68.32,68.77,60.12,1019800
2017-11-28,68.89,69.31,68.71,68.93,60.26,1820600
2017-11-29,68.83,69.71,68.6,69.26,60.55,1866800
2017-11-30,69.44,69.72,69.11,69.49,60.75,3964800
2017-12-01,69.6,69.76,68.73,69.14,60.44,1371900
2017-12-04,69.49,69.49,68.36,68.58,59.95,1894300
2017-12-05,68.47,68.49,67.44,68.24,59.66,1811600
2017-12-06,68.38,68.65,68.11,68.42,59.81,1175800
2017-12-07,68.72,68.72,68.0,68.72,60.08,1293200
2017-12-08,68.56,68.99,68.3,68.96,60.29,1413600
2017-12-11,69.05,69.2,68.33,69.17,60.47,3172200
2017-12-12,68.88,69.07,67.6,67.66,59.15,2344300
2017-12-13,67.79,68.23,67.53,67.91,59.37,1408400
2017-12-14,67.88,68.01,67.21,67.7,59.18,1070100
2017-12-15,67.86,68.46,67.78,68.17,59.6,3183400
2017-12-18,68.36,68.48,67.19,67.47,58.98,1815200
