Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,53.49,53.61,52.8,53.09,45.91,11304400
2017-05-25,53.25,53.25,52.57,52.78,45.64,16643800
2017-05-26,52.63,52.81,52.37,52.41,45.32,14247700
2017-05-30,52.16,52.5,51.9,52.16,45.11,19379700
2017-05-31,52.23,52.25,50.83,51.14,44.23,30519700
2017-06-01,51.53,52.21,51.06,52.08,45.04,21001800
2017-06-02,51.67,52.24,51.53,51.81,44.81,19477300
2017-06-05,51.71,52.18,51.67,51.72,44.73,13663800
2017-06-06,51.32,52.03,51.24,51.81,44.81,14887500
2017-06-07,51.84,52.31,51.7,52.09,45.05,17022400
2017-06-08,52.09,53.03,51.88,52.56,45.45,22644200
2017-06-09,52.86,53.95,52.8,53.8,46.53,25750000
2017-06-12,53.98,54.59,53.94,54.09,46.78,22791400
2017-06-13,54.35,54.69,54.28,54.45,47.09,17966000
2017-06-14,54.09,54.64,53.57,54.53,47.16,16575000
2017-06-15,54.04,54.45,53.81,53.9,46.61,17232300
2017-06-16,53.93,54.24,53.65,53.89,46.6,23492700
2017-06-19,54.31,54.64,54.12,54.24,46.91,15367300
2017-06-20,54.06,54.1,53.43,53.46,46.23,13622200
2017-06-21,53.47,53.48,52.8,52.98,45.82,12653700
2017-06-22,52.8,52.89,52.22,52.49,45.39,15362200
2017-06-23,52.7,52.83,52.32,52.45,45.36,21868500
2017-06-26,52.73,53.43,52.59,52.9,45.75,12532800
2017-06-27,53.02,53.66,52.91,53.16,45.97,13496300
2017-06-28,53.61,54.42,53.52,54.33,46.99,20961700
2017-06-29,55.65,56.6,55.21,55.78,48.24,32552100
2017-06-30,56.03,56.05,55.16,55.41,47.92,16750700
2017-07-03,55.81,56.45,55.71,55.78,48.24,11825000
2017-07-05,55.97,56.02,55.34,55.78,48.24,14086900
2017-07-06,55.98,56.32,55.5,55.56,48.05,14481200
2017-07-07,55.78,55.83,55.25,55.74,48.2,11503500
2017-07-10,55.53,55.81,55.34,55.59,48.07,10979000
2017-07-11,55.66,55.71,54.82,55.04,47.6,14842700
2017-07-12,54.93,55.24,54.6,55.17,47.71,11951500
2017-07-13,55.26,55.67,55.06,55.6,48.08,14201800
2017-07-14,54.31,55.2,54.12,54.99,47.56,17949600
2017-07-17,54.9,54.98,54.44,54.71,47.31,14953600
2017-07-18,54.31,54.92,54.23,54.8,47.39,13603300
2017-07-19,54.8,55.21,54.69,54.94,47.51,12366200
2017-07-20,54.96,55.31,54.68,54.88,47.46,15123500
2017-07-21,54.43,54.62,54.1,54.17,46.85,17384500
2017-07-24,54.1,54.41,54.04,54.27,46.93,18489900
2017-07-25,55.0,55.41,54.91,55.06,47.62,20167800
2017-07-26,55.32,55.33,54.81,54.91,47.49,19686900
2017-07-27,54.86,54.96,54.39,54.71,47.31,17352600
2017-07-28,54.3,54.57,53.18,53.3,46.09,32590600
2017-07-31,53.42,54.22,53.4,53.94,46.65,20378100
2017-08-01,54.23,54.39,53.85,54.08,46.77,19350300
2017-08-02,53.54,53.96,53.45,53.62,46.71,19422100
